!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Astrocytes
!perturbation	Dexamethasone
!disease	0.25 hrs
!end_metadata
HSPB6	-0.046664
UQCR11	-0.046513
DLK1	0.046266
ZBTB20	0.046210
PON2	0.046161
NUAK2	-0.046108
FXYD6	0.046002
ADIPOR1	0.045812
SSR4	-0.045559
AK3	0.045213
WSB1	0.044922
RRAGC	0.044469
FCER1G	-0.044190
TMEM59	0.044100
MTPN	0.043982
TXNDC5	-0.043938
AGRN	-0.043336
ATP5C1	-0.043309
COX5A	0.043236
COX4I1	-0.042819
SPOP	-0.042667
RPS8	-0.042547
NDUFA2	-0.042519
ERP29	-0.042464
DBP	-0.042258
PKM	0.042207
RAB5C	0.042183
TUBA1A	0.042095
PRKACB	0.042059
TPST1	0.041912
CSTB	-0.041763
SEC13	0.041752
HIBADH	0.041708
ABHD17A	0.041683
HEY1	-0.040884
SEPW1	0.040657
UQCRC2	-0.040565
SEPT2	-0.040539
LBH	0.040475
RPS29	0.040178
ARPC3	-0.039697
YPEL3	-0.039325
SERPINH1	-0.039220
RPS27L	-0.039167
PBK	0.039127
NGFRAP1	0.038818
VCL	0.038431
SIRT2	0.038368
RPN2	0.038317
SDC2	0.038091
TMED9	-0.037955
P4HB	0.037207
LAMP1	0.036939
RPS3	-0.036888
FKBP9	0.036805
GJA1	-0.036695
HIST1H2AJ	-0.036653
PACRG	0.036341
TUBB	-0.036338
ILK	0.036334
HIGD2A	-0.036110
ZFAND3	0.035931
CYB5B	0.035842
SCG3	0.035835
POMP	0.035629
TFG	0.035544
METRN	0.035242
CKAP5	0.035114
PSMA2	0.035090
TAX1BP1	0.035055
EXT1	0.035017
YWHAZ	0.034739
CGGBP1	0.034479
RPL23	-0.034460
MPP6	0.034378
PTPLAD1	-0.034316
IDH2	-0.034239
BAG1	-0.034226
TMBIM6	-0.034160
NPM3	-0.033961
ASS1	0.033539
ARL1	0.033446
GDE1	0.033323
RPS15	0.033177
GAPDH	0.033068
PMP22	0.032785
MEST	0.032618
TTR	-0.032425
HIST1H3B	-0.032326
COX6B1	-0.032242
CSF1	0.032214
HAT1	0.032191
PLXNB2	-0.032054
REEP5	0.032027
BLCAP	0.032002
MIEN1	-0.031946
FERMT2	0.031867
SEPN1	0.031767
HSD17B8	-0.031726
TUBB6	0.031660
PPP2CB	0.031659
MRPL28	-0.031510
ATP5B	-0.031478
ZFYVE21	-0.031419
ACAA1	-0.030940
EDF1	-0.030908
AKR1A1	0.030833
IRS2	-0.030666
RNPEPL1	-0.030633
SARAF	-0.030621
RPL28	0.030621
LYZ	-0.030599
COTL1	-0.030577
IFITM2	0.030516
MIF	-0.030456
PHF5A	-0.030284
PLEKHB2	0.030277
WBP5	-0.030012
SNRPD2	-0.029886
WDR1	-0.029834
IRF2	0.029823
CENPB	-0.029459
HIST2H2AC	-0.029414
SCD	0.029371
HSPB8	0.029324
NDUFA7	-0.029272
EMP1	-0.028990
DPYSL2	-0.028947
PPP2CA	-0.028854
LYPLA2	-0.028847
CHCHD10	-0.028802
PSMC1	0.028720
CCND1	-0.028710
PRELP	0.028710
BTF3	-0.028677
LGALS1	-0.028563
EEF1G	0.028554
ABHD4	0.028484
RTN1	0.028445
ATP6V1E1	0.028372
ADPRH	-0.028345
UQCRC1	0.028259
CLPTM1L	0.028257
MAGED2	0.028065
MID1IP1	-0.027938
PPAP2B	-0.027735
TECR	0.027630
ODC1	0.027587
CYB5A	-0.027452
BRK1	-0.027353
EMC10	-0.027230
MFN2	-0.027157
VCP	0.026798
TOMM6	0.026582
SYNPO	-0.026427
NPM1	0.026408
CCND2	0.026278
PCBP1	-0.026247
HINT2	-0.026200
CLCN3	-0.026160
PSAT1	0.026124
LOC728392	-0.026087
ACTR1A	-0.026065
SEC61G	0.026004
GRINA	0.025944
ORMDL3	-0.025779
PDPN	-0.025777
HNRNPL	0.025658
ATPIF1	-0.025591
ANKH	-0.025557
IGFBP3	0.025477
RPL35	0.025452
TPRG1L	0.025408
HINT1	-0.025389
LASP1	-0.025367
FTL	0.025348
ATP1B3	0.025337
TST	0.025333
MYL6	-0.024983
AMOTL1	0.024873
CLDND1	0.024845
C14orf166	-0.024845
FUBP3	-0.024669
LGALS3	-0.024647
HMGN1	-0.024646
FAM195B	-0.024441
DCTN5	0.024343
LRP10	-0.024324
DDX39B	-0.024276
STAT3	-0.024254
UBXN1	-0.024244
GSTM5	0.024231
ECH1	0.024216
ST8SIA2	0.024210
H3F3C	0.024170
PHC2	-0.024098
GPX8	-0.024038
TMEM208	-0.023870
G3BP1	-0.023806
DCTN2	0.023803
EIF3L	0.023776
PLEKHB1	0.023678
C3	-0.023560
PRDX2	-0.023469
ACTB	-0.023287
TIMP3	0.023287
ARL6IP4	-0.023286
NDUFA10	-0.023269
WBP2	-0.023212
KRTCAP2	-0.023120
PSME3	0.023050
MRAS	-0.023047
RPL38	-0.023046
TRAPPC1	-0.022852
GNPTG	-0.022845
RIIAD1	0.022841
PSMC4	-0.022761
GPX4	0.022723
SQLE	0.022672
ARHGEF11	-0.022529
PPP2R1A	0.022489
HRAS	0.022478
NDUFV2	0.022467
CD63	0.022387
LDB1	-0.022372
RNF44	-0.022367
RPS24	-0.022358
OLIG1	-0.022347
TMEM242	-0.022243
REEP3	-0.022234
LUC7L3	0.022218
ACTA2	0.022185
SAMD4B	0.022049
H2AFX	0.021984
TXNDC12	0.021982
MFSD1	0.021961
TMEM256	-0.021920
YWHAB	0.021903
TAGLN	0.021847
AES	0.021833
NDUFA1	-0.021782
MRPS6	0.021716
THOC7	0.021626
PSMA7	-0.021469
DDAH1	-0.021357
SLC25A3	0.021337
OSTM1	0.021315
NSFL1C	0.021293
FAM167A	0.021231
APPL2	0.021225
NUDC	-0.021212
CLIP4	0.021206
POLR2F	-0.021203
ATF5	-0.021195
C5orf15	0.021183
WWC1	-0.021178
FEZ1	0.021175
SPARC	0.021032
ATP6V1D	0.021031
NDST1	0.020993
SLC35B1	0.020910
DEGS1	-0.020904
COPB2	-0.020883
MAGED1	-0.020834
SUDS3	-0.020821
C5orf51	-0.020494
ISCU	0.020478
EIF4A3	0.020477
ATP5G2	0.020470
PNPLA2	-0.020463
SH3BP5L	-0.020424
HIST1H2AH	-0.020392
AARD	-0.020344
EFEMP2	0.020315
FAM127C	-0.020315
TRIL	-0.020241
PCBP2	0.020236
HDGF	-0.020232
TSEN34	-0.020133
SLC6A8	0.019914
EIF5	-0.019899
IFT52	0.019838
C1QB	-0.019822
TRIM28	0.019820
TCTEX1D2	-0.019778
EGR1	-0.019697
ILKAP	0.019695
SS18L2	-0.019691
HNRNPM	-0.019691
FAM53A	-0.019556
CAPNS1	0.019516
MCEE	0.019515
MBNL2	0.019462
PPP1CA	0.019404
SCAMP1	-0.019389
COPZ1	0.019387
S100A13	-0.019383
ATP6V1B2	0.019380
MED28	-0.019358
UBAP2	-0.019326
DYNC2LI1	-0.019282
ASNA1	0.019231
RPL9	-0.019225
SLC8B1	-0.019199
PFDN5	-0.019195
NGDN	-0.019186
SYAP1	0.019154
ZNF362	-0.019118
WBP1L	0.019093
HSPD1	0.018982
NIPA1	-0.018978
ACOT13	-0.018970
CERS2	0.018944
STX5	0.018933
SYVN1	-0.018927
TCP1	0.018921
PRPS1	0.018904
ATP6V0D1	0.018895
ZCCHC24	-0.018877
SEPT11	-0.018868
SCAMP2	-0.018850
NFIB	0.018849
NEDD9	0.018764
COX6A1	-0.018760
DDX1	0.018749
MAN1B1	0.018735
ATP6V0B	-0.018604
FAM173A	-0.018586
NSA2	0.018585
DLG5	-0.018555
GMPR	0.018550
TXNIP	-0.018476
PALLD	0.018455
ANKRD46	0.018441
DAG1	-0.018360
KIF1A	-0.018344
ATP5J	-0.018336
PSMB1	-0.018308
TBCB	0.018308
CCT4	0.018260
MRPS34	-0.018211
COMT	0.018201
CCT6A	0.018198
IER3IP1	-0.018164
SERTM1	0.018150
HADHB	0.018138
POGLUT1	0.018056
NDUFA8	-0.018015
NMT1	0.018002
PDHA1	0.017993
CAP1	-0.017975
NFIX	0.017942
GINM1	-0.017903
SSPN	0.017883
TSPAN7	-0.017879
DNAJC15	0.017868
ZNF219	-0.017847
KDM2A	0.017802
VASN	0.017783
UBA6	0.017680
SKP1	0.017645
EIF4A1	0.017600
TMEM216	-0.017571
AHSA1	0.017501
H2AFZ	-0.017476
PLEKHA2	0.017470
RRAS	0.017464
NDUFS7	-0.017450
TAX1BP3	0.017446
SCHIP1	0.017427
ZWINT	0.017405
PGS1	-0.017394
ETFB	-0.017383
STRAP	0.017331
RHBDF1	-0.017275
TAGLN2	0.017225
CCNG1	0.017217
CYR61	0.017204
ZCRB1	-0.017103
ANAPC13	-0.017082
PICALM	0.017058
MAT2A	0.017037
NCOA5	0.017017
NR2E1	0.016997
PSKH1	-0.016922
ARL6IP1	0.016904
PSMB2	-0.016887
NTAN1	-0.016871
RAB2A	0.016863
NDUFV3	-0.016859
RAMP1	-0.016801
ZNF512B	-0.016781
TMEM106C	0.016683
SSU72	0.016620
RPS12	0.016480
MMADHC	-0.016452
CADM1	0.016440
RPS13	-0.016419
RPS10	0.016414
PARK7	0.016411
LAMTOR1	0.016373
TMEM43	-0.016333
UQCR10	-0.016301
TBK1	-0.016292
PSMC2	0.016278
AGTRAP	0.016226
NXT2	0.016214
ND1	-0.016213
TMEM176B	-0.016210
