!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Astrocytes
!perturbation	Dexamethasone
!disease	24 hr
!end_metadata
HSPH1	0.038300
CYTB	0.037998
MYL9	-0.037434
OSBPL9	0.037429
WDR6	-0.037298
RPS8	-0.037266
RPS19	-0.036641
PSMB4	-0.036620
PSMB6	-0.036607
MBNL2	0.036508
ATP6	0.035958
CSRP1	0.035953
CCT6A	-0.035926
FXYD6	-0.035700
SLC25A33	0.035644
PURB	-0.035564
SERINC1	0.035464
SLC39A12	0.035415
DAZAP2	0.035283
MCL1	0.034887
CTPS1	0.034755
TAGLN2	-0.034446
DDIT4L	-0.034417
COX2	0.034297
TCF4	0.033898
PLK1	-0.033072
ACSL3	0.033047
FEZ1	-0.033042
CYP1B1	-0.032879
ACADSB	0.032668
FKBP5	0.032227
MIF	-0.032144
ANXA3	0.032079
CCND1	0.031961
MFN1	0.031926
LPAR6	0.031861
MYL12A	0.031817
RPS14	0.031590
LSM4	-0.031578
TAX1BP3	0.031552
TSC22D3	0.031459
IFITM3	0.031338
RALBP1	0.031257
NDRG1	0.031214
GPX1	0.031091
HERC2	0.031069
AARD	-0.030850
ERP29	-0.030793
NCAN	-0.030741
PPIA	0.030708
MNS1	-0.030660
ACSS1	0.030538
SLC8B1	0.030116
MAGED1	-0.030025
TAPT1	0.029895
KLF6	0.029881
RAP1B	0.029780
NPM1	-0.029756
ASB8	0.029702
FAM129B	0.029503
BCL6	0.029471
CD9	-0.029230
RPS4Y1	0.029166
CYP4V2	0.029054
ZFYVE21	0.029023
SERPINA3	0.028998
DDAH1	-0.028973
TAX1BP1	0.028903
FBXO6	0.028897
KLF7	0.028806
VCL	0.028739
MAPRE1	-0.028628
PEA15	-0.028592
KIF1A	0.028491
HIST1H2BI	0.028305
GSTM1	0.028183
CEBPB	0.028138
PON2	0.028089
THYN1	-0.028063
SERPINF1	-0.028037
CCND2	-0.027968
CHCHD10	0.027567
GALNT16	-0.027500
NME1	-0.027432
ST6GALNAC2	0.027268
C4orf27	-0.027247
ALDH2	0.027098
DBP	-0.027090
TSPAN3	-0.027053
RAB31	0.026973
MMD2	-0.026929
CORO1C	0.026895
H2AFX	-0.026854
AQP4	-0.026712
MEST	-0.026573
SRSF1	-0.026558
KIDINS220	0.026435
MCM4	-0.026416
RPS9	-0.026410
HSD17B10	0.026362
PSD2	-0.026342
MSH6	-0.026325
MCM5	-0.026292
GALNT15	0.026135
PSAT1	-0.025930
TMEM50A	0.025823
ADAM9	0.025806
GLUL	0.025647
PDHA1	0.025451
SERTM1	-0.025395
FLOT1	0.025331
PSMB1	-0.025240
CETN3	-0.025043
RAB29	-0.024927
RHOU	0.024902
TPRG1L	0.024900
LOC728392	-0.024889
SPC25	-0.024835
PABPN1	-0.024766
RPS3	-0.024709
GINM1	0.024603
CDCA3	-0.024369
PDAP1	-0.024319
ACADM	0.024304
ISCU	0.024257
SLC38A2	0.024230
NUDT4	0.024172
ERRFI1	0.024149
LPL	-0.024136
VWA5A	0.024050
FAM134B	0.024045
ATPIF1	0.024019
SELK	0.023957
DCAKD	-0.023931
S100A13	0.023807
SPSB1	0.023807
RAB2A	0.023804
CCNB1	-0.023752
HSP90B1	-0.023739
KCTD10	0.023713
WSB1	0.023702
CDV3	-0.023526
NUDC	-0.023492
GLO1	-0.023400
PAIP2	0.023400
NDUFA7	0.023339
KIAA0101	-0.023323
C9orf40	-0.023165
SCARA3	-0.023112
POLR2L	0.022997
TSPAN7	-0.022973
SRSF2	-0.022929
LAPTM5	-0.022880
CH25H	-0.022715
ZCCHC24	0.022709
KIF22	-0.022669
WBP1L	0.022625
RABAC1	0.022559
WBP5	0.022503
ZFP36L1	-0.022404
PCBP1	-0.022391
SLC2A1	0.022117
HJURP	-0.022105
MAF1	0.022057
ACTA2	-0.022025
DUSP6	0.022019
CDO1	0.021995
OXCT1	-0.021894
INPP5K	0.021888
MAP1LC3B	0.021876
EFEMP2	-0.021788
CSTF3	0.021663
HIST1H2BL	0.021581
NUDT9	0.021560
GPC1	-0.021553
UHRF1	-0.021529
IDH3G	0.021527
OAT	-0.021521
SKP1	0.021514
PLEKHA2	0.021482
CAPRIN1	-0.021396
MYL6	-0.021365
TFCP2L1	0.021246
BNIP3L	0.021237
SERPING1	0.021226
PPTC7	0.021123
CDKN2B	0.021102
AKR1A1	-0.021049
PNPLA2	0.021040
CKAP2	-0.021030
ATP6AP1	0.021005
SCAMP1	0.020815
HSPB1	0.020806
RHOB	0.020733
TCTEX1D2	-0.020638
SF3B2	-0.020603
LMNB1	-0.020498
ATP5B	0.020478
NDUFA6	0.020407
HDC	0.020402
AHNAK	0.020380
NUAK2	0.020314
GNG10	-0.020051
PRDX1	0.019924
CKB	0.019899
CHI3L1	0.019878
RANGAP1	-0.019856
ARL8A	0.019808
C1orf198	0.019767
ORC6	-0.019745
RPS25	0.019745
RPS6	-0.019621
PDIA3	-0.019584
RPL3	0.019552
PSMA7	-0.019501
HSP90AB1	-0.019464
RSPH1	-0.019456
FEN1	-0.019456
RPLP2	-0.019344
SYAP1	-0.019344
PDLIM4	-0.019306
TBCA	-0.019268
HINT1	-0.019063
APPBP2	-0.019063
BRI3	0.019032
CLIC4	0.018991
PFN2	-0.018978
SEPT11	-0.018904
TCEAL5	0.018842
FKBP9	-0.018837
COL18A1	-0.018750
CDT1	-0.018721
DHX32	-0.018668
ACTB	-0.018643
PRDX2	-0.018614
SDC2	0.018607
GABARAPL1	0.018584
ODC1	-0.018568
PPP2CA	-0.018527
GPX4	0.018481
FAM120A	-0.018395
MAGED2	-0.018364
RSU1	0.018331
ADIPOR2	0.018267
ARHGEF4	0.018165
SSFA2	0.018126
RANBP1	-0.018113
ITGA3	0.018107
ALDH1A1	0.018055
ITPR1	0.018025
GAPDH	-0.018023
CDKN3	-0.018009
GNPTG	0.017964
KIF23	-0.017934
COX14	0.017919
PACRG	-0.017889
LAMP1	0.017873
CSRNP1	0.017862
ZFP36	0.017856
MCM6	-0.017854
ARPC2	0.017846
COX4I1	0.017812
RRAS	0.017763
LIMS2	0.017751
VDAC1	0.017729
ATP5C1	-0.017686
SAE1	-0.017621
SLC1A3	0.017585
CDK1	-0.017534
RNF44	0.017525
PPP1R3C	-0.017505
TJP1	0.017486
MAD2L1	-0.017483
SEPP1	0.017460
CST3	0.017457
RIT1	0.017449
ARMCX2	-0.017441
RPS26	0.017420
B2M	-0.017396
LPAR1	-0.017371
SERPINH1	-0.017354
CLDN2	0.017350
FNTB	-0.017325
WISP2	-0.017316
LIMCH1	0.017298
APLP2	0.017296
TSPAN6	-0.017288
NID2	-0.017243
SMIM19	0.017208
NUP205	-0.017141
SLC25A17	0.017140
DARS	-0.017131
VAPA	0.017126
SEC13	-0.017098
ECH1	0.017096
CDK6	-0.017034
SNRPD2	-0.017002
HADHB	0.016952
CLTB	0.016904
MRPL30	-0.016896
BHLHB9	-0.016869
LYPLA2	0.016831
MAT2A	0.016823
KIAA0247	0.016814
HDGF	-0.016792
ARHGEF18	0.016746
BIRC5	-0.016717
AGTRAP	0.016686
FIGNL1	-0.016616
LRRC8A	0.016577
CCT4	-0.016561
DTYMK	-0.016512
STARD8	-0.016504
SRSF7	-0.016503
CPE	-0.016487
WBP2	0.016485
GSTM5	0.016455
MAGEE1	-0.016447
C7orf55	0.016429
KCNK1	0.016398
ETFA	-0.016369
APPL2	0.016362
EIF4H	-0.016352
PTTG1IP	0.016330
CARHSP1	0.016287
PSMC3IP	-0.016286
FSCN1	-0.016211
HIBADH	0.016179
TIMP4	0.016157
PARVA	0.016150
DIRAS2	-0.016148
RLN1	-0.016144
DYNLL1	-0.016141
MLF1	-0.016124
NT5C	0.016056
UQCRC2	-0.016043
TRIM28	-0.016003
ESCO2	-0.015971
CSRP2	0.015952
RPA3	-0.015914
FAH	0.015877
PTP4A2	-0.015871
HIST1H2BG	0.015838
ITGB5	0.015805
RAB32	-0.015751
SRP14	0.015726
SUCNR1	0.015725
SSR2	-0.015707
NUAK1	0.015584
SERF2	-0.015583
CBFB	-0.015581
MSRB1	0.015547
CENPL	-0.015529
VIMP	0.015508
IL11RA	0.015494
HERPUD1	0.015491
HSPA9	-0.015461
FLVCR1	-0.015394
ARL6IP1	-0.015383
CTNNBIP1	0.015349
MCEE	0.015342
HIST1H2BF	0.015319
LOX	0.015315
CHCHD1	-0.015309
RIIAD1	-0.015302
MXRA8	0.015273
TMEM242	-0.015210
IRS2	-0.015210
POP4	-0.015199
SLC12A2	0.015198
SMDT1	-0.015171
EEF1G	-0.015135
FTH1	-0.015118
RASA3	0.015035
NDUFB8	-0.015019
RPL10A	-0.015013
DDIT4	0.015010
RNASEH2B	-0.014943
KIF1B	0.014942
RGS17	0.014869
C14orf2	0.014853
NPVF	0.014847
PXDC1	0.014811
PPP1R1A	0.014807
AURKA	-0.014793
ACOT11	0.014774
PPID	-0.014758
PAPSS2	0.014741
HNRNPL	-0.014701
GOT1L1	0.014657
UBL5	-0.014656
ALDOA	0.014646
SFRP1	-0.014566
PPP4C	-0.014561
