!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Astrocytes
!perturbation	Dexamethasone
!disease	2 hr
!end_metadata
ARL8A	-0.020003
RPS4Y1	0.019961
ABHD4	0.019865
MTHFD2	0.019822
CHCHD1	-0.019819
UQCC2	-0.019814
YWHAH	-0.019785
GAS6	0.019675
PPP1R3C	-0.019666
FSTL1	-0.019468
IER5L	-0.019418
KLF7	0.019405
STK40	-0.019375
THOC7	-0.019348
TMEM184B	-0.019176
YWHAB	0.019117
RASL11A	0.019051
WISP2	0.018987
DLG5	0.018917
IFITM2	0.018866
ZNF362	-0.018682
ID1	-0.018542
TUBA1A	-0.018424
VEGFA	-0.018345
MRPL30	-0.018329
ECH1	-0.018271
CTNNAL1	-0.018180
LUZP1	0.018098
HN1	-0.018075
TRIB2	-0.018047
PIK3CB	-0.017995
TPBG	-0.017991
TRAF3	-0.017943
EPHX1	-0.017844
TAPT1	0.017822
NUDT4	0.017807
PRDX5	-0.017709
FAM102A	-0.017660
RPL38	-0.017642
SCCPDH	0.017575
CABLES1	0.017564
SEPT2	-0.017550
CDC42SE1	0.017505
OSBPL9	0.017466
RPS9	0.017459
HIGD2A	0.017458
SSTR2	-0.017406
ADPRH	0.017397
IRS2	-0.017353
SKP1	-0.017334
DAZAP2	-0.017312
KCTD5	0.017253
KIAA1033	0.017138
B2M	-0.017105
SF3B2	-0.017083
EFEMP2	-0.017043
NOTCH1	0.016996
NME1	-0.016945
ND4L	0.016826
ATP5J2	-0.016723
HSPB1	0.016561
CCNG1	0.016486
CRYAB	0.016457
UBL5	0.016428
SPCS1	-0.016426
GLUL	0.016424
CXCR4	-0.016410
ADAMTS1	0.016364
PSMC4	0.016316
PPP2CB	-0.016243
WSB1	-0.016230
BTG1	-0.016227
TUBB	0.016145
NDUFA4	0.016129
GPT2	0.016100
RPS6	0.016087
ARHGEF26	0.016035
WBP5	-0.016017
CSTF3	0.015943
PSMB6	-0.015938
DMRTA2	-0.015904
RPS27L	0.015811
COL4A5	-0.015613
FXYD6	-0.015602
EIF4A1	-0.015561
LZTS2	0.015558
TBCEL	0.015516
RPL10A	-0.015493
SPOP	-0.015464
TOB2	0.015433
TCEAL8	-0.015404
BTBD1	-0.015319
RHOBTB3	-0.015284
LDB1	-0.015264
HMGN1	-0.015239
TMEM176B	0.015210
SOD2	0.015204
AKR1A1	0.015186
SEC13	-0.015184
TSC22D1	0.015125
ASS1	-0.015120
NACC2	-0.015120
MATR3	-0.015107
SOX21	-0.015085
RPS10	0.015047
PFDN5	0.015030
RPS24	-0.015026
ACSS1	0.015025
LITAF	-0.014923
KDM7A	0.014894
ADM	0.014886
IRF2	-0.014877
ND4	0.014872
CSF1	-0.014836
NACA	-0.014832
ADIPOR2	0.014793
FERMT2	-0.014773
ACSL3	0.014772
NUAK2	-0.014750
C11orf31	-0.014726
RPS3	-0.014721
BCAT1	0.014694
RPS16	0.014586
SLC39A12	0.014511
C19orf43	0.014448
UAP1	0.014431
PRKAR1A	-0.014428
FHL1	-0.014407
TIMM17A	0.014404
PDHA1	-0.014268
PRKAB1	-0.014248
PXDC1	0.014247
CSTB	-0.014221
HIST1H2AJ	-0.014217
EMC10	-0.014196
MRAS	-0.014108
CEMIP	-0.014084
GAPDH	0.014064
CYB561	0.014032
YWHAZ	-0.013972
PIK3R1	0.013910
GDE1	0.013895
NFKBIZ	0.013837
LMNA	-0.013792
HIST1H1C	-0.013789
CH25H	-0.013775
BRD2	-0.013732
B3GNT1	-0.013728
HSPG2	-0.013653
ANAPC16	0.013643
RPL28	-0.013638
MDM2	0.013633
RGS17	0.013617
OAT	-0.013571
RPL27	-0.013548
IL11RA	0.013522
M6PR	-0.013512
ZC2HC1A	-0.013483
DEGS1	-0.013481
SYTL2	-0.013449
PIAS1	0.013426
SIRPA	0.013413
SLC45A3	0.013352
DYNLRB1	0.013294
MICALL1	0.013294
NREP	-0.013255
TNC	-0.013218
HSD17B7	0.013211
TCF4	0.013187
LAMA5	-0.013174
HSPD1	0.013145
FTL	-0.013144
NDUFV1	0.013136
PPP1CA	-0.013133
PDIA3	0.013083
TULP4	-0.013066
TMEM242	0.013064
C21orf91	-0.013062
ACTN1	-0.013051
RPS8	0.013000
PELO	-0.012985
RNF19A	0.012975
PTK2	-0.012952
OGN	0.012950
TBCA	0.012932
UFC1	0.012922
NDUFA13	-0.012922
NXN	0.012814
REEP5	0.012761
SLC2A3	-0.012756
ZDHHC4	0.012755
FOS	-0.012732
FEZ1	-0.012730
SORL1	-0.012727
AURKAIP1	0.012663
RAB32	-0.012653
HDGFRP2	0.012637
CARHSP1	0.012600
COPB2	-0.012596
PLIN4	0.012591
ERH	0.012548
EIF3F	-0.012548
ARHGEF18	-0.012476
COL5A1	-0.012476
RTCB	0.012465
RPL36AL	-0.012421
ZCCHC18	-0.012404
FZD1	0.012314
NSMCE1	0.012313
PUF60	0.012313
NCAN	-0.012281
HDC	0.012280
SAV1	0.012256
RPS14	0.012244
SUDS3	-0.012216
RPL18A	-0.012202
PARK7	0.012150
UBE2L3	0.012147
LMO4	-0.012114
EVA1A	0.012112
SRSF2	-0.012112
DBNDD2	-0.012106
BAG1	-0.012090
NUDT9	0.012090
YPEL3	0.012071
WBP1L	0.012037
TALDO1	-0.012023
HSPA8	0.012018
RPLP2	0.012005
SFXN1	0.012003
STRAP	0.011996
NRN1	-0.011949
MLF2	0.011947
FZD5	-0.011883
GLRX5	0.011870
ST6GALNAC2	0.011861
RABAC1	0.011828
GM2A	-0.011791
PRPS1	0.011785
XBP1	-0.011782
NXT2	-0.011776
TMBIM4	0.011758
FAM213A	0.011729
PFDN4	-0.011723
PGP	0.011694
VIMP	0.011682
POLR2F	0.011677
SEC11A	0.011645
TMEM55A	-0.011641
GPSM1	-0.011618
SCD	-0.011617
DENND2A	0.011581
ANKH	-0.011565
MRPL12	-0.011534
KCNE1L	0.011510
DYRK3	0.011489
PRKCSH	-0.011486
KIAA0247	0.011484
RHBDF1	0.011454
GADD45A	-0.011437
ISCU	0.011434
ARPC5	0.011425
GKAP1	0.011390
RPL7A	-0.011379
BTAF1	-0.011353
FAM131A	-0.011341
HYAL2	-0.011330
ATP5C1	0.011317
EIF3G	-0.011298
PYGO2	-0.011273
SLC12A2	0.011268
MCEE	0.011234
ABHD17A	-0.011201
RFX2	-0.011166
ZNF639	0.011144
RIN2	0.011107
EIF4A2	0.011103
RASA1	-0.011103
HYPK	-0.011102
RAB29	-0.011094
USP2	0.011051
ISCA1	0.011048
DUSP1	-0.011032
UROD	0.011012
THY1	-0.010968
DYNLT3	0.010958
NDUFC2	0.010943
STARD8	-0.010928
DDX39B	-0.010880
MRPL28	-0.010876
