!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Astrocytes
!perturbation	Dexamethasone
!disease	6 hr
!end_metadata
SERINC1	0.022881
PPP2CA	-0.022805
SLC12A2	0.022742
CHST1	0.022587
CDO1	0.022521
C4orf27	-0.022498
FCHSD2	-0.022402
NUPR1	-0.022380
PPP1CA	-0.022262
PLEKHG2	-0.022259
GOT1L1	0.022241
NUDT4	0.022204
MIDN	-0.022145
RPL9	-0.021913
DEGS1	-0.021875
TUBB6	-0.021847
GPT2	0.021778
ODC1	-0.021778
C1orf198	-0.021774
PSMD4	0.021687
MRPL30	-0.021555
OSBPL3	-0.021524
NXN	0.021477
MAP3K6	0.021456
ATXN2	-0.021436
PHLDA1	-0.021422
NDRG2	0.021410
RPS11	-0.021391
IL11RA	0.021369
STK40	-0.021357
LUZP1	0.021323
ACSL3	0.021312
LMNA	-0.021267
KCTD5	0.021261
RAB32	-0.021229
STAU1	0.021209
TMBIM6	0.021198
TRAPPC4	-0.021176
EML1	-0.021172
SYDE1	-0.021158
GM2A	0.021122
ERGIC1	-0.021110
TP53INP1	0.021070
HTRA1	0.021024
GLDC	0.021003
THOC7	-0.020891
ND1	-0.020794
NDRG1	0.020788
SLC45A3	0.020455
MRPL12	-0.020270
LAMB2	0.020225
MSH6	-0.020209
EXT1	-0.020182
ZCCHC24	-0.020119
ADNP	-0.020057
INPP5K	0.020052
TPBG	-0.020025
CENPB	0.019978
SMOX	0.019934
FGFRL1	-0.019900
ITGB5	0.019867
NUDT9	0.019845
PYGB	-0.019824
CSTB	-0.019616
TM2D2	0.019591
OSTC	-0.019540
RGCC	0.019478
MORF4L2	0.019467
LMO4	-0.019456
ATP1B1	0.019381
TPI1	-0.019364
ATP5C1	-0.019336
C2orf40	-0.019285
COL16A1	-0.019274
RPS10	0.019240
PAPSS2	0.019237
EFNA5	-0.019225
SCARA3	-0.019176
ACBD3	-0.019168
OTX1	-0.019158
FEZ1	-0.019149
CCDC23	-0.019113
LGALS1	-0.019094
PDGFB	-0.019036
BLCAP	-0.019031
RGS16	-0.019017
MCL1	0.018983
CCT4	-0.018955
SMC5	0.018943
PKIA	-0.018940
RPL27	-0.018898
DHRS1	0.018873
IRF2BPL	-0.018836
SOCS3	-0.018805
C14orf166	-0.018794
MAGED2	-0.018757
ZFP36	0.018632
EEF1A1	0.018631
DENND2A	0.018550
DDR1	-0.018520
UGCG	-0.018485
CEMIP	-0.018480
PIK3CB	-0.018477
FNBP1	-0.018466
PDE1B	-0.018464
HNRNPAB	-0.018451
RANBP9	0.018403
JMJD6	-0.018398
C14orf2	0.018349
HINT2	0.018335
ACADSB	0.018318
NFKBIA	0.018257
NPC2	0.018208
SYTL2	-0.018203
TRIM28	-0.018183
ASB8	0.018178
WDR6	-0.018174
EIF1B	0.018173
TRMT61A	-0.018162
LRPAP1	0.018146
RGS17	0.018112
MYADM	-0.018086
GABARAPL1	0.018016
RPL36AL	-0.018008
LAPTM4A	-0.017982
SLC25A17	0.017916
RAMP2	0.017870
RPL37	-0.017838
PIGX	-0.017837
RAB8B	-0.017827
SURF4	0.017803
LZTS2	0.017761
PDLIM7	-0.017751
RELA	-0.017607
TMEM185B	-0.017578
RPL39	0.017486
ZNF362	-0.017434
CCT6A	-0.017403
ENPP5	0.017348
SLC1A4	-0.017323
FKBP4	-0.017323
RAB2A	-0.017296
TIMP2	-0.017268
ACOT11	0.017249
ZCCHC18	-0.017238
DCAKD	-0.017230
ANLN	0.017219
CYR61	-0.017116
SIPA1L2	-0.017073
C9orf40	-0.017041
GNAZ	-0.017009
EMP3	-0.016945
MYL6	0.016873
VPS53	0.016860
ID3	0.016843
VPS26A	0.016823
MBOAT1	-0.016802
PRPS1	0.016768
SRR	0.016723
RAB5C	0.016717
CYP51A1	-0.016661
MAT2A	0.016640
PLXNB2	0.016613
CDCA7	-0.016588
PSMA4	-0.016577
WISP2	0.016515
TANGO2	0.016499
PIP4K2A	-0.016471
TBCB	-0.016396
TUBB2B	-0.016337
TRIM8	-0.016326
RANBP1	-0.016194
XBP1	-0.016104
ARL8A	0.016048
SH3BGRL3	-0.016042
RPS2	-0.015988
PRUNE2	0.015986
PHF5A	-0.015983
HIST1H2BI	0.015983
MNAT1	0.015969
ADIPOR2	0.015880
C6orf203	-0.015823
TBCEL	0.015813
GPR125	-0.015782
NDUFA3	0.015619
FAM127C	0.015613
CYP4V2	0.015535
RPL38	0.015479
IDH3G	0.015456
PTK2	-0.015442
PAWR	0.015394
ATP6	0.015381
TULP4	-0.015373
ADAMTS9	0.015371
RAB28	-0.015358
TIMP1	-0.015334
NUAK2	0.015329
TMEM55A	-0.015311
NDUFA1	0.015300
PUF60	0.015275
PTER	-0.015226
ERP29	-0.015160
SNRPD1	-0.015149
MAP2K3	-0.015118
GABRB1	0.015102
SEC13	-0.015078
COX10	-0.015075
KIAA0247	0.015050
ATP1A1	-0.015022
SNX1	0.015020
SOD2	0.014941
CST3	0.014937
MCM5	-0.014895
CD109	0.014878
LRRN3	-0.014875
CABLES1	0.014764
MATR3	-0.014756
UHRF1	-0.014713
CTNNAL1	-0.014703
EGR1	-0.014684
SLC8B1	0.014666
TUBB4B	-0.014641
