!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Astrocytes
!perturbation	Dexamethasone
!disease	18 hr
!end_metadata
CSRP2	0.017722
SEPT2	-0.017688
MLF1	-0.017667
ODC1	-0.017645
GLUL	0.017587
RPA3	-0.017533
WWC1	0.017507
SDC2	0.017445
SAE1	-0.017434
POP4	-0.017432
HYAL2	-0.017409
INPP5K	0.017387
PSMC4	-0.017381
NDN	-0.017351
FAM173A	-0.017340
ANKH	-0.017281
DTYMK	-0.017267
SDC4	0.017256
GPC1	-0.017252
PAPSS2	0.017229
POLR2L	-0.017224
RGS17	0.017184
GSTM1	0.017174
NUDC	-0.017133
KIF22	-0.017090
FCHO2	0.017081
PSD2	-0.017072
MXRA8	0.017071
CDK6	-0.017037
LPAR6	0.016984
HIST2H4B	0.016979
EFEMP2	-0.016958
PFN2	-0.016945
ITGB5	0.016876
TANGO2	0.016875
PHF5A	-0.016863
H2AFX	-0.016822
UHRF1	-0.016813
COL4A1	0.016804
LGMN	0.016712
HADHB	0.016574
SCG5	0.016505
UACA	-0.016488
LIMCH1	0.016469
PIK3CB	-0.016455
PPAP2B	0.016439
VIMP	0.016420
BNIP3L	0.016415
ACOT11	0.016415
TIMM8A	-0.016412
ND4L	0.016400
SORBS1	0.016394
MSMO1	0.016391
MRPL30	-0.016375
ANAPC16	0.016325
NEDD8	-0.016311
SRSF7	-0.016301
DNAJB1	-0.016267
APPL2	0.016210
LPAR4	-0.016135
NOP58	-0.016129
TPRG1L	0.016080
PARK7	-0.016071
PRMT2	-0.016004
LRRC8A	0.015992
ZFAND3	0.015954
MCM6	-0.015948
KLF13	0.015919
SLC25A5	0.015909
PSMD4	-0.015896
RPS19	-0.015795
ORC6	-0.015793
FLOT1	0.015780
YBX1	-0.015764
SH3BGRL	0.015755
FAM129B	0.015744
LIMS2	0.015740
ADIPOR2	0.015672
CHCHD10	0.015668
TSEN15	-0.015667
HSP90B1	0.015651
IL11RA	0.015640
HTRA1	0.015603
BHLHE40	-0.015584
HNRNPC	-0.015540
NGFRAP1	-0.015539
FIGNL1	-0.015523
TUBB2B	-0.015506
NCAN	-0.015499
ATP1A1	-0.015439
WWC2	0.015428
ABAT	0.015379
PDLIM4	-0.015376
TOMM7	-0.015376
GABARAP	0.015329
ZCCHC24	0.015262
ZCCHC18	-0.015235
SERPING1	0.015154
NDUFA13	-0.015146
PSMC3IP	-0.015134
WWTR1	0.015108
FKBP9	-0.015040
SUCNR1	0.015034
RNASEH2B	-0.014972
FLVCR1	-0.014847
ALDH1A1	0.014839
WDR78	-0.014833
PGM1	-0.014829
HP1BP3	-0.014794
RPL18A	0.014753
OXCT1	-0.014705
VCAM1	-0.014699
PRDX2	-0.014585
SHFM1	0.014558
FSCN1	-0.014522
GJB6	0.014515
CDCA3	-0.014488
ZFP36	0.014468
DPAGT1	-0.014468
MAP1LC3B	0.014459
BAG3	0.014448
ERH	-0.014387
HSPA9	-0.014329
MRPS33	-0.014309
KIF1B	0.014268
C20orf27	-0.014188
TSPAN6	-0.014099
CDKN2B	0.014027
TRAF3	-0.014000
METRN	-0.013907
DPY30	-0.013900
TTC13	-0.013845
PABPN1	-0.013803
TRA2A	-0.013791
PSMA7	-0.013757
FHDC1	-0.013715
EXOSC8	-0.013686
UQCR10	-0.013662
GLUD1	0.013652
CDCA7	-0.013626
HIST1H2BN	0.013623
RPS12	-0.013585
UQCC2	-0.013581
RNF44	0.013543
GPT2	0.013533
ALDH2	0.013523
SMC5	0.013516
RSPH4A	-0.013502
AHCYL1	0.013466
TTR	0.013442
PTP4A2	-0.013426
CITED2	0.013419
KCTD10	0.013415
STAT3	0.013389
DUSP6	0.013383
EDF1	-0.013368
PIGX	-0.013319
GSTO1	0.013302
