!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Astrocytes
!perturbation	Dexamethasone
!disease	1 hr
!end_metadata
NFIX	-0.019641
KLF7	-0.019632
SPRED1	-0.019582
TECR	-0.019540
FAM178A	0.019487
DYNLRB2	0.019449
MSANTD4	0.019444
BHLHE40	-0.019200
PDGFB	-0.019136
TCF4	-0.019043
FAT1	-0.019010
AMOTL1	-0.019006
ARMCX2	-0.018990
TAGLN	-0.018927
PCYOX1	-0.018880
RHOU	0.018868
GAB1	0.018855
NGFRAP1	-0.018768
UBA5	-0.018762
PRKACA	-0.018642
NDFIP1	0.018595
SCD	0.018534
SCHIP1	-0.018522
PDHA1	-0.018461
WBP2	-0.018426
TNFAIP1	-0.018360
PLRG1	-0.018354
PTTG1IP	0.018350
MAT2A	0.018314
BAG3	-0.018217
HSPA2	0.018195
ASNA1	-0.018179
USE1	0.018142
PTPN11	-0.018034
SLC6A8	-0.018021
SNX18	0.017988
SEPT2	-0.017983
SDF2	0.017903
ATF4	-0.017902
PGS1	-0.017808
CYP1B1	-0.017801
CEBPB	0.017791
BRD3	-0.017753
RGS16	0.017684
TIMM8A	-0.017651
ZFP36L1	-0.017616
RPL38	-0.017480
ID2	-0.017435
DPYSL3	-0.017433
EIF3F	0.017406
ARGLU1	0.017330
KCNK1	0.017318
C11orf31	-0.017302
DDAH1	0.017275
HAT1	-0.017262
MAGED1	-0.017257
HBEGF	-0.017253
IDH3G	0.017231
RPL18	0.017209
TMED9	-0.017196
B3GNT1	0.017130
PBK	-0.017126
OLIG1	0.017081
BSCL2	-0.017047
UQCC2	0.017040
KRTCAP2	-0.016964
NDUFV1	0.016947
MRPS33	0.016935
B2M	0.016913
PSMD13	-0.016865
CDC42EP3	-0.016843
MRPL54	-0.016823
KLF2	-0.016797
SLC2A1	0.016705
ARL3	-0.016695
CSTB	0.016648
ND1	0.016614
MRPL27	0.016608
VEZF1	-0.016603
POLR2L	-0.016530
HIST1H2BF	0.016521
TMEM261	0.016417
ZBTB20	-0.016310
HP1BP3	0.016194
PSMB2	0.016134
NME2	-0.016032
COLGALT1	-0.016024
TMEM242	0.015996
SUMO2	0.015971
VCL	-0.015964
GINS4	-0.015937
EIF3L	-0.015931
COX7A2L	0.015913
TPBG	-0.015797
PPID	-0.015765
STIP1	-0.015746
EIF4A1	-0.015734
WBP11	-0.015731
ACOT13	-0.015716
YWHAQ	0.015712
ATP5L	0.015687
SYAP1	0.015677
PRELP	-0.015672
C9orf40	-0.015624
FLVCR1	-0.015616
LAMTOR4	-0.015612
UBL3	0.015574
HNRNPAB	-0.015419
PPP4C	0.015365
OSTC	0.015353
APMAP	0.015311
COPS6	0.015286
TRIM28	-0.015250
RND3	-0.015248
WSB1	-0.015244
LRPAP1	-0.015228
BRD2	-0.015206
PHACTR4	-0.015199
JUNB	-0.015192
ANXA11	-0.015163
THOC7	0.015153
AIP	-0.015140
RPA3	0.015137
COX14	0.015065
ZEB1	-0.015002
JUN	0.015002
NDUFA3	0.014990
ADM	0.014974
BCL6	0.014903
HIST1H2AG	-0.014879
NDUFA12	0.014860
PIGX	-0.014851
TPRG1L	-0.014851
SOD1	0.014819
PLEKHB1	0.014782
RPL22	0.014692
ACSBG1	0.014690
TOB2	0.014674
TAB2	0.014656
IGFBP5	-0.014643
C22orf23	0.014608
UQCR10	0.014597
SPCS1	-0.014566
CSRP2	0.014495
ZNF219	-0.014489
RPL24	0.014469
IRF2	0.014444
SRSF1	-0.014432
LIPA	-0.014418
ATP6V1B2	-0.014403
ITPR1	0.014394
RYK	-0.014391
CNIH4	-0.014384
TRIM8	-0.014349
TMEM109	0.014327
FEZ1	-0.014314
SEC13	-0.014266
RTN1	-0.014254
SRP14	0.014227
NPVF	0.014221
PSMC3	-0.014217
SERPINH1	-0.014204
MBNL2	-0.014119
STAT3	-0.014111
MGST1	0.014110
HIST2H4B	0.014091
C21orf91	-0.014082
NDUFA9	0.014079
PALLD	-0.014073
PTN	0.014056
UQCR11	0.014041
ST8SIA2	-0.014030
LOXL1	-0.014018
GDF15	-0.014004
SLC39A6	-0.013976
PSENEN	-0.013928
ATG12	0.013904
DDX1	-0.013902
DEGS1	-0.013848
VEGFB	-0.013839
SSR3	-0.013815
C2orf40	-0.013797
B9D1	0.013785
DHX32	0.013779
SCAMP1	-0.013772
NRAS	-0.013766
EDF1	0.013740
EIF3I	0.013733
SCCPDH	-0.013673
COL8A1	-0.013662
SCAMP4	-0.013657
DUSP6	0.013656
SYDE1	-0.013656
PRC1	-0.013639
ENPP5	-0.013623
