!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Murine 3T3L1 adipocytes
!perturbation	Dexamethasone
!disease	20nM - 2 hr
!end_metadata
TRAF4	-0.026198
CIART	0.026085
MAFK	0.026042
PRDX6	0.025748
S100A8	0.025736
BAHCC1	-0.025723
MYO1B	0.025721
ISG20	0.025720
LIMK2	0.025711
UBXN7	0.025596
NRIP1	-0.025564
LARP4	0.025471
RYBP	0.025398
RGMA	0.025373
KLF11	-0.025247
IRX2	0.025212
PPARGC1B	-0.025174
PPRC1	0.025118
GLIS3	-0.024926
IFIT3	-0.024850
PELI1	0.024847
FAM210B	0.024838
DDI2	0.024750
DNAJB9	-0.024740
PLD1	0.024737
ID2	0.024720
CYLD	0.024617
STK17B	0.024563
SIX1	-0.024522
H6PD	0.024518
PTX3	0.024479
RHOJ	0.024437
TRIT1	0.024418
PTPN2	0.024395
AMER1	-0.024365
SUCNR1	-0.024317
ADAMTSL2	0.024317
PCDHGC4	-0.024241
DNAJC25	0.024225
DUSP6	-0.024052
JARID2	-0.024032
SLC25A29	0.023987
SH2D3C	-0.023932
KLF3	-0.023846
NR3C1	-0.023675
DEPDC7	0.023606
PLA2G15	-0.023600
MAP3K8	-0.023584
PPP1R2	0.023532
ANKRD35	-0.023494
VDR	0.023284
OSBPL11	0.023280
C10orf54	-0.023223
CCRN4L	-0.023124
STK38L	-0.023117
DGAT1	-0.023079
CHKA	0.023064
HIST2H2BF	-0.023012
ABHD17B	0.023005
AGPAT9	-0.022995
CARD10	-0.022994
TCP11L2	0.022990
CYB561	0.022958
PLEKHF2	0.022957
LPIN1	0.022940
WHAMM	0.022919
PRKAB2	0.022904
NXF3	0.022867
CEP170	-0.022820
ARHGAP29	-0.022720
PUS3	0.022702
AMOTL2	-0.022666
ZNF148	0.022508
ARL4A	-0.022434
FGF7	-0.022409
RGS3	0.022401
ZNF592	0.022367
FAM220A	0.022363
HOXD4	0.022216
CDKN2B	-0.022209
IRX3	-0.022195
FAM107B	-0.022193
STARD5	0.022139
GDPD1	0.022131
SNTA1	0.022096
SESN1	0.021871
PLA2G12A	0.021841
MFHAS1	0.021840
PPA1	0.021803
MUM1	-0.021784
APPBP2	0.021782
METTL20	0.021768
LPAR6	-0.021625
PPAPDC2	0.021607
HERPUD1	0.021597
TNK2	-0.021535
IL1R1	0.021455
GPSM1	0.021394
FFAR4	-0.021374
AP5S1	-0.021331
RND3	0.021223
LEF1	0.021198
FRAT2	-0.021170
ATL2	0.021161
FAM217B	-0.021144
MBD4	-0.021143
SLC38A2	0.021088
RIN3	0.021086
NR2F2	-0.021067
PDGFRB	-0.021029
SERTAD3	-0.021024
ZFAND5	0.020996
CAPS2	-0.020978
EBAG9	0.020969
CTTNBP2NL	0.020932
KLF15	0.020833
IFI35	0.020810
NUAK1	-0.020780
WEE1	0.020761
IGFALS	-0.020754
RHOBTB1	0.020743
CCNE2	0.020728
EGR2	0.020716
RRAD	-0.020710
DHX8	0.020643
PIK3R3	-0.020643
TRIM2	0.020639
C3orf58	-0.020553
TOR4A	-0.020521
CDC37L1	0.020421
SPRY1	-0.020381
EPPK1	-0.020368
ARMC2	0.020268
ACBD4	-0.020255
JADE1	-0.020232
MKL1	0.020197
AGT	0.020196
CHST1	-0.020192
TNFRSF1A	0.020186
GORAB	-0.020185
RCOR2	-0.020126
SMC4	0.020125
SOWAHC	0.020062
CCL13	-0.020059
TRPC1	0.020024
SNRK	0.019997
ATP11B	0.019912
EFNA1	-0.019907
TBC1D14	0.019827
PHF20	0.019790
TNFAIP2	-0.019709
PLIN2	-0.019633
GPR146	-0.019625
HIPK1	0.019536
ENTPD6	-0.019527
APOBEC1	-0.019507
TGM2	0.019506
ZNF449	0.019490
NPC1	0.019477
VEGFC	0.019442
SDPR	-0.019439
SERTAD1	-0.019434
MKNK2	-0.019433
DAB2IP	-0.019420
SLC25A32	0.019361
SH3BP5	0.019337
SH3BP4	-0.019230
SOX9	-0.019205
FAM211A	-0.019202
MSRB1	0.019176
WASF2	0.019145
LRP6	0.019124
BAG3	0.019096
CRADD	0.019091
MUM1L1	0.019045
POLE4	0.018953
GIN1	0.018943
MPG	0.018936
YPEL2	-0.018930
ADAM19	-0.018904
RNF122	-0.018783
GABARAPL1	0.018779
HIC1	-0.018737
DACT1	0.018726
TP53INP1	0.018697
KIAA0020	0.018673
TFAP4	-0.018661
POLR1C	0.018599
AGPAT4	0.018595
FOXO1	0.018522
ADCY9	0.018471
RGR	0.018469
HTRA2	0.018445
ZBTB5	-0.018434
EHD3	0.018417
KIAA1462	0.018411
FLRT2	0.018360
TNKS1BP1	-0.018355
ADCY6	-0.018294
RXRG	-0.018278
RNF103	0.018262
SGOL2	-0.018206
PTEN	0.018193
SIX5	-0.018178
CEBPB	0.018163
DUSP16	0.018115
NAMPT	0.018106
MTMR14	0.018083
TSC22D2	-0.018078
IL6	-0.018029
NOTCH1	-0.017992
TBL1XR1	0.017985
DNAJA1	0.017853
OAF	-0.017849
FMO3	0.017830
SPRY4	-0.017762
TIFA	-0.017757
TBC1D2B	0.017743
ANGPTL3	0.017735
NOP58	0.017731
FSD2	0.017726
EPOR	-0.017723
PPTC7	0.017718
TGIF1	-0.017698
TRPS1	-0.017621
DHRS3	0.017598
SLC5A6	-0.017564
VGLL3	-0.017521
DPY19L4	0.017465
ARHGAP20	-0.017456
MYL6	-0.017446
CAMSAP3	-0.017423
PELI2	0.017374
SLC7A5	0.017365
BACH1	0.017348
ADCYAP1R1	0.017344
RFX7	-0.017336
LIPT2	0.017332
SORBS1	-0.017327
SEMA4B	-0.017317
IRAK1BP1	0.017303
ANGPTL4	-0.017251
USP1	0.017230
GRASP	0.017174
S1PR1	-0.017162
TACC1	0.017149
IFI16	0.017115
DENND2D	-0.017115
MXD4	0.017095
SLC9A3R1	-0.017083
FAM110A	-0.017074
PTPLB	0.017062
CNOT6	0.017061
FLRT3	-0.017051
TPGS2	0.017049
SFT2D3	0.017038
ZC3H12C	0.017010
ILK	0.016994
HDHD3	-0.016867
RABGEF1	0.016860
ADAMTS4	-0.016835
CLCF1	-0.016835
ST3GAL1	0.016832
INSIG2	0.016812
ZFP1	0.016807
