!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Murine 3T3L1 adipocytes
!perturbation	Dexamethasone
!disease	20nM - 24 hr
!end_metadata
TEAD2	-0.034307
MYO1B	0.034122
SMIM3	0.034121
SNCG	-0.034098
SLC35E4	0.034094
PLA2G12A	0.033500
GABRR2	0.033458
SDC4	0.033265
P4HA1	-0.033213
CXorf56	0.033173
SYCP2	-0.033160
PCDHB16	-0.033156
TIMP3	-0.033109
LTC4S	-0.033043
TOB2	0.032902
SYT12	0.032900
MFAP4	-0.032762
ANGPT4	-0.032758
PLAC8	-0.032666
CNNM2	0.032520
COL6A2	-0.032513
PTGFR	-0.032333
KCNC2	-0.032101
LHFPL2	-0.031945
C16orf70	0.031905
CYB561	0.031590
GABARAPL1	0.031558
NOS3	-0.031557
SYDE2	0.031494
RANBP9	0.031455
DUSP18	0.031444
IGFALS	-0.031359
KCTD14	0.031352
SLC2A1	-0.031237
MC5R	0.031148
MYOM1	-0.031094
PDK4	0.031084
CDK5RAP1	0.031049
KCNJ14	-0.030799
CYP2F1	0.030730
FGF7	-0.030661
BHLHE40	-0.030645
SBSN	-0.030398
IL6	-0.030384
FBXO31	0.030375
LAMB3	-0.030320
CYP39A1	0.030302
GBP4	-0.030179
GADD45G	0.030065
SLC36A2	-0.030056
SEMA3A	-0.029937
LRG1	-0.029903
CP	0.029869
CNKSR3	0.029863
NFKBIA	0.029862
CD1D	-0.029841
C3	0.029715
GUCD1	0.029704
TUBA1A	-0.029661
PLOD2	-0.029549
MMD	-0.029489
IL6R	0.029387
LPIN1	0.029115
RNF144B	0.029100
PLD1	0.028938
TSPAN6	-0.028924
AIFM2	0.028902
TMEM176A	0.028897
LBP	0.028784
NEGR1	-0.028756
MFNG	-0.028736
DCUN1D3	0.028726
CRLF1	-0.028618
PCOLCE2	-0.028542
PEMT	-0.028503
TRPC1	0.028406
PCDHB8	-0.028361
HSD17B10	0.028331
LRRN4	-0.028331
PTPLB	0.028252
BCAT2	0.028242
CDH11	-0.028220
MPZL2	0.028194
SUCNR1	-0.028121
NAMPT	0.028014
GBP2	-0.028004
PYGL	0.027984
EMP1	-0.027939
ADM	0.027803
RAB40B	0.027796
MICALL1	0.027770
KDELR3	-0.027738
COL1A1	-0.027704
PDZK1	0.027612
PNPLA2	0.027599
TFRC	-0.027578
FAM162A	-0.027543
RASD1	-0.027517
BCMO1	0.027436
NRN1	0.027401
PTN	-0.027367
CDK18	0.027272
TNS1	0.027085
BIRC2	0.027058
C3orf58	-0.027047
CRY1	-0.026995
GLUD1	0.026985
CXCL2	-0.026960
KLF10	-0.026869
SLCO3A1	0.026747
COL6A1	-0.026727
AARSD1	0.026705
SERPINB9	-0.026667
PIPOX	-0.026587
TMEM132A	-0.026583
POLE4	0.026574
MFSD1	0.026494
GBP7	-0.026354
MYL1	-0.026339
PLA2G4A	-0.026331
PRKG2	-0.026291
SESN3	-0.026260
FAM20C	-0.026197
CES1	-0.026160
OLFML3	-0.026148
CSRP2	-0.026119
TM7SF2	-0.026111
P2RX3	-0.026095
PFKL	-0.026052
APBB3	0.025864
COL5A2	-0.025781
STRIP2	0.025754
ZBP1	-0.025702
TGFB2	-0.025694
THUMPD1	0.025625
PLCXD2	0.025602
PLTP	-0.025587
SULF2	-0.025551
HVCN1	-0.025525
NNMT	-0.025462
CYR61	0.025423
MB	-0.025300
ADAMTSL4	0.025285
GPR153	-0.025273
OLFML2B	-0.025245
FAP	-0.025116
HGF	-0.025075
WASF1	-0.025070
TMEM120A	-0.025065
MGLL	-0.025035
GPC1	-0.024996
ERMP1	0.024990
LEF1	0.024988
STIM1	0.024960
RNASE4	0.024922
KLF6	0.024838
AHCY	0.024809
CPA2	-0.024796
PPP1R3B	-0.024709
ALCAM	-0.024687
CHST15	0.024657
DRAP1	0.024644
ZFYVE26	0.024598
ARMCX2	-0.024572
VASN	0.024559
DDI2	0.024556
FLRT3	-0.024452
PDP1	0.024401
LPIN3	0.024370
UTP14C	-0.024360
HES1	-0.024316
S100B	-0.024261
SERPINF1	-0.024243
RNPEP	0.024238
RPRML	0.024236
FNTB	0.024217
ELOVL6	-0.024108
PXMP2	0.024097
MTHFD1L	-0.024068
KLF9	0.023997
ANKRD9	0.023993
SQLE	-0.023989
EIF1AX	0.023975
SEMA3C	-0.023956
SPON2	-0.023950
DUSP1	0.023914
TLR2	-0.023899
ARL4A	-0.023810
TRIM47	0.023772
STEAP2	0.023769
SNTA1	0.023641
BCL2L10	-0.023554
OSBPL1A	0.023525
IRS1	-0.023411
LIMK2	0.023362
DLC1	0.023336
PPP1R3D	-0.023307
CDK14	-0.023224
CITED2	0.023181
LGALS3BP	-0.023151
LRRC17	-0.023082
KLF13	0.023071
KRT79	-0.023046
VAV3	-0.023045
SLC12A2	0.022978
EEF2K	0.022974
HPCA	-0.022934
RNF112	0.022931
WHAMM	0.022895
RGR	0.022795
VEGFC	0.022773
COL3A1	-0.022751
MAGED2	-0.022732
KIAA0355	0.022686
FAM43A	-0.022646
PPTC7	0.022641
AMPD3	0.022532
PTGER4	-0.022523
SERPINH1	-0.022520
PHYHD1	0.022516
LPXN	0.022501
FAM217B	-0.022492
CDC6	-0.022459
MAFF	0.022444
SOD3	-0.022423
HOXA2	-0.022401
TLE2	-0.022394
CLEC14A	-0.022376
TLE1	0.022350
DISP2	-0.022322
MCL1	0.022279
AFAP1L2	-0.022193
HMBS	0.022155
DOCK11	-0.022124
EPOR	-0.022115
CARD10	-0.022103
RDH5	-0.022095
CHST1	0.022070
JAG1	-0.021986
FOXC2	0.021965
HSD17B7	-0.021964
MYC	0.021955
PNP	0.021955
IER3	-0.021936
INTS3	0.021899
PPP5C	0.021890
IGFBP3	0.021888
PRICKLE2	-0.021887
KATNAL2	0.021887
MRC2	-0.021875
OTUD7B	0.021872
SCARA5	0.021862
PRPS1	-0.021857
DDAH2	-0.021852
STARD4	-0.021848
TMEM45A	-0.021833
DMKN	-0.021767
H6PD	0.021757
LACC1	-0.021693
HK2	0.021580
SLC39A14	0.021579
C9orf152	0.021551
HSPB1	0.021531
MYLIP	-0.021490
ERLIN1	0.021483
CCL13	-0.021424
FADS2	-0.021400
FBN1	-0.021382
TBC1D16	0.021365
PPP1R15A	0.021358
ITGBL1	0.021353
ACSL3	-0.021317
GRAMD1B	0.021317
DHCR7	-0.021263
FAM110C	0.021254
PIK3R1	0.021227
HIST1H3G	-0.021177
MATN4	-0.021155
FAM69A	-0.021134
PVRL2	0.021078
C2orf40	-0.021077
EVA1C	0.021076
HEXB	-0.021000
AGPAT4	0.020947
CCRN4L	-0.020944
ISLR	-0.020931
F3	-0.020918
SSH2	0.020916
EPS8	-0.020898
SERPINB1	-0.020896
DPYSL3	-0.020893
CXCL12	-0.020875
SMIM5	0.020855
TTYH3	-0.020835
TNFAIP6	-0.020835
BASP1	-0.020795
SLC25A29	0.020772
MUSTN1	-0.020742
TMEM98	-0.020728
LGALSL	0.020690
RASGEF1B	-0.020668
MCOLN2	-0.020601
OSBPL11	0.020517
LRRC8A	0.020417
INAFM1	0.020341
PDLIM4	-0.020313
IGFBP4	-0.020310
CXXC5	-0.020309
GMNN	0.020265
CYP4V2	-0.020251
MMP11	-0.020221
FMNL3	-0.020200
NR3C1	-0.020185
USP18	-0.020116
DEPDC7	0.020083
TSPAN12	-0.020000
UNC119	-0.019970
ENO2	-0.019950
ZNF467	-0.019901
SIGMAR1	0.019894
HERC6	-0.019867
TACC1	0.019848
ZAN	0.019834
GDE1	0.019783
MYH14	0.019704
BAIAP2	0.019684
GPD1L	0.019598
CAMSAP3	-0.019588
PRELID2	-0.019544
LPAR6	-0.019528
SYNPO	-0.019481
PDK1	-0.019466
FAM20A	-0.019461
FOXO3	0.019446
PRLR	-0.019422
SNAI2	-0.019422
CNST	0.019413
IRGM	-0.019356
SEMA6D	-0.019349
GDPD1	0.019348
METTL7B	-0.019309
DNAJC25	0.019285
ARHGAP20	-0.019244
MFHAS1	0.019229
CRADD	0.019193
APOE	-0.019189
HMGCS1	-0.019136
C1S	-0.019117
IFI44	-0.019097
APCDD1	-0.019094
ADAMTS6	-0.019077
HSPB6	0.019032
MTSS1L	-0.019024
MR1	-0.019014
CLU	-0.018998
DUSP6	-0.018992
SLC39A10	-0.018970
OVGP1	0.018955
MED22	0.018954
ITGB2	-0.018942
MBD1	0.018895
PARVA	0.018893
PTEN	0.018880
IRX2	0.018870
NET1	0.018840
LPPR3	-0.018834
KCNH2	-0.018822
PHLDB1	0.018814
PCK1	-0.018790
SPATA9	0.018787
NIPSNAP1	-0.018770
APOC2	0.018747
