!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Murine 3T3L1 adipocytes
!perturbation	Dexamethasone
!disease	20nM - 6 days
!end_metadata
DUSP14	0.035631
PPP1R3B	-0.035620
IDI1	-0.035303
GSTA3	0.035278
COL6A2	-0.035239
GLIS3	-0.035186
PDLIM4	-0.035171
CYP26B1	0.035109
PER1	0.034928
TRIM47	0.034734
H2AFX	0.034644
POSTN	-0.034596
DCTN3	0.034472
HMGCS1	-0.034265
MGLL	-0.034168
CDO1	0.034161
SYNM	0.034070
SLC1A5	0.033990
CEBPD	0.033978
CA9	-0.033886
CSRP2	-0.033849
MYC	0.033712
SYN2	0.033692
TEAD2	-0.033653
GPT2	0.033393
ACKR3	-0.033369
TUSC5	-0.033315
STRIP2	0.033278
FAM69A	-0.033242
ART3	-0.033078
TOB2	0.033051
OLFML2B	-0.032545
BMPER	-0.032543
FGF7	-0.032527
SULF2	-0.032498
FHL2	-0.032470
FAM129B	0.032455
NRG4	-0.032453
AGT	0.032403
TMEM182	-0.032347
RBMS2	0.032172
KCNC2	-0.031999
HEXB	-0.031959
C1S	-0.031953
GPC1	-0.031867
GHRH	-0.031816
PRDX6	0.031644
MTMR14	0.031587
PFKL	-0.031171
CPA2	-0.031132
KIAA1614	-0.031008
PDGFRB	-0.031000
HES1	-0.030985
MVK	-0.030984
PRLR	-0.030965
LEF1	0.030930
INSIG1	-0.030927
C3orf58	-0.030897
MYL9	-0.030824
UBD	-0.030727
RASD1	-0.030670
AGPAT9	-0.030567
PKDCC	0.030465
ACSL3	-0.030416
PTGS1	0.030395
SLC2A1	-0.030381
SYT12	0.030320
ACSM5	0.030307
ID3	0.030202
SRPX2	-0.029977
CYR61	0.029900
CLU	-0.029830
GBP6	-0.029753
DDAH2	-0.029748
ABCD2	-0.029660
CITED2	0.029632
PLD1	0.029589
LHFPL2	-0.029530
CDKN1A	0.029464
P2RX3	-0.029371
TCN2	0.029289
MPZL2	0.029244
TSKU	0.029209
BIRC2	0.029152
CAMSAP3	-0.029093
MRC2	-0.029067
IFIT1B	-0.029060
GPER1	-0.028855
STEAP2	0.028806
SMIM3	0.028790
MYL1	-0.028604
COL11A1	-0.028503
GADD45A	-0.028367
SBSN	-0.028346
KLF6	0.028339
FBXO31	0.028317
ARL4A	-0.028307
C3	0.028232
P4HA2	-0.028227
MYLIP	-0.028219
TMEM98	-0.028195
MMAB	-0.028191
RDH11	-0.028125
HVCN1	-0.028086
PLAC8	-0.028072
ADM	0.028018
TSPAN6	-0.027984
ADAMTSL4	0.027979
TLE1	0.027953
SLC36A2	-0.027946
RCN3	-0.027895
BDH2	-0.027868
GLUD1	0.027813
B3GNT9	-0.027666
SEMA3C	-0.027643
DOCK11	-0.027640
C14orf1	-0.027511
EIF1AX	0.027433
MYOM1	-0.027352
PMVK	-0.027329
CARHSP1	-0.026960
SOD3	-0.026884
AHCY	0.026800
C16orf70	0.026791
SYCP2	-0.026676
ATF3	0.026646
FGL1	0.026618
CYP51A1	-0.026544
SLC39A14	0.026415
OSR1	0.026405
WBSCR27	-0.026359
FDFT1	-0.026340
LGALSL	0.026335
TCEAL1	-0.026266
IFNGR1	0.026183
REEP6	-0.026125
NAMPT	0.026118
TMEM120A	-0.026115
GABRR2	0.026114
GPR153	-0.026021
S100B	-0.025944
PIK3IP1	0.025927
PCDHB16	-0.025923
WNK4	0.025876
ZFYVE26	0.025851
TMEM45A	-0.025771
CXorf56	0.025747
HOXD4	0.025696
MC5R	0.025559
C2orf40	-0.025559
TRIQK	-0.025510
MR1	-0.025508
SGMS2	-0.025474
ELOVL6	-0.025457
MYO1B	0.025431
TMEM132A	-0.025385
C4orf32	-0.025346
APOBEC1	-0.025340
TIMP3	-0.025275
SLC35E4	0.025256
ZNF467	-0.025157
CARD10	-0.025144
CDC6	-0.025088
MFSD1	0.025019
IRX2	0.025011
NFKBIA	0.024960
PDK1	-0.024926
GALE	-0.024874
STEAP4	-0.024822
DCUN1D3	0.024815
ATP6V0E2	-0.024659
CIDEB	-0.024588
TMEM86A	-0.024532
FAM162A	-0.024491
HEBP1	-0.024491
CD274	-0.024447
HSD17B10	0.024435
AARSD1	0.024433
FAM69B	-0.024418
LPIN3	0.024393
PDK4	0.024358
GNG11	-0.024358
ZNF521	0.024244
SNCG	-0.024154
NABP1	-0.024126
CDH26	-0.024057
JADE3	0.024054
LSS	-0.024053
FAM20C	-0.024011
RHOBTB1	0.023969
LRPAP1	-0.023923
METTL7B	-0.023877
EGR1	0.023813
COL1A2	-0.023751
PRICKLE2	-0.023718
AK4	-0.023710
MSMO1	-0.023696
MGST2	-0.023636
GADD45G	0.023631
DCN	-0.023591
OMD	0.023588
FN1	-0.023474
SLC1A3	0.023456
KCNJ14	-0.023447
CDK5RAP1	0.023431
HDHD3	-0.023427
CLMP	-0.023379
KRT79	-0.023364
ARMCX2	-0.023338
CHST1	0.023304
CA11	-0.023277
RASGEF1B	-0.023268
KATNAL2	0.023264
IVNS1ABP	0.023238
TGFB2	-0.023107
PIK3R1	0.023058
HGF	-0.023042
IL6	-0.023036
UNC119	-0.023020
PTPLAD2	-0.023015
MST1	-0.023008
C9orf50	-0.022983
NET1	0.022972
VASN	0.022926
GREM2	0.022908
AGPAT2	-0.022874
B3GALTL	-0.022860
MAGED2	-0.022848
TMEM123	0.022829
LRRC27	-0.022774
SRL	-0.022758
CDH11	-0.022742
MICALL1	0.022719
HSPB6	0.022708
TMEM176B	0.022692
PNPLA3	-0.022662
LRRC17	-0.022633
TMEM37	-0.022606
SERPINB9	-0.022598
CLEC14A	-0.022594
RANBP9	0.022592
THY1	-0.022577
IGFBP3	0.022558
ISLR	-0.022555
RNPEP	0.022468
PCDHB8	-0.022451
IL15	-0.022430
EMP1	-0.022398
ITGB5	-0.022371
WASF1	-0.022313
SNAI2	-0.022279
WISP2	-0.022227
SERPINH1	-0.022213
LDHA	-0.022111
AMPD3	0.021970
LRRC16A	0.021930
MTM1	0.021909
ADH1C	0.021903
PPP1R3D	-0.021871
MB	-0.021824
SPON2	-0.021820
SMOC1	-0.021819
PI15	-0.021813
FAM213B	-0.021768
PTGER4	-0.021767
PIPOX	-0.021763
F3	-0.021759
CYP1B1	0.021756
PHKA2	0.021752
PTN	-0.021746
SSH2	0.021719
ACSS2	-0.021700
DUSP18	0.021670
WDR6	-0.021646
GUCD1	0.021642
FAM132A	-0.021636
INPP5K	0.021612
COL6A1	-0.021555
PNPLA2	0.021527
CSGALNACT1	-0.021485
SYDE2	0.021469
LTBP3	-0.021469
ARMCX1	-0.021444
MANBA	-0.021443
CLSTN3	-0.021417
CXCL12	-0.021293
GPC6	-0.021284
PIK3R3	-0.021273
GDPD1	0.021215
DISP2	-0.021206
MEGF10	-0.021187
ERMP1	0.021178
PALD1	-0.021163
MMD	-0.021132
SLCO3A1	0.021095
SDC4	0.021087
INTS3	0.021079
PTP4A1	-0.021049
TBC1D4	0.021036
SESN3	-0.021008
GPRIN3	0.020983
TBC1D24	-0.020942
FSTL1	-0.020929
SOWAHC	-0.020928
PNP	0.020921
TIFA	-0.020917
ME1	-0.020896
DEPDC7	0.020856
RDH5	-0.020818
HMOX1	-0.020788
INSL6	-0.020708
HPCA	-0.020703
RASSF6	0.020691
TSHZ1	0.020651
BCAT2	0.020620
CDKN1B	0.020617
VCAM1	0.020582
CDC25B	-0.020580
FOXRED2	0.020561
FSD2	-0.020545
NAALAD2	-0.020545
PRELID2	-0.020534
OGN	-0.020526
FGF10	-0.020525
AHCYL2	0.020508
SYNPO	-0.020493
FDPS	-0.020442
HIGD1A	-0.020430
CYP2F1	0.020370
FAT1	-0.020356
RARRES2	-0.020353
BID	0.020266
CHST15	0.020263
TPST1	-0.020251
B3GNT4	-0.020250
CHDH	0.020241
KLF9	0.020198
C1R	-0.020116
RECQL4	-0.020060
GLIPR2	-0.020043
MFHAS1	0.020040
PGK1	-0.020022
OSBPL1A	0.020019
DPYSL3	-0.019991
LRRC8A	0.019984
CYB5B	-0.019977
ENO3	0.019897
FOXC1	0.019867
OVGP1	0.019860
FOXC2	0.019858
CNKSR3	0.019853
PDP1	0.019848
GAPDH	-0.019820
KIAA0355	0.019799
FLRT3	-0.019798
OSGIN2	0.019767
C11orf95	-0.019767
PCOLCE2	-0.019753
FAM46B	0.019737
S1PR3	-0.019733
PTGFRN	-0.019710
OSBPL11	0.019644
TACC1	0.019639
CCDC25	-0.019606
SLC25A26	0.019586
GP1BB	-0.019574
