!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform D)
!perturbation	Dexamethasone
!disease	hGRalpha-D - 100nM - 24 hrs
!end_metadata
ID2	0.022958
CCBE1	-0.022910
HSD17B2	0.022857
MARCH4	-0.022765
ID4	0.022739
RAET1E	-0.022723
ARC	0.022697
NDRG1	0.022696
ZP2	0.022637
COL5A3	-0.022584
SHOX	0.022570
LINC00707	-0.022507
ATP1A4	0.022481
ATP1A3	0.022465
LINC00965	0.022450
NSG1	0.022439
KIAA1324	-0.022388
ITPKC	0.022304
NXPH3	0.022247
SCIN	-0.022233
GLRX	-0.022231
NFKBIA	0.022215
RGS7	-0.022212
IGFBP5	-0.022205
LPAR5	-0.022186
MIAT	-0.022170
ZBED2	-0.022140
CALCR	0.022111
TMX4	0.022075
ALDH1A1	-0.022037
ACOX2	-0.022024
GPR83	0.021979
TLR4	-0.021970
SLC16A5	-0.021960
WNT4	0.021949
CACNA1I	0.021905
SPINK4	0.021855
ITGA3	-0.021852
ZNF365	-0.021844
GJA1	-0.021833
TMEM61	0.021806
APOBEC2	0.021783
TIAM2	-0.021736
C21orf88	-0.021573
LTBP2	-0.021559
GPR1	0.021547
PON3	0.021511
ZAP70	0.021443
AK5	-0.021395
FTCD	0.021345
KLRC2	-0.021323
NRXN3	-0.021302
ANXA3	-0.021238
UVRAG	0.021227
OR13D1	0.021216
DYSF	-0.021206
AKAP4	0.021201
SLC25A48	0.021191
LCE3D	0.021168
NF2	-0.021149
LANCL3	0.021121
IP6K3	0.021095
WNT7A	-0.021068
PLOD2	-0.021052
WDR60	0.021043
PRICKLE2	0.021039
SNAI1	0.021030
TSPYL2	0.021027
LRP2	0.020997
ZSCAN4	-0.020982
AADAC	-0.020955
ATP1A1	0.020893
DEFB103B	-0.020883
PAQR5	-0.020870
PALLD	-0.020837
FAM212B	0.020835
TMEM100	0.020797
PARP4	0.020781
MIR181A2HG	-0.020758
TESC	0.020750
CNGA3	0.020737
MYH13	0.020683
KCTD3	0.020682
TNIP3	-0.020658
GKN1	-0.020638
DLL1	0.020595
ABCC3	-0.020585
LOC283278	0.020583
MYH6	0.020572
METTL7B	0.020570
PCDH18	-0.020563
LPL	0.020554
PDGFB	-0.020535
CDH1	-0.020496
NKD2	0.020483
OR7E91P	0.020480
SPANXA1	-0.020473
IFI44	-0.020458
EREG	-0.020439
HSD11B2	0.020439
ITGA4	-0.020429
HTR3A	-0.020391
MSX2	0.020373
STK32A	-0.020367
ARHGEF28	-0.020365
TERT	0.020360
LOC100507191	-0.020348
CASC15	-0.020306
LAT	-0.020286
C6orf118	0.020245
CDO1	0.020240
C15orf52	-0.020228
RBMS3	0.020224
CD34	0.020202
CLMN	0.020182
NXPH2	-0.020118
SLAMF7	-0.020094
GOLT1A	-0.020082
CCNB3	0.020058
FMO5	0.020057
ARSE	0.020054
GPX3	0.020045
MUC3B	-0.020043
C4orf36	-0.020035
PEX2	0.020025
MARC1	-0.019978
FLNC	-0.019940
WNT11	0.019929
ALDH1A2	0.019927
SPARC	-0.019923
TAGLN	-0.019840
TFRC	-0.019811
RHOU	0.019798
SSC4D	-0.019790
MYL10	-0.019776
NELL1	0.019734
CCL3L3	-0.019726
CRIP1	-0.019690
SNN	0.019682
TSPAN3	0.019573
TTYH1	-0.019529
RAD51C	0.019525
PCDH8	0.019504
ESM1	0.019490
LOC642620	0.019488
SERPINF2	0.019455
DST	-0.019449
ADAMTS6	-0.019439
PLEKHA6	0.019431
TBC1D4	-0.019426
RIMBP2	0.019424
DHRS2	0.019393
CLEC16A	0.019392
GPC6	-0.019380
PDGFRB	0.019372
DPY19L2	-0.019361
F2R	-0.019343
ELK1	0.019292
MARCO	-0.019209
FLVCR2	0.019127
BATF2	-0.019102
PDGFRL	0.019068
KIF19	0.019056
SSR4P1	0.019041
VWC2	0.019041
ACKR3	-0.019029
SULF1	-0.019025
PHLDB2	-0.019022
EYA1	-0.019000
COL4A2	-0.018992
ITGA8	0.018985
NOTCH4	0.018984
ASB9	0.018971
PIWIL1	0.018969
TIGD3	0.018960
PRSS35	0.018910
KLK6	-0.018905
PSAT1	-0.018865
ZNF441	-0.018864
IL4I1	-0.018854
PLD1	-0.018833
SWT1	0.018832
ABCA6	0.018829
