!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor)
!perturbation	Dexamethasone
!disease	hGRalpha - 100nM - 6 hrs
!end_metadata
CRYBA2	0.031566
B3GAT1	0.031534
ACTN2	0.031369
SNN	0.031159
RP1L1	0.030984
PKNOX2	0.030878
PIWIL4	0.030869
LINC01114	0.030840
TUNAR	0.030724
PERM1	0.030688
ARHGAP9	0.030669
KRTAP2-3	-0.030513
ATP1A2	-0.030279
NKD2	0.030231
NR0B1	0.030141
AJUBA	-0.030012
BTLA	0.029952
CDKL5	0.029934
ADAMTS1	-0.029803
ERV9-1	0.029792
ST6GALNAC5	-0.029782
CLIP4	-0.029732
TNFRSF1B	0.029692
PNLIPRP2	0.029597
BRINP2	0.029539
MMP10	0.029513
LRRC56	0.029495
DUSP2	-0.029482
PTX3	0.029459
FAM65B	-0.029426
FLJ40712	0.029397
NOS2	0.029351
LOC401317	-0.029327
PDK4	0.029202
KLHDC9	0.029200
TIPARP	0.029140
ZNF57	0.029102
LEMD1	0.029055
HSD17B2	0.028761
TIGD3	0.028745
ZSWIM5	0.028606
BBOX1	0.028505
NELL1	0.028458
MFSD7	0.028417
EGFLAM	0.028413
OR7E91P	0.028350
NAB2	-0.028345
HOXA5	0.028312
ZNF556	0.028212
SSR4P1	0.028211
EMR2	0.028207
CYR61	-0.028129
SEMA3G	0.028065
C15orf27	0.028005
FAM135B	0.027969
ITGB2	0.027881
CHRNA7	0.027864
ADAMTS6	-0.027833
MAP1A	0.027795
ZNF189	0.027757
NEU4	0.027678
TPO	0.027575
FZD4	0.027489
TLR5	0.027464
MAL	0.027455
OR52K3P	0.027425
BHLHE40	-0.027375
KCNG1	0.027309
C1QTNF9B	0.027303
CCL20	-0.027279
MYO15A	0.027266
P2RY1	0.027260
NXPH1	0.027256
BCAR3	-0.027204
FETUB	0.027201
FAM149A	0.027163
JADE1	-0.026989
TXNRD2	-0.026987
RGAG4	0.026958
SHISA2	0.026895
STOX1	0.026889
IRS1	-0.026879
BCL11A	0.026836
BRS3	0.026700
GLIS1	0.026677
CARD10	-0.026659
NTF3	0.026547
ADPRH	0.026525
F2RL2	-0.026491
PTP4A3	0.026431
CXCL8	-0.026402
SHANK3	0.026342
FAM3D	0.026241
HRCT1	-0.026149
SLC6A12	0.026104
ANKRD20A9P	0.025928
CYP24A1	-0.025924
LOC283454	-0.025907
ADM	0.025757
NOG	-0.025719
C1QTNF9	0.025716
TGFB2	-0.025714
MSH4	0.025705
NOX4	-0.025702
PRICKLE1	-0.025662
PMEPA1	-0.025633
PNLIP	0.025617
MTTP	0.025594
DBIL5P	0.025581
EFCAB6	0.025517
NOSTRIN	0.025504
NLRP10	-0.025466
TLE3	0.025456
PIP5K1B	0.025386
KRT71	0.025370
SIPA1L2	0.025352
CLDN22	0.025350
PRKCQ	0.025289
TNFRSF12A	-0.025262
CDH15	0.025241
MRVI1	0.025240
LOC642620	0.025235
ST3GAL5	-0.025185
AVPI1	-0.025150
F11	0.025114
LRCOL1	0.024962
IRF8	0.024948
ARHGEF5	0.024867
P2RY6	0.024836
LOC100128035	-0.024814
INHBA	-0.024747
SLC6A1	0.024727
ZNF114	-0.024641
COL6A1	0.024641
SERTAD4	-0.024622
SLC9A2	0.024577
IRF2BP2	-0.024552
PAGE4	0.024487
TFCP2L1	0.024484
KREMEN1	0.024479
GUCY2F	0.024462
PPP1R3C	0.024433
CSF1R	0.024410
C19orf18	0.024397
MLC1	0.024365
KRT5	0.024341
SPRR2G	0.024234
CRISPLD2	0.024196
PLEKHO1	-0.024159
PTGS1	0.024140
C11orf96	0.024100
TRIML1	0.024036
FAM134B	0.023968
HOMEZ	0.023965
MISP	-0.023959
SLC45A4	0.023882
ALDH8A1	0.023752
DNASE1L3	0.023744
NMNAT3	0.023724
C15orf52	-0.023701
NR1H4	0.023671
SYNPO2L	-0.023669
RPH3AL	0.023656
CRTAC1	0.023651
IL22RA1	0.023625
LY6H	0.023609
FRMD6	-0.023577
GPR161	0.023575
FRMD4B	0.023546
SPINK7	0.023539
PRAMEF8	0.023530
LGALS2	0.023528
ID3	-0.023489
LRRC4C	-0.023430
TNFSF4	0.023383
APOBEC2	0.023367
ZCCHC2	-0.023354
NME5	0.023342
IGKC	0.023313
AMOTL2	-0.023290
FAM20C	0.023290
OR7E5P	0.023227
SLC30A1	-0.023209
NLRC4	0.023190
MYH13	0.023144
PLEK2	-0.023137
ANXA2R	0.023137
PSAPL1	0.023104
CCL2	-0.023082
FAM19A4	0.023079
CFP	0.023043
HIPK4	-0.023000
SOCS1	0.022974
SORCS2	0.022967
CADPS	0.022937
HAND2-AS1	0.022931
MC5R	0.022907
EXO5	0.022904
LOC100130741	0.022870
LOC100507053	0.022806
VIPR1	0.022802
NCEH1	0.022793
ID2	0.022764
CLDN1	-0.022725
FAM43A	0.022666
TMEM200B	0.022621
ARMC12	0.022598
OBP2A	0.022565
MYEOV	-0.022549
FAM154B	0.022539
RDH12	0.022491
VPREB1	0.022488
RHOH	0.022475
TRPC5OS	0.022467
DNAJB5	-0.022438
GPRC5A	-0.022426
RGS20	-0.022370
WNT7B	-0.022310
C2orf80	-0.022301
PTGDR2	0.022291
MLYCD	0.022274
KCNJ16	-0.022273
ETNPPL	0.022247
LINC00675	0.022228
GPR83	0.022172
HSPA1A	-0.022146
RASD1	0.022117
MEIG1	0.022098
ANO1	0.022098
RBP1	0.022095
CACNA2D2	0.022078
ZNF214	0.022027
CNGA3	0.021988
OCA2	0.021959
HTRA3	0.021938
ACSBG1	0.021933
CIDEA	0.021916
RSPH10B	0.021892
THAP4	0.021882
LOC100507022	0.021841
TF	0.021793
KCNN2	0.021770
THSD1	0.021724
C5orf66	0.021720
GRHL2	0.021718
HECW1	0.021697
AMZ1	0.021688
ACTA1	0.021677
FGD5	0.021669
MYO10	-0.021652
GCNT2	-0.021591
IL3RA	0.021528
LEFTY1	0.021524
TMEM37	0.021521
CBLB	0.021495
TFPI2	0.021477
HAND2	0.021472
C1orf186	0.021459
EXD1	0.021412
DNAH10	0.021394
CDX1	0.021389
SIRT2	0.021361
KRCC1	0.021296
TADA2B	0.021261
ATP2C2	0.021253
ATP6AP1L	0.021240
FBP2	0.021171
C3orf70	0.021128
SLITRK3	0.021125
CTCFL	0.021121
SMOC2	0.021110
LOC441666	0.021107
ID1	-0.021048
EP400	0.021041
GPR20	0.021031
P4HTM	-0.020997
LY86-AS1	0.020981
OBP2B	0.020932
ZDHHC14	0.020910
PDE8B	0.020910
ABCD1	0.020909
CA9	0.020889
CACNA1I	0.020875
AWAT1	0.020812
SREBF1	-0.020791
GPR1	-0.020790
FOXD1	-0.020783
ACKR3	-0.020727
KCNN4	-0.020722
PHF23	-0.020714
VIPR2	0.020712
VILL	0.020712
RGCC	0.020709
NDRG1	0.020581
PPP3CC	0.020551
KCNF1	0.020538
PAG1	0.020530
LRFN2	0.020526
RELT	0.020486
LRRC37A3	0.020474
GPR85	-0.020470
JADE2	-0.020433
ADRA1B	-0.020416
DUSP14	-0.020400
ZNF280A	0.020395
TTTY20	0.020381
FABP6	0.020335
LINC00158	0.020331
CCDC42	0.020325
NQO2	0.020319
SERPINC1	0.020310
RASGRP1	0.020300
MAP6	0.020300
CHIA	0.020295
ANKRD1	-0.020273
RASA3	0.020261
ARAP2	-0.020209
FOXJ1	0.020196
FAM109A	0.020193
RNASET2	0.020167
MYH6	0.020148
AQPEP	0.020139
SGK1	0.020109
ZNF404	-0.020108
PAK7	0.020044
MUC20	0.020026
DTX4	-0.020010
ELMOD1	0.020010
DIP2C	0.020006
EDN1	-0.019982
TDRD9	0.019977
PIEZO1	0.019889
ARID5B	-0.019879
TGFA	0.019840
KCTD3	0.019820
ADM2	-0.019812
GCNT1	-0.019803
C11orf97	0.019796
CDC7	0.019782
CAMKK1	-0.019770
FAM50B	0.019742
TLL2	0.019741
BBS1	0.019740
BICD1	-0.019665
CRYGC	0.019659
LOC284561	-0.019630
BCL3	-0.019630
GFPT2	0.019600
TRIM54	0.019593
LRRC75B	-0.019575
ABCA7	0.019554
PRR16	-0.019540
ABCB4	0.019536
LRRC17	0.019534
GSTM3	0.019523
USP24	0.019503
SLC22A13	0.019475
CSRNP3	0.019463
RBM11	0.019454
ZIC3	0.019452
LINC00588	0.019444
TRGV7	0.019409
GRAMD4	0.019385
LFNG	-0.019385
IL17F	0.019384
DENND2A	0.019383
PARD6B	-0.019373
HSD17B1	0.019372
TRIM47	-0.019370
NAT1	0.019341
LINC00638	0.019337
METRNL	0.019314
MYOM3	0.019295
CAPN3	0.019281
HBA1	0.019281
KCNB1	-0.019272
PGPEP1L	0.019254
ASAP1-IT2	-0.019253
ZNF827	-0.019250
C12orf60	0.019226
CD163	0.019211
PPP1R18	-0.019199
FOXL1	0.019194
NUAK1	-0.019171
PCSK5	0.019170
HOXC6	-0.019147
ERBB2IP	-0.019143
EXPH5	-0.019129
FAM49A	0.019120
HOXA6	0.019115
NLRP3	0.019112
ETS1	-0.019107
LOC100506388	0.019082
MAGEB3	0.019062
RNF182	-0.019058
