!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform A)
!perturbation	Dexamethasone
!disease	hGRalpha-A - 100nM - 12 hrs
!end_metadata
DNM3	-0.029985
CADPS	0.029978
CLCN2	0.029965
LAD1	0.029715
APOBEC2	0.029655
CACNA1I	0.029640
EDNRA	0.029508
ACTN2	0.029486
KRTAP2-3	-0.029476
BTLA	0.029425
RYR3	0.029217
MTTP	0.029172
ID2	0.029096
SLC35F3	-0.029070
IGKV1D-13	0.029032
TMEM100	0.028999
SLC51B	0.028955
NOS2	0.028780
TGFB2	-0.028777
RASA3	0.028682
CYP24A1	-0.028657
TF	0.028625
FRMD5	-0.028411
MIG7	-0.028374
THSD1	0.028324
OR7E91P	0.028322
UMODL1	0.028225
MAP1LC3C	-0.028197
GUCY2F	0.028195
FLJ40712	0.028142
LINC00965	0.028102
ALPK2	-0.028088
ATP2C2	0.028076
LOC101926940	-0.028011
EFCAB6	0.027915
DNAJC12	0.027898
SCG5	-0.027873
MAP1A	0.027849
CHRNA7	0.027837
MAP3K7CL	-0.027794
CYP2C9	0.027763
FAM117A	0.027760
TMEM200B	0.027731
TIGD3	0.027656
FAM49A	0.027644
TGFBI	-0.027632
F11	0.027615
MYH13	0.027593
C5orf66	0.027410
CXCL8	-0.027320
MUM1L1	0.027317
RAB7B	-0.027217
FABP6	0.027206
FAM46A	0.026996
NCF1	0.026780
ABCD1	0.026743
FAM149A	0.026642
DPEP1	0.026432
SSR4P1	0.026426
SNN	0.026425
SGSM1	0.026397
CNGA3	0.026331
ARHGAP9	0.026317
LIMA1	-0.026305
WNT11	0.026293
PPP2R3B	0.026288
TG	0.026272
FETUB	0.026264
TLR4	-0.026235
PPP1R3C	0.026212
HSD11B2	0.026120
SLN	0.026043
AMZ1	0.026007
TMC5	-0.025813
CHIA	0.025804
ANKRD20A9P	0.025772
RP1L1	0.025713
FHDC1	0.025630
KRT80	-0.025588
SCGN	0.025588
KCNN4	-0.025587
SLC2A14	0.025555
SMIM3	0.025548
RGAG4	0.025525
KRT5	0.025524
BAMBI	0.025500
TSC22D3	0.025431
CPT1A	0.025409
CDKL5	0.025323
ABCA7	0.025314
GPR62	0.025291
ZNF57	0.025291
PCSK5	0.025255
MLYCD	0.025243
MARCH4	-0.025241
MYT1	0.025220
HEXDC	0.025170
SGK223	-0.025130
CHST8	0.025044
PTX3	0.025039
ST3GAL5	-0.025002
SPINK5	0.024926
ANKRD1	-0.024907
KCNG1	0.024896
TXNRD1	-0.024893
KIF19	0.024881
IGFBP1	0.024859
SHISA2	0.024816
PNLIPRP2	0.024783
F2RL2	-0.024765
MFSD7	0.024717
TXNRD2	-0.024712
EFCC1	0.024708
SHC4	0.024698
LOC79160	-0.024645
PENK	0.024639
PRB1	0.024617
ITIH3	0.024600
GCNT2	-0.024586
GPIHBP1	0.024567
CWH43	0.024553
AMIGO2	-0.024531
SORCS2	0.024506
IFNA21	0.024504
LRRC4C	-0.024502
ADAMTS1	-0.024415
OR7E5P	0.024403
SOCS1	0.024400
TMEM154	-0.024281
TRPC3	0.024246
RNASE11	0.024210
FAM3D	0.024150
LOC100507053	0.024111
TGFBR3	0.024104
ZNF189	0.023992
PSAPL1	0.023935
CDH15	0.023929
SHANK3	0.023921
CRISPLD2	0.023868
FAM20C	0.023809
CHST15	0.023794
KBTBD11	0.023780
PXDNL	0.023779
KCNJ4	0.023723
CPM	0.023679
USP24	0.023616
ARSE	0.023591
CARD10	-0.023584
NELL1	0.023575
ELMOD1	0.023524
VIT	0.023523
ABCA8	0.023518
LOC100131532	0.023494
TBX21	0.023474
LINC00707	-0.023455
TDRD9	0.023453
EMP1	-0.023439
HBA1	0.023426
MYO10	-0.023389
PIWIL4	0.023307
RGS20	-0.023198
PEX6	0.023062
BBOX1	0.023037
OLR1	-0.023035
DAW1	-0.022955
HSD17B2	0.022937
SOD3	0.022890
ECHDC2	0.022841
MUC3B	-0.022829
TPO	0.022779
HEY1	0.022743
PRKCQ	0.022666
NKD1	0.022635
BMP5	-0.022523
ZFP36	0.022495
WWC3	-0.022468
NLRP3	0.022434
PIP5K1B	0.022420
LINC01136	0.022411
IGKC	0.022397
PGPEP1L	0.022332
HTR1D	-0.022332
TLE3	0.022315
C15orf52	-0.022304
TMEM71	-0.022280
MRVI1	0.022245
BHLHE40	-0.022205
ADAP2	-0.022195
FRMD6	-0.022148
NXF5	0.022143
TKTL1	0.022130
NLRP8	0.022115
GRAMD4	0.022092
LPAR5	-0.022057
NAV3	-0.022041
C7orf57	0.022018
LINGO2	0.021974
SLC43A2	0.021903
PLAC8	-0.021875
MEF2C	0.021856
OVGP1	0.021848
ATP1A2	-0.021835
ADORA3	0.021803
CCBE1	-0.021795
KRT34	-0.021773
SLC16A3	0.021771
GLIS1	0.021771
IL18	-0.021764
CLIP4	-0.021741
CNIH3	-0.021704
CLEC4G	0.021704
DNER	0.021676
PMEPA1	-0.021673
MYEOV	-0.021651
NAT1	0.021599
TEKT2	0.021593
ID4	0.021584
CST1	0.021564
TMEM156	-0.021561
GPR83	0.021505
CPNE7	0.021478
PLD1	-0.021455
IL22RA1	0.021414
PHYHD1	0.021358
NEFH	0.021345
AXL	-0.021297
UNC45B	0.021286
LOC101927598	0.021282
NF2	-0.021279
MAT1A	0.021221
KRT75	-0.021209
ANGPTL4	-0.021146
PAGE4	0.021116
GSC	0.021110
CHSY3	0.021104
RGCC	0.021101
MBOAT4	-0.021082
SERTAD4	-0.021004
CSF2	-0.020963
KIR2DS2	0.020917
IL18RAP	0.020912
PCYOX1L	0.020896
AQP1	-0.020877
TRPC5OS	0.020870
SERTAD4-AS1	-0.020869
LAMA2	0.020848
GPR161	0.020847
CSRP3	-0.020842
KLF15	0.020834
NOSTRIN	0.020833
FZD4	0.020808
FAM183B	0.020783
KIAA1522	-0.020741
STAT5A	0.020730
SYT2	0.020729
SLAMF7	-0.020727
HOMEZ	0.020713
PLAU	-0.020687
TRBC1	0.020669
CACNA2D2	0.020666
TRIML2	-0.020625
ENO2	-0.020617
TBC1D10C	-0.020599
SLC9A2	0.020595
F2RL1	-0.020595
AJUBA	-0.020575
DIP2C	0.020565
BAI1	0.020536
CXCL1	0.020473
MAGEB3	0.020468
COLEC11	0.020455
GLI1	-0.020447
BCL3	-0.020427
KCNN2	0.020373
ROR1	-0.020290
HORMAD1	-0.020278
KREMEN1	0.020249
UBASH3B	-0.020229
VLDLR-AS1	-0.020209
MCEE	0.020203
KCTD3	0.020189
IL11	-0.020172
AIFM3	0.020166
RPRML	0.020094
PAK7	0.020083
TFCP2L1	0.020078
ATP6V0A1	-0.020070
CAPS2	0.020055
KIAA1210	-0.020052
SIPA1L2	0.020045
NXPH2	-0.020034
KCNJ15	-0.020033
PKNOX2	0.020022
ARL4D	0.019990
COL20A1	0.019976
LINC00638	0.019957
SLCO1B3	-0.019953
GLP2R	-0.019919
GPRC5C	0.019898
IGK	0.019897
LINC01133	0.019866
ABCC3	-0.019865
LOC100287221	-0.019852
TP53I3	0.019852
IGSF9	-0.019828
ADAMTS8	0.019814
TMEM74B	0.019813
NR4A2	0.019797
PRB2	0.019718
TRIM54	0.019714
CCL3	-0.019674
NLRC4	0.019665
GSTM3	0.019652
IL2RB	-0.019644
HHAT	-0.019625
PTRF	-0.019617
NAB2	-0.019565
CYP3A4	0.019545
DAPP1	0.019514
KIF25	0.019508
LILRA6	0.019456
SLC37A2	0.019448
SYT12	-0.019427
DZIP1L	0.019423
SLC25A18	0.019409
ST6GALNAC5	-0.019380
OLFML3	0.019370
VILL	0.019360
ZNF555	0.019351
FAM27E3	0.019332
RHOU	0.019314
PAG1	0.019310
KRT72	0.019300
ARMC12	0.019270
SMCP	0.019259
GCAT	0.019252
SV2B	0.019203
CASP1	-0.019097
CREB5	-0.019055
RNASET2	0.019054
TRIM52	0.019053
PGC	0.019030
MICALCL	-0.019024
ZIC3	0.019011
ADCY5	0.018986
TMEM37	0.018984
PRDM15	0.018977
C12orf60	0.018953
SLC29A1	-0.018938
ADORA2B	-0.018928
MAST4	0.018902
CRLF1	0.018863
ZSCAN31	-0.018849
LOC401317	-0.018836
LINC00842	-0.018832
CDYL2	0.018809
TJP2	-0.018805
DDR1	0.018802
TRAF5	0.018798
HOXB9	-0.018780
NQO2	0.018751
ETS1	-0.018747
FAM189A2	0.018742
VPREB1	0.018730
FAAH2	0.018699
HOXA5	0.018672
IYD	0.018664
TRIM6	-0.018659
TMEM204	0.018648
RGL1	0.018645
NLRP5	0.018632
NCEH1	0.018610
CX3CR1	0.018593
PERM1	0.018591
HSD17B1	0.018563
C1orf186	0.018562
RELT	0.018556
GOLT1A	-0.018550
LOC100128035	-0.018540
FZD7	0.018531
XDH	0.018493
ARHGEF28	-0.018483
CCL20	-0.018443
ASB9	0.018425
MYO15A	0.018422
HSPB2	-0.018388
PLEKHG3	-0.018385
