!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform B)
!perturbation	Dexamethasone
!disease	hGRalpha-B - 100nM - 24 hrs
!end_metadata
CCL7	-0.020113
CNGA4	0.020106
OMD	0.020103
TP53BP2	0.020068
LOC101926940	-0.020066
RP1L1	0.020063
TIGD2	0.020018
JUP	-0.020015
SEMA3A	-0.019959
IP6K3	0.019951
RASA3	0.019939
CYTL1	-0.019931
CDO1	0.019895
MAGEB3	0.019888
PDCD1LG2	-0.019887
GHR	0.019874
CARD10	-0.019872
PRB1	0.019869
PRR16	-0.019854
LRRC16A	0.019841
VAV1	-0.019810
NOS2	0.019801
CYP24A1	-0.019740
C11orf45	-0.019738
CPNE7	0.019727
EPHA5	-0.019725
LAMB3	-0.019717
KRT71	0.019711
KRT15	-0.019692
TMSB4X	-0.019686
GALNT15	-0.019650
YTHDF1	0.019639
RASGRF1	-0.019634
IGFBP5	-0.019618
NUDCD1	0.019604
BATF2	-0.019603
PGK2	0.019569
BAMBI	0.019555
NXF5	0.019544
TNFRSF11B	-0.019475
ZFAND5	0.019398
MSX2P1	0.019382
SPAG4	0.019373
ARMC12	0.019369
SSR4P1	0.019340
IL1RL1	0.019321
NEDD4	0.019312
GLI1	-0.019221
LAT	-0.019181
ACSBG1	0.019171
CCL3	-0.019168
C1QL2	0.019103
PLAC8	-0.019103
NPPC	0.019092
TXNRD1	-0.019075
ITGA3	-0.019039
FMO5	0.019039
C4B	-0.018982
RGCC	0.018952
NOX4	-0.018945
BIRC7	-0.018929
LGALS14	-0.018915
B4GALT4	0.018881
WNT11	0.018873
FTCD	0.018843
SLAMF7	-0.018843
PLEKHA4	-0.018825
USP53	0.018811
FAM46A	0.018810
TNFAIP2	-0.018803
KCNJ4	0.018797
CLCN2	0.018753
SLC1A6	-0.018750
CDA	-0.018740
F13A1	-0.018714
OR10H3	-0.018713
SLC43A2	0.018711
ABCA9	0.018678
ST6GALNAC5	-0.018657
TNFRSF10A	0.018645
