!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform C)
!perturbation	Dexamethasone
!disease	hGRalpha-C - 100nM - 12 hrs
!end_metadata
NELL1	0.025642
FAM46A	0.025635
CXCL1	0.025605
PRTN3	0.025570
FHL2	-0.025541
PIWIL1	0.025531
LOC729164	0.025525
DOK7	0.025523
RNASE11	0.025456
LOC100507494	0.025419
SGSM1	0.025316
GLYATL2	0.025236
USP24	0.024998
ZFP36	0.024998
CRYGC	0.024837
KRT5	0.024833
KCNN4	-0.024761
MYLIP	0.024756
SLC6A12	0.024743
HSD3B1	0.024736
ACTN2	0.024586
TIGD3	0.024491
SLC25A18	0.024481
MAT1A	0.024418
RGCC	0.024355
OVGP1	0.024351
FAM213A	0.024343
CLDN1	-0.024339
NLRP5	0.024321
MLYCD	0.024287
LRRC56	0.024169
CYP2C9	0.024155
MC5R	0.024117
ARSE	0.024073
PNLIPRP2	0.024063
MEF2C	0.023977
HLA-DPB1	0.023907
SHANK3	0.023831
CTCFL	0.023820
PKNOX2	0.023757
DUSP1	0.023732
NAT1	0.023690
HDAC4	0.023658
CNKSR3	0.023656
LINGO2	0.023576
CX3CR1	0.023519
TSC22D3	0.023515
THSD1	0.023492
FAM183B	0.023473
LRRC4C	-0.023421
RGL1	0.023414
PCDH8	0.023406
ID4	0.023402
MAP1LC3C	-0.023342
KBTBD11	0.023330
MYO10	-0.023228
TRPC5OS	0.023227
SLAMF8	0.023224
OBP2A	0.023197
CD163	0.023189
NAV3	-0.023184
FAM149A	0.023166
FZD7	0.023145
TLE3	0.023135
KCNK5	0.023122
PPP1R3C	0.023105
COL18A1	0.023102
CHST8	0.023087
PEX6	0.023080
RYR3	0.023003
TKTL1	0.022977
LOC100507022	0.022975
KRTAP2-3	-0.022950
TFCP2L1	0.022947
EDN3	0.022872
TGFB2-OT1	-0.022866
ADRB2	0.022863
ABCA7	0.022859
PLCB4	0.022787
HEXDC	0.022768
ECHDC2	0.022750
LIMS3	-0.022738
FGD5	0.022652
LOC79160	-0.022596
SHC4	0.022580
TBC1D4	-0.022568
CPNE7	0.022523
MAP3K15	0.022522
PCYOX1L	0.022481
TRIM6	-0.022428
C9orf84	0.022418
AMZ1	0.022388
PTX3	0.022387
PRKCQ	0.022281
SNN	0.022264
SSUH2	0.022255
P2RY6	0.022243
NSDHL	0.022227
CLCA4	0.022169
TF	0.022085
ADAMTS1	-0.022077
PTPRR	-0.022046
CYP26A1	0.022036
LOC101927598	0.022026
TXNRD2	-0.022024
SLC19A2	0.022019
GRHL2	0.021968
SLCO4A1	0.021950
TGFBR3	0.021891
CLDN22	0.021878
SERTAD4	-0.021855
HSD17B3	0.021789
BCR	0.021788
ITGB2	0.021759
XDH	0.021738
SERPINF2	0.021724
EPHB3	0.021667
EFCAB6	0.021646
IL23R	0.021642
FAM222A	0.021616
POMC	0.021611
CYP3A4	0.021610
IP6K3	0.021602
KIAA1683	0.021596
BRS3	0.021583
CNIH3	-0.021497
LPAR5	-0.021494
CYP24A1	-0.021491
PGF	0.021481
ARL4D	0.021474
HOMEZ	0.021454
PKIB	-0.021400
GRAMD4	0.021400
ABCD1	0.021379
MUM1L1	0.021375
CCDC96	0.021373
AWAT1	0.021370
SLC22A3	0.021332
PMEPA1	-0.021329
GPIHBP1	0.021310
ZNF404	-0.021297
TRIM54	0.021289
USP17L2	0.021257
GSTM3	0.021237
IL1F10	0.021234
UBASH3B	-0.021148
SLC35F3	-0.021131
CLIP4	-0.021101
MARCH4	-0.021091
MYEOV	-0.021088
CFP	0.021083
TBC1D10A	0.021013
ST6GALNAC5	-0.021010
SGK223	-0.020975
EMP1	-0.020957
HEY1	0.020939
IL22RA1	0.020904
LOC101928370	0.020897
C11orf45	-0.020848
C2orf54	0.020848
SCG5	-0.020834
ORM2	0.020813
MYO15A	0.020799
GRM7	0.020792
ZBTB20	0.020749
SPAG4	0.020649
NUDT10	0.020625
C7orf57	0.020594
MSX2P1	0.020592
LINC01133	0.020591
PAK7	0.020572
MAGEB3	0.020561
TMEM61	0.020527
TUNAR	0.020513
TERT	0.020503
NR1H4	0.020477
ERN1	0.020451
LAMA2	0.020449
OBP2B	0.020445
TLR4	-0.020401
PPP3CC	0.020378
KRT80	-0.020348
GAL3ST3	0.020321
FRMD5	-0.020320
KRT32	0.020308
SLC2A14	0.020303
BBS12	0.020249
LRCOL1	0.020169
GPRASP1	0.020153
PTH1R	0.020126
NLRP8	0.020123
DIP2C	0.020112
SLPI	0.020109
ARHGAP22	0.020094
KIAA1522	-0.020092
SLC26A3	0.020077
ANO1	0.020075
PIWIL4	0.020067
IGSF10	0.020058
RPRML	0.020056
TRBC1	0.020034
ARMC12	0.020033
H1FOO	0.020012
CHST3	0.019984
SLITRK3	0.019975
CERS3	0.019946
ACTA1	0.019922
KCTD3	0.019908
UCN2	0.019894
SEMA5A	0.019890
GJB7	0.019839
PHYHD1	0.019818
TNFSF4	0.019792
ZSCAN10	0.019791
PNPLA7	0.019734
BATF2	-0.019723
NPPC	0.019712
ALB	0.019706
ABCA8	0.019689
C12orf60	0.019658
LGALS12	0.019626
KRT71	0.019598
ZFP82	-0.019567
PPP2R3B	0.019547
GPRC5A	-0.019488
CSRP3	-0.019480
TMEM154	-0.019468
IER5	0.019449
RPTOR	0.019411
PRDM15	0.019368
CARD10	-0.019285
OLFML3	0.019285
TP53I3	0.019256
GADD45B	0.019227
MFSD7	0.019197
LAIR1	0.019174
NXPH2	-0.019169
SLC4A8	0.019113
GLIS1	0.019101
TBX21	0.019079
KCNJ4	0.019075
TRPC3	0.019073
SLC9A9	0.019024
MAST4	0.019023
CTNND2	0.019010
DNM3	-0.018993
GREB1	0.018944
BBS1	0.018913
HAS2	-0.018912
PSTPIP1	0.018867
DNAH10	0.018866
HTR1D	-0.018859
RUNDC3A	0.018850
MYOM3	0.018848
TRIML1	0.018845
PHACTR3	0.018841
TGIF1	0.018841
ISLR2	0.018829
C11orf97	0.018821
PRAMEF1	0.018818
SLC6A11	0.018738
CALCR	0.018730
ADORA3	0.018702
AXL	-0.018681
LIMA1	-0.018667
NKX6-2	0.018667
VWCE	0.018662
CCDC42	0.018618
FAAH2	0.018580
ZFAND5	0.018572
ZNF599	0.018550
THSD7A	0.018545
PGC	0.018544
FZD4	0.018521
CACNA1E	0.018502
DPEP1	0.018502
LOC101926940	-0.018492
SLC43A2	0.018439
ERVH48-1	0.018430
KLHDC9	0.018424
PLAC8	-0.018423
PIP5K1B	0.018419
SERTAD4-AS1	-0.018397
BCL11A	0.018389
LNX1	0.018378
SYT2	0.018374
PLD1	-0.018373
ELMOD1	0.018325
HS6ST1	0.018324
MUC3B	-0.018316
DNM3OS	0.018305
RELT	0.018272
ST3GAL5	-0.018267
SLC38A4	0.018260
CDH15	0.018260
DDR1	0.018221
PLAU	-0.018212
COL20A1	0.018207
ZCCHC5	0.018199
RASA3	0.018191
GCAT	0.018187
LINC01114	0.018158
WNT11	0.018157
NPY1R	0.018152
PAK3	-0.018150
PAG1	0.018144
KLRK1	0.018125
C17orf74	0.018107
POU3F3	0.018086
LOC439951	0.018083
S100A13	0.018049
GLRX	-0.018025
CDCA7	-0.017980
