!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform A)
!perturbation	Dexamethasone
!disease	hGRalpha-A - 100nM - 6 hrs
!end_metadata
LIMS3	-0.024962
FRMD6	-0.024924
BATF2	-0.024896
C19orf18	0.024865
FABP6	0.024788
MYH13	0.024788
IL11	-0.024741
MYO15A	0.024727
LOC101926940	-0.024680
ANGPTL4	-0.024564
TXNRD1	-0.024552
BAI1	0.024514
PLAU	-0.024510
CNIH3	-0.024505
ST3GAL5	-0.024463
DIP2C	0.024459
HDAC4	0.024351
GLIS1	0.024317
ABCA7	0.024316
PXDNL	0.024281
KIR2DS2	0.024259
SLITRK3	0.024256
TRIM47	-0.024249
SERTAD4	-0.024247
TRPC3	0.024205
HSD17B2	0.024192
FAM20C	0.024186
TNFSF14	0.024183
CPNE7	0.024133
COL20A1	0.024107
SLN	0.024086
LOC283278	0.024060
FAM3D	0.024039
MUM1L1	0.024024
ANO1	0.024022
SPINK5	0.023992
TMC5	-0.023954
DNM3OS	0.023890
SSR4P1	0.023875
KCNN4	-0.023820
TGFBR3	0.023816
NCF1	0.023768
ID3	-0.023768
SHISA2	0.023764
LINC01133	0.023751
TP53I3	0.023748
CWH43	0.023701
TRIM48	0.023634
CARD10	-0.023557
SHANK3	0.023516
TLE3	0.023512
CHST8	0.023511
CPM	0.023449
TMEM37	0.023446
NAT1	0.023391
COLEC11	0.023390
BCR	0.023356
TBX21	0.023350
SLC51B	0.023318
PKNOX2	0.023285
LRRC4C	-0.023242
GLI1	-0.023211
RYR2	0.023209
IL22RA1	0.023198
TMEM100	0.023185
OR7E5P	0.023159
F11	0.023095
MIG7	-0.023068
IYD	0.022929
MSH4	0.022894
TMEM200B	0.022884
CLDN1	-0.022819
FHOD3	0.022804
IFNA21	0.022747
NOG	-0.022728
ADORA3	0.022637
ST6GALNAC5	-0.022591
DAPP1	0.022569
ALDH8A1	0.022544
MAT1A	0.022522
KLF10	-0.022460
LRRC37A3	0.022451
RRAD	-0.022416
NXPH2	-0.022412
MFSD7	0.022406
PRB1	0.022375
EDN3	0.022365
GCNT2	-0.022361
S1PR5	-0.022304
TNFSF4	0.022295
TPO	0.022247
PERM1	0.022212
NEU4	0.022200
ETS1	-0.022179
VIPR2	0.022171
HOXA5	0.022109
FAM117A	0.022104
CACNA2D2	0.022096
IRF2BP2	-0.022072
CFP	0.022029
SYT16	-0.022024
SOCS1	0.022015
GPRC5A	-0.021999
LOC100130741	0.021986
TRGV7	0.021954
LOC441666	0.021933
LRIG3	-0.021924
TXNRD2	-0.021920
PLEKHG3	-0.021893
GPRASP1	0.021875
CCL3	-0.021861
ADRB1	0.021820
PLEKHO1	-0.021809
C15orf52	-0.021796
ZNF827	-0.021736
SLC30A2	0.021671
EMP1	-0.021658
HOXB9	-0.021633
SLC25A18	0.021631
NKD1	0.021585
OVGP1	0.021575
LOC101927598	0.021546
GRAP	0.021513
F2RL1	-0.021508
FCGR2B	0.021506
GPR62	0.021503
PHACTR3	0.021488
IL1B	-0.021469
INHBA	-0.021466
F2RL2	-0.021460
BDKRB1	-0.021458
ARAP2	-0.021434
MEF2C	0.021433
ID1	-0.021374
MYO10	-0.021361
LRRC17	0.021358
TDRD9	0.021355
GPR161	0.021324
PPP1R18	-0.021317
NDRG1	0.021293
FAM231D	0.021272
PPEF1	0.021271
ARSE	0.021258
MAP1LC3C	-0.021248
GPR35	0.021228
MAP2K3	-0.021220
LGALS12	0.021192
FBP2	0.021192
LOC727820	-0.021167
TMEM130	-0.021117
THSD1	0.021079
ZFP36	0.021077
PRRX1	0.021023
GSC	0.021015
PHLDB2	-0.021010
ADAMTS1	-0.020989
SEMA3G	0.020982
LMCD1	-0.020975
HTR1D	-0.020955
NELL1	0.020953
STAT5A	0.020928
BBS1	0.020919
KREMEN1	0.020917
IL17RA	0.020894
NR1H4	0.020881
MAGEB3	0.020876
USP24	0.020831
CLEC4G	0.020826
POU4F2	-0.020801
LINC01111	-0.020800
CHIA	0.020796
KCTD11	-0.020766
ART3	0.020761
NKD2	0.020720
NLRC4	0.020705
FGD6	-0.020701
PRB2	0.020698
CRYGC	0.020682
LINC00158	0.020678
SLC45A4	0.020647
SEMA5A	0.020627
GPR83	0.020607
KIAA1522	-0.020605
ADAMTS6	-0.020603
NPR2	0.020590
OLR1	-0.020581
EVPLL	0.020581
IGKC	0.020580
KCTD3	0.020562
TRAF1	-0.020543
TKTL1	0.020541
PNLDC1	0.020506
BCAR3	-0.020477
CCIN	-0.020474
CX3CR1	0.020456
TMEM154	-0.020433
TEKT2	0.020402
TBC1D10A	0.020396
TIAM2	-0.020384
CLDN22	0.020368
HECW1	0.020347
HEXDC	0.020339
FREM1	0.020338
IL25	0.020304
SLC30A1	-0.020295
WNT11	0.020281
TBC1D4	-0.020267
PGPEP1L	0.020235
BEND6	0.020194
KIAA1257	0.020133
C1QL2	0.020119
HES1	-0.020093
DNER	0.020067
LINC01114	0.020060
ZNF462	-0.020040
LYZL4	0.020029
FAM78B	0.020013
NRG2	0.019981
NLRP8	0.019971
UNC45B	0.019937
NAT8L	-0.019923
CDH22	0.019914
SMOC2	0.019879
SLC37A2	0.019877
CX3CL1	-0.019870
ACKR3	-0.019841
CCL20	-0.019841
DOK7	0.019815
NXF5	0.019792
C5	0.019762
AQPEP	0.019748
C12orf60	0.019745
TMEM61	0.019733
ARHGEF28	-0.019721
FAM183B	0.019720
GRHL2	0.019646
IGLL1	0.019642
BCL2L14	0.019633
NLRP5	0.019630
SLCO4A1	0.019619
CLCF1	-0.019583
SIRT2	0.019554
THAP4	0.019545
LINC00638	0.019518
DUSP2	-0.019496
IRF8	0.019487
TSNAXIP1	0.019445
SLC1A6	-0.019442
TRIM6	-0.019383
LNX1	0.019381
TLR5	0.019366
AMZ1	0.019362
SMAD3	-0.019342
ADCY5	0.019316
RGS20	-0.019299
FOSL1	-0.019289
FAM189A2	0.019282
