!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor)
!perturbation	Dexamethasone
!disease	hGRalpha - 100nM - 24 hrs
!end_metadata
TCEB3B	0.024899
CA4	0.024842
NPPC	0.024772
ENO2	-0.024759
ELFN2	-0.024704
LOC642620	0.024688
ZNF57	0.024632
HAS2	-0.024565
KCTD4	-0.024539
CPA4	-0.024459
THBS2	0.024444
HTR1A	0.024378
GPR56	-0.024333
OR52K3P	0.024333
PPEF1	0.024299
LACRT	0.024244
GPX8	-0.024238
NDRG1	0.024221
IGSF9	-0.024183
SNN	0.024114
AMZ1	0.024054
CHRNA7	0.024054
ZFP36	0.024018
CFP	0.023949
PHLDA2	0.023944
RAB7B	-0.023923
LOC102724631	0.023900
MAP1A	0.023839
LZTS1	-0.023827
LOC101926940	-0.023788
DPP4	0.023689
C15orf52	-0.023647
KBTBD11	0.023636
SGSM1	0.023577
ADTRP	-0.023552
DNAJC12	0.023540
PCSK5	0.023525
LOC729164	0.023461
TGFBR3	0.023296
CPNE7	0.023279
SHISA3	-0.023241
SLC29A1	-0.023192
YTHDF1	0.023154
LRRC4C	-0.023146
ABCB4	0.023127
AJUBA	-0.023123
TMEM45A	-0.023103
IGSF10	0.023080
BDKRB1	-0.022990
SHISA2	0.022955
EDNRA	0.022934
SLAMF7	-0.022929
NHS	-0.022902
GCNT4	0.022891
CHST8	0.022872
VDR	0.022835
VWC2	0.022746
GSTM1	0.022713
SFTA1P	-0.022713
BAMBI	0.022711
ZNF189	0.022706
MLYCD	0.022706
SLC43A2	0.022704
CCL26	-0.022693
HORMAD1	-0.022649
EFCAB6	0.022648
KREMEN2	-0.022626
SSUH2	0.022570
SEMA3G	0.022555
AKR1C3	0.022529
FAM135B	0.022527
LILRA6	0.022523
P2RY6	0.022509
SYTL3	-0.022480
PIEZO1	0.022444
NOS2	0.022437
ZNF114	-0.022432
ARL6IP5	-0.022406
ID2	0.022392
ABLIM1	-0.022382
NR1H4	0.022354
SOAT2	0.022343
ABCC8	0.022336
LINC00588	0.022272
POTED	0.022249
ANXA2R	0.022199
SPAG4	0.022141
UPK1B	0.022111
CLCN2	0.022067
ITIH3	0.022054
KIAA1958	-0.022038
MYL1	-0.021972
NANOG	0.021937
ANKRD1	-0.021933
GPRIN2	0.021924
METRNL	0.021923
NXPH1	0.021910
FAM83F	0.021900
C1QTNF2	-0.021877
KRT33A	-0.021872
ADRA1B	-0.021871
CCR7	0.021865
ADAMTS12	-0.021849
HIST1H1A	-0.021839
LPAR5	-0.021787
BBS1	0.021760
SALL2	-0.021749
RELT	0.021728
GPRC5A	-0.021725
IL24	-0.021721
FHOD1	-0.021718
DPY19L2P2	-0.021706
ZFYVE1	0.021689
PFN2	-0.021670
CEBPD	0.021618
FLNC	-0.021601
OPCML	-0.021600
NSDHL	0.021581
PXDNL	-0.021562
TMEM100	0.021541
KIAA1522	-0.021540
LOC101927598	0.021503
NCF1	0.021488
OLFML3	0.021452
ASIC1	-0.021433
AQPEP	0.021432
SARS2	-0.021389
TPO	0.021386
SLC2A14	0.021362
INGX	0.021347
TENM2	-0.021331
ERN1	0.021239
TMC5	-0.021235
TSPAN3	0.021212
ACSBG1	0.021173
CASP1	-0.021155
AWAT1	0.021134
MUM1L1	0.021126
ZNF280A	0.021124
ATP1A1	0.021101
LINC01186	-0.021097
MGLL	-0.021056
CCL1	0.020956
FAM9B	-0.020944
PPP1R14C	-0.020924
SOCS1	0.020919
VASN	0.020898
AGT	0.020883
ATP1A3	0.020882
RGS20	-0.020792
TMEM130	-0.020792
CAP2	-0.020781
CYP3A4	0.020778
NUAK1	-0.020741
IRX5	0.020720
HEXDC	0.020698
RNF149	0.020682
METTL7A	-0.020681
SLC16A5	-0.020679
ARHGDIB	-0.020631
PEX6	0.020631
C10orf111	0.020613
NTF4	-0.020575
CDCA7	-0.020553
PCLO	-0.020484
LOXL1-AS1	-0.020459
DYSF	-0.020455
KRT81	-0.020392
ITGB2	0.020391
CTNND2	0.020383
SCG5	-0.020351
RNF182	-0.020337
LINC00842	-0.020334
IGKC	0.020297
ST6GALNAC5	-0.020296
LRP8	-0.020275
ZNF404	-0.020261
IL1RAPL1	-0.020245
EPB41L3	-0.020240
CCDC42	0.020205
WNT11	0.020192
KRT83	-0.020180
PCBD1	-0.020172
PSD3	-0.020169
PPP1R3C	0.020160
SEL1L3	-0.020159
IL1RL1	0.020147
COL17A1	-0.020132
FAM43A	0.020099
NDRG3	-0.020097
OLAH	0.020096
RBFOX3	-0.020085
SSC4D	-0.020083
SIRT2	0.020068
PLAU	-0.020058
TPD52	-0.020051
PTRF	-0.020031
NEURL1B	-0.020029
SEPT9	-0.019988
SGK223	-0.019967
CCL3	-0.019958
EFCC1	0.019955
EPHA4	0.019954
KRTAP2-3	-0.019944
TXNRD1	-0.019943
TSC22D3	0.019933
FAM20C	0.019932
ATP1A2	-0.019924
ADAMTS1	-0.019872
TLE3	0.019861
CAPSL	-0.019859
HRCT1	-0.019858
SREBF1	-0.019852
DNM1	-0.019845
HCFC1R1	-0.019827
PSPN	0.019826
PLD1	-0.019812
RNASET2	0.019790
ADCY9	-0.019784
TTPA	-0.019783
CHST6	-0.019773
PMEPA1	-0.019770
TBX1	0.019755
FMNL1	-0.019745
LOC79160	-0.019730
PSRC1	-0.019706
OGFRL1	0.019697
CST6	-0.019657
BPIFA1	0.019649
DLL4	0.019637
TGFB2	-0.019629
S1PR5	-0.019531
PLCD3	-0.019522
SERPINC1	0.019521
EBPL	-0.019520
THSD1	0.019491
MOB3B	-0.019483
ACVRL1	0.019459
TPM4	-0.019451
NAT1	0.019430
TRPC3	0.019367
CHIA	0.019358
FGF4	0.019353
CYYR1	-0.019345
LURAP1L	-0.019342
ZCCHC5	-0.019339
NF2	-0.019332
PLS1	-0.019330
KCNJ15	-0.019250
RGAG4	0.019209
SLC2A3	0.019183
SSR4P1	0.019178
FAM207A	0.019162
TMEM74B	0.019160
ZPR1	0.019143
LRRC56	0.019141
CDH16	0.019106
GMPR	-0.019098
GRM7	0.019092
FAM27C	0.019086
PIM1	-0.019052
TIGD3	0.019042
TXNRD2	-0.019037
LINC00880	0.019014
TRIM22	-0.019010
BRS3	0.019009
DNPH1	-0.019001
STRBP	0.018990
ATP6V0E2	-0.018986
AGMAT	0.018951
SPINK5	0.018944
HBA2	0.018932
DPY19L2	-0.018916
GRAMD4	0.018907
IGK	0.018900
EDN2	-0.018840
MAF	-0.018825
EAF1	0.018822
IL18RAP	0.018801
FAM19A4	0.018781
ZFP2	0.018777
CRISPLD2	0.018773
INHBA	-0.018764
KRT37	0.018744
GBP1	-0.018722
FHDC1	0.018717
HEY1	0.018663
ZDHHC9	0.018648
NXF5	0.018639
ATP1A4	0.018634
APOLD1	0.018631
STX10	-0.018621
SMOC2	0.018615
BTN3A3	-0.018560
LRRC20	-0.018553
TMEM200B	0.018491
CC2D2A	-0.018490
C15orf39	-0.018455
LOC100288911	-0.018440
RSRP1	0.018437
LOC645427	0.018429
LIMCH1	-0.018415
OIP5	-0.018412
ABCB1	0.018411
KIAA1324	-0.018402
NOMO1	0.018383
FBP1	-0.018375
PLP2	-0.018374
GLIPR1	-0.018372
CAPN8	0.018366
BCAT1	-0.018359
DMXL1	0.018352
TRIM47	-0.018339
LOC101927811	-0.018334
KIAA1217	-0.018328
OR7A5	-0.018313
ZNF365	-0.018301
IL17RD	-0.018271
MAST4	0.018251
BHLHE40	-0.018228
TOR1AIP2	0.018225
TPBG	0.018224
EGR4	0.018214
CDCA3	-0.018212
SLCO4C1	-0.018193
SMCP	0.018171
HOXB9	-0.018168
PRRT2	-0.018162
PRAMEF1	0.018150
RGS16	0.018123
WDR60	0.018116
UBASH3B	-0.018112
IRF8	0.018096
CNIH3	-0.018069
EDIL3	-0.018054
PRR16	-0.018044
NFIC	-0.018040
EIF4A3	0.018039
MMP1	0.018014
LAMB3	-0.018010
