!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Bone marrow derived macrophages
!perturbation	Dexamethasone
!disease	10h  - 100nM
!end_metadata
FCER1G	-0.034498
SMPDL3A	0.034470
CYTIP	0.034309
OSBPL9	0.034305
STAB1	0.034285
CD68	-0.034279
HNRNPH1	-0.034223
CRIP1	0.034023
CCT6A	-0.033931
STMN1	0.033724
TXNRD1	-0.033659
AP1S2	0.033513
RBBP7	-0.033458
RPL30	-0.033373
PRSS16	0.033263
EMP1	0.033216
KIAA1598	0.033187
TYROBP	-0.032997
SPCS2	-0.032944
TCP1	-0.032785
FOS	0.032599
ZFP36L2	0.032496
MS4A7	-0.032024
WBP5	0.032014
SERPINB6	0.031936
CD300LD	-0.031904
GPI	0.031633
MAF	0.031601
NPY	-0.031567
SLC39A6	-0.031555
AZIN1	0.031542
ATP6V1F	-0.031415
ATP6V0C	-0.031403
PFN1	-0.031397
HMGCS1	-0.031257
MSRB1	0.031232
FMNL2	0.031140
PTPRC	-0.031077
GPR65	0.031028
SET	-0.031016
RTP4	-0.030821
MKNK2	0.030791
ERP29	-0.030671
CAT	-0.030609
OGFRL1	0.030582
UBC	-0.030454
ITGAM	0.030428
ALDH9A1	-0.030257
RHOB	0.029891
EEF1B2	-0.029871
IDI1	-0.029420
RPLP2	0.029403
KCTD12	-0.029107
PKP4	-0.029062
SGMS1	0.028739
SUMO2	-0.028563
FOXRED2	0.028306
C10orf54	0.028289
ELOVL1	-0.028285
FAU	-0.028127
GUSB	0.028098
MYLIP	-0.028087
NOP58	-0.027985
SH3BP5	0.027951
RAB7B	0.027914
SQLE	-0.027912
EPS8	0.027872
TFRC	-0.027810
RPS5	-0.027740
ARL4C	-0.027740
FRMD4B	0.027669
PGD	-0.027471
GABARAP	-0.027461
CMAS	0.027439
HADH	0.027338
CENPQ	0.027210
TP53INP1	0.027149
RPL18A	0.026989
RPS19	-0.026881
ARL8B	-0.026852
LASP1	-0.026608
MTHFD2	-0.026517
CKAP4	0.026454
RNF149	0.026216
RPL7A	-0.026151
CPEB4	-0.026111
PER1	0.025995
PSMC1	0.025878
RPS4Y1	0.025711
IRG1	-0.025612
SLC6A6	-0.025579
DDX5	-0.025556
WDR26	0.025463
TUBB2A	-0.025456
OAS1	-0.025380
GLTP	-0.025196
TNS1	0.024991
IFNGR1	0.024904
LYZ	-0.024882
UGP2	-0.024856
RPL19	0.024844
TMEM50A	0.024832
EEF1E1	-0.024721
GAS6	-0.024683
INSIG1	-0.024607
CASP1	-0.024511
KLHL9	0.024496
PLAU	-0.024479
RAB21	0.024438
CTSH	0.024329
SLC28A2	0.024287
CRY1	0.024252
CNDP2	0.024226
CD300LF	0.024134
OSBPL11	0.024114
RPLP0	0.024075
CDCA3	-0.024015
ADAM9	0.023991
PTGES3	-0.023843
NCOA4	-0.023824
WEE1	0.023778
DOCK10	0.023743
FKBP2	-0.023668
IQGAP1	-0.023554
AKR1B10	-0.023412
UCP2	0.023364
WDFY2	0.023339
EZR	0.023254
NIPSNAP3A	-0.023159
TRPT1	0.023146
CEPT1	0.023068
MCL1	0.023036
FAM198B	-0.023035
CLEC7A	-0.022943
ATP8B4	0.022892
LNPEP	0.022861
HSPA8	-0.022821
NCEH1	-0.022792
ESD	0.022763
ALDOA	-0.022738
PRKACB	0.022660
MSMO1	-0.022649
LGMN	0.022555
METTL7A	0.022535
LY9	-0.022363
NEK9	0.022283
RSAD2	-0.022121
YBX3	-0.022020
C15orf48	0.021981
WSB1	-0.021963
JUN	0.021891
DCXR	0.021888
ZFP36L1	0.021754
MYO10	0.021655
LAMTOR5	-0.021613
ANXA1	-0.021583
PICALM	0.021418
TMEM256	-0.021392
GDAP2	0.021353
RPS29	-0.021333
KLF4	0.021291
CD36	-0.021189
TUBA1B	-0.021141
PPIA	0.021024
PTPN6	-0.021009
KLF13	0.020959
CD53	-0.020851
LARP4B	0.020835
PAIP2	0.020780
DSTN	0.020717
ACTR3	-0.020626
RDX	0.020533
PRMT1	-0.020518
SH3BGRL3	0.020514
NHP2	-0.020479
EIF3F	0.020464
DTNBP1	-0.020439
BIRC3	0.020400
GAB3	0.020399
RILPL2	-0.020369
NINJ1	0.020348
MYO1F	-0.020338
SPRYD7	0.020308
FCHO2	0.020232
KCNN4	-0.020219
ZFAND2A	-0.020123
TOMM20	-0.020108
TIMM17A	-0.020085
TPT1	0.020084
SIRPA	-0.020060
SQRDL	0.020015
CLEC4D	0.019935
GPRC5B	0.019829
ATP5O	-0.019800
HPGDS	-0.019792
EMILIN2	0.019700
LYN	0.019691
NCF2	0.019685
ATP6V1D	-0.019671
TMEM14C	-0.019657
C4orf27	-0.019638
NDRG1	0.019610
TBC1D15	0.019543
CYCS	-0.019445
HP	0.019347
F13A1	0.019343
PCBP2	0.019292
RPS7	-0.019240
ITGB2	0.019234
BRI3	-0.019170
NACA	-0.019165
ATP7A	0.019162
COMMD3	-0.019089
CADM1	-0.019018
EMG1	-0.019007
DRAM2	0.018969
NRP2	-0.018957
MYO5A	0.018951
RNF13	-0.018941
PTGER2	0.018890
MSR1	0.018881
CCL4	-0.018854
TRIM25	-0.018791
KIAA0100	0.018766
IDH1	0.018611
CAMK1	-0.018608
PTPRA	-0.018603
HINT1	0.018592
HSP90AB1	-0.018549
SDCBP	-0.018548
CKS2	0.018511
SPDL1	-0.018509
SRSF7	-0.018451
TIPIN	-0.018385
TSPAN14	0.018366
PACSIN2	0.018333
SLC31A2	0.018328
CAPG	-0.018309
ANXA2	0.018290
EMB	0.018259
GNG2	0.018241
FAM134B	-0.018180
COX7A2	-0.018166
DYNLL2	-0.018139
HPRT1	0.018128
MDFIC	-0.018127
CHMP5	0.018106
EEF1G	-0.018071
AKR1A1	-0.018008
AIFM1	0.017947
TCN2	0.017898
KIAA1522	0.017897
FAM3C	-0.017846
VIPAS39	-0.017838
NPM1	-0.017827
AP3S1	0.017811
PLP2	-0.017786
MDH2	-0.017783
TMX4	-0.017770
AHCY	0.017739
PDPN	-0.017735
ABCG1	-0.017704
TBK1	0.017691
SRSF1	-0.017686
ARL6IP1	-0.017623
WDR3	0.017537
ADH5	0.017524
REXO2	-0.017472
COX17	-0.017440
GNPTAB	0.017400
NR1D2	-0.017372
RAPGEF2	0.017355
HAX1	-0.017260
GALNT1	0.017232
ID2	-0.017147
HNRNPAB	-0.017116
MAT2A	-0.017030
EFHD2	-0.016991
FBLIM1	-0.016987
CEBPB	0.016974
PLEKHO1	-0.016973
MTHFS	0.016952
STXBP3	0.016947
HNRNPA0	-0.016892
ARHGDIA	-0.016869
DDX39A	-0.016858
MYL6	-0.016846
ATF4	-0.016792
MYO1G	0.016781
MDH1	0.016735
TCP11L2	0.016682
CYP51A1	-0.016649
JADE2	0.016603
MOSPD1	0.016586
STX4	-0.016584
DNAJB14	-0.016491
IRF2	0.016458
UQCRB	-0.016451
DPY30	-0.016420
P4HB	0.016362
NDUFB7	-0.016340
CLEC4E	0.016338
CAV2	-0.016326
MRPL20	-0.016295
RPL36AL	-0.016265
PSMD1	0.016255
SRSF2	-0.016245
KIAA0101	-0.016242
ATP5L	-0.016215
FDFT1	-0.016192
VAMP8	-0.016161
NT5DC2	0.016134
RPS2	-0.016089
CACYBP	-0.016086
PTPLAD2	-0.016060
INPP5D	0.015976
PTPLB	0.015975
C9orf3	0.015967
CCNY	0.015965
MORF4L1	0.015960
SNX24	0.015934
PSENEN	-0.015920
SCP2	0.015915
RPL39	0.015904
PDLIM4	-0.015877
FEZ2	0.015848
RAMP2	0.015813
GLUD1	0.015805
KIAA1841	0.015798
VWA5A	-0.015717
SOAT1	0.015712
LAPTM5	0.015702
SLC31A1	0.015700
RPL10	-0.015689
CXCL16	-0.015679
MUT	0.015678
SMAD4	0.015665
CALR	-0.015619
DUSP4	-0.015605
PRKCB	-0.015599
SLC39A10	-0.015580
RPS17	-0.015579
NDUFC1	-0.015562
CRLF2	0.015515
SCD	-0.015490
RAB8B	-0.015465
MARCO	0.015428
KRTCAP2	-0.015346
ITPRIPL2	-0.015307
CD302	-0.015291
CDKN2C	0.015276
