!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Bone marrow derived macrophages
!perturbation	Dexamethasone
!disease	1h  - 100nM
!end_metadata
ASF1B	-0.012439
RNF13	-0.012429
SPC25	-0.012420
IRF2BPL	-0.012400
NDUFB3	0.012398
SLCO4A1	-0.012373
STX2	-0.012367
HNRNPH1	-0.012338
LRP12	-0.012335
S100A8	0.012328
YBX1	-0.012322
PRRC2C	-0.012320
TMEM55A	-0.012316
KIAA1551	0.012297
ATP5J	0.012294
C11orf54	0.012287
ACAT2	-0.012269
MYC	0.012256
ADAM8	0.012235
FOXRED2	0.012234
CASP8	-0.012209
PANK3	-0.012202
C3AR1	-0.012188
SC5D	-0.012180
KLF2	0.012105
STMN1	-0.012097
PACSIN2	0.012096
MORF4L1	0.012061
IKBKE	0.012055
RAN	-0.012038
SSR3	0.012029
TUSC3	0.011979
ANTXR2	-0.011974
IL2RG	-0.011968
BLVRB	0.011966
EMC2	0.011934
G3BP2	-0.011913
FAM69A	-0.011909
PKP4	-0.011804
PABPN1	-0.011800
PARL	0.011789
REEP5	-0.011762
C7orf60	-0.011761
DAP	-0.011756
RBM7	-0.011742
MPC2	0.011733
OTUD1	0.011704
ADAM9	0.011689
WAS	-0.011687
PSMA5	-0.011680
LGALS3BP	-0.011588
TRAPPC8	-0.011560
SPRYD7	0.011546
CAV2	-0.011540
TAB2	-0.011533
MEF2BNB	0.011518
CLINT1	-0.011510
MRC1	-0.011496
CXCL3	0.011495
C6orf62	-0.011473
PSMB5	0.011447
SNRNP40	0.011411
RPS21	-0.011369
SERTAD1	-0.011363
OAT	-0.011351
SYCE2	0.011350
POMP	-0.011342
GAS2L3	-0.011314
LMO4	-0.011291
RPL28	0.011289
CKS2	-0.011259
MBNL1	0.011258
CLIC4	0.011197
TMED10	-0.011180
PSME1	-0.011177
USP25	-0.011158
MRFAP1	-0.011132
PICALM	0.011113
CALR	-0.011093
FAM50A	0.011084
LY9	-0.011055
CHORDC1	-0.011047
KIF5B	-0.011042
MTHFS	0.011040
HSPA8	0.011026
CYBB	-0.011000
STT3A	-0.010988
CCNI	-0.010980
ORMDL1	-0.010969
CTBP1	-0.010904
GOLGA7	-0.010885
TCEAL8	0.010866
CWC15	0.010862
BAX	0.010857
RPL30	-0.010836
TRIM25	-0.010797
PARK7	0.010776
DAZAP2	-0.010771
RABAC1	-0.010753
AHNAK	-0.010749
