!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Bone marrow derived macrophages
!perturbation	Dexamethasone
!disease	4h  - 100nM
!end_metadata
BTG1	-0.024471
GADD45B	-0.024229
THBD	0.024197
ATP5G3	0.024146
LNPEP	0.024064
ID2	-0.024047
TMEM50A	0.023955
FAM129B	-0.023894
ALCAM	-0.023806
TPI1	-0.023804
ATF1	-0.023698
ADRB2	0.023641
SLC20A1	0.023632
FTH1	0.023592
MGST3	0.023535
ACADM	0.023492
SLC40A1	-0.023481
STXBP3	0.023474
GDAP2	0.023445
CDT1	-0.023433
PPIB	0.023350
WSB1	-0.023327
RAPH1	-0.023302
HAVCR2	0.023235
CTSD	-0.023163
ELOVL1	-0.023115
EMP1	0.023113
LDHA	-0.023111
RPL7A	-0.023001
PSME2	-0.022959
PSMD8	-0.022892
FAU	-0.022829
RPL9	-0.022789
LHFPL2	-0.022776
RNF169	0.022656
C9orf3	0.022587
RPL13A	-0.022578
ALDOA	-0.022563
MYO10	0.022556
TAGAP	0.022527
FAM134B	-0.022508
ZFP36L1	0.022495
FDFT1	-0.022490
EEA1	-0.022483
CD47	0.022405
FAM20C	-0.022280
ALOX5AP	0.022236
C15orf48	0.022205
SIRPA	-0.022204
HEXA	-0.022198
RPL39	0.022068
SLC30A4	0.022013
DTNBP1	-0.022009
PACSIN2	0.021917
KIAA0101	-0.021871
PAOX	0.021807
STARD4	-0.021700
RPL35A	-0.021677
SLC6A6	-0.021667
RPS2	-0.021595
SLC39A6	-0.021465
LYZ	-0.021463
AHSA1	-0.021397
OGFRL1	0.021367
TNS1	0.021346
PSMC1	0.021345
AKR1A1	-0.021293
RASGEF1B	-0.021245
ERBB2IP	-0.021243
RPL12	-0.021196
CD5L	-0.021183
S100A4	-0.021093
TMOD1	0.021079
LRRC8A	0.020976
NDUFV3	-0.020961
ATP6V1F	-0.020946
RPL3	-0.020865
SRSF2	-0.020797
RPL30	-0.020745
CD14	0.020716
TSPAN14	0.020707
ITM2B	-0.020698
NDRG1	0.020590
USO1	0.020577
RPL26	-0.020528
DNAJB14	-0.020511
TIPIN	-0.020486
TCP1	-0.020451
CITED2	0.020245
SAT1	-0.020224
MTHFD2	-0.020219
TUBB2A	-0.020166
PRSS16	0.020150
EIF3F	0.020123
GMNN	-0.020070
MDFIC	-0.020011
KCNN4	-0.019880
ACTG1	-0.019846
CTSS	0.019814
LITAF	-0.019763
B3GNT2	-0.019727
STMN1	0.019634
RPLP2	0.019542
TUBA1B	0.019535
NRP2	-0.019531
RPS23	-0.019464
HPGDS	-0.019462
CMAS	0.019424
SPP1	-0.019373
EID1	-0.019343
PANK3	-0.019329
PGD	-0.019287
C1QA	0.019261
IER3	-0.019134
DNMT1	-0.019001
SET	-0.018989
TMEM86A	-0.018976
TNF	-0.018974
FLVCR1	-0.018936
MCM4	-0.018905
TLR2	-0.018854
GNAI2	-0.018844
EDEM3	0.018780
TMEM261	-0.018759
SLC43A2	0.018680
RPS26	0.018615
ATP5H	-0.018587
HSP90B1	-0.018574
TIMP2	-0.018535
RPL13	0.018506
SH3PXD2B	0.018486
RANBP1	-0.018435
CD83	-0.018277
ABL2	0.018265
UCP2	0.018261
RAN	-0.018254
RPL18	-0.018229
DSTN	0.018203
ATP5O	-0.018104
AMD1	0.018016
ZEB2	-0.017987
LONRF3	-0.017985
MAD2L1	-0.017959
RBPJ	-0.017892
COMMD3	-0.017877
STARD8	0.017873
PSEN2	0.017824
PLA2G7	0.017768
DUSP4	-0.017746
MAP7D1	-0.017724
RPL18A	-0.017717
DNAJC8	-0.017663
TFRC	-0.017659
ATP6V1D	-0.017656
CCNY	0.017607
FRMD4A	0.017518
TPT1	0.017480
LMO4	-0.017469
DDX3X	-0.017461
CHCHD2	0.017380
PAIP2	0.017352
GPX1	0.017334
MMP12	-0.017296
HADH	0.017239
TANC1	0.017207
PIK3AP1	-0.017164
P4HB	0.017135
CDCA3	-0.017074
RPS17	-0.017028
PSMD14	0.016986
C9orf85	0.016968
RPLP0	0.016966
GAS6	-0.016949
GADD45A	-0.016925
RAB9A	-0.016911
LASP1	-0.016867
ALDH9A1	-0.016864
PLD3	-0.016850
VBP1	-0.016818
HN1	-0.016797
SSB	-0.016789
MFSD1	-0.016778
B4GALT5	-0.016734
NINJ1	0.016718
KIF5B	-0.016686
IGSF6	0.016655
RGS19	-0.016650
JTB	-0.016616
SERPINB6	0.016589
IFNGR1	0.016588
ABCG1	-0.016555
IQGAP1	-0.016551
NACA	-0.016544
CASP1	-0.016511
CIPC	0.016486
CENPA	-0.016477
RCSD1	0.016437
RPS14	-0.016437
KIAA0922	0.016425
TMEM55A	-0.016395
PFDN4	-0.016350
TMEM60	-0.016350
CYTH3	0.016349
ADSSL1	0.016279
HIF1A	-0.016254
ATP6V0C	-0.016222
SRSF7	-0.016199
CLEC7A	-0.016198
AHNAK2	-0.016185
UBE2S	-0.016178
MLXIP	0.016160
CAPNS1	-0.016149
KLHL24	0.016082
WBP5	0.016043
BIRC3	0.016027
MS4A7	-0.015988
FAM3C	-0.015977
PKP4	-0.015973
HINT1	0.015971
BHLHE40	-0.015937
RASA3	-0.015884
VIPAS39	-0.015819
ATP8B4	0.015810
ITPRIPL2	-0.015799
C6orf62	-0.015744
RTN4	-0.015744
CDK18	-0.015724
TOP1	-0.015693
AP1S2	0.015689
ROCK1	-0.015689
HIST1H1C	-0.015645
LPHN2	-0.015638
ZCRB1	-0.015545
ADAM9	0.015545
ANXA4	0.015541
ZNRD1	0.015518
APP	-0.015488
HSPA8	-0.015487
ICAM1	-0.015486
SASH3	-0.015473
BIRC5	-0.015431
SMURF2	0.015409
AGPAT4	-0.015398
MAN1C1	0.015322
ESD	0.015306
TMEM68	-0.015301
SNRNP27	-0.015283
VAMP8	-0.015225
SNRPD2	-0.015217
CORO1A	-0.015178
UQCRB	-0.015111
MSRB1	0.015068
MTDH	0.015060
LAT2	-0.015043
