!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Bone marrow derived macrophages
!perturbation	Dexamethasone
!disease	2h  - 100nM
!end_metadata
TKT	0.019168
LEPROT	0.019082
IRF2BPL	-0.019070
FLI1	-0.018978
DDX6	-0.018976
RPS5	-0.018856
RBBP7	-0.018839
RPL35	-0.018816
P2RY6	-0.018807
RPS27L	-0.018614
DTNBP1	-0.018607
PACSIN2	0.018512
TAF9	-0.018458
ID2	-0.018433
UQCRFS1	-0.018291
NDUFV3	-0.018231
TMEM14C	-0.018178
CD44	-0.018167
SNRPD2	-0.018135
CLIC1	0.017957
IRG1	-0.017921
RPS2	-0.017858
SLC30A4	0.017830
INSIG1	-0.017824
NDUFB7	-0.017816
CTSV	0.017798
UQCRC2	0.017795
LMO4	-0.017760
RHOJ	0.017755
ANKRD16	0.017755
OSBPL8	-0.017641
ARHGDIB	-0.017403
TYROBP	-0.017360
DSE	0.017348
XBP1	-0.017340
RDX	0.017288
KIAA0101	-0.017264
CREG1	0.017254
PPP1CA	0.017236
LILRB4	0.017124
ARL6IP1	-0.017106
NPC2	0.017080
DRAM2	0.017064
ZC3H12D	-0.017036
VPS26A	0.017027
C11orf54	0.017017
PGD	-0.016946
ITM2B	-0.016931
GNG10	-0.016868
LPAR6	-0.016823
LYL1	-0.016821
HSD17B12	0.016746
UQCR11	-0.016730
RTP4	-0.016717
POLR2J	-0.016711
CD72	0.016664
LAMP2	-0.016597
B4GALT5	-0.016596
COMMD3	-0.016581
SUPT5H	0.016531
C15orf48	0.016527
RPS14	-0.016476
SIRPA	-0.016470
CYFIP1	-0.016468
GPNMB	0.016461
SARAF	-0.016391
NUDC	0.016385
HAVCR2	0.016356
RPL7A	-0.016315
GPR183	0.016292
CHCHD2	0.016137
RPL31	-0.016077
CYC1	0.016071
RHEB	-0.016026
GCLM	-0.015987
RPL24	0.015981
RPL10	-0.015954
LASP1	-0.015913
BAX	0.015903
DUSP6	0.015853
TMEM87B	0.015832
TBC1D14	0.015826
TXNRD1	-0.015774
WWP1	0.015760
ADAP2	0.015750
PF4	0.015720
ATP5G2	-0.015720
ATOX1	-0.015700
TMX1	0.015672
ARF6	-0.015666
B3GALNT1	0.015610
CD300C	-0.015598
SH3BP5	0.015549
SERINC3	0.015548
ATP5B	0.015513
LONRF3	-0.015459
NCEH1	-0.015401
YBX1	-0.015341
PSMC1	0.015299
C20orf24	-0.015251
EIF4A1	-0.015249
APOE	0.015211
VPS29	-0.015206
SLC33A1	-0.015205
SCD	-0.015197
GABARAP	-0.015194
CERS2	-0.015190
C6orf62	-0.015147
LARP4B	0.015145
HN1	-0.015131
TGFBR1	0.015128
GCNT1	0.015111
ABRACL	0.015085
SP3	0.015050
TIMM17A	-0.015044
ST8SIA4	-0.014989
ATP6AP2	0.014983
LHFPL2	-0.014940
DNAJB14	-0.014864
RAB21	0.014853
MYADM	-0.014820
GYG1	-0.014719
BLNK	0.014680
PAOX	0.014649
CLIC4	-0.014634
SNX24	0.014599
TMEM86A	-0.014597
ASAH1	0.014589
MORF4L1	0.014576
ANXA1	-0.014448
NDUFB9	-0.014435
SERPINB6	0.014418
H2AFV	-0.014398
KIF5B	-0.014394
TDRD7	0.014382
HNRNPK	0.014376
SKAP2	0.014321
SPDL1	-0.014298
SNX18	0.014205
GDAP2	0.014192
RNASE4	0.014155
C1QA	0.014119
GNG5	0.014117
SSB	-0.014070
CSGALNACT2	-0.014065
LRRC58	0.013985
LGALS1	0.013978
SLC25A3	0.013975
IRF5	0.013974
ENC1	-0.013939
HNRNPDL	0.013919
LRRC8A	0.013911
RBPJ	-0.013904
FAM50A	0.013872
CENPQ	0.013862
CYTH3	0.013794
SLC40A1	-0.013785
XPOT	0.013779
RNF149	0.013774
EZR	0.013773
SRP14	-0.013766
TMEM126A	0.013765
NPY	-0.013686
IDH1	-0.013672
NDUFA8	-0.013662
MAT2A	-0.013642
USO1	0.013621
C15orf39	0.013580
PARL	0.013579
KCTD12	-0.013546
RELA	-0.013543
MAP2K1	0.013529
GUSB	0.013515
HK3	-0.013462
FDFT1	-0.013432
UBE2A	-0.013380
CAP1	-0.013366
SH3BGRL	0.013363
PSMA3	-0.013352
RPN1	0.013350
LAMTOR5	-0.013328
LAMP1	0.013287
ZC3H12C	0.013254
EMB	0.013227
NDUFV2	-0.013194
DHX9	0.013139
RBM43	0.013139
SLC3A2	-0.013128
MSL3	0.013111
DCK	-0.013111
RPS18	-0.013096
FEZ2	0.013059
CYBB	-0.013056
MTHFD2	-0.013052
MSN	-0.013006
