!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Bone marrow derived macrophages
!perturbation	Dexamethasone
!disease	24h  - 100nM
!end_metadata
TCN2	0.043012
ITGAM	0.042827
SLA	0.042805
BLNK	-0.042572
IGSF6	0.042402
LAPTM4A	0.041841
PID1	0.041733
OSBPL8	-0.041675
KLHL6	0.041620
KCNN4	-0.041577
PLIN2	0.041565
PEX13	0.041426
GUSB	0.041106
ALDOA	-0.041072
HMOX1	0.040911
HNRNPH1	-0.039806
B3GALNT1	0.039535
RGS1	-0.039418
ELOVL5	0.038846
ALOX5AP	0.038532
EMILIN2	0.038271
GDA	0.038254
HP	0.038164
LILRB4	-0.038143
ATP5G3	0.037901
SNX3	0.037635
GNS	0.037624
AKIRIN1	0.037600
DCXR	0.036663
ATF3	-0.036548
TBCA	-0.036456
SNX5	0.036161
CD164	0.036079
STAP1	-0.036067
NPC1	0.036028
PSME2	-0.035899
SLC43A2	0.035880
PLP2	-0.035846
CD300LB	-0.035749
EMP3	-0.035608
MSR1	0.035530
MPEG1	0.035279
PF4	0.035180
ALCAM	-0.035103
RAB31	0.034961
TPT1	0.034902
ALDH9A1	-0.034817
VDAC2	-0.034766
MMP8	0.034648
SPOP	0.033966
MID1IP1	-0.033680
IFRD1	-0.033133
SH3KBP1	0.033049
TLR7	0.033014
CD300LD	-0.032421
SNX2	0.032410
RPL18A	0.031940
SH3BGRL3	0.031859
TM6SF1	0.031538
FABP5	-0.031239
YPEL5	0.031234
SGK1	0.030961
WBP5	0.030932
KLF6	0.030906
CTSD	-0.030841
LAT2	-0.030822
CD14	-0.030786
GYG1	-0.030664
SLC15A3	-0.030639
BCL2A1	0.030543
SOAT1	0.030372
GLRX	0.030319
HIST1H2BI	-0.030271
CSTB	-0.030268
CCT6A	-0.030141
CD44	-0.029863
FRMD4B	0.029547
CD300C	-0.029477
RPS17	-0.029211
B4GALT1	0.029174
MTHFS	0.029171
GRN	0.029168
ERP29	-0.029154
S100A6	0.029131
PKM	-0.028958
FDPS	-0.028951
ATP1B3	0.028950
PGD	-0.028948
TXN	-0.028928
AHSA1	-0.028845
HIST1H1C	-0.028785
ARPC3	0.028663
IDH1	0.028594
CNDP2	0.028561
ANXA2	-0.028429
LASP1	-0.028266
CD28	-0.028201
OGFRL1	0.028112
RPL4	-0.028041
EEF1A1	0.027990
GLTP	-0.027938
TYROBP	-0.027797
PSMD8	-0.027781
RPL12	-0.027751
CRIP1	0.027733
SDC4	0.027732
SLC39A6	-0.027402
HMGCS1	-0.027190
CLTA	0.027093
LYN	0.026817
DAB2	0.026526
EMB	0.026395
EFHD2	-0.026231
BLVRB	-0.025985
RPL28	0.025943
RRAGC	-0.025927
GPNMB	0.025852
VAPA	0.025769
HSPA5	0.025665
GDI2	0.025603
MS4A7	-0.025547
EEF1G	-0.025515
DDIT4	0.025493
EMP1	0.025363
GSN	-0.025358
MTHFD2	-0.025285
PFN1	-0.025234
PTPRA	-0.025230
ADAM9	0.025181
APOC2	0.025181
MIF	-0.024996
RPLP2	0.024987
CAPG	-0.024938
DUSP6	0.024931
TRIM25	-0.024897
OAS1	-0.024859
PCBP2	0.024833
ANTXR2	-0.024627
SH3BP5	0.024607
RPLP0	0.024570
MYLIP	-0.024418
CNBP	-0.024418
CLEC7A	-0.024335
RILPL2	-0.024319
PRSS16	0.024206
PPIA	0.024190
FTH1	0.024142
TUBA1B	0.024071
TCP1	-0.023848
RTP4	-0.023834
YBX3	-0.023784
SNX24	0.023725
HINT1	0.023684
TXNRD1	-0.023619
PRKACB	0.023607
RPS4Y1	0.023520
TMEM256	-0.023486
ZFP36L1	0.023346
IRG1	-0.023344
EPS8	0.023311
PLAU	-0.023267
KLHL9	0.023225
MYO5A	0.023180
ARL4C	-0.023158
ATP8B4	0.023017
EZR	0.023015
RAN	-0.023013
HSP90B1	0.022868
ATP5O	-0.022868
RDX	0.022858
CST3	-0.022771
CYB5A	-0.022604
FMNL2	0.022547
ATF4	-0.022537
RPS27A	0.022448
CEPT1	0.022408
MYL6	-0.022310
PER1	0.022230
PMP22	0.022179
MSRB1	0.022172
DSTN	0.022151
LGALS1	-0.022085
C14orf166	0.022083
SPTSSA	0.022071
IL2RG	-0.021991
RNF128	-0.021990
AP1S2	0.021971
TUBB2A	-0.021915
KIAA1598	0.021883
QPCT	-0.021838
EMR1	0.021660
AKR1B10	-0.021620
MGST1	0.021607
HMGN1	-0.021546
RAB7A	0.021382
SLC6A6	-0.021361
ATP6V1A	-0.021297
TSPAN13	-0.021233
RHOQ	0.021222
RPS11	0.021148
FAM129B	-0.021067
JUN	0.021032
CLEC4A	0.020950
RPS7	-0.020945
GMFG	0.020808
GPR65	0.020802
IQGAP1	-0.020750
YWHAH	-0.020680
ATP6V1F	-0.020649
CASP1	-0.020633
RHOJ	0.020537
SCP2	0.020537
SAMHD1	0.020526
RBBP7	-0.020491
CDCA3	-0.020449
LARP4B	0.020447
MIS18A	0.020365
RHOB	0.020327
SDHB	-0.020233
HEXA	0.020218
LAMP1	0.020215
CAT	-0.020151
SGMS1	0.020036
WDFY2	0.019950
GCLM	-0.019882
ARL8B	-0.019879
PGK1	-0.019876
ENO1	-0.019776
RTN4	-0.019769
VIPAS39	-0.019666
MAF	0.019641
CPEB4	-0.019591
RPS6	-0.019475
UCP2	0.019409
RPL31	-0.019381
GAB3	0.019380
RPS19	-0.019318
GPRC5B	0.019183
RAB5C	0.019181
UGP2	-0.019131
FAM198B	-0.018983
GPI	0.018901
SLC31A2	0.018880
FXYD5	-0.018723
LY9	-0.018676
NCOA4	-0.018641
DEGS1	-0.018538
PPP1CA	0.018489
TREM2	-0.018489
RAB32	0.018337
RPS2	-0.018269
DOCK10	0.018247
PLD3	-0.018206
TMEM50A	0.018192
PSME1	-0.018091
KIAA1551	0.018086
PSENEN	-0.018081
IFNGR1	0.018055
CD93	0.017965
NRP1	0.017963
MFSD1	0.017958
UBC	-0.017911
GNG2	0.017903
CCL3L3	-0.017861
MDH2	-0.017824
MSMO1	-0.017703
C7orf60	-0.017695
FNIP2	-0.017683
TNS1	0.017542
SLC28A2	0.017462
CYTIP	0.017456
ASNS	-0.017420
NPL	0.017364
CTSS	0.017350
CERS2	-0.017347
APOA1BP	-0.017314
MFGE8	-0.017307
PPIB	0.017306
WSB1	-0.017285
CCL4	-0.017262
SWI5	-0.017232
OSBPL11	0.017231
TMX4	-0.017185
BLVRA	0.017164
FAU	-0.017135
PKP4	-0.017125
ELOVL1	-0.017092
VDAC3	-0.017083
PSMC1	0.017014
PLEKHO1	-0.016986
NPM1	-0.016960
KIAA0100	0.016938
AIFM1	0.016912
OSBPL9	0.016908
AP3S1	0.016904
VIM	0.016880
WDR3	0.016875
SLC31A1	0.016791
GNG5	0.016745
CMPK1	0.016744
ABCG1	-0.016738
UQCRC1	-0.016680
PICALM	0.016649
KLF4	0.016498
RPL8	-0.016484
DGKZ	0.016364
BIRC3	0.016362
CD300A	-0.016334
FAM134B	-0.016329
SLC20A1	-0.016296
SPCS2	-0.016293
ASAH1	0.016272
CD300LF	0.016247
SNRPD2	-0.016186
SCD	-0.016153
CD53	-0.016144
PTGER2	0.016110
TSPAN4	-0.016105
KLF13	0.016099
PIK3R1	0.016061
PACSIN2	0.016047
MFSD11	0.016035
CHMP5	0.016017
CKAP4	0.015960
LNPEP	0.015954
RPL37	0.015917
SYNGR1	-0.015915
PDPN	-0.015909
C6orf62	-0.015898
DUSP4	-0.015869
ZFAND2A	-0.015867
CEBPB	0.015849
NCAPG2	0.015778
B4GALT6	-0.015774
SULF2	-0.015670
DRAM2	0.015631
HHEX	-0.015604
ZRANB3	-0.015590
TSPAN14	0.015536
AHCY	0.015532
WEE1	0.015510
ATXN10	-0.015454
PNP	0.015436
GALNT1	0.015426
DAP	-0.015426
IRF2	0.015416
COX6A1	-0.015407
DDX5	-0.015397
ALDOC	-0.015332
BHLHE40	-0.015309
ADH5	0.015286
ATP6AP2	0.015267
GADD45B	-0.015258
NDRG4	-0.015151
FEZ2	0.015142
ATP5J	0.015078
NDFIP1	0.015063
TFRC	-0.015062
ST8SIA4	-0.014990
PRMT1	-0.014985
NAP1L1	-0.014952
PI4KA	-0.014938
ANG	0.014926
PDIA6	0.014924
NCF2	0.014892
DYNLL2	-0.014856
HCK	0.014855
MDFIC	-0.014852
IQGAP2	0.014845
NME2	-0.014842
RPS20	0.014840
SERPINE2	0.014799
MYO10	0.014793
MAN1C1	0.014784
GNPTAB	0.014774
RPL39	0.014750
NARS	-0.014740
EIF3F	-0.014735
IK	-0.014733
PPARG	-0.014694
HAX1	-0.014692
TP53INP1	0.014685
HSP90AB1	-0.014643
LY6E	0.014621
RGS10	-0.014609
AP2S1	0.014587
BRI3	0.014547
GNAI2	-0.014515
HGSNAT	0.014374
PTPN6	-0.014352
NT5DC2	0.014241
CD47	0.014238
SQLE	-0.014233
PTPRE	-0.014219
RBMS1	0.014202
MCM6	0.014189
PTPLAD2	0.014123
ATOX1	-0.014094
RPS28	0.014030
MYO1F	-0.013992
SAP30	-0.013831
RPL18	-0.013830
C1QBP	-0.013819
SMAD4	0.013796
RPL13A	-0.013792
HSD17B12	-0.013789
RNF150	0.013767
INSIG1	-0.013755
C20orf24	0.013753
STARD3NL	0.013732
RPL9	-0.013727
CORO1A	-0.013708
RANBP1	-0.013700
EMG1	-0.013699
HAVCR2	0.013676
NOP58	-0.013675
