!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	LUNG (cultured lung explant)
!perturbation	Dexamethasone
!disease	100 nM - 24 hrs
!end_metadata
PPIA	-0.026778
G0S2	0.026772
COX2	-0.026727
NDN	-0.026674
RPL12	-0.026583
HBP1	0.026511
TMBIM6	0.026412
ASAH1	0.026346
MTCH1	0.026289
EIF4EBP1	0.026244
COX7A2L	0.026154
RSC1A1	0.026146
IGF2R	0.026091
C10orf10	0.026090
MRPL14	0.026013
RPS13	0.025915
MCM5	-0.025809
CHCHD10	0.025745
COL6A1	0.025653
EEF1G	-0.025494
SYVN1	0.025314
HIST1H2AM	-0.025297
AREG	0.025180
FAM49A	0.025152
NPC2	0.025060
ATOX1	0.025048
GLG1	0.024989
TBX4	0.024958
PLP2	0.024950
LRPAP1	0.024855
CDCA7	-0.024725
CARKD	0.024710
RNASET2	0.024704
SSR2	0.024684
TMEM38B	0.024675
GAPDH	0.024589
RAP1B	0.024511
STBD1	0.024277
RPL37	-0.024272
SLC2A1	0.024228
HIST1H2AJ	-0.024209
PDPN	0.024070
ID1	0.023973
GPRC5A	0.023911
TSC22D3	0.023910
KRT7	0.023883
PSMD4	0.023333
FCGRT	0.023328
CDS1	0.023292
CFI	0.023106
EFEMP2	-0.023105
MUM1	-0.023089
ARGLU1	-0.022931
PARK7	-0.022850
MLF2	0.022768
PCBP4	-0.022744
SOD1	0.022723
WTIP	0.022696
ECH1	0.022663
ACTG2	-0.022575
SCARA3	-0.022530
KRT19	0.022443
CDO1	0.022424
PPP2CB	0.022402
APP	0.022317
TNKS2	0.022276
COL1A1	0.022162
SRSF2	-0.022080
XDH	0.022077
CKB	0.021982
ASPG	0.021969
CENPA	-0.021906
ALAS1	0.021905
APLP2	0.021855
EIF3F	0.021822
PAPPA	0.021799
RGCC	0.021752
SEC11A	0.021737
RAMP2	0.021720
LAMTOR4	0.021713
SSR3	0.021707
RALBP1	0.021682
ACLY	0.021462
TMEM59	0.021372
SLC38A2	0.021361
PRR15L	0.021354
ARHGAP44	0.021272
TIMP3	0.021267
CD63	0.021219
FBLN1	-0.021135
FGFR2	0.021108
SPOP	0.021088
DEGS1	0.021022
RPS4Y1	0.021017
SQSTM1	0.020986
LAMP1	0.020945
FMO1	0.020912
SNRPD3	-0.020857
ANKRD13A	0.020795
SOX9	0.020708
ISCA1	0.020674
LMO4	0.020636
GSTO1	0.020585
SERP1	0.020564
ADARB1	0.020383
PSMB4	0.020285
MIEN1	0.020276
USE1	0.020245
ATP5B	-0.020241
ACAA2	0.020228
PER2	0.020214
GRN	0.020156
SCARA5	0.020092
VIMP	0.020060
HIST1H3B	-0.019973
SCNN1A	0.019949
IRX2	0.019939
TUBA1A	-0.019797
MORF4L1	-0.019767
TSC22D1	0.019738
IRS2	0.019734
TMBIM4	0.019663
COX14	0.019628
CYBA	0.019609
UQCR10	0.019549
MCL1	0.019533
POLR2L	0.019492
KLF13	0.019446
IDH3G	0.019418
BMP4	0.019414
PTP4A1	0.019400
H6PD	0.019395
HAT1	-0.019360
CYB5B	0.019305
ZCCHC24	0.019289
RPL28	0.019281
RPS27L	-0.019178
SNAI2	-0.019163
FIS1	0.019125
BAG1	0.019110
H2AFZ	-0.019057
IER3	0.018968
ATP6	-0.018807
NDRG2	0.018783
STX5	0.018730
PSENEN	0.018703
CLK1	0.018679
SDC4	0.018641
RPL13A	0.018569
SCAMP2	0.018514
PPIC	0.018490
SDF2	0.018453
NUP62	-0.018431
VLDLR	0.018368
C1QB	0.018319
NDUFA1	0.018263
MXD4	0.018223
PON2	0.018187
TNS1	0.018160
PDHA1	0.018142
MAN2A1	0.018140
LMNB1	-0.018107
UBL5	0.018028
PPA1	-0.017980
SELENBP1	0.017914
HIST1H2AB	-0.017903
GNG10	-0.017877
CMTM8	0.017818
RLIM	0.017810
DAD1	0.017792
NME1	-0.017790
TCEAL8	0.017709
CDC42EP3	0.017686
GLRX	0.017616
LDHA	0.017596
TRIL	-0.017579
IDH1	0.017564
RPL27A	0.017545
TAPT1	0.017458
STXBP2	0.017452
CDC42EP4	0.017445
RPL26	0.017438
RHOB	0.017421
ATP6V0B	0.017417
CDK4	-0.017372
ATP5D	0.017303
TFRC	0.017302
DDIT4	0.017293
MRPL53	0.017216
RBBP7	0.017201
UQCRC2	0.017190
ETV5	0.017151
ATP6V0E1	0.017140
MRPS24	0.017096
SERF2	0.017059
PRMT1	-0.017021
PSMA7	-0.016948
CETN3	-0.016947
WBP1L	0.016940
SLC12A2	0.016933
P4HB	0.016907
HSPB1	0.016895
FAM76B	0.016885
ANAPC16	0.016868
MAPKAPK2	0.016860
HP	0.016800
GSPT1	-0.016771
RPS19	0.016764
DDX47	0.016704
UROD	0.016696
HDGF	0.016640
GJA1	0.016598
UBL7	0.016569
PRPF18	0.016567
NEDD4L	0.016535
THAP11	0.016526
SMTNL2	0.016520
ZFP36	0.016511
CTDSP2	0.016502
UHRF1	-0.016462
F13A1	0.016435
PER1	0.016403
RPS11	-0.016387
RAB3D	0.016386
LZTS2	0.016367
PMP22	0.016328
HEXIM1	0.016317
SAMD14	-0.016300
THBS2	0.016288
CLIC3	0.016190
HIST2H2AC	-0.016187
NDUFS7	0.016158
RPS9	0.016156
E2F2	0.016129
RPL19	0.016104
TSHZ1	0.016074
PPIB	-0.015979
NDUFC2	0.015947
BTF3	0.015944
AXIN2	0.015915
MYL12A	0.015886
MSMO1	0.015806
RPP21	0.015788
NDUFV3	0.015759
UQCR11	0.015747
NME2	-0.015736
TPST2	0.015681
GDE1	0.015669
HDAC2	-0.015621
TMEM208	0.015612
MAP3K1	-0.015579
TECR	0.015575
KRTCAP3	0.015573
NFKBIA	0.015561
EGFL7	-0.015561
SUMO3	0.015472
GPX1	0.015432
C1QC	0.015325
COMMD3	-0.015317
ERP29	0.015283
SMARCD2	0.015271
POLR2F	0.015255
EMC6	0.015197
ARPC5	0.015171
RPS29	-0.015161
GRINA	0.015156
C5orf51	0.015131
FNTB	0.015102
HIBADH	0.015064
TGFBR2	0.015057
HP1BP3	0.015052
MID1IP1	0.015043
KIAA0355	0.015037
ZFP36L1	-0.014981
TIMP2	-0.014931
PNPLA2	0.014911
PIAS1	0.014809
INPPL1	0.014806
KLHDC2	-0.014801
TEAD2	-0.014790
FLCN	0.014681
MAPK14	0.014649
MRPL52	-0.014642
EDF1	0.014627
IL11RA	-0.014559
LRRN1	0.014503
PLEKHM2	0.014490
CAPNS1	0.014389
GABARAPL1	0.014387
HIST2H2AB	-0.014353
PPP1R2	0.014263
SNRPD1	-0.014257
HMGN1	-0.014230
CBR3	0.014216
EIF4A1	0.014204
GPR125	-0.014168
APEH	0.014155
ARHGAP18	-0.014140
ACTR1A	0.014129
