!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	MM1S (GC sensitive)
!perturbation	Dexamethasone
!disease	1µM
!end_metadata
RPL39L	-0.032718
FANCG	-0.032715
CENPN	-0.032642
STIL	-0.032630
PDLIM3	-0.032566
TACC3	-0.032539
SNAR-A1	-0.032445
POLQ	-0.032322
P4HA1	0.032296
CCNF	-0.032235
GLA	-0.032217
FADS1	-0.032177
CENPW	-0.031967
SUV39H1	-0.031909
IDNK	0.031705
RNA28S5	-0.031589
SH3PXD2A	-0.031511
EFEMP1	-0.031470
N4BP2L1	0.031410
USP13	-0.031381
FEN1	-0.031306
TROAP	-0.031268
SULT1A3	0.031218
ITGA8	-0.031126
FAM64A	-0.031071
TEX19	-0.031065
SPRY1	0.031061
NEK2	-0.030972
HLA-DMA	-0.030967
MYO7A	0.030962
C1orf112	-0.030868
MXD4	0.030783
PRR11	-0.030750
KLHL6	0.030730
HIST1H2BK	0.030698
RCSD1	0.030695
YPEL3	0.030593
CAV2	-0.030583
TIMELESS	-0.030540
TMEM106C	-0.030368
FICD	-0.030367
STK38	0.030350
GGH	-0.030317
CXCR3	-0.030249
ECT2	-0.030244
KNTC1	-0.030175
CD70	-0.030153
DENND6B	0.029979
ZFP36L2	0.029906
TFRC	-0.029730
FDPS	-0.029667
SLC20A1	-0.029534
MESP1	-0.029533
PRIM1	-0.029507
YIPF1	0.029500
CENPK	-0.029487
CCDC34	-0.029432
HIST1H4C	-0.029376
C17orf53	-0.029256
TLR7	-0.029170
E2F7	-0.029161
ZNF467	0.029068
SMCO4	-0.029052
CDCA8	-0.029005
HLA-DPA1	-0.028930
TBC1D31	-0.028822
BRCA1	-0.028812
MSX1	-0.028775
CXCL10	-0.028727
DEPDC1B	-0.028726
TMEM194A	-0.028586
SKA1	-0.028560
GTSE1	-0.028515
STAT6	0.028360
HOMER3	0.028340
RFC4	-0.028329
PECAM1	-0.028325
CKS2	-0.028264
HBD	-0.028257
TMEM51	-0.028166
IFNGR1	0.028116
BIRC5	-0.028100
DSCC1	-0.028087
MCM6	-0.028043
PBX3	-0.028023
E2F2	-0.028008
NADSYN1	0.027944
SLC25A20	0.027823
ATP11B	0.027799
IL23A	-0.027709
ARHGAP33	-0.027688
ARID5B	0.027674
CENPE	-0.027672
SH3BGRL3	0.027665
CHAF1A	-0.027654
CTNNAL1	-0.027644
HMGB2	-0.027622
MTURN	0.027552
SREBF1	-0.027535
ZCCHC7	0.027468
MYLIP	-0.027464
KLHL24	0.027464
MSN	0.027323
SLFN11	-0.027305
SERPINI1	0.027287
RAD54L	-0.027243
CENPU	-0.027148
CABLES1	-0.027146
ZWINT	-0.027101
MICB	-0.027088
MXD3	-0.027069
ZNF358	0.027039
TRADD	0.027015
AUNIP	-0.026930
MCM10	-0.026877
CAV1	-0.026849
TXNIP	0.026805
SAMD9L	-0.026777
RINL	-0.026775
LAPTM5	0.026748
TSPAN31	0.026701
SEL1L	-0.026634
HMGCS1	-0.026622
IZUMO4	0.026581
SETD2	0.026576
GRHL3	0.026552
BLOC1S4	0.026548
MND1	-0.026475
SPRED1	0.026454
ASF1B	-0.026334
H2AFZ	-0.026329
NCAPD2	-0.026263
NDC80	-0.026242
MB21D1	-0.026232
SSR3	-0.026207
LHX8	0.026192
GINS4	-0.026036
ERICH1	0.026031
AP1S2	0.025963
HOOK1	-0.025958
PAQR4	-0.025939
ITPKB	0.025937
KIF4A	-0.025908
OIP5-AS1	-0.025867
POLA2	-0.025822
CORO1A	0.025768
PELI1	0.025728
CEP78	-0.025720
C9orf142	-0.025709
SGOL1	-0.025689
FASN	-0.025658
STIM1	0.025646
PHF19	-0.025632
CKAP2	-0.025610
TSPAN7	0.025596
CFLAR	0.025581
ANLN	-0.025551
PYGB	0.025526
PGLS	0.025467
LOC81691	-0.025408
AMD1	-0.025393
CTSV	-0.025366
GPSM2	-0.025360
HLA-DRA	-0.025309
GLDC	-0.025281
AKNA	0.025274
DONSON	-0.025191
SPCS3	-0.025118
NASP	-0.025093
SKA3	-0.025077
KDSR	0.024992
CDC25C	-0.024963
EZH2	-0.024929
MAD2L1	-0.024917
BMF	0.024864
FAM89B	0.024788
DEXI	0.024736
ITM2C	-0.024723
ESPL1	-0.024714
MCM2	-0.024704
CCND1	-0.024662
GINS3	-0.024661
CDC7	-0.024651
SMC4	-0.024631
KNSTRN	-0.024578
KIF22	-0.024545
CMC2	-0.024526
C9orf16	0.024452
MIS18BP1	-0.024441
SIK1	0.024348
CYP26A1	-0.024331
MAF	0.024324
PRKCA	0.024321
CENPL	-0.024300
RECQL4	-0.024133
BTG3	-0.024102
CHAC2	-0.024099
DHCR7	-0.024050
COPRS	-0.024046
MVP	0.024042
HELLS	-0.024036
YPEL5	0.024006
RABAC1	0.023917
CDK2	-0.023911
PAPSS2	0.023845
RACGAP1	-0.023842
BAIAP2L1	-0.023840
KIAA1551	0.023824
MCM5	-0.023822
MMD	-0.023807
CD38	-0.023799
NUP62CL	-0.023733
POLE2	-0.023618
SLC35E2B	0.023597
GLS	0.023545
VASH2	-0.023545
ICAM3	0.023507
GPRIN3	0.023460
SGSH	0.023384
MCM3	-0.023356
PRPSAP1	-0.023345
TSPAN33	-0.023275
DDX39A	-0.023266
SLC25A19	-0.023259
TUBB	-0.023238
LINC00263	-0.023214
FAM83D	-0.023181
LHX2	-0.023171
ENO2	-0.023167
RAB3B	-0.023102
BLM	-0.023096
AAMDC	0.023068
FAM72D	-0.023066
PARPBP	-0.023055
ADAMTSL2	0.023051
SLC39A8	-0.022976
PLK1	-0.022949
HAVCR2	0.022929
UHRF1	-0.022925
ST13	-0.022923
MKI67	-0.022908
MYL12B	0.022840
DEPTOR	0.022827
CEP152	-0.022801
RQCD1	-0.022773
MYH10	-0.022756
SLC27A2	-0.022726
TUBA1A	-0.022722
FYN	0.022713
CDS1	-0.022709
EHD1	0.022687
PTPLAD1	-0.022612
DPM3	0.022598
RGS19	0.022595
CCND2	-0.022564
VRK1	-0.022486
TMEM119	0.022484
AARS	-0.022452
CCDC167	-0.022427
SLC25A42	0.022405
MTX3	0.022405
LIG1	-0.022398
LYPD6B	0.022376
SMC2	-0.022290
LIN9	-0.022278
EXO1	-0.022232
MID1IP1	-0.022224
TRAF3IP3	0.022217
IMPA2	-0.022211
TMEM144	-0.022119
TP53INP1	0.022090
DNAJC9	-0.022075
RPA3	-0.022047
TARSL2	0.022042
CYTH4	0.022040
UBAP2L	0.021995
LDOC1	0.021982
FNBP1	0.021982
ARHGAP19	-0.021967
TUBB4B	-0.021965
JUN	-0.021895
GSG2	-0.021869
FOXM1	-0.021846
IFI44	0.021845
TCTA	0.021825
C10orf35	-0.021810
NDC1	-0.021774
ABCA1	-0.021760
PPP2R5E	-0.021742
PPP1R18	0.021709
NLRP7	-0.021634
RFC1	-0.021621
WEE1	-0.021559
BACH2	0.021513
CLEC3B	0.021508
FAIM3	0.021472
SLC16A10	-0.021413
KIF23	-0.021371
GPR56	0.021359
MDC1	-0.021305
SUZ12	-0.021301
IRF8	0.021255
FKBP11	-0.021252
PTK2B	0.021218
PYROXD2	0.021212
DCP2	-0.021171
RAI14	-0.021167
ZNFX1	0.021162
MYH9	0.021142
PCMTD2	0.021142
ABHD14B	0.021104
LIN54	-0.021078
SULF1	-0.021044
ATXN7L3B	0.020909
CYSLTR1	0.020891
IQSEC1	0.020834
CSRNP1	0.020827
SLC35A3	-0.020803
LOC154761	0.020796
NPHP3	0.020770
TPGS2	-0.020733
MLH1	-0.020725
PRPS2	-0.020717
GMIP	0.020703
STMN3	0.020687
GPC4	-0.020673
PALD1	0.020654
TMPO	-0.020636
SLC44A1	-0.020608
SQLE	-0.020600
SPATS2L	0.020580
CNN2	0.020559
C9orf40	-0.020557
MACROD1	0.020556
TMEM187	0.020531
FDFT1	-0.020496
KANK2	-0.020495
ABTB1	0.020485
MAP1LC3B	0.020475
FN3KRP	-0.020412
FIGNL1	-0.020410
CDC25A	-0.020398
ZBTB16	0.020394
MPI	0.020363
CLK1	0.020362
NPEPL1	0.020359
ALDH5A1	-0.020357
STRA13	-0.020324
NUF2	-0.020286
LINC00930	0.020270
RNASE6	0.020239
ARL6IP5	0.020225
SPAG5	-0.020213
C1QB	0.020208
GUCY1A3	-0.020188
BTG2	0.020153
MICAL1	0.020151
ID2	-0.020144
SEPHS1	-0.020087
APOO	-0.020054
LYL1	0.020023
MCM7	-0.020020
NECAP2	0.020012
NOD2	-0.019990
IRS1	0.019970
SEC14L1	0.019949
CD37	0.019925
HLA-DMB	-0.019922
TSPAN5	-0.019897
MEIS3P1	0.019891
DENND5B	-0.019856
METTL7A	0.019818
CCNC	-0.019805
TMEM175	0.019802
PPP1R16B	0.019797
SPC25	-0.019790
MSH6	-0.019758
