!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Mononuclear cells
!perturbation	Dexamethasone
!disease	Epilepsy - glucocorticoid dexamethasone (20 mg/m2) - 24 hrs
!end_metadata
KATNAL1	0.028763
MGLL	0.028724
GZMM	-0.028717
ATP8B4	0.028688
DDX60	-0.028603
GMPR	0.028218
CLU	0.028206
LOC339988	0.028152
PTGDR	0.028076
GP6	0.027999
CLIC3	0.027994
ITGA6	-0.027882
CMTM8	-0.027874
ST8SIA1	-0.027764
FLT3LG	-0.027600
SDPR	0.027506
ATL1	0.027500
TBC1D4	-0.027428
CSF1R	-0.027423
TPST1	0.027383
HIST1H1C	0.027161
NME4	-0.027057
MPP1	0.027056
LRRC37A4P	0.027033
LOC100128751	0.027033
COL5A3	0.027033
LTK	0.026977
PPBP	0.026907
HIST2H2BE	0.026869
PARVB	0.026848
EPS8	-0.026798
LINC01088	0.026771
TGFB1I1	0.026756
HIST1H2BO	0.026565
CD7	-0.026543
ARMCX1	-0.026470
TLE2	-0.026458
KIR2DL2	0.026451
PPIL1	-0.026414
ZNF683	-0.026391
LOC149401	0.026382
SNCA	0.026335
HEMGN	0.026298
MRC1	0.026281
CXCL5	0.026264
ASAP1-IT1	0.026191
PTPN13	0.026189
TRBV25-1	-0.026171
WASF3	0.026097
MS4A7	-0.026084
C1QA	0.026067
NFE2	0.026058
MOV10	-0.026051
SLC16A6	0.026039
C12orf79	0.025997
CRISPLD2	0.025957
CPVL	-0.025954
PLA2G7	-0.025907
TRAJ17	-0.025811
SMOX	0.025775
LGALS12	0.025773
RTN1	-0.025693
ROBO1	-0.025650
PDGFD	0.025638
STEAP4	-0.025605
ITGB3	0.025598
HLX	0.025557
TYMP	-0.025489
CLUAP1	-0.025486
SLC24A3	0.025483
CHRM3-AS2	-0.025408
MEIS1	0.025321
SIGLEC1	-0.025253
YEATS4	-0.025246
MZB1	0.025231
MDS2	-0.025182
AMPH	0.025111
MSH2	-0.025099
HIST1H2BK	0.025069
FAM171A1	-0.025062
GFI1B	0.025020
SCGB1C1	0.025008
KRT72	0.025006
MAD2L1	-0.024990
PMAIP1	-0.024919
ESAM	0.024887
LTB4R	0.024869
EDAR	-0.024841
STON2	0.024819
TCEA3	-0.024767
GNAZ	0.024723
LOC285812	0.024695
DAB2	0.024671
AGPAT4-IT1	0.024645
TRBV7-8	-0.024599
MAML2	-0.024477
HIST1H3H	0.024467
CD248	-0.024463
FAM134B	-0.024398
NPCDR1	-0.024335
DMTN	0.024318
TRAT1	-0.024300
F13A1	0.024282
B4GALT5	0.024193
FLJ12120	0.024145
CXCR4	0.024124
HBD	0.024056
TCF19	-0.023974
ATHL1	-0.023941
CCR7	-0.023933
CKS1B	-0.023904
ARHGAP6	0.023903
ENDOD1	0.023855
EHD3	0.023800
PRPS1	-0.023798
CBR3	-0.023797
CNNM3	0.023789
SUPV3L1	0.023761
CCND3	0.023724
GBP4	-0.023706
P2RX5	0.023657
TLE1	0.023617
GINS1	-0.023594
BTBD3	-0.023582
HSPH1	-0.023552
TRMT2B	-0.023475
HDC	-0.023469
CD226	0.023455
ZNF204P	-0.023437
ACRBP	0.023390
JUNB	-0.023371
BCAT1	0.023368
KIR3DL3	0.023318
KIAA0125	0.023315
RCAN3	-0.023279
SLC25A33	-0.023221
WARS	-0.023193
OAS3	-0.023135
MAP3K7CL	0.023121
SPX	0.023120
PF4	0.023088
ZNF571	-0.023041
WHAMMP2	0.022975
MELK	-0.022962
ARHGAP18	0.022950
CLC	-0.022948
ACN9	-0.022892
PEA15	-0.022879
CCR5	0.022866
DSC1	-0.022857
BCL2A1	-0.022808
ABLIM1	-0.022750
STIP1	-0.022694
RASGRF2	-0.022676
SERPINF1	-0.022612
AKTIP	-0.022585
CLEC4E	0.022535
BOLA3	-0.022532
KLRD1	0.022509
DAPK1-IT1	0.022496
YPEL1	0.022396
PRDM1	0.022355
HAPLN3	-0.022351
HIST1H2AC	0.022329
SEC14L5	0.022319
CNN3	-0.022311
HIST1H2BG	0.022266
TSC22D3	0.022196
TST	0.022104
IRS2	0.022095
SCOC	-0.022086
DEPDC7	-0.022061
S100P	0.022056
PDLIM1	0.022028
SLAIN1	-0.022015
FAXDC2	0.021930
G0S2	-0.021894
ZBTB25	-0.021884
CENPW	-0.021855
PRIM1	-0.021786
FAR2P2	0.021773
RRAS	-0.021735
EIF3C	0.021670
GSAP	0.021648
ADHFE1	0.021646
SCO2	-0.021645
IRAK3	0.021644
ENKUR	0.021629
ISG20	0.021616
AK5	-0.021543
GNG11	0.021520
KLRB1	0.021500
CRTAM	-0.021475
RGS18	0.021455
AMIGO1	-0.021423
NPDC1	0.021336
NAP1L3	-0.021331
FAM175A	-0.021311
GCSAM	-0.021300
KLRG1	0.021287
MS4A14	-0.021278
GRAP2	0.021260
EPHB6	-0.021233
NEAT1	0.021216
LOC100190986	0.021216
GVINP1	0.021182
GUCY1A3	0.021119
SMC2	-0.021087
RGL4	-0.021076
IL18RAP	0.021071
SLC14A1	0.020991
ENPP2	-0.020990
SLA	0.020986
SMIM3	0.020965
GADD45A	0.020953
GALNT12	-0.020942
TPPP3	-0.020935
CTSA	0.020910
ZNF516	0.020693
CD200	0.020685
RNF144A	-0.020653
LYSMD2	-0.020618
APOL6	-0.020583
PCED1B	-0.020573
C12orf57	-0.020539
RORC	0.020507
SOS1-IT1	0.020447
CHD3	-0.020433
NET1	-0.020407
HSPE1	-0.020402
MGC24103	0.020386
SF3B6	-0.020368
TSPAN5	0.020272
WDR86-AS1	0.020261
CETN3	-0.020259
LONRF3	0.020205
PAK1	-0.020186
C9orf47	0.020114
KLRF1	0.020097
PRR5	0.020090
CHEK1	-0.020084
CD8A	-0.020078
SELM	-0.020048
KLHL13	-0.020040
EVA1C	0.020005
RRAGD	-0.020003
PARP9	-0.020002
CXCR2	0.019999
MAP4K3	-0.019978
PARP15	0.019955
PCSK5	-0.019950
OIP5	-0.019943
SYTL2	0.019942
CLIC2	-0.019939
PEAR1	0.019937
CDKN2B	0.019934
LOC646014	0.019920
TDRP	0.019893
GAL3ST4	-0.019866
NRCAM	-0.019852
LOC153684	0.019835
TMEM160	-0.019825
APBB1	-0.019775
ADAMTS1	0.019774
GALNT10	0.019661
GLCE	-0.019651
ZNF30	-0.019644
SCN1B	0.019641
SGK1	-0.019619
KIAA0485	0.019610
CAMK4	-0.019607
DSPP	-0.019587
NUDT15	-0.019524
PID1	-0.019496
FAM46C	0.019472
MX2	-0.019436
ZNF329	-0.019433
GPX1	0.019399
PAFAH1B3	-0.019398
ATP9A	0.019388
ST6GALNAC1	-0.019371
AMIGO2	-0.019325
ATF1	-0.019313
LGMN	-0.019311
C10orf35	-0.019280
AFAP1L2	0.019272
LIMS1	0.019254
PCYOX1	-0.019232
PLCL1	-0.019223
NSG1	-0.019187
GGTA1P	0.019164
RPAP3	-0.019162
SH2D1A	-0.019146
S1PR3	0.019096
DENND5A	-0.019061
LOC100507281	0.018996
LINC01355	0.018989
CISH	-0.018941
FOLR3	0.018937
TMEM185B	-0.018907
EIF4E3	-0.018889
RBM11	-0.018888
SPI1	-0.018856
TK1	-0.018835
C3AR1	0.018825
SERPING1	-0.018824
ULK1	0.018794
PILRA	-0.018794
TM6SF1	0.018792
WBP5	0.018787
GPN3	-0.018784
RAD51AP1	-0.018753
CTDSPL	0.018734
CHCHD4	-0.018721
PLD4	-0.018709
ZBTB24	-0.018683
CPNE5	0.018654
PDE9A	-0.018642
IFI35	-0.018618
GRB14	0.018604
UBASH3A	-0.018596
INAFM2	0.018587
CEP135	-0.018578
IGF2BP3	0.018577
KIR3DL1	0.018563
SPON2	0.018563
NID1	-0.018557
PKIA	-0.018541
STS	0.018533
ARID3A	0.018492
OSBPL3	0.018479
