!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Mononuclear cells
!perturbation	Dexamethasone
!disease	Epilepsy - glucocorticoid dexamethasone (20 mg/m2) - 2 hrs
!end_metadata
SUPV3L1	0.033822
KIR3DL3	0.033749
C2orf88	0.033662
SPRY2	0.033653
B4GALT4	0.033631
NR4A2	-0.033555
MILR1	-0.033523
CLEC1B	0.033467
HIST2H2BE	0.033355
TNFSF4	0.033191
TMEM158	0.033054
RAB27B	0.033024
TSC22D3	0.032860
SLC35E2	0.032752
LHFPL2	0.032610
SYTL3	0.032593
THBS1	0.032562
TLR7	-0.032473
EMR1	-0.032322
FAM198B	-0.032293
HIST1H2BI	0.032290
HIST1H2BG	0.032082
PIK3IP1	0.031985
VMP1	-0.031976
CDK5R1	0.031760
SRGAP2C	0.031758
LOC100130938	0.031634
PRAM1	-0.031633
VNN1	0.031630
PF4V1	0.031608
CELF2	0.031551
RASA1	0.031489
TMEM170B	-0.031481
SPIB	-0.031431
KIR2DL3	0.031303
TRBV27	0.031281
ALDH1A1	-0.031225
DKFZP547J0410	0.031161
LINC00936	-0.031158
PXYLP1	0.031017
C9orf72	-0.031009
ACSL1	0.030957
CSF2RB	-0.030909
HAVCR1	0.030829
ADAMTS1	0.030721
SCML4	0.030645
CISH	-0.030618
ASGR2	-0.030416
BEND2	0.030416
CIAPIN1	0.030330
TMEM140	0.030208
RAB39B	0.029857
SMCO4	-0.029854
P2RX5	0.029822
TIPARP	0.029724
HCK	-0.029709
LOC100128751	0.029704
TMCC3	0.029657
ALOX15B	0.029594
PRTFDC1	0.029578
PTGDS	0.029558
PER1	0.029539
ALOX12	0.029528
CD69	0.029339
CYFIP1	-0.029311
ZNF385A	-0.029252
SECTM1	-0.029151
SLC15A3	-0.029147
TMEM154	-0.029104
TRIM58	0.029078
VPREB3	-0.029033
MEST	0.029024
CDC37L1	0.028953
CA2	0.028929
SPRY1	0.028901
HIST1H2BH	0.028894
SDPR	0.028710
FOS	-0.028705
GRHL1	0.028697
LINC00537	-0.028570
PTGDR	0.028568
IFI30	-0.028559
CHPT1	0.028542
H2BFS	0.028520
HIST1H3H	0.028501
KIAA1598	-0.028489
DDX11L2	0.028473
GMPR	0.028345
CLEC4A	-0.028266
NCF2	-0.028228
TNFAIP3	0.028220
MS4A7	-0.028214
KIAA0226L	-0.028196
PEA15	-0.028109
IL18RAP	0.028096
NINJ1	-0.028077
CAPG	-0.028056
PAK1	-0.027960
NLRP12	-0.027897
FGL2	-0.027881
HIST1H2BF	0.027849
PRKAR2B	0.027813
TNFAIP2	-0.027806
MPEG1	-0.027788
PMAIP1	-0.027739
PTAFR	-0.027730
TGFBI	-0.027606
TMEM40	0.027572
STEAP4	-0.027517
LOC285181	-0.027501
CMTM5	0.027494
MGC24103	0.027465
TUBB1	0.027419
CASS4	0.027415
GRN	-0.027377
GLT1D1	-0.027364
EGF	0.027321
MIR21	-0.027279
GSAP	0.027255
SGMS2	0.027237
PLEKHO1	-0.027159
KATNAL1	0.027109
S1PR3	-0.027054
RHOBTB3	0.026995
IRF1	-0.026971
HIST1H2BE	0.026917
NCF4	-0.026901
HIST1H2BJ	0.026894
GFI1B	0.026868
KLRG1	0.026850
PTX3	-0.026835
FAM81B	0.026800
TSPAN14	0.026780
LST1	-0.026765
YES1	0.026755
TLR10	-0.026734
TBX21	0.026706
CLEC7A	-0.026691
KLRF1	0.026625
ARHGAP6	0.026565
EIF3C	0.026556
BCL11A	-0.026539
GNG11	0.026495
AREG	0.026372
SRGAP1	0.026367
JUND	-0.026307
ISG20	0.026303
BCL6	-0.026289
SNX9	0.026225
IER2	-0.026136
LAIR2	0.026106
WEE1	0.026084
CDKN1C	-0.026046
MSRB1	-0.025969
ASAP2	0.025959
IPCEF1	0.025935
SULF2	-0.025931
MYOF	-0.025845
ZNF703	-0.025786
CD226	0.025767
TMEM2	0.025755
BST1	-0.025753
PNPLA6	-0.025737
TLR8	-0.025734
MYOM2	0.025709
SLC19A2	0.025687
QPCT	-0.025611
ZBTB38	0.025590
LRRC25	-0.025552
NUDT16	0.025533
GUCY1B3	0.025529
C5orf30	0.025508
ARRDC4	-0.025507
CBFA2T3	-0.025500
TSPAN33	0.025470
HEMGN	0.025460
RNF19B	-0.025399
UBASH3A	-0.025363
G0S2	-0.025359
CD86	-0.025259
FAM179A	0.025230
WASF3	0.025155
CFP	-0.025080
C12orf79	0.025041
FAM213B	-0.024971
IFIT3	-0.024934
PILRA	-0.024932
FCN1	-0.024891
CSF3R	-0.024872
BLVRB	-0.024794
LOC283713	0.024735
ASGR1	-0.024726
FAR2P2	0.024709
DHRS9	-0.024701
CXCL5	0.024693
EGR3	-0.024693
HHEX	-0.024668
SLAMF6	0.024636
HIST1H2AC	0.024633
BCAT1	0.024615
STRADB	0.024595
LINC00877	-0.024588
IMPA2	-0.024532
MEIS1	0.024526
LOC100132741	0.024497
DSEL	0.024492
HPGD	0.024458
SLC43A2	-0.024446
MGST1	-0.024432
PRRG4	-0.024416
ATP8B4	0.024385
GP1BA	0.024361
C19orf33	0.024262
JUP	-0.024249
PKP2	0.024225
ST8SIA1	-0.024212
PGRMC1	0.024113
TBC1D2	-0.024083
TMEM176A	-0.024070
PPBP	0.024065
NAPSB	-0.024039
BTLA	0.024021
BID	-0.024004
KBTBD11	-0.023922
ASCC1	0.023792
GZMB	0.023740
EPS8	-0.023707
VCAN	-0.023697
SHKBP1	-0.023645
S100A9	-0.023629
CPA5	0.023604
LGALS9	-0.023575
CLDN5	0.023560
KIR2DS5	0.023525
CFD	-0.023521
SLC14A1	0.023520
FZD6	0.023403
NAGK	-0.023362
UPP1	0.023339
TIMP2	-0.023335
LTBP1	0.023322
NAT8B	0.023286
CD101	-0.023247
KLHDC3	-0.023243
DAB2	0.023235
CD68	-0.023216
CENPM	0.023210
TREM1	-0.023184
NCK2	0.023181
CREB5	-0.023151
KLF10	-0.023044
BCL3	-0.023026
GABPB1	0.023004
ZYX	-0.023000
IL18R1	0.022974
SMIM5	0.022967
CLU	0.022949
RTN1	-0.022943
PF4	0.022929
ITGA2B	0.022919
SLC35D3	0.022916
FMNL1	-0.022914
CD33	-0.022903
KIR2DL5A	0.022881
PIM2	-0.022876
NOD2	-0.022852
CTTN	0.022827
TXNIP	0.022743
PIM3	-0.022742
SNCA	0.022722
PKN1	-0.022721
OR52K3P	-0.022717
FLT3LG	-0.022673
GLUL	0.022625
KLF9	0.022596
LSP1	-0.022592
SNORA28	-0.022562
MARCH2	0.022554
LGALSL	0.022548
RRAGD	-0.022515
RNASE2	-0.022483
S100A12	-0.022459
GNAI1	0.022432
TPD52	0.022405
DUSP2	0.022404
SNX30	-0.022313
SIGLEC10	-0.022303
IL7R	0.022186
KIR2DS1	0.022186
C15orf39	-0.022109
PARP8	0.022066
RAB34	-0.022060
IRS2	0.022054
IKZF3	0.022040
KDM1B	-0.022025
CYB561A3	-0.022015
EPB41L3	-0.022000
ETS1	0.021949
STYX	-0.021948
GRINA	-0.021944
MAPKAPK3	-0.021944
PROK2	-0.021938
GRB14	0.021923
NFKB2	-0.021900
IER3	-0.021897
GPR171	0.021895
PPAPDC2	0.021888
PVALB	0.021839
USP53	0.021823
SF3B6	-0.021823
ABCG1	-0.021819
LOC100130476	0.021809
RNF144B	0.021768
ATL1	0.021766
BTG2	-0.021766
SLC7A5	0.021747
FRMD3	0.021728
OPN3	-0.021719
CHKA	0.021683
WLS	-0.021671
PITPNM1	-0.021631
HGD	0.021611
KIR3DS1	0.021603
AKR1C3	0.021603
CPPED1	-0.021567
CD36	-0.021553
A2M-AS1	0.021549
KLHL8	0.021539
TNFSF13B	-0.021519
CD160	0.021513
ACRBP	0.021500
RMI2	0.021437
WARS	-0.021422
KMO	-0.021385
DNM3	0.021378
BSG	-0.021342
IFIT1	-0.021340
SCML1	0.021285
RGS18	0.021230
ROGDI	-0.021204
HSPA1A	-0.021139
GZMH	0.021065
ASRGL1	-0.021060
CENPB	-0.021034
LILRA3	-0.021030
GABARAPL1	0.021009
VAMP2	-0.021007
LYZ	-0.021001
POU2F2	-0.020959
LOC285628	0.020952
LINC00282	0.020921
CXCR2	0.020894
SH2B3	-0.020875
TTC16	0.020860
TRIM35	0.020811
ZNF467	-0.020807
XKRX	0.020801
CSTA	-0.020793
SASH1	-0.020763
TNFSF10	-0.020685
GAA	-0.020682
KDM6B	-0.020644
BRI3	-0.020639
KIR2DS4	0.020613
NEXN	0.020610
BASP1	-0.020608
LILRA2	-0.020606
CD93	-0.020597
MAP7D1	-0.020582
CBR3	-0.020573
TUBA4A	0.020526
PLXNB2	-0.020501
PRKCD	-0.020489
SWAP70	-0.020431
ECHDC3	0.020401
NRGN	0.020390
ACRC	0.020377
MAST3	-0.020335
WDSUB1	0.020326
NDC80	0.020250
CST3	-0.020220
MAP3K7CL	0.020213
SLITRK4	-0.020206
NDFIP1	0.020149
PLA2G7	-0.020145
PIK3CD	-0.020104
TCF7L2	-0.020094
ABLIM3	0.020024
CTLA4	0.020006
HPSE	-0.019989
