!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Airway smooth muscle (ASM) cells
!perturbation	Dexamethasone  24 hrs
!end_metadata
PGM1	0.027016
GAL	-0.026930
VCAM1	-0.026891
STON1	0.026819
RELT	-0.026811
C1orf110	0.026783
AQP11	-0.026765
C3orf52	-0.026676
ATP6V1G3	-0.026655
ADAMTS1	0.026623
PDGFA	-0.026610
PLEK2	-0.026593
ALOX15B	0.026569
SLC45A1	0.026520
TUFT1	-0.026314
ZNF608	0.026313
PLAUR	-0.026297
SNAI1	-0.026277
PF4V1	-0.026254
FBXO32	0.026243
OSR1	0.026229
ENTPD7	-0.026217
EVA1C	0.026199
EXPH5	0.026148
CCDC3	0.026134
CDH6	-0.026110
MIR31HG	-0.026107
ASB13	0.026094
TG	0.026060
LAMA2	0.026025
NPR1	0.025979
TRIB3	-0.025928
CD302	0.025919
DKK1	-0.025874
PKDCC	0.025853
ALOX5AP	0.025840
SPRY1	0.025739
RAB20	0.025657
SMAD7	-0.025648
CPA4	-0.025638
S100A7A	0.025635
HERC5	0.025618
KIF21A	-0.025582
OPN3	0.025517
SLC16A12	0.025496
TOB1-AS1	0.025456
PODXL	-0.025436
UCK2	-0.025373
KLF9	0.025290
C4orf32	-0.025279
CD163	0.025239
GPR56	-0.025165
JUNB	-0.025164
S1PR5	-0.025108
KIAA1755	-0.025062
HIVEP1	-0.025035
ANXA13	0.025013
RBAK-RBAKDN	0.024913
SP110	0.024852
INHBA	-0.024842
PER2	-0.024791
IGF1	-0.024776
MMP7	0.024715
FAXDC2	0.024700
RARB	0.024688
EVA1A	-0.024668
TSPAN8	0.024666
CGGBP1	-0.024603
ARHGEF37	0.024571
GPRC5B	0.024541
C11orf96	-0.024484
PCSK5	0.024454
FRZB	0.024442
TMEM217	-0.024348
RCAN2	0.024337
TIGD2	0.024259
UCP2	0.024241
YPEL2	0.024179
LINC00312	0.024142
KIT	0.024133
KDM6B	-0.023977
MRVI1	0.023965
SH3GL3	-0.023938
MYCT1	-0.023818
NTM	-0.023811
ACAN	0.023783
ADAM12	-0.023730
ARHGEF40	-0.023686
RAI2	0.023669
SKIL	-0.023610
RAB33A	-0.023591
TRIM60	-0.023580
ASB2	-0.023523
ACSS1	0.023503
CXCL8	-0.023483
A2M	0.023454
ITPR1	0.023446
C1orf132	0.023441
IRS2	0.023434
LAMC2	-0.023424
RASL11B	0.023419
ITPRIP	-0.023401
ZFP36	0.023393
NKX3-1	-0.023370
PTK2B	0.023368
NR2F2	0.023301
CMAHP	0.023251
TBX3	-0.023178
AKR1B10	-0.023145
MARCKSL1	-0.023128
CDO1	0.023071
LARP6	-0.023051
B3GNT5	0.022981
PRPS1	-0.022977
NXPH3	0.022968
ZNF395	0.022961
LIMS3	-0.022910
SLC38A11	0.022899
MSC	-0.022875
ITGA1	0.022873
SAMD11	-0.022863
MALL	-0.022844
ZCCHC5	0.022769
KCTD11	-0.022750
CNTN1	-0.022720
ACKR4	-0.022700
FAM111A	-0.022621
CXCL14	-0.022617
TJP2	0.022605
CSF1R	-0.022594
PHOSPHO2	0.022572
ADH1B	0.022570
IL12A	-0.022567
FZD4	0.022565
ANO3	0.022560
SAMD3	-0.022513
RCAN1	-0.022476
HS3ST3A1	-0.022468
MTERF2	0.022367
NEGR1	0.022304
PER1	0.022245
FAM117A	0.022240
GAP43	-0.022234
ABCA8	0.022132
PER3	-0.022114
ABCA6	0.022113
WFDC1	0.022093
ADRA2A	-0.022078
IRAK3	0.022059
MOB3B	0.021970
CDKL1	0.021901
RAMP1	0.021898
PDGFD	0.021878
SERTAD1	-0.021851
SLC7A14	-0.021821
CDC42EP3	0.021818
RELB	-0.021814
NOV	-0.021805
MGP	0.021795
AOC3	0.021771
NR3C1	-0.021632
C15orf27	0.021586
LEPREL1	-0.021582
EFR3B	-0.021581
TP53INP1	0.021531
MT1M	0.021520
TSPAN2	-0.021496
FBXL16	0.021490
ZFP36L2	0.021483
FAM46B	0.021463
SERPINA3	0.021458
RBM24	-0.021381
FGFBP1	-0.021366
ARNTL	0.021344
SOCS2	-0.021329
CAMK2N1	0.021281
NFATC1	-0.021280
FOLR3	-0.021278
LIPG	-0.021266
HSPA6	-0.021226
PITX2	-0.021171
KCNJ15	-0.021057
PLB1	0.021040
AREG	-0.020981
EPHB2	-0.020976
DAPL1	-0.020909
INHBE	-0.020894
MAP3K4	-0.020857
IL16	0.020854
PCDH7	0.020821
CNNM4	-0.020790
RASSF7	0.020786
TNFAIP3	-0.020763
ARAP2	-0.020761
EFHD1	0.020690
NRTN	0.020676
C2orf15	0.020663
GFPT2	-0.020642
TNFRSF12A	-0.020599
SLC19A2	-0.020592
ZNF672	-0.020546
LRIG3	0.020523
PMCH	-0.020521
TCEAL3	0.020509
FGF2	-0.020454
RPRML	-0.020454
AGL	0.020420
HOMER1	-0.020419
SEMA3A	-0.020357
KLF5	0.020341
PLEKHH3	-0.020338
CAMKK1	-0.020306
SNX22	-0.020290
LINC00113	-0.020276
GPR63	0.020274
MYH11	0.020259
LMO4	-0.020249
LINC00341	0.020247
FKBP1B	0.020190
CORO6	0.020185
TCEAL6	0.020134
ETNK2	0.020075
MEX3A	-0.020004
TCEB3B	0.019996
NXT1	-0.019945
EPSTI1	0.019925
S1PR1	0.019911
FLJ31356	0.019856
DDIT4L	-0.019842
HEYL	-0.019827
LIMS1	-0.019808
HILS1	-0.019777
KCNB1	0.019760
S100A2	-0.019719
LY86	-0.019716
MYH1	0.019694
PPFIBP2	0.019693
KRT34	-0.019688
FAM20A	0.019685
TRNP1	0.019663
LCE2C	-0.019613
AMOTL2	0.019609
LFNG	-0.019606
SPRY4	-0.019602
ADH1C	0.019599
HIST1H3I	-0.019597
RTKN2	-0.019582
POM121L10P	0.019551
MARCH3	-0.019550
SOWAHC	-0.019548
SHB	-0.019533
PRSS3	-0.019529
PLEKHO2	0.019528
GLRX	0.019518
ZNF354A	-0.019511
PLXNB1	0.019502
TCEAL5	0.019502
ZNF281	-0.019491
SLC22A4	-0.019477
FUT8-AS1	-0.019471
CXCL6	-0.019463
ABTB2	-0.019452
CCBE1	0.019437
ADRB2	0.019428
LECT2	-0.019392
RHOBTB3	0.019389
OCA2	0.019379
FEM1B	-0.019378
KCTD12	-0.019370
ERRFI1	0.019347
LONRF2	-0.019302
CCDC68	0.019278
PPAPDC2	0.019259
ASB5	0.019200
CREBRF	0.019199
CDC42SE1	-0.019179
SCN5A	0.019175
CYP3A7	-0.019158
MBOAT1	0.019123
TIMP3	-0.019122
TGFBR3	0.019095
CREB5	-0.019086
