!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Granta519 B-cell mantle cell line
!perturbation	Dexamethasone
!disease	1uM - 16hrs
!end_metadata
GTPBP2	-0.026680
JSRP1	0.026599
FOXP1-IT1	0.026598
MAP1LC3B	-0.026572
MTHFD2	-0.026371
ALG14	-0.026365
CLDND1	-0.026311
TIFA	-0.026228
RNU6ATAC	0.026186
EIF2AK4	0.026124
MARS	-0.025979
SLC7A5	-0.025949
POLD4	0.025934
ASNS	-0.025928
PKD2L1	-0.025926
HNRNPA3	-0.025854
RGS16	-0.025750
PKD1	-0.025727
SMAD6	0.025720
MAGT1	0.025530
MTMR12	-0.025494
CARS2	0.025474
SLC1A5	-0.025390
B3GALTL	0.025342
GAL3ST4	0.025285
KLHL4	-0.025259
NPIPA1	-0.025223
LOC100134868	0.025182
LGALSL	0.025146
MLKL	0.025145
ARHGEF18	0.025138
INHBE	-0.025134
TRUB1	-0.025128
MORN4	-0.025090
AOC4P	0.025089
LIX1L	0.025062
DDX21	-0.025057
SNORA79	0.025054
BCYRN1	0.025034
RNU6-1	0.025006
RHOBTB3	0.024967
MNS1	-0.024903
PPP1R3F	-0.024864
DNAJB9	-0.024829
DENND6B	0.024826
STXBP6	0.024815
NUBPL	0.024808
SLC3A2	-0.024779
YWHAE	-0.024761
WEE1	-0.024757
RECK	0.024749
TLE1	0.024667
BHLHE40	0.024656
VIPR1	-0.024650
TMEM39A	-0.024592
ISG20	0.024582
SLC25A4	-0.024581
RIMBP3	0.024569
GOLGA6L6	0.024488
SLC16A6	-0.024485
NAPSA	0.024454
HSPA9	-0.024437
CHEK1	-0.024384
PAOX	-0.024360
SPNS3	-0.024266
VANGL2	-0.024171
ALPP	0.024144
ZNF512B	0.023952
HIST1H4B	0.023931
HSD17B7	0.023881
E2F7	-0.023856
EDEM1	-0.023800
RNY4	0.023761
ITCH-IT1	0.023713
STT3A	-0.023702
TMEM191A	0.023681
TCL1B	0.023637
TICRR	-0.023630
ZNF860	0.023624
BEST1	-0.023524
MYO3B	0.023516
SARS	-0.023476
PSMC3IP	-0.023388
KLF2	0.023334
USP49	0.023203
LRRFIP1	0.023196
SLC2A5	0.023147
MCM4	-0.023110
GABPB1-AS1	0.023062
SEMA4D	0.023045
XRCC3	-0.023023
CHAF1A	-0.022922
RNF187	-0.022903
EGR1	-0.022884
MAP3K5	0.022870
USP47	-0.022851
SBDSP1	-0.022839
NOMO3	-0.022834
YARS	-0.022794
BLZF1	0.022752
IL10RA	0.022681
RINL	0.022655
CDC25A	-0.022651
ERAP2	0.022645
C4orf46	-0.022630
IVD	0.022629
FAM58A	0.022628
SNORA12	0.022540
RGCC	0.022529
CDC45	-0.022514
SYNJ2BP	0.022513
TCEB3	0.022512
CENPU	-0.022504
CEBPB	-0.022487
HIATL2	0.022482
HSPA5	-0.022440
GFPT1	-0.022403
ZBTB20	0.022360
DEF6	0.022311
SNORA57	0.022273
MIDN	0.022243
SMAP2	0.022232
TCEA1	-0.022223
HSPA1B	0.022186
SH2B3	-0.022176
CLK1	-0.022156
PFKFB4	0.022149
PLA2G15	0.022120
LMNB1	-0.022116
DENND5B	0.022091
EIF1	-0.022056
GOT1	-0.022045
HLA-DMA	0.021985
SERTAD1	0.021946
OSM	0.021923
NTF3	-0.021882
C4orf32	-0.021850
XPOT	-0.021846
GARS	-0.021845
LOC100128288	0.021844
RAD23A	-0.021838
RHBDF1	0.021830
SEL1L	-0.021820
PATE3	-0.021801
RNY1	0.021774
SP2	-0.021769
SYTL1	-0.021751
CBX4	-0.021738
TOB1	0.021700
SLC43A1	-0.021672
RNA28S5	0.021649
DEPTOR	-0.021642
CD24	0.021631
TP53	-0.021570
EIF4EBP1	-0.021557
ABHD15	0.021557
THRSP	-0.021556
AIDA	0.021543
C14orf79	0.021524
BMS1P5	0.021511
SBDS	-0.021510
MX2	-0.021506
SNAP47	0.021491
MAP6D1	0.021419
ATP13A2	0.021359
MCM10	-0.021293
ACKR3	0.021289
HYOU1	-0.021284
TIMM44	-0.021280
NDUFB10	0.021280
CDKL1	0.021249
SELO	0.021243
MBTD1	0.021187
ITPK1-AS1	0.021146
EVI5	0.021087
ZDHHC14	0.021070
MEF2BNB-MEF2B	-0.021042
BMPR2	0.021029
PCYOX1	0.020996
AMMECR1	-0.020977
FUCA1	0.020893
VPREB1	0.020872
RAD51AP1	-0.020855
SUSD3	0.020854
RSPH3	0.020848
IARS	-0.020812
ABTB1	0.020767
MS4A7	0.020765
EIF3CL	-0.020758
ZNF281	0.020730
SRSF7	-0.020712
CCDC42B	-0.020689
SERPINI1	0.020671
FCRL2	0.020670
ZNF573	0.020659
ASPHD2	-0.020652
ACTA2	-0.020646
PI16	0.020637
SCARNA13	0.020604
PTPLAD2	0.020591
BLM	-0.020518
MTHFD1L	-0.020509
MIR2116	0.020492
KLRK1	0.020473
AP1AR	-0.020380
IFI44L	-0.020346
PLEKHB2	0.020339
FGD3	0.020296
HSPA7	0.020288
SNORD43	0.020269
PHACTR1	0.020247
ORAI2	0.020244
SSPN	0.020212
MRPL54	-0.020209
ACTR10	-0.020161
SHOC2	-0.020157
CEP128	0.020149
TNFAIP8L1	0.020148
NUP88	-0.020124
CPSF6	-0.020102
THOC6	-0.020041
SCARNA16	0.020013
GNA12	0.019971
ASXL2	0.019970
DLD	-0.019934
FCER2	-0.019923
CCDC138	0.019909
NEMF	0.019891
VPREB3	0.019879
EID2B	0.019877
HLA-DMB	0.019855
EPS15	-0.019853
COPRS	0.019842
LHFP	-0.019796
UHRF1	-0.019789
DNAAF3	0.019786
ERH	-0.019780
CNR1	0.019776
RASGRP3	-0.019656
PAPD5	0.019651
USMG5	-0.019649
MCM5	-0.019626
TAF5	-0.019619
SLC27A4	0.019595
AUNIP	-0.019546
BMF	0.019537
H1FX	-0.019517
FUOM	-0.019496
AK1	0.019494
PSMD7	-0.019457
GRPEL2	-0.019401
PLEKHA1	0.019396
MTURN	0.019393
SERPINA10	0.019304
AGO2	0.019303
MYBPC1	0.019256
ETV5	-0.019238
PHGDH	-0.019236
ADCK2	0.019223
NDE1	0.019187
FAM106CP	-0.019178
INO80C	-0.019159
RWDD2B	-0.019157
SNORD11	0.019145
KIAA0020	-0.019144
ZNF669	0.019115
RASSF6	0.019113
MARCH1	0.019090
SERHL2	0.019087
TXNDC11	-0.019071
MYLPF	-0.019064
SNORA24	0.019048
DHRS7B	-0.019028
ERN1	-0.019026
DNAJC10	-0.019009
ZNF655	-0.019001
LRRC37BP1	0.018981
RHOH	0.018975
BLK	0.018973
AARS	-0.018967
LRWD1	0.018931
MIR586	-0.018916
WDR74	0.018913
MID1IP1	-0.018889
SGOL1	-0.018870
CNOT2	-0.018861
KIF5B	-0.018858
PSPH	-0.018823
PIGX	0.018817
TELO2	0.018816
CCRN4L	0.018804
PMF1	-0.018794
TMEM200B	-0.018768
SKA3	-0.018748
NRG4	0.018740
TUFT1	0.018736
CCDC47	-0.018729
ZNF480	0.018727
CARD11	0.018695
SYAP1	0.018652
AHCYL1	-0.018651
TSHR	0.018648
ANP32AP1	-0.018639
PAG1	-0.018636
FAM92B	0.018636
DAPP1	0.018628
ASXL1	-0.018613
COPB1	-0.018608
TSEN15	-0.018604
LOC390705	-0.018604
SNORD12C	0.018602
BSPH1	-0.018602
USP37	-0.018600
ACSS1	0.018591
SWSAP1	0.018586
FAM129C	-0.018559
GDF11	0.018554
TBPL1	-0.018531
KAT2A	0.018530
CTSH	0.018513
SLC2A3	0.018438
YIPF1	-0.018431
NDUFB1	0.018426
HES6	0.018407
KRR1	-0.018402
ARHGEF37	0.018396
RPS7	-0.018391
LRRC56	0.018386
TGM2	-0.018381
PPP3CB	-0.018380
CD27	0.018375
CLN8	0.018369
ACBD3	-0.018363
PRPF19	-0.018360
MIR25	-0.018356
MCCC2	-0.018348
RBM38	0.018344
TSC22D1	0.018339
FAM170B	0.018337
GFOD2	0.018322
SMAP1	-0.018299
TLE3	0.018295
MNAT1	-0.018273
HRK	0.018252
SKA1	-0.018239
HIST2H2BE	-0.018235
TSPAN1	-0.018226
RSAD1	0.018223
RAB26	0.018215
PAFAH2	0.018207
TARS	-0.018200
PLEKHF1	0.018184
TNKS1BP1	-0.018169
MRPS14	-0.018119
LOC729603	0.018119
WASF3	0.018099
UBA2	-0.018091
CREB3L4	-0.018074
PLRG1	-0.018068
EGFEM1P	0.018055
TDRD1	0.018044
FAM117A	-0.018034
SNORA80A	0.018018
KCNK12	-0.018017
ZBP1	0.018014
CSAG1	0.018013
GRID2	0.018002
PSEN2	0.018000
BAG3	0.018000
TP53TG1	0.017992
PRRT2	0.017990
PPM1M	-0.017971
C19orf66	0.017967
FLVCR1-AS1	0.017962
MZT1	-0.017938
IDS	0.017923
ARHGEF10	-0.017919
SNX22	0.017916
PCGF1	-0.017909
EAF2	-0.017876
FOXJ2	0.017867
NRBP2	0.017864
