Gene	GSM4819286	GSM4819287	GSM4819288	GSM4819289	GSM4819298	GSM4819299	GSM4819300	GSM4819301
CLSTN1	2808	2762	3004	3697	2893	2868	3111	3177
CTNNBIP1	143	189	135	198	128	129	148	131
LZIC	470	524	423	560	491	466	385	419
NMNAT1	153	199	177	209	117	120	152	131
MIR5697	0	0	0	0	0	0	0	0
RBP7	115	237	83	110	67	104	66	44
UBE4B	1240	1397	1309	1562	1325	1173	1342	1290
KIF1B	1169	1216	731	1096	1058	1145	704	906
PGD	2027	2742	1598	2368	1518	2537	1323	1423
CENPS-CORT	0	0	0	0	0	0	0	0
CENPS	14	7	13	13	13	8	13	14
CORT	0	0	2	1	2	2	0	2
DFFA	360	356	379	461	377	390	394	394
PEX14	359	361	472	573	286	255	423	389
CASZ1	232	335	340	470	316	341	332	479
C1orf127	1	3	3	2	4	2	4	1
TARDBP	4052	4384	3887	5082	4018	4586	3765	3935
MASP2	4	2	0	0	2	3	2	4
SRM	469	520	615	639	637	946	594	580
EXOSC10	1739	1684	1824	2334	1672	1673	1621	1905
MTOR	1952	2043	1824	2482	2012	2084	1821	1956
MTOR-AS1	0	0	0	0	0	0	0	0
ANGPTL7	0	0	0	0	0	0	0	0
UBIAD1	616	581	711	891	701	791	828	857
DISP3	18	11	17	10	15	12	11	13
LINC01647	0	0	0	0	0	0	0	0
FBXO2	8	2	18	18	10	7	16	29
FBXO44	311	246	420	597	353	215	443	470
FBXO6	83	143	112	190	96	146	108	129
MAD2L2	276	342	223	383	286	367	255	318
DRAXIN	10	5	5	8	16	5	2	9
AGTRAP	521	743	538	772	233	406	275	333
C1orf167	2	2	8	1	3	2	6	4
C1orf167-AS1	0	0	0	0	0	0	0	0
MTHFR	600	835	750	970	626	642	735	790
CLCN6	355	560	427	517	320	499	420	412
NPPA-AS1	13	32	25	31	9	35	17	45
NPPA	0	0	0	2	0	0	0	2
NPPB	0	0	0	0	0	0	0	0
RNU5E-1	0	0	0	0	0	0	0	1
KIAA2013	973	1375	1083	1437	929	1109	1058	1046
PLOD1	210	401	281	208	136	279	230	142
MFN2	2381	2958	2179	2821	2527	3251	2414	2482
MIIP	310	388	334	449	331	329	320	341
MIR6729	0	0	0	0	0	0	0	0
TNFRSF8	104	265	141	185	57	126	147	98
MIR7846	0	0	0	0	0	0	0	0
TNFRSF1B	11948	18806	11289	15416	12454	18598	12434	13266
MIR4632	0	1	2	0	0	1	0	1
VPS13D	2128	2371	2219	2842	2241	2216	2171	2343
SNORA59A	9	3	2	5	1	3	3	4
DHRS3	856	1076	706	1217	913	1088	853	966
MIR6730	1	2	0	3	2	1	1	1
AADACL4	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
CFAP107	0	0	0	0	0	0	0	0
PRAMEF12	0	0	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0
HNRNPCL1	47	60	56	70	61	71	53	62
PRAMEF2	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0
PRAMEF22	0	0	0	0	0	0	0	0
PRAMEF28P	0	0	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0
HNRNPCL3	2	5	5	4	10	7	7	4
PRAMEF25	0	0	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0	0	0
HNRNPCL2	34	24	30	48	30	45	35	32
PRAMEF36P	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0
HNRNPCL4	0	1	0	0	0	0	0	1
PRAMEF9	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0
LRRC38	0	1	0	0	2	1	0	0
PDPN	30	40	8	2	59	110	15	7
PRDM2	3188	3223	3764	4394	3321	3580	3723	3746
KAZN	2	0	1	2	4	5	2	3
TMEM51-AS1	10	39	12	9	13	24	8	2
TMEM51	562	1571	367	466	239	843	219	142
TMEM51-AS2	0	0	0	0	0	0	0	0
FHAD1	13	30	7	17	2	20	9	11
FHAD1-AS1	2	0	1	0	7	0	3	5
EFHD2	5296	8796	3868	5882	5429	9256	4253	4405
CTRC	4	9	4	8	8	6	6	9
CELA2A	0	0	0	0	0	0	0	0
CELA2B	0	1	0	1	0	0	0	0
CASP9	473	388	489	674	477	367	499	560
DNAJC16	539	445	524	605	524	412	585	526
AGMAT	189	86	164	217	209	111	248	217
DDI2	235	223	201	224	313	269	243	270
RSC1A1	241	231	167	249	255	209	200	212
PLEKHM2	2904	3535	2701	3901	3305	4828	2786	3555
SLC25A34	57	92	53	94	100	183	52	113
TMEM82	0	0	0	0	0	0	0	0
FBLIM1	0	0	0	0	0	1	0	0
UQCRHL	472	399	333	612	491	459	311	400
SPEN-AS1	87	112	103	160	91	106	109	135
SPEN	2993	4427	2833	3903	3210	4929	3251	3566
ZBTB17	1192	1678	1081	1411	1433	2470	1192	1471
TBC1D3P6	0	0	0	0	0	0	0	0
SRARP	0	0	0	0	0	0	0	0
HSPB7	0	0	0	0	0	0	0	0
CLCNKA	0	0	0	0	0	1	1	0
CLCNKB	1	0	0	1	0	0	0	0
FAM131C	0	0	0	1	1	0	1	0
EPHA2	23	12	15	25	62	20	23	48
ARHGEF19	130	199	201	318	176	217	232	229
ANO7L1	0	1	2	0	0	1	1	1
CPLANE2	40	44	58	67	49	33	51	50
FBXO42	812	964	888	1185	834	872	863	920
SZRD1	3466	4135	2722	3698	3598	4935	3117	3385
SPATA21	0	0	0	0	0	1	1	0
NECAP2	2846	2881	3145	4299	2848	2823	2879	3149
CROCCP3	52	66	67	99	70	58	72	98
RNU1-1	0	0	2	0	0	0	0	0
TRG-CCC1-1	0	0	0	0	0	0	0	0
NBPF1	224	186	237	427	259	163	270	374
CROCCP2	806	818	941	1459	969	828	999	1182
MST1P2	60	76	110	120	71	64	95	104
RNU1-3	1	0	0	0	0	0	0	0
ESPNP	0	0	2	9	2	0	4	7
TRG-CCC5-1	0	0	0	0	0	0	0	0
RNU1-4	2	1	0	3	0	2	0	0
MST1L	14	0	11	27	12	5	7	25
MIR3675	0	0	0	0	0	0	0	0
TRG-CCC1-2	0	0	0	0	0	0	0	0
TRE-TTC3-1	0	0	0	0	0	0	0	0
TRN-GTT4-1	0	0	0	0	0	0	0	0
CROCC	555	590	659	1269	693	642	687	1027
RNU1-2	34	6	20	25	42	14	24	19
MFAP2	0	0	0	0	0	0	0	0
ATP13A2	903	1298	1117	1412	1120	1404	1277	1224
SDHB	1051	1085	883	1193	944	1067	859	846
PADI2	210	472	105	259	363	569	153	238
PADI1	2	3	0	0	2	2	0	2
PADI3	0	0	0	0	0	0	0	0
MIR3972	0	0	0	0	0	0	0	0
PADI4	1022	1400	729	1265	630	830	407	616
PADI6	0	8	0	9	1	1	0	2
RCC2	2643	3321	2455	3054	3071	4352	2717	2653
ARHGEF10L	252	1040	199	267	238	1551	245	199
ACTL8	0	0	0	0	0	0	0	0
LINC01654	0	0	0	0	0	0	0	0
IGSF21	0	0	0	0	0	0	0	0
KLHDC7A	0	3	0	0	14	4	2	1
PAX7	0	0	0	0	0	0	0	0
TAS1R2	0	0	0	0	0	0	0	0
ALDH4A1	81	107	103	126	57	57	70	74
MIR4695	0	0	0	0	0	0	0	0
MIR1290	0	0	0	0	0	0	0	0
IFFO2	921	1040	857	1043	980	841	1052	810
UBR4	6167	7534	5908	7687	6727	8042	6262	7115
EMC1	1137	1231	1031	1191	1176	1451	936	1038
MRTO4	318	371	302	398	460	714	335	335
AKR7L	4	6	9	11	7	6	5	8
AKR7A3	19	24	25	40	21	25	24	26
LOC100506730	14	21	25	14	24	14	16	20
AKR7A2	352	336	432	564	344	306	463	385
SLC66A1	206	309	120	206	148	250	132	153
CAPZB	5124	6357	4575	6008	4480	5740	4269	4388
MICOS10-NBL1	0	0	0	0	0	0	0	0
MICOS10	569	542	418	718	452	574	468	534
RPS14P3	152	111	177	247	142	124	176	156
NBL1	0	0	0	1	1	2	0	0
HTR6	2	0	0	14	0	0	0	6
TMCO4	192	212	258	333	193	237	243	316
RNF186	0	0	0	0	0	0	0	0
OTUD3	478	476	502	638	527	479	456	515
PLA2G2E	0	0	0	0	0	0	0	0
PLA2G2A	0	0	0	0	0	0	0	0
PLA2G5	0	0	0	0	0	0	0	0
PLA2G2D	1	0	1	1	0	0	4	4
PLA2G2F	0	0	0	0	0	0	0	0
PLA2G2C	0	0	0	1	0	0	0	1
UBXN10	13	8	9	7	4	8	7	8
VWA5B1	4	0	0	6	2	1	1	0
LINC01141	0	0	1	0	0	0	0	0
CAMK2N1	101	59	92	134	193	95	140	161
MUL1	743	988	637	793	696	1043	618	631
FAM43B	0	0	0	0	0	0	0	0
CDA	224	360	99	116	173	310	66	70
PINK1	905	836	807	1125	757	682	823	865
MIR6084	0	0	0	0	0	0	0	0
PINK1-AS	155	153	170	163	161	150	164	118
DDOST	3322	3706	3283	4409	3232	3366	3341	3203
KIF17	1	0	1	5	0	0	0	2
SH2D5	1	0	1	2	4	0	0	0
HP1BP3	3878	3856	3847	5083	4742	4092	4191	4373
EIF4G3	794	1193	655	803	742	1186	705	712
MIR1256	0	0	0	0	0	0	0	0
ECE1	3327	5583	2499	3775	3519	5868	3091	3653
ECE1-AS1	31	25	41	43	46	26	49	48
NBPF3	181	162	371	468	202	191	404	400
ALPL	68	244	575	345	35	147	281	153
RAP1GAP	1	3	1	4	1	2	2	4
USP48	1381	1375	1537	2005	1434	1205	1459	1509
LDLRAD2	3	8	9	11	8	5	19	15
HSPG2	57	77	81	133	74	84	93	116
CELA3B	0	0	0	0	0	0	1	0
CELA3A	0	0	0	0	0	0	0	0
LINC01635	2	0	2	0	2	2	4	2
LINC00339	133	329	304	220	137	253	283	159
CDC42	8649	9855	6232	9077	8325	9904	6407	7014
WNT4	0	0	1	1	0	1	2	0
MIR4418	0	0	0	0	0	0	0	0
ZBTB40	2367	2417	2775	3527	2275	2741	2542	2728
EPHA8	0	0	1	1	0	1	1	1
MIR6127	0	0	0	0	0	0	0	0
C1QA	39	57	80	66	26	46	49	34
C1QC	2	15	12	8	1	5	2	1
C1QB	35	54	53	38	8	15	18	17
EPHB2	55	103	58	61	15	19	24	14
MIR4684	0	0	0	0	0	0	0	0
MIR4253	0	0	0	0	0	0	0	0
LACTBL1	0	0	0	0	0	0	0	0
TEX46	0	1	0	1	0	0	0	0
KDM1A	1659	1876	1517	1963	1321	1544	1359	1430
MIR3115	0	0	0	0	0	0	0	0
LUZP1	1571	1604	1216	1550	1974	1743	1491	1615
HTR1D	0	0	0	0	0	0	0	0
LINC01355	39	46	60	57	33	34	61	57
HNRNPR	4931	4742	3541	5034	5374	5823	4041	4284
ZNF436	422	475	474	568	408	350	380	431
ZNF436-AS1	41	31	58	60	27	33	43	39
TCEA3	40	24	63	106	74	45	110	103
ASAP3	14	7	12	17	11	15	34	16
E2F2	31	27	59	47	45	18	64	33
LOC101928163	0	0	0	0	0	0	0	0
ID3	259	371	210	386	458	917	476	694
MDS2	33	10	41	78	34	20	70	85
RPL11	28461	25008	32396	45793	29831	24526	30863	32192
ELOA	1618	1844	1257	1762	1661	2342	1198	1413
ELOA-AS1	33	34	44	74	28	35	40	66
PITHD1	1060	909	1069	1383	1098	1001	1064	1129
LYPLA2	1175	1416	1076	1486	1165	1481	1196	1289
GALE	120	148	104	154	132	139	99	117
HMGCL	319	348	391	507	335	265	368	357
FUCA1	370	597	389	562	311	641	454	406
CNR2	47	71	84	87	61	55	92	68
MIR378F	0	0	0	0	0	0	0	0
PNRC2	4461	4179	4028	5618	5233	5241	4160	4750
SRSF10	2617	2524	2176	2896	3324	3176	2380	2700
MYOM3	8	8	3	0	7	1	4	2
IL22RA1	0	1	0	0	0	1	1	0
IFNLR1	214	177	256	310	187	166	192	291
LINC02800	0	0	0	0	0	0	0	0
GRHL3	1	0	0	1	0	1	0	0
STPG1	29	23	30	50	21	25	32	32
NIPAL3	1040	800	1159	1452	1437	1067	1370	1531
RCAN3AS	25	16	29	54	29	20	22	25
RCAN3	2094	1364	2399	3511	2163	1214	2437	2730
NCMAP-DT	7	2	5	15	9	2	8	20
NCMAP	4	12	28	20	14	12	30	17
SRRM1	2531	2400	2591	3439	2803	2901	2487	2877
CLIC4	950	1556	608	1036	2031	2800	918	1076
RUNX3	7343	8973	7802	8255	7888	10751	8085	7286
MIR6731	1	0	0	0	1	1	0	2
MIR4425	0	0	0	0	0	0	0	0
SYF2	1758	1751	1763	2277	1724	1598	1606	1666
RSRP1	4391	3756	4136	5164	4318	3471	3959	3948
RHD	6	1	1	4	5	0	1	5
TMEM50A	3129	2725	2275	3256	3298	2592	2371	2580
RHCE	17	5	13	36	49	29	28	35
MACO1	905	708	952	1303	977	659	979	1036
LDLRAP1	3979	3853	8361	8783	3571	3333	7646	5719
MAN1C1	1284	542	1340	1782	1942	763	1795	2084
SELENON	916	1010	850	1121	743	821	751	728
MTFR1L	831	913	762	1032	700	791	700	714
LOC646471	6	3	3	7	8	6	13	10
AUNIP	1	1	4	7	4	5	6	3
PAQR7	31	73	82	104	64	41	86	69
STMN1	549	369	942	898	694	379	1025	850
MIR3917	0	0	0	0	0	0	0	0
PAFAH2	747	597	704	809	855	633	787	658
EXTL1	0	0	0	2	1	0	0	1
SLC30A2	0	0	0	0	0	0	2	0
LOC105376910	0	0	0	0	0	0	0	0
TRIM63	0	0	0	1	0	0	0	1
PDIK1L	409	292	457	508	514	353	487	438
FAM110D	0	0	0	0	0	1	0	0
ZNF593	69	93	84	102	108	152	101	103
CNKSR1	17	27	30	23	31	49	38	29
CATSPER4	0	0	1	0	0	0	0	0
ZPLD2P	2	0	1	0	0	1	0	0
CEP85	432	500	416	506	437	472	378	453
SH3BGRL3	13389	18717	7342	13037	12390	21830	8020	10797
UBXN11	2043	2893	1932	2493	1716	2952	1665	1663
CD52	3251	3685	2740	5240	3501	3943	3193	4098
CRYBG2	6	0	7	8	8	17	9	8
ZNF683	34	80	9	62	80	221	25	143
LIN28A	0	0	0	0	0	0	0	0
DHDDS	478	497	498	686	444	563	460	485
DHDDS-AS1	7	1	4	11	8	3	3	3
HMGN2	3212	3107	3481	4846	3419	3110	3600	3788
RPS6KA1	2711	4577	2157	3144	2187	3302	2083	2016
MIR1976	0	0	0	0	0	0	0	0
LOC101928728	6	8	9	16	10	9	5	8
ARID1A	3662	4618	3202	4205	3164	3672	3156	3259
PIGV	338	302	435	402	281	263	278	254
ZDHHC18	1352	1270	1332	1826	1757	1604	1534	1688
SFN	1	1	1	3	2	5	2	0
GPN2	382	428	360	530	402	487	398	428
GPATCH3	462	483	374	515	492	489	395	460
NUDC	859	853	853	1026	1019	1091	929	929
NR0B2	0	0	1	0	0	0	0	0
KDF1	24	26	47	54	35	31	43	47
TRNP1	16	19	6	22	10	17	16	21
TENT5B	0	0	0	3	1	4	0	0
SLC9A1	571	624	632	794	585	758	607	628
WDTC1	1645	1485	1868	2401	1942	1685	2104	2165
TMEM222	692	729	658	896	833	982	708	758
ACTG1P20	732	999	602	803	800	1258	560	653
RNU6-48P	0	0	0	0	0	0	0	0
SYTL1	1157	1139	1589	2113	1585	1285	1989	1993
MAP3K6	125	535	164	183	31	26	42	44
FCN3	0	0	0	1	0	0	0	0
CD164L2	0	0	0	0	0	0	0	0
GPR3	0	0	0	0	2	0	0	1
WASF2	5973	6405	6734	8948	4451	4757	4499	5121
AHDC1	588	647	886	1116	585	530	699	636
FGR	13050	25257	7495	11935	4587	12314	3224	3289
IFI6	541	417	336	788	463	413	319	519
FAM76A	319	279	382	509	307	241	350	366
STX12	1157	1391	785	1200	1082	1306	730	870
PPP1R8	1506	1569	1298	1914	1475	1523	1403	1505
SCARNA1	0	0	0	0	1	1	1	0
THEMIS2	5142	6861	4816	5535	3079	4595	3194	2840
RPA2	1834	2260	2554	3308	1740	2030	2402	2276
SMPDL3B	4	7	6	5	4	4	3	2
XKR8	402	419	445	627	348	302	402	389
EYA3	980	1133	887	1138	930	1234	765	889
PTAFR	2417	3360	1243	2453	734	1873	422	579
DNAJC8	2037	1846	1827	2336	2051	1989	1684	1816
ATP5IF1	841	658	1185	1317	782	631	1027	933
SESN2	672	838	497	632	933	2640	711	731
MED18	319	353	350	470	334	275	325	348
PHACTR4	1051	860	1006	1281	976	766	999	963
RCC1	366	373	380	443	421	546	408	387
SNHG3	459	382	432	611	521	877	440	523
SNORA73A	4	9	7	7	19	40	8	14
SNORA73B	14	14	7	7	16	32	7	6
TRNAU1AP	388	420	422	595	349	387	357	378
SNHG12	496	451	720	1005	552	571	616	695
SNORD99	17	14	12	27	7	15	11	11
SNORA61	46	48	52	88	44	59	63	55
SNORA44	112	79	119	154	127	104	86	126
SNORA16A	38	31	36	41	44	28	39	44
RAB42	0	0	0	0	0	0	0	0
TAF12	491	506	458	597	484	432	446	478
RNU11	1	0	2	0	1	3	0	1
GMEB1	378	442	297	407	439	545	324	359
YTHDF2	1809	1797	1521	2024	2043	2162	1636	1824
OPRD1	0	0	0	0	0	0	0	0
EPB41	7782	5647	8694	9746	9433	6363	9544	8350
TMEM200B	7	4	2	14	19	11	28	18
SRSF4	1593	1706	1751	2125	1718	1761	1734	1864
MECR	102	93	118	148	133	116	135	130
PTPRU	14	18	14	19	7	11	22	13
LINC01756	0	0	0	0	0	0	0	0
LINC01648	0	0	0	0	0	0	0	0
MATN1	10	6	25	39	13	8	24	18
MATN1-AS1	77	72	144	251	86	64	133	134
LAPTM5	65655	83518	55432	76842	54929	87197	51186	52985
MIR4420	12	18	21	36	14	19	17	17
LOC400748	0	0	0	0	0	0	0	0
SDC3	106	136	212	161	48	82	120	91
PUM1	2434	2670	2050	2788	2605	2767	2282	2354
SNORD103A	2	2	2	5	3	3	2	1
SNORD103B	7	5	5	4	5	9	5	2
SNORD103C	1	0	0	0	1	0	0	0
NKAIN1	0	0	0	0	0	0	0	0
SNRNP40	852	912	808	1074	891	955	796	876
ZCCHC17	649	621	697	1002	649	533	618	648
FABP3	3	8	0	0	8	18	4	1
SERINC2	501	632	191	251	192	188	101	79
LDC1P	0	0	0	1	1	1	1	2
LINC01226	2	2	3	6	4	2	2	3
TINAGL1	132	98	23	39	408	478	169	136
HCRTR1	68	43	19	29	106	142	94	91
PEF1	2051	2302	1524	2282	1873	2340	1545	1845
COL16A1	1	3	10	2	3	1	0	7
ADGRB2	20	9	19	28	15	9	21	20
MIR4254	0	0	0	0	0	0	0	0
SPOCD1	6	20	10	20	13	18	21	17
PTP4A2	7032	6281	6028	8587	7165	6404	6201	6581
KHDRBS1	3290	3683	2941	4468	3588	3639	3200	3572
TMEM39B	240	237	286	341	266	233	340	322
MIR5585	0	0	0	0	0	0	0	0
KPNA6	1875	1961	1689	2352	1904	2072	1725	1936
TXLNA	1906	2089	1900	2276	2005	2504	1829	1879
CCDC28B	63	24	54	83	78	50	93	89
TMEM234	240	294	263	330	224	312	218	262
IQCC	30	21	40	41	38	30	53	39
DCDC2B	0	0	0	2	1	0	0	0
