!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Rattus norvegicus
!cell	Liver
!perturbation	Dexamethasone
!disease	1 mg/kg - 1 d
!end_metadata
CYP2U1	0.032783
DHCR7	-0.032473
CYP51A1	-0.032448
APOA2	-0.032421
UBE2C	-0.032190
GCK	-0.032068
TNFRSF12A	0.032015
CCND2	-0.031853
ECT2	-0.031760
PSMB9	-0.031749
MBL2	-0.031745
SLC6A6	-0.031732
CGREF1	0.031610
DNPH1	0.031385
NR0B2	0.031246
GAS6	0.031219
MFAP4	-0.031190
DIO1	-0.031177
ELOVL3	0.031134
IFIT3	0.031109
KLF6	0.031052
GSTM2	-0.030975
IGSF10	-0.030956
RYBP	0.030800
CEMIP	0.030755
PYCARD	-0.030754
LGALS9B	0.030736
MSMO1	-0.030674
HSD3B1	0.030429
PNPLA2	0.030423
PIM3	0.030381
PCTP	-0.030360
MKI67	-0.030171
PILRA	-0.030052
ASNS	0.029996
JUN	0.029975
SLC13A3	-0.029947
DDHD1	-0.029885
EDEM1	0.029787
SLC9A3R1	-0.029689
TMEM86A	0.029418
ACYP2	0.029377
TMEM38B	0.029250
SDS	0.029241
FGR	-0.029222
TCF19	-0.029205
MFSD2A	0.029142
TSPO	0.029110
CDC25B	-0.029061
TMEM41A	0.029020
GBP2	-0.029012
PRSS23	-0.028942
GADD45B	0.028907
LYZ	-0.028902
LDLR	0.028844
CDKN3	-0.028740
RDH5	-0.028689
EPRS	0.028537
RNASE4	-0.028445
NRD1	0.028444
STAB2	-0.028417
PAQR9	-0.028365
SH3BGRL3	-0.028358
CIDEA	0.028324
SIGLEC8	-0.028260
NNMT	0.028258
PGPEP1	0.028249
CLDN2	-0.028215
GEN1	-0.028054
SLC10A2	-0.028033
CCNB1	-0.027909
ATP1B1	0.027887
CXCL12	-0.027880
ZNF189	0.027793
DCN	0.027766
NIM1K	-0.027720
AOC3	0.027609
SEZ6	-0.027578
USP2	0.027553
PNLIPRP1	0.027538
BTG2	0.027468
SDR42E1	0.027411
BMF	-0.027405
RAB30	0.027380
KCNJ8	-0.027348
FAM111A	-0.027273
NEK6	0.027191
BMP2	-0.027166
SULT1E1	-0.027144
SGK2	-0.027135
SEC23A	0.027108
LYRM5	0.027090
LPL	0.027054
AQP11	0.027046
OAT	-0.027023
PFKFB1	0.026998
ECHDC1	-0.026906
PON3	-0.026895
STMN1	-0.026891
TSKU	0.026876
TMCC2	-0.026849
STEAP3	-0.026827
BBS9	0.026776
CKAP2	-0.026766
FKBP4	0.026739
ASPG	-0.026724
CCL5	-0.026693
ADAMTS1	0.026664
LCP1	-0.026613
NFE2	-0.026607
AMD1	0.026571
CAPN10	0.026469
SERPINE2	-0.026292
BHMT	0.026242
ACSM5	-0.026189
ANG	-0.026059
AADAT	0.025996
FDPS	-0.025919
TCEA3	-0.025711
EPHX2	-0.025692
CEBPB	0.025583
FGFR3	0.025571
PEX11A	0.025522
RB1CC1	0.025512
CCNA2	-0.025439
CLDN3	-0.025376
PCED1B	-0.025245
DAB2	-0.025223
CDCA3	-0.025189
OLFML3	-0.025170
MPHOSPH8	0.025052
TNFRSF11B	-0.024964
KLF10	0.024940
PVR	0.024933
SLC12A3	0.024896
CCNB2	-0.024888
FGA	-0.024887
REEP6	0.024875
ABCC2	-0.024874
EIF1B	0.024861
MACROD1	-0.024858
PSMB8	-0.024855
GSTM1	-0.024829
MTAP	0.024800
TYROBP	-0.024785
PTPRG	0.024778
XPNPEP2	-0.024699
ST6GAL1	0.024664
ITGB2	-0.024663
ADAMTSL2	0.024651
POLR3G	0.024616
GOT1	0.024595
SLC34A2	-0.024576
ACYP1	0.024488
IER3	-0.024477
KNG1	-0.024472
ACKR4	-0.024443
PCDH18	0.024430
SLC37A4	0.024398
SQLE	-0.024393
ADAM8	0.024331
IMPDH2	0.024290
HERPUD1	0.024271
ACPL2	-0.024247
ATOH8	0.024241
IRF8	-0.024231
FAM198B	-0.024225
PLVAP	-0.024185
CEBPA	-0.024149
AGMO	-0.024092
HYKK	0.024036
CA8	-0.023995
EMILIN1	-0.023986
MAP1LC3B	0.023979
CPA3	-0.023974
COTL1	-0.023967
ARHGDIB	-0.023902
RAD51	-0.023894
NAP1L1	0.023849
XBP1	-0.023779
HCK	-0.023765
SPON1	0.023756
NUSAP1	-0.023677
XPOT	0.023652
PCYOX1	0.023640
PLCXD2	-0.023639
DNASE2B	0.023603
IRF2BP2	0.023592
UAP1	0.023521
SOCS2	-0.023505
CD38	-0.023490
HES1	0.023464
FOXO1	0.023447
UCP2	-0.023391
FGL2	-0.023387
CELA1	-0.023360
BGN	-0.023351
CDR2	0.023303
TIMM8A	0.023255
COL14A1	-0.023226
DOCK4	0.023193
HMMR	-0.023157
CPED1	0.023144
CRYAB	0.023023
ESRP1	0.022955
PCYT1A	0.022952
STEAP4	-0.022933
GNG12	0.022900
LY86	-0.022862
DIRC2	0.022834
ABHD2	-0.022761
CLEC4F	-0.022721
SLC27A5	-0.022708
CXCL13	-0.022657
HSD17B7	0.022579
ATP2B2	-0.022579
SLC35C2	0.022556
ST8SIA1	0.022536
HPGDS	-0.022524
NUF2	-0.022450
MOSPD3	-0.022439
TGM2	0.022437
CLCA2	-0.022426
NRROS	-0.022418
TSPYL4	0.022417
LBP	-0.022396
FMO2	0.022379
FAM134B	0.022330
SGCB	0.022274
PRC1	-0.022121
CETN2	-0.022105
PTGS1	-0.022081
FAM114A1	0.022079
TXNRD3	-0.022041
MAL2	0.021974
TGFBI	-0.021899
ICA1	0.021896
CKS2	-0.021891
ID3	-0.021885
ADCK3	-0.021875
FAM35A	0.021871
PXDN	-0.021861
P2RY14	-0.021828
SPC25	-0.021821
CES1	-0.021814
FCHSD2	0.021734
PDHB	0.021703
PRUNE2	-0.021684
LIMK2	0.021670
CYP4V2	-0.021666
LCMT1	-0.021654
SGK1	-0.021649
P2RX7	-0.021637
LRP1	-0.021621
RDH16	0.021612
PDIA5	-0.021606
RETSAT	-0.021605
RDH11	-0.021604
DHRS3	-0.021591
KLF4	0.021556
HYLS1	-0.021510
CDC42EP3	-0.021478
DGKD	0.021464
PPDPF	-0.021463
CGN	-0.021440
TRIB3	0.021421
CMTM3	-0.021386
INSIG1	-0.021362
CRIP1	-0.021336
MDH1	0.021331
DHX9	0.021322
CEP70	-0.021305
DRAM1	-0.021234
PPM1K	0.021228
ABLIM3	0.021209
DPP7	-0.021207
FERMT3	-0.021163
ACSS2	-0.021160
FCER1G	-0.021153
TOP2A	-0.021140
SLC6A13	-0.021126
NR1D1	0.021125
UMPS	0.021104
ZFP36	0.021096
WIPF1	-0.021093
HMGCS1	-0.021078
PLAU	-0.021072
TOMM20	0.021043
CTSE	-0.021022
NINJ1	-0.021004
EIF2AK2	0.020987
SLC2A5	0.020983
OAF	-0.020973
ODF3B	-0.020965
ITIH2	-0.020963
PNPLA3	-0.020948
ID4	-0.020918
GCLM	-0.020917
IL10RB	-0.020888
LGALSL	0.020863
ISYNA1	0.020852
VEGFB	-0.020839
MCM6	-0.020824
SCARB1	-0.020809
CD97	0.020809
ADSSL1	-0.020794
HIVEP1	0.020777
PDP2	-0.020775
NME1	0.020691
CPT2	0.020667
SLC25A17	0.020654
PREP	0.020646
WFDC2	-0.020599
BDH2	0.020598
LANCL1	-0.020575
SPON2	-0.020520
NEGR1	-0.020513
DPYSL2	-0.020411
HSPH1	0.020370
NDUFAF4	0.020338
SNX24	-0.020326
RPRM	-0.020322
SLC17A1	-0.020322
SLC25A13	-0.020310
PARG	0.020264
ZNF703	0.020176
UBE2G2	0.020173
IFIT2	0.020107
ADAMTS7	-0.020090
FXYD6	-0.020059
TTPAL	0.020055
MYLIP	-0.020044
NCDN	0.020038
RANGRF	0.020018
PDZRN3	-0.020011
UGP2	-0.020009
CHDH	-0.019988
ZFP37	-0.019967
EBP	-0.019919
CBR4	0.019914
SCCPDH	-0.019893
EVA1A	-0.019865
RNF144A	-0.019852
FUT8	0.019845
CDKN1A	0.019829
EIF1AX	0.019811
RTN4IP1	0.019810
PCSK9	-0.019802
LILRB3	-0.019787
AGT	0.019740
SMYD2	0.019681
CD68	-0.019678
GSTM5	-0.019657
CD5L	-0.019649
PERP	0.019641
PABPC4	0.019637
SLC38A3	-0.019614
EEF1E1	0.019601
ACSL1	-0.019569
ABCG2	-0.019466
SLC40A1	0.019462
SRI	0.019452
PSPH	0.019435
OMD	0.019419
HOOK1	0.019374
RAC2	-0.019364
COL1A2	-0.019350
LURAP1L	0.019319
MSN	-0.019318
EDNRB	-0.019304
EMID1	-0.019293
SNRPA1	0.019247
SLC6A9	0.019243
NAPSA	-0.019241
C8A	-0.019214
SH3BP5	-0.019206
PRKAB1	-0.019185
PHLDA3	-0.019185
FBXO8	0.019154
RGN	-0.019139
NDST1	-0.019124
