!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Rattus norvegicus
!cell	Liver
!perturbation	Dexamethasone
!disease	150 mg/kg - 1 d
!end_metadata
P2RY14	-0.029591
RETSAT	-0.029399
MIF	-0.029394
CYP8B1	-0.029390
IGFBP1	0.029361
CNDP2	0.029294
TFRC	0.029192
PLCXD2	-0.029164
SLC39A14	0.029084
PPP1R3C	0.029028
AVPR1A	-0.028962
SLC39A4	0.028818
MYOM1	0.028760
WFDC2	-0.028742
APOA4	0.028540
SCD	0.028443
SLC7A2	0.028411
ECT2	-0.028404
ACER2	0.028355
MFAP4	-0.028088
TAT	0.027960
PCDH18	-0.027953
ELOVL3	0.027894
KLF10	0.027811
INHBE	0.027809
SRI	0.027738
FBXO31	0.027569
PRUNE2	-0.027554
HMGB2	-0.027488
VMP1	0.027465
REEP6	0.027463
TACC1	0.027462
LPL	0.027451
STEAP3	-0.027420
PHF19	0.027382
HIBCH	0.027326
INF2	0.027149
NFKBIA	0.027120
CIDEC	0.027113
ACKR3	-0.027110
AOC3	0.027000
HHEX	-0.026972
MDH1	0.026930
LILRB3	-0.026869
AASS	0.026793
MARCKSL1	-0.026771
KCNJ8	-0.026749
CKAP2	-0.026668
TMEM150C	0.026606
REXO4	0.026591
PIM3	0.026557
XPNPEP2	-0.026514
CLEC14A	0.026500
LCMT1	-0.026415
PDP2	-0.026326
ABCB1	-0.026298
LYRM5	0.026239
SPON2	-0.026234
WIPF1	-0.026214
ACSM5	-0.026206
GEN1	-0.026089
MYO1B	0.026015
HSD17B7	0.025987
AMD1	0.025975
MBL2	-0.025951
RDH5	-0.025936
SLC25A30	-0.025860
CCNB2	-0.025847
EGR1	-0.025836
SLC25A15	0.025739
NR1I2	0.025673
DUOXA1	0.025671
PPTC7	0.025644
PFKFB1	0.025639
THUMPD1	-0.025609
FAM35A	0.025554
MANBA	0.025532
CCNA2	-0.025509
CEP152	0.025477
PNPLA2	0.025438
TCEAL1	-0.025430
CELA1	-0.025354
FOXA1	0.025346
AHCY	0.025336
KLHL2	0.025275
CES1	-0.025227
IRAK3	0.025207
DAB2	-0.025180
RGS5	0.025143
N4BP2L1	0.025134
FAM198B	-0.025100
PLD4	-0.025076
IVD	0.025063
SBK1	0.025060
FGL2	-0.025059
KLHL25	0.025055
UBE2L6	0.025008
SIGLEC8	-0.025007
CCNB1	-0.024951
MYL9	-0.024945
BMF	-0.024860
BMP2	-0.024858
EBPL	0.024789
ITGB2	-0.024785
DHCR24	0.024726
CEBPB	0.024688
STMN1	-0.024590
NIM1K	-0.024432
CD36	-0.024317
ARHGEF40	-0.024250
ZFP36	0.024228
BGN	-0.024169
GSTA3	-0.024145
GATM	-0.024052
AMACR	-0.024036
FASN	0.024005
IRGQ	0.024000
SLC6A6	-0.023964
NR1D2	0.023934
PDIA5	-0.023900
TOP2A	-0.023886
PROSER2	0.023718
ITGA1	0.023717
DPYSL2	-0.023690
ACPL2	-0.023622
GNE	-0.023615
CLN5	0.023610
ARHGDIB	-0.023602
NAP1L1	0.023593
AXL	-0.023586
LECT2	-0.023558
C1QA	-0.023534
PCSK6	0.023503
SLC16A10	0.023454
APP	0.023439
STAB1	-0.023340
DNPH1	0.023255
NUSAP1	-0.023199
PDK4	-0.023187
DHX32	0.023173
SUN2	0.023156
ZNF367	-0.023041
HPGDS	-0.023033
UCP2	-0.023028
HYKK	0.022989
CYP26B1	-0.022949
CD68	-0.022944
COQ10A	-0.022911
RBM47	0.022846
RHPN2	0.022833
GSR	0.022821
NFE2	-0.022814
SOWAHC	0.022732
RPRM	-0.022718
PXDN	-0.022707
RGS10	-0.022635
CCL13	0.022607
PTGS1	-0.022529
ULK2	-0.022468
HSD17B6	0.022433
PCCA	0.022344
C6	-0.022334
ANKRD33B	0.022319
NCOA4	0.022306
GPNMB	-0.022244
ADD3	-0.022216
CPA3	-0.022215
AP1S2	-0.022171
FLNA	-0.022163
BCL6B	0.022114
FCER1G	-0.022081
SLC25A29	0.022064
SGK2	-0.022063
CCDC141	-0.022037
TDO2	0.022025
ATP2B2	-0.021989
SLC15A3	-0.021988
ABCG2	-0.021956
PTPRM	-0.021917
SEPT4	-0.021887
IL18	-0.021880
CCL3L3	0.021862
AK3	0.021860
LMO2	-0.021840
XRCC1	0.021791
STAP2	0.021788
AIF1	-0.021766
RELN	-0.021744
NFIA	0.021727
FAM115C	-0.021715
SLC38A2	0.021696
LRRFIP1	0.021678
FGFR3	0.021651
FSTL1	-0.021583
TMEM41A	0.021571
CDC25B	-0.021558
UBE2G2	0.021554
GPD1	0.021545
INMT	0.021517
ZNF189	0.021511
POLG2	0.021506
CXCL3	0.021424
CA2	-0.021423
VAMP7	0.021402
FABP4	0.021387
FAM220A	0.021359
ALAS2	-0.021349
COL3A1	-0.021345
SEC23A	0.021302
FTCD	0.021290
EVA1A	-0.021273
EXOSC5	0.021267
GPR37	-0.021218
FAM46C	0.021203
GAA	0.021127
WDPCP	0.021012
PCYT1A	0.021004
EMILIN1	-0.020992
TSPAN7	-0.020980
KLF9	0.020960
ALDH18A1	-0.020920
VPS37B	-0.020917
PHLDA3	-0.020907
APOA2	-0.020882
ARRB2	-0.020874
PRKAR2A	0.020870
TAX1BP1	0.020869
SMARCD2	0.020837
IFIT3	0.020825
LCP1	-0.020750
PDE4DIP	0.020748
NRP1	-0.020699
ESM1	0.020691
CA8	-0.020678
SULT1B1	0.020645
CDCA3	-0.020627
CDC37L1	0.020623
CFP	-0.020619
BNIP3L	0.020617
PSMD8	0.020612
TSKU	-0.020610
SULT1E1	-0.020573
COMT	-0.020543
FGR	-0.020471
NR5A2	0.020470
NLN	0.020449
SLC19A2	-0.020443
UNC5B	0.020443
PER1	0.020435
LSP1	-0.020417
DEGS1	0.020396
DACT2	-0.020384
FABP12	-0.020379
CHIC1	-0.020369
CTSE	-0.020369
PSMB3	0.020359
CCDC6	0.020340
ADK	0.020323
AGXT	0.020320
MTAP	0.020290
PNPLA3	-0.020289
TMEM144	-0.020280
PDHB	0.020271
BAIAP2L1	0.020258
ENPP3	0.020247
PDE8A	0.020245
IGF1	-0.020236
SORD	-0.020200
PEX12	0.020196
CITED2	0.020195
AGT	0.020168
EVI2B	-0.020159
RAD51	-0.020125
GPR116	0.020107
DGAT2	0.020105
SH3BGRL3	-0.020047
EVC	-0.020022
FADS1	-0.020013
PLTP	-0.020013
GYS2	0.020002
SLC35D1	0.020002
SLC25A22	0.019988
COLEC12	-0.019978
SLC22A8	-0.019971
PLAU	-0.019969
HYLS1	-0.019967
CNTF	0.019962
ID3	-0.019950
ARL4D	0.019893
SLC9A9	-0.019884
TIMM10B	0.019873
GSTM1	0.019870
ALCAM	0.019835
LIMK2	0.019834
TIMP3	0.019769
HSD17B13	0.019753
PLA2R1	-0.019748
ABLIM3	0.019726
ACOT13	0.019674
COL1A1	-0.019656
SAR1B	0.019636
DTX3L	0.019597
SDSL	0.019566
ODF3B	-0.019540
RAMP1	-0.019508
ECE1	0.019503
BUB1	-0.019496
NEDD9	-0.019487
LOXL2	-0.019487
MOSPD3	-0.019433
NUF2	-0.019424
RTN4IP1	0.019392
RBFA	-0.019372
HMMR	-0.019353
CHPT1	0.019316
PILRA	-0.019311
ALAD	-0.019310
EIF4EBP2	0.019280
GFM1	0.019277
PROCR	-0.019241
CRIP1	-0.019193
PDK1	0.019147
