!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Thymocytes (CD4/CD8 double positive   DP)
!perturbation	Dexamethasone
!disease	3 hrs
!end_metadata
HIBADH	-0.037755
ADD1	0.037517
DNTT	-0.037463
CHD1	-0.037306
RPL13	0.037288
DGKA	-0.037157
CCNB2	0.036980
NAV2	0.036742
CDCA7	-0.036527
CMTM7	-0.036491
TUBB	0.036282
PPTC7	-0.036220
NPM1	0.036088
ANAPC16	0.035640
PNRC2	0.035587
BTF3	0.035426
ATP5O	-0.035250
BCL2L11	0.035226
PTPN22	0.035218
TAGLN2	-0.034651
ATP6V0C	-0.034528
STK10	0.034450
SH3BGRL	0.034424
RPS17	0.034375
APBB1IP	0.034007
TNFAIP8	0.033970
EIF3M	0.033875
RAN	0.033645
SNX3	0.033552
SQLE	-0.033529
HSPA8	0.032898
TAP2	0.032743
LCK	-0.032695
PLXND1	-0.032658
ZFP1	0.032657
MXD3	-0.032635
HMGN1	0.032227
HPCAL1	-0.032191
DCAF12	-0.031986
RPS28	0.031899
MBTPS1	0.031803
SESN1	0.031787
C11orf31	-0.031786
PARK7	0.031701
RPA3	0.031605
LCP2	-0.031574
TNFAIP3	0.031512
SLC9A3R1	-0.031409
THY1	0.031324
LDLR	-0.031224
CD8A	-0.031009
SSBP2	-0.030347
GALNT2	-0.030286
CERK	-0.030093
PLK3	-0.030085
TRIM25	0.029795
TUBA1B	0.029670
SHFM1	0.029664
TMOD3	0.029525
RNASEK	-0.029521
SLC35D1	-0.029429
SHISA5	-0.029226
CFL1	-0.029194
CLK1	0.029111
RNF167	-0.029052
PTPRCAP	-0.028848
COX7B	0.028289
SUN2	-0.028250
TNPO2	-0.028248
EEF2	0.027999
CHD4	-0.027925
TSPO	-0.027899
ACTR3	0.027807
CYTIP	0.027324
RPA1	0.027272
RPS19	0.027201
RPL8	0.027169
EIF3C	0.026603
CTDSP2	-0.026549
ATP6V0E2	-0.026442
RNF38	-0.026409
MAF1	0.026256
SRSF2	-0.026222
EPC1	0.026169
SOX4	-0.026071
CLPTM1	-0.025890
MFHAS1	0.025799
SLC12A7	-0.025626
FKBP1A	-0.025469
RP9	0.025410
LLGL1	-0.025405
NDUFB5	0.025389
GLRX3	0.025282
SAR1A	0.025226
TAF1C	0.025137
TCF12	0.025121
RHOH	0.025099
KLF6	-0.025074
EMB	0.025048
RTN3	-0.024993
NSA2	0.024929
CCT7	-0.024715
ARHGEF1	-0.024608
MARCKSL1	-0.024508
GDI1	-0.024500
BTG1	-0.024461
LYPLA2	0.024447
GRK6	-0.024220
PAIP2	-0.024201
EMP3	-0.024174
SETD4	0.024141
RNF5	-0.024121
CD3D	-0.023735
NPEPPS	-0.023647
TXNL4A	-0.023529
HN1	-0.023511
AKAP12	0.023269
UBL5	-0.023115
C19orf43	-0.022966
YBX1	-0.022927
RPL7A	0.022912
SH3BP1	-0.022834
PGK1	0.022824
LAS1L	0.022756
PDHA1	-0.022692
UVRAG	0.022585
HSPA5	0.022532
AKR1A1	0.022523
TRA2B	0.022520
DHRS3	0.022484
HNRNPD	-0.022403
PSMA3	0.022372
RBM3	0.022330
TBXA2R	0.022269
JTB	0.022213
AP3B1	0.022140
TCOF1	0.022099
EGLN2	-0.022067
AES	-0.021993
UGCG	-0.021919
RGS14	-0.021900
EIF3G	-0.021855
KDM3A	0.021843
EIF4A3	-0.021840
DEK	0.021785
SNRPD2	-0.021737
GNAI3	0.021709
PLD3	-0.021635
CKS1B	0.021632
YWHAH	-0.021550
EPN1	-0.021507
BROX	-0.021369
DCK	0.021233
AIMP1	0.021213
AP3S1	0.021125
BPGM	0.021072
SUMO1	0.021059
UGDH	0.021028
RPL10	0.021027
RAMP1	0.021010
TRAF4	-0.020751
SEPT7	0.020726
TRAPPC12	0.020706
RPL5	0.020651
TGFB1	-0.020621
GLTSCR2	0.020500
FDPS	-0.020499
HSP90AB1	0.020373
H2AFZ	-0.020325
RPL18	0.020283
HSP90AA1	0.020261
SSU72	0.020175
DUSP2	0.020072
NEK2	-0.020037
GTF2H4	-0.019925
P2RX1	-0.019897
RPL28	-0.019745
UQCRQ	-0.019715
MAGOH	0.019695
HDAC1	-0.019684
LRMP	-0.019662
LPHN1	-0.019548
PPP2R1A	-0.019476
WBP2	-0.019432
CLDN4	-0.019426
CAPZA1	0.019388
LGALS9B	-0.019349
PPP1R18	0.019279
QDPR	0.019213
B2M	0.019194
EIF3K	0.019160
SMDT1	-0.019119
FAM107B	-0.018970
PABPC1	0.018831
ABCD1	-0.018690
UNC119B	0.018629
MSN	-0.018611
TIMM23	0.018550
PCDHA13	-0.018544
FTH1	-0.018540
UQCRHL	0.018355
C14orf2	0.018352
NDUFB3	-0.018289
NFATC3	0.018285
ADPRH	0.018200
ATP1A1	0.018178
CDK1	-0.018165
SP1	-0.018085
MYL12A	-0.018071
BSG	-0.018053
RHOG	0.018011
SNRNP25	-0.018009
CDC6	0.017995
HDGF	-0.017991
UBR7	0.017988
RPIA	-0.017979
USP18	0.017966
OSBPL11	0.017883
HMGCS1	-0.017742
GPI	0.017703
ACSS1	0.017656
SEPHS2	0.017586
CBX4	-0.017455
WDFY2	0.017452
HGS	-0.017293
SRP9	0.017268
ISOC1	-0.017223
PPP4C	0.017191
FAM64A	-0.017153
PRC1	-0.017114
STAT5A	-0.017082
NHP2	-0.017078
DYNLRB1	-0.016970
SFT2D1	-0.016944
TDRP	-0.016939
RERE	-0.016904
PUM2	0.016863
SLC35B1	-0.016846
RAB5C	-0.016827
ATP5A1	0.016724
ADRBK1	-0.016691
IL17RA	0.016616
CD3E	-0.016564
NUDT3	-0.016516
CSNK1E	-0.016490
SSR3	0.016405
CD2	0.016396
CPNE1	-0.016374
MAPK6	-0.016373
PHLDA1	-0.016328
ARF4	-0.016313
HK1	-0.016300
HSPD1	-0.016248
TMED2	0.016196
GFI1	-0.016164
FKBP2	-0.016133
SDHC	0.016130
IL7R	0.016113
ABCC5	0.016113
ATF4	-0.016111
FAM103A1	0.016110
CDK9	0.016110
SMARCA4	-0.016098
CLIC4	-0.016089
LDHA	-0.015991
RGS3	0.015971
PMM1	0.015966
GSTP1	-0.015966
NUP62	-0.015952
SRSF9	-0.015946
TKT	-0.015886
RPL37A	0.015835
MRPL24	0.015830
PRPF8	0.015806
ARHGDIA	-0.015785
YPEL3	0.015759
AXIN1	-0.015708
VPS4B	0.015636
DNTTIP2	0.015605
SSNA1	-0.015603
MRPS24	0.015477
BCL7C	-0.015454
KCNH2	-0.015405
RASSF5	0.015405
ARPC3	-0.015381
CIAO1	0.015350
MYH9	-0.015243
COPB2	0.015213
CXCR4	0.015098
PLRG1	0.014963
MED27	-0.014959
MARK2	-0.014920
ACTB	0.014887
PSMC6	0.014884
SRRT	-0.014826
IL16	-0.014762
G3BP2	0.014706
CTNNB1	0.014701
H6PD	-0.014668
PRDX6	0.014666
EMG1	0.014653
RABAC1	0.014637
NDUFA7	0.014607
LDB1	-0.014601
CAPZB	0.014593
NRIP1	0.014535
BCL2L1	-0.014528
CRIP1	-0.014512
SLC4A2	-0.014483
ABRACL	0.014459
YWHAQ	0.014455
AAMP	-0.014421
MYEOV2	-0.014415
VARS	0.014395
INPP4A	-0.014388
EIF2B4	-0.014375
HIST1H3F	0.014365
TOMM7	0.014336
EIF2S3	0.014317
RAG1	0.014277
SF3B2	-0.014273
RPS26	-0.014261
HSP90B1	0.014258
RGCC	-0.014257
ANXA2	-0.014237
WIPF1	-0.014207
HNRNPM	0.014198
WBP1	-0.014189
PARP2	0.014165
CNOT2	-0.014162
GPSM3	-0.014156
WDR61	0.014134
RPP21	0.014133
SLC20A1	-0.014121
SEC11A	0.014110
TFF1	-0.014061
PSMD8	-0.014040
UQCRC1	-0.014024
CDK2AP2	-0.014011
COPA	0.014011
DEGS1	0.013986
PRIM2	0.013969
LAMP1	0.013883
ICT1	0.013878
MORF4L2	0.013841
SUGT1	0.013828
MATR3	0.013751
RPP25L	0.013691
MKI67	0.013684
PSMD13	-0.013637
PLEKHB2	-0.013618
NDUFV1	0.013596
RPL13A	0.013511
KIAA0247	-0.013493
GLTP	-0.013493
ADSL	0.013480
RNF181	0.013455
H2AFV	0.013445
OSTC	0.013440
TRAF2	-0.013411
EIF4A2	-0.013394
CTCF	0.013364
PPM1G	-0.013302
EIF1B	0.013288
MARCH7	0.013277
KIF22	0.013269
MNS1	-0.013250
POMP	0.013218
GNG10	0.013210
SMOC1	-0.013155
PRNP	0.013123
S100A10	-0.013083
PRDX5	-0.013081
ACADM	0.013071
SRSF11	-0.013044
GNB2	-0.013025
HNRNPAB	-0.013020
NUMA1	-0.013017
CARHSP1	0.012999
HSD17B11	-0.012993
FYN	-0.012918
DHRSX	-0.012866
RPS4Y1	0.012840
CD81	0.012827
PCNA	0.012799
DHRS1	-0.012797
TIMM13	-0.012785
NTN1	-0.012740
MED12	-0.012736
WDR82	-0.012733
SAE1	0.012702
STK40	-0.012695
VBP1	0.012695
PLGRKT	0.012687
PPIB	0.012684
MAP1LC3B	0.012644
UQCR10	0.012582
MTMR9	0.012577
KIF2C	-0.012545
NDRG3	0.012527
CCNL2	-0.012476
WDR81	0.012475
PPP2R5D	-0.012470
ARGLU1	0.012470
TAX1BP1	0.012460
KLF3	-0.012396
NXT1	0.012395
UBE2G1	0.012373
