!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Rattus norvegicus
!cell	Kidney
!perturbation	Dexamethasone
!disease	300 mg/kg - 1 d
!end_metadata
C1QTNF3	-0.040837
SDS	0.040621
NUCB2	0.040601
IL1RL1	0.040521
LGALS3BP	-0.040463
LCP1	-0.040425
NOX4	-0.040161
BTG2	0.039854
PDK4	0.039543
PCDH9	-0.039395
CSF3	0.039308
HSPBAP1	0.039199
GAL	0.039070
OMD	0.039065
TTC21B	-0.038782
CWH43	0.038744
RBP4	0.038741
CEBPB	0.038704
CSRP2	0.038483
STRA6	-0.038474
TMBIM1	0.038427
FGG	-0.038319
TNFAIP2	0.038277
TNNC1	-0.038206
ESM1	-0.038074
GNMT	0.038059
ARL4D	0.038047
EHF	0.037934
TMEM252	0.037918
RGS2	0.037486
AHSG	-0.037061
FABP4	0.036975
LDB2	-0.036947
NFIL3	0.036945
DNAJA4	0.036944
PTGDS	0.036886
SCNN1A	0.036843
CD74	-0.036819
SLC51A	-0.036734
FGF13	-0.036701
RIMBP2	-0.036696
MMRN1	0.036419
SLC28A2	0.036381
MELK	-0.036043
COL15A1	-0.035906
ECT2	-0.035505
PPP1R14C	0.035408
TRAK1	0.035188
DNASE1	0.034986
CDK1	-0.034926
MYLK3	-0.034906
ITIH3	-0.034727
KIF11	-0.034666
CXCL10	-0.034630
MLPH	0.034586
NAT8B	-0.034458
RHBDD2	0.034374
C1QTNF2	-0.034360
CCND1	-0.034193
SLC15A3	-0.034143
TTR	-0.033959
GOT1	0.033916
PIK3AP1	-0.033818
SLC29A2	0.033813
CCNB2	-0.033626
IFI44L	-0.033604
NFKBIA	0.033591
MLANA	0.033400
TSC22D3	0.033295
SIPA1L1	0.033240
CCDC80	-0.033207
CLDN3	0.033204
BEND5	-0.033023
FHL1	0.032945
ZAN	0.032928
IGSF10	-0.032625
RPRM	0.032624
FSTL3	0.032582
SLC39A8	-0.032463
CCL13	-0.032159
TBC1D1	0.032006
LOXL1	-0.032002
TINAG	-0.031896
PSMB8	-0.031603
WFDC1	0.031598
FAM149A	-0.031468
CA5B	-0.031457
ADCK5	0.031414
WFS1	0.031164
SERPINE2	-0.031163
GRHL1	0.031092
PHYH	0.031067
ETV5	-0.031061
CX3CL1	-0.030911
EGR1	0.030535
LSMEM2	0.030507
COL3A1	-0.030452
TSPO	0.030361
HMGCS2	0.030296
IYD	0.030276
CLDN19	-0.030162
GIMAP4	-0.030158
STAT5A	0.030119
PLXND1	-0.030104
SMOC1	0.030066
CTGF	0.030063
MKI67	-0.030034
KIF20B	-0.030006
CRELD2	0.030006
GPT2	0.029950
TACC1	0.029890
COL1A2	-0.029814
PXDN	-0.029813
LGALS3	0.029755
MEF2C	-0.029718
SULT4A1	-0.029704
SGPP1	-0.029704
KRT19	-0.029641
AKAP2	-0.029597
TEX14	-0.029574
APOH	0.029481
SLC22A13	-0.029290
MARC1	-0.029232
NTF3	-0.029204
ALDH1B1	-0.029175
CSF2RB	-0.029121
PDZD3	-0.029083
MYZAP	0.029076
USP2	0.028921
NID2	-0.028666
FAM133B	0.028503
TMEM106A	-0.028502
CCNA2	-0.028498
DNAJB1	0.028490
CYP2E1	-0.028487
MLC1	0.028447
ISG15	-0.028437
GLDC	0.028411
IRF1	-0.028393
PQLC3	0.028266
ANPEP	-0.028232
FMO2	0.028231
STAT5B	0.028066
CITED2	0.028055
HOMER2	0.028049
CISH	0.027979
UGP2	0.027910
GLRX	0.027877
GATSL2	0.027788
CCND2	-0.027699
CPE	-0.027693
IGSF11	-0.027675
TARBP2	0.027638
PREP	-0.027634
ACPL2	-0.027559
ERRFI1	0.027524
SPP1	0.027495
GPT	0.027492
KCNJ12	-0.027467
ATP1A2	0.027456
SERPINB1	-0.027404
CENPF	-0.027352
PLCB1	-0.027315
SEMA4B	0.027232
COL1A1	-0.027213
ENPP4	0.027133
PDGFC	-0.027105
ADRA1B	-0.027101
ZNF189	0.027068
CKAP2	-0.027058
SULT1C2	-0.027029
IGFBP2	-0.026967
PLA2G12A	0.026960
BGN	-0.026915
ARHGAP11A	-0.026909
SLC7A6	0.026876
F2	-0.026835
GLYAT	-0.026827
RARRES2	0.026795
ITGAL	-0.026752
GP2	0.026661
LGALS9B	-0.026658
NPR2	0.026583
RHOB	0.026541
AGT	0.026507
YEATS2	0.026483
PTGES	0.026481
PTGR1	-0.026465
LAMC3	-0.026438
LRRC48	0.026398
ARNTL	0.026392
AIF1	-0.026391
MARCKSL1	-0.026367
APCS	-0.026360
STARD10	0.026315
GRAMD1B	0.026304
CYBB	-0.026280
RAPGEF5	0.026263
ITGB2	-0.026256
MFN1	0.026249
ACSBG1	0.026173
GCGR	-0.025972
GJB2	0.025966
MIOX	-0.025965
CD36	0.025902
APLNR	-0.025899
ETHE1	0.025879
LDLRAD4	0.025848
ARRDC2	0.025828
VMP1	0.025811
MKNK2	0.025777
PKLR	0.025683
MCM6	-0.025677
WLS	0.025666
DTX3L	-0.025618
RAC2	-0.025561
RRM2	-0.025546
RBP1	-0.025502
ACE2	-0.025470
TMEM140	0.025436
ACOT4	-0.025384
SGK1	0.025369
TMEM52	0.025296
FST	-0.025174
FAM43A	0.025129
GC	-0.025109
MMP11	0.025083
PRC1	-0.025055
EMR1	-0.025046
MGST2	0.025009
ZNF367	-0.024976
TMEM86A	-0.024938
IGFBP3	0.024892
CCNO	0.024880
PDP2	-0.024866
MFI2	0.024857
CAMK2N1	-0.024850
FAM20C	0.024835
LOXL2	-0.024827
CRIP1	0.024822
MYLIP	-0.024789
TTPAL	0.024778
PDLIM4	0.024758
POP1	0.024713
PXMP4	-0.024700
NCOA7	-0.024619
ALAS1	0.024591
ABHD2	0.024589
ACSM3	-0.024553
TMEM135	0.024540
ELF3	0.024530
TMIGD1	-0.024475
NXNL2	0.024459
ARFGAP3	0.024451
SERPINE1	0.024407
NLRP6	-0.024406
PCOLCE	-0.024350
SMIM24	-0.024298
IRF7	-0.024282
GLUD1	0.024278
SLC28A1	0.024245
CA3	-0.024177
PLD4	-0.024167
CPM	0.024144
PLA2G15	0.024123
CLEC11A	-0.024122
SPP2	-0.024081
PMM1	0.024038
STX18	0.024029
ABCB11	0.023993
CLEC2L	-0.023952
AFAP1L2	0.023947
HSD17B7	0.023924
NEURL3	-0.023919
IGSF5	-0.023918
PI4K2B	0.023886
LZTFL1	-0.023818
CD83	-0.023804
PLCL1	0.023776
HPX	-0.023775
PPP1R32	0.023744
HMMR	-0.023741
DCLRE1B	0.023712
GPR182	0.023712
CDCA3	-0.023689
NGEF	0.023595
LMO2	-0.023521
SLC41A3	0.023520
HMOX1	0.023504
NAAA	-0.023479
BUB1	-0.023478
CBR4	0.023406
UBD	-0.023401
PNPLA2	0.023401
PDE4DIP	-0.023357
THBD	-0.023350
MATN2	-0.023347
ACER2	0.023239
SRA1	0.023229
ESR1	-0.023224
NMRAL1	-0.023216
CLDN10	-0.023214
TOR1B	0.023201
PROSER2	0.023194
HP	-0.023191
ISLR	-0.023163
TNFRSF9	0.023140
EMID1	-0.023102
FNTB	0.023081
RPS6KA5	0.023066
SH3TC1	0.023043
SFRP2	-0.023022
GALK1	0.022997
VCAM1	-0.022938
PSMD3	0.022917
SEMA3B	0.022905
ASIC2	-0.022900
GPM6B	-0.022900
SPN	-0.022884
MFGE8	0.022863
AMACR	-0.022801
C5	-0.022794
SPNS2	-0.022777
CTSV	-0.022768
P2RY2	0.022746
HSD3B2	0.022705
CCRN4L	0.022680
LBH	-0.022658
MAP3K6	0.022648
FBN1	-0.022579
LIMD2	-0.022530
BNC2	-0.022528
NDNL2	0.022495
ANGPTL2	-0.022473
MPPED1	0.022473
DPYS	-0.022424
FAM81A	-0.022414
ENDOU	0.022414
ABLIM3	-0.022364
GNG7	-0.022339
AQP11	0.022330
EVI2A	-0.022315
AACS	0.022308
SLC22A8	-0.022259
FAM118A	0.022159
ATP11A	-0.022133
CTSZ	-0.022130
CSNK1G2	0.022120
BTBD2	0.022114
ABCC8	-0.022031
LY86	-0.022031
CLDN4	0.022023
HEPH	0.022013
SLC1A1	-0.021916
C1QTNF1	0.021876
SLC4A7	0.021862
GABARAPL1	0.021850
SLC22A18	-0.021829
ARG2	0.021814
FRZB	0.021793
PIM3	0.021780
PPARD	0.021760
TCF21	-0.021745
ST6GAL1	-0.021739
SLC10A2	-0.021614
ATP12A	0.021560
IDNK	0.021546
ADAMTSL4	0.021485
CRYM	-0.021480
VHL	0.021439
TMEM144	-0.021432
ABCC9	-0.021430
POLA1	-0.021426
PROM1	-0.021326
RAMP3	0.021290
SLC6A12	0.021287
PIGR	0.021236
GCNT1	0.021179
IRF8	-0.021166
KCNK5	0.021149
CREM	0.021147
NCOA4	0.021138
TYW1	0.021110
PAQR6	0.021077
KCNMB4	0.021064
SLC47A1	-0.021056
MEP1A	-0.021045
NOV	0.021043
NUSAP1	-0.021036
APOM	-0.020918
SLC5A1	-0.020899
SLCO4A1	0.020883
TOX	0.020880
PLG	-0.020862
ASPM	-0.020717
FAM210B	0.020713
FGF9	-0.020710
MDFI	0.020709
SPINK8	0.020645
SLC43A1	0.020632
GDF15	0.020622
OLFML3	-0.020596
LRRC32	0.020590
ST6GALNAC3	-0.020526
S100A6	0.020507
AOX1	-0.020501
TMED6	0.020487
DEPDC1B	-0.020463
