!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Liver
!perturbation	Dexamethasone
!end_metadata
CSRP2	-0.010363
EIF3H	0.010347
SERPINA6	-0.010308
PGK1	0.010307
HIST1H3A	0.010291
CFH	0.010276
RPL13	0.010241
RAB7A	0.010211
TIMM10	0.010199
POLE4	0.010112
CELSR1	0.010098
UGT2A3	0.010088
ABCA1	0.010073
EIF3L	0.010029
SEP15	0.010010
PLIN4	0.010002
C11orf54	-0.009970
KLF15	0.009922
CLDN3	-0.009915
IGF1	-0.009909
HSP90AA1	-0.009876
EEF1B2	0.009868
COX5A	0.009860
TP53INP1	0.009830
EHD1	0.009808
FABP2	-0.009750
DEPTOR	-0.009737
RPS11	0.009732
CMBL	-0.009729
NDUFC2	0.009689
RPS24	0.009674
CD164	0.009640
PTPRF	-0.009620
EPB41L4B	-0.009582
MARCH8	-0.009557
CCT2	0.009545
MPZL2	0.009541
PAM16	0.009524
SSR4	0.009513
HSPA8	0.009507
AGMAT	-0.009469
ETFA	0.009462
SELK	0.009460
RAN	0.009437
MRPL20	0.009397
PAQR9	-0.009244
SLC25A25	-0.009194
FAM107A	0.009187
RPS13	0.009150
NGDN	0.009131
SCARB1	0.009106
SERF2	-0.009097
CNPY2	0.009074
ID2	-0.009048
ELOVL2	-0.009040
HSD17B10	-0.009038
DDX5	0.008969
SAR1B	0.008967
SLC22A7	-0.008953
SLC29A1	0.008903
SERPING1	0.008891
LAMTOR3	0.008826
JUNB	0.008821
IDH3G	0.008819
SLMO2	0.008791
RPS29	0.008777
RPS4Y1	0.008765
CD302	0.008759
PSMA2	0.008747
C8orf4	0.008738
LHPP	0.008689
CYP7A1	0.008687
C16orf91	0.008635
ACSM3	0.008618
SARAF	0.008594
NDUFB7	-0.008553
CYP4F12	-0.008543
DIO1	-0.008535
HGD	0.008515
RPL39	0.008505
TM7SF2	0.008496
SHROOM1	0.008482
PAFAH2	0.008449
ABCD3	-0.008440
MST1	0.008383
LMAN1	0.008364
HSD11B1	0.008337
F10	-0.008262
SOD2	0.008244
SRA1	-0.008212
NACA	0.008199
C6	0.008194
EIF2B2	0.008193
SPATA2L	0.008184
HMGCL	-0.008182
PPTC7	0.008180
ACOT12	0.008162
H6PD	-0.008143
MRPS31	0.008106
SERP1	0.008094
DUSP6	-0.008062
CPT2	0.008046
HSPB8	0.008039
SSRP1	0.007993
BDH1	-0.007964
PNPLA7	-0.007962
TMEM41A	0.007953
ENPP2	0.007946
ATP5H	0.007920
MARC1	-0.007907
IGFBP7	0.007875
NPM1	0.007860
CTSZ	0.007849
PPP1CB	0.007846
CTSH	-0.007837
APOC2	-0.007834
DNAJA1	0.007831
NOP2	0.007822
GSTO1	0.007794
EIF3M	0.007763
CFB	-0.007758
MCM10	0.007734
MDH1	0.007731
PLK3	-0.007722
MORF4L1	0.007702
HSPA9	0.007692
