!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	HEK293 (GR3KR) cells
!perturbation	Dexamethasone
!disease	100nM - 6 hrs
!end_metadata
SSX2IP	0.027155
CCDC107	0.027117
RNF115	0.027100
BTG1	-0.027065
HIST2H3C	-0.027044
OGFRL1	0.026812
HIST1H2BJ	-0.026559
IRF2BP2	-0.026534
STK35	0.026531
INHBB	0.026379
PPP1R15A	-0.026360
CDKN1A	0.026309
IER5	-0.026265
CDIP1	0.026192
RHPN1	0.026183
KAL1	-0.026146
KLF6	-0.026076
ATP1A1	0.026011
NRP1	-0.025972
PLAUR	0.025869
CABLES1	-0.025801
NEXN	0.025626
RHOU	0.025496
ISG20	0.025453
SLC39A11	0.025434
AEN	0.025406
KIAA0355	0.025359
CCND1	-0.025341
HOXC8	-0.025202
TNFRSF10D	0.025070
HSD17B1	0.025025
HIST1H4B	-0.025023
C10orf2	-0.024917
OSBPL11	0.024896
RGS2	0.024868
PTCH1	-0.024829
PRR15L	0.024809
BBS1	0.024777
EFNA1	-0.024685
TMEM91	0.024667
IGFBP5	-0.024635
ZNF57	0.024615
FHDC1	0.024608
SPSB1	0.024525
IDI1	-0.024520
RPRM	-0.024512
HSPA2	0.024484
ZBED9	0.024466
PTCHD1	-0.024462
ABCC8	0.024425
TLE4	-0.024376
ENPP5	0.024223
HOXB5	-0.024135
WDR60	0.024110
TFAP2A	-0.024109
CLPTM1L	0.024054
ZIC2	-0.023980
TMX4	0.023940
TMEM100	0.023931
ZFP36	0.023871
HOXA13	-0.023802
SERPINF2	0.023735
DUSP5	-0.023733
KIAA0232	0.023713
RNASE12	0.023684
CRISPLD2	0.023659
GTPBP2	0.023656
SFXN5	0.023648
OSBPL5	0.023614
LMO4	-0.023518
HIST1H3B	-0.023508
GRHL1	0.023459
ARID5B	-0.023416
TOB1	-0.023415
FOXA1	-0.023363
LMCD1	-0.023285
CXXC5	-0.023103
PTTG1IP	0.023072
DBP	-0.023039
STOM	0.023028
LPL	0.022988
ZNF467	-0.022982
PRKCQ	0.022926
PDZD2	0.022800
HSD11B2	0.022779
NDNF	-0.022776
PGM5-AS1	-0.022756
MB	0.022750
SLC39A14	0.022720
JAK1	0.022718
GCH1	0.022718
IRF8	0.022713
IGFBP1	0.022669
C3orf70	0.022533
SOX12	-0.022486
CKS2	-0.022483
GTF2E1	0.022433
CYR61	-0.022431
GHR	0.022332
SUN2	0.022246
C17orf100	0.022197
FOXQ1	-0.022153
SQLE	-0.021998
FAM86C2P	-0.021980
BAMBI	-0.021759
AUTS2	-0.021753
HOXD11	-0.021710
HOXD10	-0.021686
MERTK	0.021611
ACSL1	0.021606
HRK	-0.021565
AKTIP	0.021508
KCNS3	0.021461
SSTR2	0.021450
NGF	-0.021426
FZD8	-0.021389
PXN	0.021363
BLM	0.021300
LDLR	-0.021298
PSD4	0.021273
ZNF784	0.021233
EPB41L4A-AS2	0.021233
CDADC1	0.021194
SLC2A14	0.021191
ATP4A	0.021176
ARCN1	0.021130
LPAR3	0.021129
ANKRD50	-0.021107
AVPI1	-0.021083
HOXD13	-0.021079
PAQR8	0.021011
NR4A2	-0.021008
PRICKLE3	-0.020974
HPCAL1	0.020957
MECP2	0.020931
TLCD1	-0.020908
INHBE	-0.020871
PIM1	-0.020825
APOD	0.020781
ZNF711	-0.020759
SIX4	-0.020727
RHOB	0.020669
CRK	0.020587
G0S2	-0.020551
TF	0.020490
CHMP1B	0.020447
MED30	0.020447
KIAA1804	-0.020427
ST8SIA2	-0.020358
SCRG1	0.020327
ESYT2	0.020310
LIFR	0.020307
UPF2	0.020213
BMF	-0.020182
SMIM3	0.020146
TSHZ1	-0.020140
ZDHHC14	0.020132
SLC38A11	0.020085
ETNK2	0.020061
MEX3C	-0.020058
TRIB3	-0.020039
FOXD1	-0.020004
LRRTM4	-0.019902
TUFT1	-0.019885
CXXC4	-0.019832
SLC44A2	0.019820
EGR1	-0.019816
HOXC9	-0.019793
DLX1	-0.019764
MOCOS	0.019752
THAP10	0.019732
DDX3X	-0.019709
MICB	-0.019706
SMAD6	-0.019676
TRIM49C	0.019625
SLC25A18	0.019554
NAGK	0.019552
TMEM108	0.019547
RASEF	-0.019507
UNC5B	-0.019489
TSPAN3	0.019427
ENPP4	0.019425
PTGES	0.019423
HIST2H2AA3	-0.019420
KRCC1	0.019409
PRKAB2	0.019359
CCDC126	0.019330
CDX2	-0.019250
HOXC4	-0.019229
UBALD1	0.019187
SAT1	-0.019182
NR2F2	-0.019181
FAM43B	-0.019176
COL23A1	0.019172
HIST1H4I	-0.019118
TIMM8A	-0.019110
C15orf39	-0.019108
SNX33	0.019103
F3	0.019090
CA5B	-0.019012
ARHGAP20	-0.018988
TET1	-0.018973
MFSD2A	0.018956
PRDM8	-0.018898
KLHL26	0.018867
THAP4	0.018850
NIPAL1	-0.018798
GAS2L1	0.018744
PROX1	-0.018732
ZFX	-0.018688
RNF125	-0.018674
TOX3	-0.018659
PXYLP1	0.018629
PPP3CC	0.018546
ULK1	0.018543
FOXC1	-0.018519
UBQLN2	-0.018502
CITED2	-0.018463
CLEC16A	0.018448
EXT1	-0.018436
DDX24	0.018388
LOC93622	0.018341
SHISA2	0.018331
SFRP2	-0.018315
SLC36A1	0.018284
MEIS1	-0.018222
RGS19	0.018213
RGMB	-0.018187
PNMA2	-0.018181
XK	0.018178
ANO6	0.018150
ZNF296	-0.018116
C7orf57	0.018114
FZD4	0.018088
NRTN	0.018088
CDKN1B	-0.018086
HIST1H2AC	-0.018031
LYPD1	-0.018010
ZBTB46	0.018005
BIRC2	0.017939
MAP2K4	0.017885
FAM217B	0.017845
HCFC1	-0.017813
CDH2	0.017794
ARNTL	0.017768
NKD1	0.017734
ZBTB16	0.017725
CRTAC1	0.017665
KIAA1211L	0.017638
SAMD11	-0.017587
SH3GL3	0.017577
DUSP26	-0.017562
ADRB2	-0.017552
HOXA2	-0.017552
C18orf54	0.017547
FOXN4	0.017512
MNT	-0.017500
TMEM14A	0.017488
NBN	0.017483
APPL2	0.017411
PARD3	0.017408
B3GAT2	0.017359
BHLHE41	-0.017354
TMEM132E	-0.017350
NEK8	-0.017332
FAM49A	0.017323
PPP1R1A	0.017268
ISL2	-0.017251
HIST2H2AC	-0.017233
MSX2	0.017230
MT1X	0.017211
HIST1H1C	-0.017169
DOCK9-AS2	0.017114
CNIH3	-0.017104
MCMBP	0.017102
SCTR	0.017100
LOC390705	0.017080
ABHD6	0.017063
KLF9	-0.017026
HILPDA	0.017025
HOXC13	-0.017015
GOT1	0.017015
PPARGC1B	-0.016998
EP400	0.016960
FAM163A	0.016957
TGIF2	-0.016955
BCAR3	-0.016941
FOXF2	-0.016917
PITPNA	0.016913
GSK3B	-0.016891
FAM105A	0.016855
FUT4	0.016855
COMP	0.016853
C3orf52	-0.016853
RSC1A1	-0.016829
TMEM263	-0.016809
TMEM37	0.016773
RRS1	-0.016761
CDC5L	0.016751
PLEKHH3	-0.016737
USP3	-0.016732
TXLNA	0.016732
PDLIM1	0.016730
HOXA3	-0.016709
BCORL1	-0.016704
THBS1	0.016699
TBX2	-0.016695
FBXO21	0.016691
ZNF341	0.016665
HIVEP1	-0.016658
ZMIZ1	-0.016642
HPCAL4	0.016638
MRFAP1L1	0.016630
SATB2	-0.016622
EFNB1	-0.016616
HMGB3	0.016578
ZNF217	-0.016556
SNORD27	-0.016511
SAG	0.016493
GSK3A	-0.016489
SESN1	0.016484
PDGFC	-0.016468
PNLIP	0.016435
HELB	-0.016399
SOX8	-0.016340
GNA12	0.016334
URB2	0.016333
IL12A	-0.016328
KCTD15	-0.016238
ZDHHC23	-0.016214
ZSWIM5	0.016195
GLI3	-0.016192
PNP	-0.016120
FANCB	-0.016117
