!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Acute lymphoblastic leukemia cell line, RS4;11
!perturbation	Dexamethasone
!disease	10 nM - 24 hrs
!end_metadata
TNFRSF17	-0.024744
THEMIS2	0.024732
BIN1	0.024730
FXN	-0.024713
SAC3D1	-0.024710
SLC5A7	0.024705
CDCA4	-0.024650
RASA2	0.024600
CERS6	0.024587
CD320	-0.024574
TUBG1	-0.024491
NCF2	0.024428
SRGN	0.024416
EZR	0.024366
SELL	-0.024309
RGS13	-0.024271
PAICS	-0.024230
FKBP11	-0.024211
FBN2	0.024208
ZMAT3	0.024201
TIMELESS	-0.024168
CLMN	0.024107
LY96	0.024044
CORO2B	0.024041
AKR1C3	0.024007
SIGMAR1	-0.023908
RAB33A	-0.023831
YPEL5	0.023821
EFEMP1	-0.023778
GARS	-0.023708
CCBL1	-0.023704
ZHX3	0.023702
TFPI	0.023614
NXT1	-0.023494
WDR12	-0.023481
TNFRSF4	0.023438
FAM114A2	0.023429
AP3S1	0.023415
ZFP36L2	0.023398
HMBS	-0.023383
STRA13	-0.023365
LTBP2	-0.023314
CLN6	-0.023296
PPM1H	0.023289
PKIA	-0.023273
VNN1	0.023269
FAH	-0.023263
ATP5G1	-0.023240
SEH1L	-0.023237
ADK	-0.023201
PSMC3IP	-0.023166
FZD8	0.023069
GATM	-0.023057
CRMP1	0.023013
C1orf216	-0.023007
SLC39A14	-0.023002
XPOT	-0.022998
HMHB1	0.022976
KIAA0020	-0.022974
PINK1	0.022927
CEBPB	-0.022874
GPR63	0.022873
PPRC1	-0.022841
RBBP8	-0.022837
DNAJC9	-0.022820
HIST1H2AE	0.022805
GP9	0.022768
TMEM140	0.022765
VPREB3	0.022747
DUT	-0.022731
CROCCP2	0.022725
DCLRE1B	-0.022709
DNMT3B	0.022706
SHCBP1	-0.022692
CCDC86	-0.022678
SHMT2	-0.022666
C10orf10	0.022656
CD53	0.022651
KNOP1	-0.022626
POLE3	-0.022600
FBXW4P1	0.022593
STEAP3	-0.022534
TRIP13	-0.022531
SORD	-0.022516
WASF2	0.022511
SORT1	0.022487
ADCY3	-0.022471
THNSL1	-0.022405
PRR3	-0.022367
SKP2	-0.022339
RAB13	0.022290
VAV3	0.022287
PALB2	-0.022231
HIST1H2BD	0.022225
SPC25	-0.022221
CHST7	0.022216
NCAPD3	-0.022204
ADRB2	-0.022188
IFNGR1	0.022175
WWC3	0.022170
CD69	0.022131
PLXND1	0.022103
MTCL1	-0.022067
GALE	-0.022064
ZFP69B	-0.022055
ACOT7	-0.021986
IVNS1ABP	-0.021985
TRAP1	-0.021956
SLMO1	-0.021952
SLC1A4	-0.021922
IQSEC1	0.021898
ATP9A	-0.021852
TMEM45A	-0.021798
QTRT1	-0.021774
DNTT	-0.021774
IER2	-0.021735
POLQ	-0.021732
NOTCH2NL	0.021726
TSSC1	0.021726
ABCB4	-0.021708
HDAC7	0.021662
PXMP2	-0.021647
PRKAR2B	-0.021540
EEF1E1	-0.021511
MIS18A	-0.021503
ASXL2	0.021493
MAGOHB	-0.021493
CBFA2T3	0.021462
ACACB	0.021458
LAX1	0.021410
YBX3	0.021242
EBNA1BP2	-0.021239
C11orf71	0.021210
RAB31	-0.021198
FCER1G	0.021181
DKC1	-0.021173
SUV39H2	-0.021108
PCDH9	0.021097
TMEM194A	-0.021066
SQRDL	0.020975
PPAT	-0.020970
RASGRP1	-0.020968
SNTB1	-0.020935
LAPTM5	0.020908
POLR1E	-0.020894
UST	0.020841
MFSD10	0.020836
GEMIN4	-0.020833
YEATS4	-0.020811
HIST1H3H	0.020804
PVRIG	0.020789
SLC25A14	0.020784
IPO4	-0.020759
CENPQ	-0.020758
HMGXB4	-0.020698
GNG11	0.020639
HAUS7	-0.020638
ATF5	-0.020629
SKA1	-0.020626
UCK2	-0.020625
P2RX1	0.020614
EFCC1	0.020579
AMOT	0.020572
CDKL1	0.020535
VASH2	-0.020533
ADPRM	0.020516
PAK1IP1	-0.020467
NTRK1	0.020462
SMC2	-0.020423
MFSD12	0.020389
ARID5A	0.020376
HSD17B6	-0.020356
FOXO3	0.020344
SEPT11	-0.020332
KANK3	0.020318
MARS	-0.020304
RAB38	-0.020261
DIXDC1	-0.020257
DSCC1	-0.020256
FABP5	-0.020255
F2RL3	0.020237
IDH2	-0.020197
FN3KRP	-0.020186
IPO5	-0.020152
RHBDF2	0.020099
KIF3C	0.020098
