!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	MCF7
!perturbation	Dexamethasone 
!cell_type	MCF7
!drug_name	Dexamethasone - 4hr
!drug_id	DB01234
!organism	Human
!end_metadata
VTCN1	-0.028634
LIPG	-0.028608
SDR16C5	0.028473
TMEM27	0.028382
PTGER4	-0.028296
PCDHAC2	0.028255
HS3ST3A1	0.028219
LINC01213	0.027912
GPRC5A	0.027773
CYP24A1	-0.027710
LRP4	0.027708
PLEKHS1	0.027703
LOC400768	0.027693
HSPA2	0.027667
MALL	0.027589
KIAA0040	0.027494
MPHOSPH10	0.027425
HMOX1	-0.027424
PDK4	0.027378
KLRG2	0.027370
LINC01465	-0.027232
CYP1B1	-0.027221
ZNF222	0.027211
CAPN8	0.027149
SLITRK6	0.027029
PTGES	0.027010
SLC2A12	0.026919
RAB7B	-0.026590
DACH1	0.026516
CRY2	0.026263
IGHV3OR16-13	0.026219
NEBL-AS1	0.025879
GNE	0.025674
CORO2A	0.025672
EPHX4	0.025573
DKFZp451A211	0.025534
TRIM17	-0.025492
SNAPC3	0.025199
STON2	0.024998
KRT71	0.024976
NEBL	0.024838
CPEB4	0.024656
UBL3	0.024540
P2RX3	-0.024537
TMEM140	0.024371
MAP3K8	0.024316
PRDM14	-0.024277
SYTL4	0.024251
NPHP3	0.024212
FSTL5	0.023841
MYH13	-0.023828
ST6GALNAC1	0.023779
DIRAS2	0.023717
EMP3	0.023665
FLRT3	0.023555
CHST11	0.023441
AHRR	-0.023380
SRGAP2C	0.023334
FOSL2	0.023300
NFE2	-0.023262
NCAN	-0.023252
NOSTRIN	0.023250
AIRE	-0.023226
FABP5	0.023161
DOCK4	0.023146
PSMB9	-0.023098
OFD1	0.023086
LRFN3	-0.023076
SLC25A21	0.023070
PLLP	0.023046
SULF1	0.023022
LNX2	0.022911
FMO4	0.022902
CYP1B1-AS1	-0.022873
RGAG4	-0.022856
ASIC2	-0.022846
IL36RN	-0.022769
HTR1E	-0.022757
GDPD3	0.022750
EPDR1	-0.022715
KLF5	0.022633
PRKCD	0.022564
NEDD4L	0.022501
ABCG2	-0.022490
SERPINI1	0.022465
CRYBB2	-0.022455
FLJ20021	0.022426
LOC100130278	-0.022353
ARHGEF34P	-0.022348
ZNF671	0.022339
LYPD6	0.022336
IFFO2	-0.022333
LEFTY2	-0.022301
P2RY1	0.022289
SLC7A11	-0.022282
CYP4Z2P	-0.022271
RND1	-0.022270
RNF150	0.022260
UPK1B	0.022155
STON1	-0.022117
PPP1R3C	0.022070
TRIM13	0.022044
CXCR4	0.021950
PPP5D1	0.021936
C11orf70	0.021896
MB21D2	-0.021860
PAG1	0.021729
CST6	-0.021693
FAM105A	0.021667
HSD17B11	0.021625
COL17A1	-0.021601
LINC00240	0.021580
LINC00525	-0.021538
MTUS1	0.021512
H1FX-AS1	-0.021477
ABHD2	0.021360
RBM24	0.021331
APCDD1	0.021326
ZBBX	0.021324
ASB12	-0.021320
CDH12	0.021264
HCCAT5	-0.021244
ELL2	0.021240
LOC100507424	0.021175
ATP5G2P1	0.021155
ZNF808	0.021135
LOC101928525	-0.021097
CETN1	-0.021097
LOC101927967	-0.021016
SLC14A2	-0.020954
CLC	-0.020952
METTL7B	0.020930
TM4SF5	-0.020921
RNF215	-0.020828
SLC22A13	-0.020826
SLC44A3	0.020800
KIF13B	0.020775
VEGFC	0.020726
SHOX	-0.020696
PPAP2B	0.020681
TTTY10	-0.020674
RPS6KA1	0.020671
NOS1AP	0.020629
RHOBTB2	0.020616
AGR2	0.020607
ARHGEF26-AS1	0.020550
EPHA1-AS1	0.020549
TNFRSF11B	-0.020543
PAN3-AS1	0.020438
FAM155A	0.020367
ZNF517	-0.020362
SPINK7	0.020294
AMIGO1	0.020291
BANF2	-0.020283
ASAP1-IT2	0.020272
MAP3K14-AS1	-0.020272
HOMEZ	0.020264
ANKRD60	-0.020237
DIO2	-0.020235
TREML1	-0.020235
LINC00592	-0.020198
CPNE5	-0.020179
PPAP2A	0.020174
SLC6A9	-0.020174
AMER1	-0.020102
WISP2	-0.020087
FAM131B	-0.020069
EYS	-0.019981
ZFP3	0.019976
SLC16A14	-0.019974
ADRA2B	-0.019912
SULT2B1	0.019898
VMP1	0.019894
FAM223A	0.019874
RORA	0.019835
CCDC96	0.019834
IFNL1	-0.019788
HEG1	0.019777
C10orf82	0.019776
TGFB1I1	0.019766
LOC101929268	-0.019737
IP6K3	-0.019732
CNIH3	-0.019636
PITX2	0.019632
SLC29A3	0.019597
TM4SF4	0.019590
SASH1	0.019571
GJA1	0.019545
DMRTB1	-0.019540
INSR	0.019520
SELP	-0.019514
FAM13A	0.019513
HAS1	-0.019504
LDHB	0.019504
BAMBI	-0.019484
ALCAM	0.019472
FCF1	0.019458
C1GALT1	0.019423
KLF4	0.019359
A4GNT	-0.019347
BATF	0.019303
SPOCD1	-0.019286
PYY2	0.019268
INE1	-0.019268
SSTR5-AS1	0.019267
CCDC70	-0.019222
SERPINA6	-0.019207
SPATA7	0.019195
PDZD9	-0.019151
HMGN5	0.019126
RPL13AP17	-0.019117
KLF16	-0.019111
ACIN1	0.019090
GEM	-0.019086
BTG2	0.019068
TPBG	0.019064
KRT79	-0.018995
ACTL7A	-0.018971
HOXA-AS3	-0.018960
PRO0471	-0.018958
TGFB2	-0.018951
FTHL17	-0.018931
C16orf89	0.018922
KLB	0.018922
MAGEA10	-0.018914
LZTS1-AS1	-0.018905
C3orf52	0.018903
STAU2-AS1	0.018873
LOC284379	-0.018865
SRGAP2	0.018844
CCDC142	0.018833
FCRLB	-0.018798
APPL2	0.018775
PRKD1	0.018722
ARHGAP36	0.018716
ZNF750	0.018694
SELPLG	-0.018687
POT1	0.018684
MAP1LC3C	-0.018664
KRT31	-0.018658
CASC14	-0.018627
LOC100507487	-0.018620
HLA-DMA	0.018611
TRPC6	0.018603
SERTAD2	-0.018574
CTGF	0.018544
MGC20647	-0.018541
SPAG11A	-0.018536
LOXHD1	-0.018529
TRIM73	0.018527
MYOD1	-0.018515
CLPS	-0.018502
SSTR4	0.018482
FKRP	0.018477
ENTPD3-AS1	0.018469
LYPD6B	0.018437
STX1B	-0.018433
ERRFI1	0.018431
HIST1H3C	0.018405
LOC100505797	-0.018385
LIN28B	-0.018371
PLA2G3	0.018357
POU5F1P3	-0.018354
LOC101929076	-0.018354
DHRS2	-0.018353
PTPN21	0.018341
MAP10	-0.018336
FLT3	-0.018313
RGCC	0.018299
LINC00883	0.018265
PKP2	0.018243
TMEM71	-0.018236
CPA5	-0.018225
TTC36	0.018212
C4BPB	-0.018205
NIM1K	0.018179
KRT20	0.018142
FAM226B	0.018138
OR5I1	-0.018137
MAOA	0.018130
TGFBI	-0.018121
SGPP1	0.018058
LOC728485	-0.018050
MAGEC3	0.018040
CCL22	-0.018034
SLC2A1	0.018027
SYNC	0.018021
NLRP8	-0.018018
LINC00311	-0.018003
MBOAT1	0.017987
SLC9A3R1	0.017984
KCNA10	-0.017971
KRTAP19-3	-0.017967
CYR61	-0.017962
TIMD4	-0.017955
SYNPO2	0.017949
PALMD	0.017937
GPT2	0.017899
IL18	0.017888
AVPR2	-0.017880
C1QTNF2	-0.017876
GBP2	-0.017867
SLC6A7	-0.017866
BTN2A3P	-0.017863
TRIM6	-0.017824
CHST7	0.017818
RAB4A	0.017797
CHGA	-0.017791
FGF17	-0.017791
LYL1	0.017788
NDNF	-0.017775
IL24	-0.017771
RAI14	-0.017764
VWDE	-0.017759
LINC01504	-0.017746
TAS2R9	-0.017735
LOC285812	-0.017735
MTL5	0.017723
TCN1	-0.017721
HMGCLL1	0.017705
ITGA6	0.017702
LINC00167	-0.017697
NPAP1	-0.017695
PLAGL1	0.017690
STC1	0.017681
FGF14-IT1	-0.017678
KRTAP7-1	-0.017677
OVOL2	0.017657
GATA6-AS1	-0.017641
LOC100506813	-0.017635
CYP2W1	-0.017634
HEATR3	0.017628
GBP1	-0.017621
FAM189A2	0.017611
LCN15	-0.017590
ECEL1	-0.017567
ADAT2	-0.017566
SORBS1	0.017558
TLR2	-0.017557
GPR21	-0.017554
LOC100289026	0.017549
PTX3	0.017528
ST6GALNAC2	0.017488
TXK	-0.017487
AMN1	0.017481
LCN12	-0.017479
LPO	-0.017372
KIAA1715	0.017366
BRDT	0.017365
IGLV1-44	-0.017358
MPPED2	0.017349
LOC728730	0.017349
ZNF732	-0.017334
GADD45G	0.017330
PLIN4	-0.017321
OXTR	0.017268
CR1L	0.017258
PDCD1	-0.017246
PRR15	0.017225
MAGI2-AS2	-0.017222
TCP11	-0.017211
FAM188B	0.017194
FILIP1L	-0.017192
LRRC16B	-0.017167
YOD1	0.017106
KREMEN2	-0.017091
PRR29	-0.017069
LOC283075	-0.017064
PLXNB3	-0.017056
LOC574538	-0.017040
LOC101927865	-0.017037
DSPP	-0.017036
LOC644135	-0.017001
COL6A3	0.016999
ASMT	-0.016981
PSTK	0.016954
MUM1L1	0.016942
LOC101928205	-0.016940
SGK223	-0.016913
SV2A	-0.016907
EID3	-0.016904
FAM19A2	0.016898
NFKBIZ	-0.016880
LINC00452	-0.016879
LHFPL3	0.016868
CCDC88B	-0.016830
FAM181A-AS1	-0.016826
IL12A	0.016819
ATP12A	-0.016815
SLC52A1	-0.016809
ZNF491	-0.016804
FAM65C	-0.016794
PLS3	-0.016782
GPR64	0.016778
LINC00559	0.016768
PROL1	-0.016763
HS3ST6	-0.016744
MAD1L1	0.016743
ZNF790-AS1	0.016734
HPSE2	-0.016717
OR51A1P	-0.016716
SOHLH1	-0.016705
CCZ1B	0.016701
ORC1	0.016699
SLC25A47	-0.016699
SNHG3	0.016698
EPOR	0.016692
CRIPT	0.016661
LOC400541	-0.016656
LINC00619	-0.016654
DNAI1	-0.016650
SPTSSA	0.016630
LOC101928710	-0.016628
STK3	0.016626
SLC22A4	0.016624
