!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Rattus norvegicus
!cell	Hepatocytes
!perturbation	Dexamethasone
!disease	456 uM - 1 d
!end_metadata
NPY	0.039266
ZNF703	-0.038861
H6PD	0.038854
CRYM	-0.038754
MEX3B	-0.038665
PRKAR2B	-0.038647
CYP26B1	-0.038643
PCSK6	0.038515
FAM227A	-0.038473
CYP27A1	0.038306
HERPUD1	0.038245
GNMT	0.038244
RDH16	0.037882
HSD17B2	-0.037822
IL33	0.037639
FDFT1	0.037599
DHDDS	0.037561
FASN	0.037551
UNC5B	0.037512
ILDR2	-0.037377
HSD3B1	0.037176
FBXO31	0.037162
MBL2	-0.037156
LECT2	0.037141
GADD45B	0.037123
OTC	-0.037100
PAOX	0.036794
LAMB3	-0.036381
PRSS23	-0.036315
PRNP	-0.036239
FAM49A	0.035981
TBC1D24	0.035926
EDEM2	0.035856
PHYH	0.035844
ARL4D	0.035370
PAH	0.035315
HGD	0.035281
FABP1	-0.035210
LGALSL	0.035160
ARHGAP22	-0.035136
RCL1	0.035074
IGFBP1	0.035033
ASPG	0.034969
DBN1	-0.034815
NRBF2	0.034792
SLC6A13	0.034734
CX3CL1	-0.034722
ARHGEF26	0.034503
SOAT1	0.034500
CD74	-0.034476
PGLYRP1	0.034474
MICALL2	-0.034410
ABCB4	0.034341
CYP51A1	0.034307
SLC26A1	-0.034296
DPYS	-0.034287
CMBL	0.034282
HMGCR	0.034134
ZAP70	0.034111
THRSP	0.034101
PEX11A	0.034035
TPBG	-0.034012
SLC35D1	0.033966
BCAT1	0.033850
FILIP1L	-0.033829
CXCL12	-0.033725
IGFBP4	0.033589
CA12	0.033143
RHBDD2	0.033031
PDLIM2	-0.032903
PARD6G	-0.032827
FTCD	0.032780
SLC34A2	-0.032443
POR	0.032364
CTH	0.032336
SERPIND1	-0.032279
TSC22D3	0.032239
BAAT	-0.032151
PROCR	0.032124
HAO2	0.032104
STAT3	0.032076
G0S2	-0.032007
IFI44L	-0.031907
GBP6	-0.031896
SMOC1	0.031872
ARG1	0.031859
CA2	-0.031858
OTUB2	0.031812
CLEC14A	0.031796
SLC25A23	-0.031705
DUOX2	-0.031636
DDAH1	0.031629
TMEM71	-0.031427
PHLDA3	-0.031302
FABP4	0.031235
ACMSD	0.031198
PPCS	0.031161
FABP2	-0.031051
GRHL1	0.031022
AGTR1	0.030948
SGK1	0.030914
PDE4B	-0.030532
CSRP1	-0.030487
ADK	0.030443
KIF26B	0.030332
GAS2	-0.030306
KLF15	0.030299
AVPR1A	-0.030266
TLE1	0.030218
SLC39A14	0.030151
MAGEE1	-0.030092
CA3	-0.029931
SERPINB9	-0.029897
EDC3	0.029834
AADAT	0.029679
ABCG2	-0.029658
STEAP3	-0.029645
RELN	-0.029606
DDAH2	-0.029605
GPM6A	-0.029596
AACS	0.029435
CSAD	0.029410
FAM134B	0.029407
SFXN1	0.029376
P2RX7	0.029367
FAH	0.029360
FHL2	-0.029336
ID2	-0.029320
MAL2	0.029301
CYB5B	0.029294
ADORA2B	-0.029250
NAGS	0.029211
SLC27A5	-0.029156
ATOH8	0.029031
MAT1A	0.029002
RIPK2	-0.028875
HSD3B7	-0.028872
ACTA1	-0.028802
SULT1E1	-0.028734
SMIM14	0.028699
TRAK2	-0.028682
TNFSF13	-0.028642
PROM1	0.028451
MMP11	-0.028442
MARCH6	0.028399
CLPX	0.028376
HACL1	0.028354
ZFP36	0.028262
SLC37A4	0.028246
SERPINA7	-0.028237
DUSP1	0.028218
CCNYL1	-0.028180
TINAGL1	0.028020
SLC43A1	0.027948
AGRN	-0.027640
ACACA	0.027615
PMVK	0.027596
SLC6A8	-0.027586
TES	-0.027536
MAP1LC3B	0.027493
ENTPD5	-0.027438
BAIAP2	0.027435
KLKB1	-0.027407
BDH1	-0.027394
NR5A2	0.027391
ABHD2	0.027335
KMO	-0.027312
TCP11L2	0.027223
S1PR2	-0.027189
RGN	-0.027185
PSMB10	-0.027168
ANGPTL3	-0.026993
PDGFA	0.026875
LTB	-0.026834
FGFR3	0.026795
HN1	-0.026770
PCSK9	0.026767
EPAS1	0.026703
BAMBI	-0.026665
DIO3	-0.026653
NEURL3	-0.026614
IRF1	-0.026607
SDC2	0.026602
MANBA	-0.026565
TMEM38B	0.026561
ACPL2	-0.026548
ENC1	0.026544
CCRN4L	-0.026505
ACKR3	0.026504
PNPLA3	0.026404
GOT1	0.026359
CIB2	-0.026354
ECHS1	0.026336
GLTSCR1	0.026317
ST3GAL5	0.026303
PDGFC	-0.026294
SLC25A15	0.026097
NEK7	0.026076
SPON2	-0.025941
SARDH	0.025932
FDPS	0.025932
ITGAE	-0.025910
SMS	-0.025780
NEDD4L	0.025778
SAMHD1	0.025721
PDIA5	-0.025707
TM4SF4	-0.025670
GPAM	0.025663
FGFR1	-0.025653
RASAL2	-0.025642
SLC22A1	-0.025625
PLS1	-0.025621
DYSF	-0.025594
PPAP2B	0.025558
STMN4	-0.025538
LRRC1	-0.025433
TEAD2	-0.025400
PITPNM1	-0.025247
HSD17B13	0.025206
AHCY	0.025188
BHLHA15	0.025146
ICA1	0.025128
MLC1	0.025013
LDHD	-0.024982
IL6ST	0.024885
LGALS2	-0.024866
TMEM150C	0.024828
CD48	-0.024814
CPT1B	0.024743
HMOX1	-0.024721
GNPAT	0.024681
ARRDC2	0.024676
SLC16A6	0.024592
LMO4	0.024583
CBLB	0.024569
ABCB11	0.024555
BHMT2	0.024539
IRS2	0.024535
AQP8	-0.024535
PDK4	0.024529
LYVE1	-0.024517
ATP1B1	-0.024499
FAM188A	0.024481
BHMT	0.024465
KCTD6	0.024388
PDE8A	0.024388
MTMR11	-0.024365
HPS4	0.024289
ZNF354A	0.024286
ABCA4	-0.024279
ABCC4	-0.024251
ANKS4B	-0.024241
CDO1	0.024212
ACO1	0.024208
CXCR4	-0.024183
PIM3	0.024085
TAGLN	-0.024033
N4BP2L1	0.024006
ABCC2	0.023997
PARP14	-0.023965
CRYL1	-0.023959
SERINC5	-0.023958
CEP70	-0.023804
LRP2	-0.023779
AADAC	-0.023766
BDH2	-0.023765
PKDCC	0.023702
CHN2	-0.023695
CHDH	0.023691
TMEM150A	0.023630
CEP152	0.023628
SFXN3	-0.023612
PCK1	-0.023573
TNFRSF21	-0.023572
SGSM3	0.023522
TMEM41B	0.023480
IP6K2	0.023474
GCLC	-0.023458
PLAT	-0.023411
CPE	-0.023371
HRASLS5	-0.023308
CLIP2	-0.023291
ST3GAL6	-0.023286
ARHGAP24	-0.023266
POPDC2	0.023217
ABCG5	0.023171
PDE5A	-0.023162
PHLDB2	-0.023149
DHTKD1	0.023145
ERRFI1	0.023074
B3GALT6	0.023063
SMIM22	-0.023033
MYOF	-0.023031
RHOC	-0.023007
AQP9	-0.022999
GNA14	-0.022995
AMPD3	0.022983
STARD4	0.022935
GSTA3	-0.022891
ACSM5	-0.022852
NR1I2	0.022802
PMP22	0.022742
CCSER2	-0.022728
ALDOC	0.022709
SLC25A33	0.022697
SCARA5	0.022656
SPSB4	0.022650
LACTB	-0.022631
PSCA	-0.022619
RCAN1	-0.022617
GJB1	0.022576
TSPAN13	0.022540
FBXO27	-0.022534
HIPK2	0.022515
SULT1B1	0.022475
SLCO2A1	-0.022463
FLRT3	-0.022397
CD276	-0.022372
KPNA3	-0.022355
CLDN2	-0.022287
AGMO	-0.022283
KIF12	-0.022230
MAP2K6	-0.022186
DPYSL5	-0.022180
GDA	0.022121
OCIAD2	-0.022103
PTK2B	0.022096
SLC7A7	0.022085
PSMB9	-0.022030
NAT8	-0.022025
UNC119	-0.022024
NFKBIZ	0.022019
ANPEP	-0.021997
RTP4	-0.021989
APAF1	-0.021980
RNF8	0.021965
TACC2	-0.021890
JAM3	-0.021880
MGST3	-0.021841
EMP1	0.021841
CAPN9	0.021820
STAMBPL1	-0.021780
CEBPD	0.021764
SC5D	0.021748
LDLRAD4	-0.021722
TGFBI	-0.021689
ARHGAP18	-0.021680
KLF9	0.021673
HPCAL1	-0.021612
UBE2G2	0.021611
HOGA1	0.021600
PALD1	0.021546
DGAT2	0.021540
NFE2L2	-0.021535
PIK3R1	-0.021512
SAMD9L	-0.021494
GPT2	0.021476
TMEM132A	-0.021461
DHRS3	0.021440
RARRES1	0.021432
ACTN1	-0.021431
ROPN1L	0.021403
PSAT1	0.021400
USP54	-0.021394
SLC31A2	-0.021382
MLXIPL	0.021368
KCTD14	0.021367
BCL2L1	0.021350
SWI5	0.021319
SKAP2	-0.021316
SLC7A2	0.021313
ASGR2	-0.021292
CCND1	0.021289
CDC42EP4	0.021279
DDR1	-0.021233
MKNK2	0.021222
PPARD	0.021178
TNK2	0.021135
ADAMTSL4	0.021134
IVNS1ABP	0.021133
TTC36	0.021123
SERINC2	-0.021101
TXNIP	0.021094
XK	-0.021070
SORD	-0.021063
GDPD1	-0.020991
ARG2	0.020988
PECR	0.020979
IL13RA1	-0.020966
AHCTF1	0.020957
MSMO1	0.020955
TCP11L1	0.020935
DCN	0.020920
ARL6IP5	-0.020870
COBLL1	0.020868
MYLK	0.020855
ADM	0.020850
MAGED2	-0.020830
POLD3	-0.020782
PLA2G16	-0.020769
LTBP4	-0.020728
GPR146	0.020704
MYH10	-0.020681
ARVCF	-0.020659
SLC48A1	-0.020650
PANK1	0.020560
SDPR	0.020526
TCEA3	-0.020519
