!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Lung 
!perturbation	Dexamethasone
!end_metadata
ANXA6	-0.041152
ALAS2	0.041077
RPS12	-0.040867
RNF141	0.040852
TAGLN	-0.040717
MEST	-0.040365
IGFBP3	0.040026
PLP2	0.039663
RPS15A	-0.039353
BCL2L1	0.039064
RNF145	0.038968
MYL7	-0.038929
RPL10	-0.038744
FHL1	-0.038399
NFIB	-0.037910
H19	-0.037795
TGFB1I1	-0.037602
HP	0.037137
GNB2L1	-0.036970
ACTA2	-0.036835
SERPINH1	-0.036716
LDHA	-0.036483
RPL13	0.036061
CEBPA	0.036049
DSTN	0.035896
DOCK9	0.035826
ACTA1	-0.035219
RPS10	-0.035198
ENPEP	-0.035001
CD9	0.034731
NCL	-0.034692
IGFBP6	0.034650
RPS24	-0.034584
MAP3K6	0.034494
MAF1	0.034459
NOTCH3	-0.034081
TUBB	-0.034070
MAGED1	-0.033856
POLR2M	-0.033774
FAM134B	0.033572
XDH	0.033512
KLF6	0.033257
B2M	-0.032771
PTP4A1	0.032740
KCTD10	0.032596
SLC10A6	0.032550
FDX1	0.032524
COX6A1	0.032417
VAMP8	0.032310
EEF2	-0.032268
RPL3	-0.032245
KRT4	-0.032202
FTH1	0.031922
PIM3	0.031771
RBP1	-0.031770
FKBP1A	-0.031640
GADD45G	0.031574
RPL7A	-0.031395
ANXA1	0.031329
TCN2	0.031321
IGF2BP2	0.031275
AKR1A1	-0.031172
MFGE8	0.030976
C14orf2	0.030777
GJA4	-0.030681
EPN2	0.030598
EIF2S3	0.030301
MCAM	-0.030290
IFITM3	-0.030062
COL5A2	-0.029948
COL1A2	-0.029879
GIMAP4	-0.029559
IRX3	-0.029432
ALDH2	0.029376
SYPL1	0.029280
RARRES2	-0.029266
HERPUD1	0.029202
PTTG1IP	0.029117
S100A6	0.029102
PRMT1	-0.029031
PRDX1	-0.028996
TOP1	0.028925
HPGD	0.028843
CORO1C	-0.028456
SDPR	0.028444
ALDH1A1	0.028394
PHLDA1	-0.028093
MYH14	0.028037
RABAC1	0.028027
RPS27A	-0.027887
GLUL	0.027832
MGP	0.027654
SOCS2	0.027611
RPL27A	-0.027590
CDKN1A	0.027564
LAMP1	0.027506
TSPAN7	0.027377
PPP1R14B	-0.027356
ARFGAP2	0.027262
CNN2	-0.027216
GADD45B	0.027051
TMEM165	0.026851
PPP1R21	0.026564
GAS1	0.026461
ANGPTL2	-0.026458
AKT1	-0.026400
LTBP4	-0.026206
NDUFB5	0.026072
PER1	0.025804
CD81	-0.025763
TIE1	-0.025592
MRPL52	-0.025471
SAT1	0.025318
HMGN1	0.025279
GABARAPL1	0.025237
MYLK	-0.025215
LRG1	0.025151
SSR3	0.025131
F2R	0.025121
PRNP	0.025095
EMP3	-0.024938
STX5	0.024839
CKB	-0.024671
SCD	-0.024671
CCNB2	0.024666
KLF9	0.024642
DCN	-0.024576
MBD3	-0.024558
CDK2AP1	-0.024422
CHI3L1	-0.024238
GSTM5	0.024237
EIF3K	-0.024227
RNF167	0.024214
PLXND1	-0.024186
ATOX1	0.023995
DYNLL1	-0.023883
KANK3	0.023777
RNF181	0.023763
PNRC2	0.023727
SRSF2	-0.023721
CXXC1	0.023694
ACLY	-0.023620
F3	0.023530
DNAJA1	0.023444
SOX18	-0.023349
MSN	-0.023125
LPL	0.023109
MARVELD1	-0.022898
PDGFA	-0.022863
H2AFZ	-0.022802
PPP2R1A	-0.022758
FAM101B	-0.022730
ANXA5	0.022711
EGLN2	0.022711
RPS2	0.022571
SLC25A39	-0.022439
PSCA	-0.022412
RAN	-0.022385
DDX39B	-0.022335
TKT	-0.022315
PRDX2	-0.022267
CTSD	0.022265
CD63	-0.022121
CLDN5	-0.022102
HNRNPD	-0.022076
NAV2	0.022038
LCP1	-0.021996
PCNA	-0.021990
JTB	0.021947
LCN2	0.021939
CLK1	0.021925
CCND3	-0.021888
VAPA	0.021881
FBLN2	-0.021819
RAP1GAP	0.021812
CCNG2	0.021802
CES1	0.021774
NEDD4L	0.021732
PABPC1	0.021690
EMP1	0.021636
FOS	0.021611
TMEM38B	0.021597
FMO1	0.021592
CYTH3	0.021514
RBPMS	0.021467
KRT19	0.021395
YBX3	0.021369
PAPSS1	-0.021345
UBL3	0.021308
CD34	-0.021286
HSP90AB1	-0.021254
LYZ	-0.021153
RBM3	-0.021095
ANXA3	0.021068
PLEC	-0.021067
LYVE1	0.020952
SLC31A1	0.020889
PTOV1	-0.020807
CTSV	0.020799
AHCYL1	0.020748
MINOS1	-0.020639
RELA	-0.020626
SNX3	-0.020624
LPIN1	0.020497
CTBP1	-0.020410
TMEM109	-0.020320
IGF2	-0.020301
MAP1LC3B	0.020282
EIF4A2	0.020252
ARHGDIB	-0.020216
TOMM7	-0.020118
ARF1	0.020072
TAGLN2	-0.020040
TUBB2A	-0.020020
FAM46C	0.019905
SPARCL1	0.019887
RELL1	-0.019845
SPSB1	0.019834
KRT7	0.019832
KCNK1	0.019669
RAB11B	-0.019549
PPL	0.019538
KDR	-0.019536
TEF	0.019495
TNC	-0.019455
MYH9	-0.019453
GNB2	-0.019439
BNIP3	0.019407
HLA-DQA1	-0.019385
U2AF2	-0.019334
TUBB6	-0.019333
ARPC2	-0.019291
ELAVL1	-0.019275
POSTN	0.019257
ATP6V0E2	-0.019148
RPS28	-0.019141
YPEL3	0.019137
GPR12	0.019010
PIP4K2C	0.019002
ATP6V0B	0.018987
TMEM176B	-0.018971
BRK1	-0.018947
UNC5C	-0.018898
SMC4	0.018807
PDPN	0.018781
HSPD1	-0.018758
COL3A1	-0.018755
SNTA1	0.018674
PPDPF	-0.018643
ACTR3	-0.018580
NDUFB11	-0.018492
HSD11B1	0.018478
GSTP1	-0.018390
SQLE	-0.018318
VASP	-0.018316
TANGO2	0.018288
MAN2A1	0.018274
TMEM176A	-0.018199
ETS2	0.018157
LOX	0.018136
ISOC1	-0.017957
TENC1	0.017916
TTC3	-0.017914
TMED7	0.017902
CLIC4	0.017876
SEPT7	0.017811
CDH5	-0.017752
ATP6V1A	0.017723
PPP6R3	0.017691
ALAS1	0.017649
RPL7	-0.017627
UCHL1	0.017622
DDAH2	-0.017536
EPB41	0.017495
RPL10A	-0.017489
ANXA11	-0.017487
SSRP1	-0.017307
IGSF10	-0.017293
BTF3	-0.017277
NPNT	-0.017233
H6PD	0.017164
VMP1	0.017120
RALBP1	0.017109
LDB2	-0.017082
ANAPC5	-0.017072
FBN1	-0.017063
PPIA	-0.017041
PHLDA3	-0.017017
CD93	0.017003
WDR61	0.016899
GSTK1	0.016872
RNF11	0.016864
GJA1	-0.016850
TRIM27	-0.016840
NFIX	-0.016833
MTCH2	0.016794
TMEM37	0.016779
CXCL12	-0.016770
PTP4A2	-0.016762
RPS4Y1	-0.016711
ISLR	-0.016709
CREB3L1	-0.016701
NELFE	-0.016699
KLF13	0.016698
CCND2	-0.016686
PLAT	0.016681
UQCRB	0.016654
PSMC6	0.016615
RCAN1	-0.016605
PCOLCE	-0.016563
JUN	0.016524
DDB1	0.016524
MCM5	-0.016492
CRIPT	0.016456
PDK4	0.016404
ST8SIA2	-0.016327
CLDN3	0.016324
PCBP1	-0.016297
LAMC2	0.016263
H1F0	0.016210
ECHS1	0.016206
TUBB3	-0.016169
NRP1	-0.016155
TXNIP	0.016131
MFAP2	-0.016114
AP1AR	-0.016104
SPPL3	-0.016053
ADIPOR2	0.016039
THBS1	0.016032
FKBP4	-0.015998
LAMP2	0.015978
TSPO	0.015965
PRKAR1A	-0.015959
SEPT4	-0.015929
HSD17B11	0.015863
VBP1	0.015852
GAPDH	-0.015798
ZC3H3	0.015754
CDO1	0.015686
POMP	0.015684
IMPAD1	0.015683
MOGS	-0.015675
MID1IP1	-0.015661
G0S2	0.015645
FAM105A	0.015593
RPA1	-0.015574
KLF4	0.015558
MARCH6	0.015534
FASN	0.015514
PPIC	0.015492
RAB5C	0.015467
TALDO1	-0.015338
UNC50	0.015317
LATS2	0.015259
CHTF8	-0.015251
LSP1	-0.015207
LAMA4	0.015200
ADAM19	-0.015196
GLTSCR2	-0.015123
MAPK3	-0.015120
HSP90B1	0.015084
CHCHD10	-0.015076
MCM3	-0.015072
SHISA5	-0.015067
ANKRD13A	0.015053
PSMA3	-0.015037
PPP2R5A	-0.015021
FST	0.014997
KDELR3	-0.014974
GABARAP	-0.014929
B4GALT1	0.014920
PTPRS	-0.014904
KANSL2	-0.014892
LLGL2	0.014880
HIF1A	0.014806
AKAP12	-0.014796
PDIA3	-0.014744
TNNI1	-0.014718
MCM4	-0.014706
CDC20	0.014683
HLA-A	-0.014670
ZFP36L1	-0.014621
ACSL5	-0.014617
ST3GAL4	-0.014557
CS	-0.014542
H2AFV	0.014518
ZNF703	-0.014514
ZFAND6	0.014455
STK40	-0.014443
CD200	0.014396
ADM	0.014387
UBE2R2	-0.014383
IL6R	0.014361
RGS2	0.014338
ITPKB	-0.014338
VARS	-0.014304
STT3B	0.014290
DCTN3	0.014277
WLS	-0.014273
NDFIP1	0.014247
TXNDC5	0.014242
TMEM160	0.014188
PPP3R1	0.014159
ACTB	-0.014137
CCND1	-0.014129
SMARCC1	-0.014121
COPS6	-0.014117
MGST3	0.014102
ATP1B3	-0.013914
