!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Airway smooth muscle (ASM) cells
!perturbation	Dexamethasone  4 hrs
!end_metadata
PITX2	-0.035072
TRIB2	-0.034945
HMOX1	-0.034894
EGR1	-0.034801
KIAA0485	0.034638
TMEM88	-0.034600
C5orf27	0.034586
EVA1C	0.034494
MSX1	-0.034373
SGK223	-0.034284
SH3PXD2B	0.034210
CDKN2B	-0.034198
KLF9	0.034136
KCNJ15	-0.033954
PTPN1	0.033886
DES	0.033794
NR4A3	-0.033760
BCL3	-0.033748
SLC7A8	0.033606
PPP1R3C	-0.033399
SHROOM3	0.033375
TAGLN3	-0.033365
MT1E	0.033311
C11orf96	-0.033076
STK38L	-0.032977
ZFP36	0.032823
JUN	-0.032813
SRSF12	0.032677
PIK3R1	0.032644
LRRC8C	-0.032643
DPF3	-0.032498
SEC14L1	0.032406
PODXL	-0.032251
CBLC	0.032210
FUT4	0.032114
SNAI2	0.032103
EVA1A	-0.031960
PPP1R15A	-0.031698
RASSF4	0.031647
HSD11B1	0.031572
BNC2	0.031513
USP53	0.031505
ARRB1	0.031483
KANK1	0.031364
TUFT1	-0.031342
DUSP10	-0.031324
MYCT1	-0.031193
CDC37L1	0.031156
MTERF2	0.031094
LINC00643	-0.031047
PTPRR	-0.031028
GABRE	-0.031018
ZNF622	0.030937
ALOX15B	0.030900
NET1	0.030759
ITPKA	0.030577
TSHZ3	-0.030546
TMEM164	0.030532
BIRC3	-0.030086
PLEKHO2	0.030072
PSRC1	0.029968
IL16	0.029861
MIR503HG	-0.029853
KIT	0.029805
LOC100507131	0.029779
ELF1	0.029769
IL12A	-0.029730
AGPAT9	-0.029723
CD200	-0.029629
MTSS1	0.029348
RHEBL1	0.029342
LMO4	-0.029239
CRYAB	0.029222
DLK2	0.029152
PLEKHG1	0.028836
BLID	-0.028744
GEM	-0.028682
SOX4	-0.028671
APCDD1	0.028579
FOS	0.028523
CIART	0.028474
CHST15	-0.028422
OXCT2	0.028388
HTR2A	-0.028357
ARL4C	-0.028332
NFKBIZ	-0.028270
CDC42EP3	0.028233
FBXO32	0.028167
TMEM204	0.028059
DCUN1D3	0.028056
CPM	0.028050
KRT34	-0.027955
ARL4A	0.027954
EID3	0.027939
SMIM3	0.027843
PRDM1	-0.027816
CEBPD	0.027772
PNP	-0.027645
ITGA5	0.027603
FAM150A	-0.027394
IER2	-0.027375
TRAF1	-0.027337
NAV3	-0.027199
IFITM10	0.027182
PLEKHG2	0.027125
ASB13	0.027114
ACVRL1	0.027055
TMED10	-0.026877
GCNT1	0.026848
PIM1	-0.026821
BMP4	0.026821
SLC19A2	0.026807
SERPINB2	-0.026767
RBM24	-0.026755
STOM	0.026729
ATF3	-0.026722
PELI1	-0.026701
SYNJ2	-0.026693
ATP1A4	0.026670
TNFAIP3	-0.026589
MPP3	0.026574
OGFRL1	0.026529
NRG1	-0.026489
JUNB	-0.026469
HBA1	-0.026458
ICAM1	-0.026445
KIF13B	0.026323
BHLHE40	-0.026230
PLAUR	-0.026226
HEY1	0.026218
FAM180A	0.026195
TBX3	-0.026084
ATP1A3	0.026083
CABLES1	-0.025975
ADRA1B	0.025963
GADD45B	0.025938
ZFP36L2	0.025917
LOC100506725	0.025878
VDR	-0.025826
LINC00597	0.025799
SESN2	-0.025762
SH3RF1	-0.025612
ASB2	-0.025514
DGKI	-0.025501
SPRY1	0.025486
ZNF672	-0.025439
FOSL1	-0.025406
FUT8-AS1	-0.025371
FAM46B	0.025323
SMURF2	-0.025313
SHC4	0.025224
PROSER2	0.025096
SYNM	0.025065
ARID5A	-0.025038
AQP11	-0.024998
CDH2	-0.024920
ATP1A1	0.024914
MAP2K3	-0.024839
CDR2L	0.024823
SPRY2	-0.024691
IL33	-0.024656
FAM49A	0.024604
DUSP1	0.024584
CBFA2T3	0.024489
APOLD1	-0.024458
DAAM1	-0.024431
NFATC1	-0.024372
KCNK6	0.024339
MN1	0.024321
JADE2	0.024274
GSC	0.024152
ZNF175	-0.024081
CDH15	0.023990
CDK17	-0.023932
SAP30	0.023911
ACKR4	-0.023909
EEPD1	0.023892
DNMBP	-0.023888
NOL3	0.023882
CTDSPL	0.023838
ZNF674-AS1	-0.023824
KRT18P55	-0.023824
SLC4A7	-0.023796
MLLT3	0.023761
FOXP1	-0.023746
TRIB1	-0.023714
CXCL12	-0.023663
PTPRB	-0.023582
ENTPD7	-0.023578
PIK3R3	0.023570
SIK2	0.023566
OLFM2	-0.023564
SP110	0.023506
ITPRIP	-0.023470
PHLDB3	-0.023446
PIWIL4	0.023436
SFXN5	0.023385
LINC01013	-0.023366
IFI44L	0.023342
LRRC1	0.023322
RND2	-0.023310
KRTAP2-3	-0.023273
BTG2	0.023266
FGF5	-0.023141
NXPH3	0.023137
TACC1	0.023086
WDR91	0.023017
NR3C1	-0.023010
LINC01106	-0.022974
MT1A	0.022969
MOCS1	0.022944
CORO6	0.022928
RAB33A	-0.022896
S1PR1	0.022742
CRISPLD2	0.022713
RTN4RL1	0.022626
RAB30	-0.022603
PKDCC	0.022596
SCN7A	0.022586
FAM105A	0.022579
MT1H	0.022528
NAGS	0.022525
ACSS1	0.022523
CDKN1C	0.022514
MT1B	0.022505
TMEM217	-0.022492
MT1X	0.022467
CEP170	-0.022422
SLC46A3	0.022414
LAMC2	-0.022311
KCNN4	-0.022234
ZFHX3	0.022212
HBA2	-0.022206
TOP1	0.022205
SNX22	-0.022149
HLA-DPA1	0.022130
FBXL13	0.022084
LCE2C	-0.022020
PLAU	-0.021999
POMGNT2	0.021973
HLA-DPB1	0.021917
RELT	-0.021913
ARID3B	-0.021907
ADRA2A	-0.021906
PSTPIP2	-0.021880
SERTAD1	-0.021781
HOMER1	-0.021715
CYP24A1	-0.021680
RNF144B	0.021668
GLDN	0.021635
TOP1P2	0.021620
TSPAN19	-0.021618
SLCO4A1	0.021614
ZCCHC5	0.021490
ZNF624	-0.021476
SYT16	-0.021320
FRMD6	-0.021314
DIXDC1	0.021304
TMC7	-0.021269
RND3	-0.021232
CDKL1	0.021192
POLR3C	0.021164
TP53INP1	0.021159
FGF7	-0.021150
MT1G	0.021108
RPRML	-0.021096
TACSTD2	-0.021058
ARMC8	0.021030
RELB	-0.021020
EBF3	-0.021020
FGF2	-0.021004
KCTD12	0.021003
ID4	-0.020989
ABLIM3	0.020974
LINC00545	0.020935
SOCS1	0.020921
PRKX	0.020881
PIK3C2B	0.020851
LRRC32	-0.020816
PLIN2	0.020791
ALCAM	0.020743
TLR4	-0.020737
AR	0.020733
SAMD11	-0.020729
MT1L	0.020724
SMAD3	-0.020689
MAOA	0.020688
PLXNA2	0.020679
PRPS1	-0.020642
IFNGR1	0.020629
SOCS6	-0.020555
NCF2	-0.020549
POU2F2	-0.020537
GATA6-AS1	-0.020498
PLAG1	0.020441
TAS2R20	-0.020435
HSPB8	-0.020432
SLC4A8	0.020430
KRTAP4-12	-0.020422
ID1	0.020407
SERTAD4	-0.020379
ST5	0.020368
GLRX	0.020368
RAB9B	-0.020314
ERRFI1	0.020307
SPP1	-0.020285
TRABD2B	0.020267
SLC16A12	0.020254
TRPC4	-0.020246
PLEKHA7	0.020245
STAM	-0.020210
FRAT2	0.020175
C3orf52	-0.020172
KRT18	-0.020144
GPSM2	0.020136
GRK4	-0.020128
SERTAD2	-0.020116
LINC00152	-0.020100
NR3C2	-0.020067
DDIT3	-0.020030
CD83	-0.020011
LIMS3	-0.019962
DPF1	0.019794
RHOJ	-0.019760
KRTAP1-1	-0.019744
MND1	0.019730
MAGI1	-0.019694
PNPLA3	-0.019681
RRAD	0.019666
CITED2	0.019652
ITGA2	-0.019646
TTC39B	0.019632
NFKBIE	-0.019596
ARHGEF2	-0.019561
GPX3	0.019526
KCNF1	-0.019516
EXTL1	-0.019489
FOXO3	0.019451
IGFBP2	0.019437
RARB	0.019421
BCL2L1	0.019414
NRTN	0.019408
C1orf132	0.019400
KDF1	0.019335
THEMIS2	-0.019303
PLEKHF2	0.019186
AMPH	0.019168
EFR3B	-0.019166
NAPEPLD	0.019131
TCF7	-0.019097
RASL11B	0.019088
PGM2L1	0.019044
SAA3P	0.018995
SAMHD1	0.018994
ATP6V1G3	-0.018927
CNIH3	-0.018923
OSBPL6	0.018914
