!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	A549
!perturbation	Dexamethasone 
!disease	Lung adenocarcinoma - 100 nM - 6 hr
!end_metadata
NEFH	0.019737
LMO4	0.019730
HIP1R	0.019715
CMTM5	-0.019698
LINC00261	-0.019692
WDYHV1	0.019685
F2RL2	-0.019676
ZFP36L2	0.019620
PEX11A	0.019570
FAM177A1	0.019514
EZR	0.019513
EPB41L4A-AS2	0.019482
C1orf115	0.019477
PLS1	-0.019472
TMC5	0.019467
BMP4	-0.019436
SMAD7	0.019351
CDK19	0.019274
EPAS1	-0.019252
RNF43	0.019245
ANKRD1	0.019242
FRAT2	0.019232
TRIB3	0.019214
DYRK1B	-0.019185
COX11	0.019184
TNKS1BP1	0.019173
OAS1	0.019172
CLASP1	0.019154
B2M	0.019153
KCTD11	0.019118
ARRDC1	0.019118
BCL2L1	0.019066
CNNM4	-0.019046
CLCF1	-0.019028
GLRX	0.018991
BAAT	-0.018977
MTSS1	0.018947
CMPK2	0.018935
SPRY2	0.018910
SHMT1	0.018906
PAX7	0.018895
SRC	-0.018870
EXT1	-0.018864
STAT1	0.018864
SNORA25	0.018861
IFIH1	0.018845
SGK223	-0.018777
CFDP1	0.018761
TSPAN15	-0.018728
GTF2IRD1	0.018725
IFIT3	0.018714
PSMB8	0.018703
PPAP2B	-0.018695
SP110	0.018686
FAM84B	-0.018632
TMEM189-UBE2V1	-0.018632
DCLK2	-0.018584
MAP3K14	-0.018518
ITPKB	0.018503
ARL4C	-0.018502
NEXN	0.018488
SLC16A10	0.018487
TEX19	-0.018485
KCNJ16	0.018390
RAB26	-0.018373
TUBA4A	-0.018372
PLEKHH2	-0.018358
HSPA1B	-0.018310
RFC3	-0.018278
GADD45A	0.018267
CTDSPL	0.018235
UBE2R2	-0.018218
PAQR9	0.018194
GPR1	0.018192
