!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	U2Os GR3KR cell line
!perturbation	Dexamethasone 
!disease	100nM - 6hrs
!end_metadata
HAVCR2	-0.024843
GPR64	0.024782
CERS6	0.024753
S100A2	-0.024638
CREG1	0.024613
HRK	-0.024569
GPRC5A	-0.024328
C5orf46	-0.024256
LRRN1	-0.024251
LMCD1	-0.024091
IRF8	0.024051
WFS1	-0.024011
FHL2	-0.023975
ADAMTS8	0.023960
SCEL	0.023944
MCL1	0.023840
RSRP1	0.023810
PRKX	0.023704
TENM3	-0.023689
RAB7B	-0.023684
FAM105A	0.023670
ACTN1	-0.023638
KCTD14	-0.023624
NOG	-0.023527
PTPN1	0.023512
CSDC2	-0.023502
FSTL3	0.023460
C9orf152	0.023436
NFIA	0.023380
GJC2	-0.023269
TMEM123	0.023228
PLEKHA4	-0.023171
CGN	-0.023022
PRB1	0.023002
CXCL8	0.022986
DHRS3	0.022933
EFHD1	0.022866
SOX9	-0.022834
IGFBP5	-0.022818
FLJ20021	-0.022788
RGS17	0.022777
TNC	-0.022770
ITGB8	0.022585
ST6GALNAC5	-0.022563
ABCC8	0.022526
HOXC13	0.022514
ETNK2	0.022513
PRR11	-0.022459
DCLK1	0.022451
TMEM43	0.022446
GOLGA6L6	-0.022433
NUBPL	-0.022336
PLIN3	0.022323
NOTCH1	-0.022311
ZNF18	0.022296
NPLOC4	-0.022280
FRAT2	0.022237
KCNA1	-0.022209
LPHN2	-0.022137
PHLDB1	-0.022079
MRPL14	-0.022062
FLNC	-0.021954
CARD10	-0.021934
CX3CL1	-0.021912
C15orf52	-0.021858
IGF1R	-0.021796
LIMA1	-0.021790
SNAR-A1	-0.021774
MMP24	-0.021765
SH3RF2	-0.021712
PTPRM	0.021623
SLC39A14	0.021615
KIAA1522	-0.021589
TRIB1	0.021582
IMPA2	0.021580
ZNF223	-0.021572
BOK	-0.021504
KLHL2	0.021493
NBN	0.021368
CFAP58	-0.021357
PPP3R1	0.021294
IL1RAPL1	-0.021273
TUBA3E	0.021260
KCNA5	0.021259
CIC	-0.021251
SH3PXD2A	-0.021244
TRIM49D1	0.021235
KLF15	0.021226
CNIH3	-0.021184
IL2RB	-0.021182
HES6	-0.021132
UST	0.021104
DNAJC22	-0.021101
LAYN	-0.020999
NKD1	0.020999
RNASE12	0.020986
BLACAT1	-0.020962
LIPA	0.020957
FAM65B	0.020952
FOXO3	0.020913
GPER1	0.020890
GDPD5	-0.020882
CARM1	-0.020872
NGF	-0.020868
IFNGR1	0.020859
EEF2K	0.020849
FBXO32	0.020837
FOXS1	-0.020803
NDUFB1	0.020799
CRYBB1	-0.020774
SPANXA2	-0.020719
ZNF786	-0.020653
CHIC2	0.020652
SLC26A2	0.020644
GOLT1B	0.020578
HSPB8	-0.020573
SLC6A3	0.020549
TIMP3	-0.020545
ADORA3	0.020532
GPR1	0.020524
CCBL1	0.020515
VDAC1	0.020507
SEC61A1	-0.020501
SCRG1	0.020458
C17orf70	-0.020451
METTL7A	0.020432
SLC2A3	0.020381
TNFSF9	-0.020319
ABLIM2	0.020251
CFLAR	0.020244
OSBPL5	0.020193
EFHD2	-0.020192
MYL12A	0.020189
ZNF219	-0.020189
TNNC1	-0.020174
SLC29A3	0.020089
GPC2	-0.020084
CCDC86	0.020067
CMTM7	-0.020056
CALM1	0.020051
JKAMP	0.020031
SLC38A4	0.019934
PRR4	0.019910
SP110	0.019891
EIF4A2	0.019857
C11orf48	-0.019842
LHFPL2	0.019838
SLC2A1	-0.019797
SLC25A37	-0.019790
SPRED2	-0.019710
KHDRBS1	0.019704
CSF2	-0.019700
MAOA	0.019626
TF	0.019598
ZNF486	-0.019527
GTF2IP1	0.019520
LONRF1	0.019459
IFI16	0.019443
SEPP1	0.019403
TRIM48	0.019365
MICALL1	-0.019360
GMPR	0.019349
BLOC1S1	-0.019253
KRT81	-0.019222
GLRX	-0.019200
TMEM256	-0.019130
PRR7	-0.019118
FOXM1	-0.019113
LTBR	0.019099
AFAP1L1	0.019092
KCNB1	0.019046
EXT1	-0.019045
ITGA2	-0.019035
PTMA	0.018974
SBDS	0.018957
PTPLA	0.018954
ATAD2	0.018922
CLDND1	0.018906
TMEM2	-0.018897
PLAC8	-0.018884
TMX4	0.018780
NOTCH4	0.018726
DENR	-0.018719
CLIC3	0.018718
NUPR1	-0.018713
PLAGL2	0.018678
ELK1	0.018614
C3orf70	0.018599
MKNK2	0.018532
TYRO3	0.018526
APOLD1	0.018515
S100A4	-0.018496
FGD3	-0.018488
TGFB2	-0.018458
NINJ1	-0.018450
TSPAN3	0.018440
SESN1	0.018408
FOXD1	-0.018405
TRNP1	0.018403
CD109	0.018358
PIGY	0.018313
FNDC3B	0.018298
NFATC1	0.018292
SERINC1	0.018270
ZYX	-0.018266
ITPKC	0.018254
ZNF608	0.018213
MRPS25	-0.018200
CLPSL2	0.018187
FAM46C	-0.018175
ETV6	-0.018163
TOR3A	-0.018147
JAKMIP2	0.018127
CTDSPL	0.018123
SEMA3A	-0.018114
GPRIN1	-0.018100
ALPK2	-0.018080
KIF5C	0.018025
PPTC7	0.017992
ADAMTS9	0.017991
COL15A1	0.017987
ZC3H12C	0.017985
CREB3L2	0.017981
NAPRT	-0.017956
SLIT2	-0.017939
ARL5A	0.017928
KLHDC2	0.017918
BMP1	-0.017909
APOD	0.017907
H2AFX	-0.017900
SAP30	0.017894
RABL6	-0.017872
ELFN2	-0.017855
RPS6KA2	0.017848
DAB2	-0.017822
PLIN2	0.017817
CYP4F22	0.017789
ETS2	0.017775
HTRA1	0.017743
CD55	0.017741
CSRP1	-0.017733
AXL	-0.017701
RN7SK	-0.017676
PRKCH	0.017672
RGL1	0.017660
ADCY7	-0.017609
VASN	-0.017600
SPATS2	-0.017586
FAM198B	-0.017576
GNG11	-0.017555
SERPINF2	0.017532
SLC22A5	0.017530
CBX6	-0.017528
ZBTB38	0.017527
EI24	0.017494
IL1R1	0.017471
ADAM19	-0.017461
GPAM	0.017434
ACTN4	-0.017359
FAM216B	0.017349
DNLZ	-0.017336
PSMB5	-0.017311
TBC1D16	0.017254
ZCCHC24	-0.017236
CHCHD7	0.017235
PFDN1	-0.017218
RFWD3	-0.017201
MXD4	0.017190
OSGIN2	0.017170
PLAU	-0.017137
MARCH7	0.017118
ITGAV	0.017118
PMEPA1	-0.017114
WDR83OS	-0.017112
ARHGEF16	-0.017097
TMEM184B	-0.017093
IQGAP1	0.017082
FAM46B	0.017063
KHDRBS3	0.016994
FADS2	-0.016984
AVPI1	-0.016982
TMEM205	-0.016980
PTK7	-0.016980
SHOC2	0.016951
MAP3K6	0.016938
MAP1LC3B	0.016902
MC1R	-0.016893
SLC2A12	-0.016893
TFPI	0.016882
HAUS2	-0.016875
TLN2	-0.016871
RAB13	-0.016849
FOXN3	0.016801
CATSPER1	-0.016800
SGSM1	0.016760
TUBA3C	0.016722
GIT1	-0.016713
IL7R	-0.016706
KCTD12	0.016676
KIAA1279	0.016654
COL13A1	-0.016621
DDX21	0.016620
LDLR	-0.016599
DCTPP1	-0.016598
KRT75	-0.016569
IRF2BPL	0.016558
GNA13	0.016548
TRIM49D2P	0.016522
CDC5L	0.016501
ARHGAP39	0.016464
UPP1	-0.016460
GPT2	-0.016440
NREP	0.016416
PLA2G4C	-0.016388
RAD54L2	-0.016379
ZMYND8	0.016350
