!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	HPCs
!perturbation	Dexamethasone
!disease	100 nM
!end_metadata
ALPL	0.030505
KCNIP3	0.030245
BIRC3	0.030174
MX1	0.030163
LCN2	-0.030132
SH3GL3	-0.030096
ASNS	0.030092
BAMBI	0.029963
FKBP14	0.029917
MAGT1	0.029905
NTNG1	-0.029887
DCBLD1	0.029697
CDC42EP3	0.029675
LAMA5	-0.029624
MATN2	-0.029533
RIPK4	-0.029473
TMEM132A	-0.029417
SULF2	-0.029321
SPDL1	0.029225
LPP	0.029131
KIFC1	0.029127
TMEM17	0.029119
CEP55	0.029079
PCED1B	-0.029015
ZNF69	0.028938
EID2B	0.028931
PHLDB1	-0.028891
PTPN1	0.028850
IFITM2	0.028829
OSBPL10	0.028729
RPS23	-0.028631
ANXA2	0.028604
CCDC148	-0.028586
FOLR3	-0.028535
DUSP23	0.028487
CCND2	-0.028471
C1orf198	0.028444
IDUA	-0.028436
TPP1	-0.028424
TRNP1	0.028377
TMEM62	0.028374
ACO1	-0.028237
DHCR7	0.028198
IDI1	0.028129
IFIT1	0.028124
DDX60	0.028085
NTPCR	-0.028046
ABCB1	0.028037
ELF3	-0.027984
TMEM178A	-0.027925
XRN1	0.027878
OSTF1	0.027694
STAT4	-0.027587
DDAH1	0.027579
PAX8	-0.027490
COL7A1	-0.027470
ACKR3	-0.027462
KCNJ8	-0.027451
LRRFIP1	0.027436
SCEL	0.027428
TAP1	0.027401
TFPI2	-0.027367
IL6	-0.027252
AURKB	0.027169
CDK5RAP3	-0.027161
CXXC5	-0.027124
SLAMF8	0.027119
ENC1	-0.027096
SH3GLB1	0.027096
NCAPG	0.027073
TRIB1	-0.026956
CLCA2	-0.026947
ETS1	0.026934
IP6K3	0.026922
KBTBD11	0.026882
WDR13	0.026868
TUBB6	0.026856
SORT1	0.026852
PRKAG2	0.026845
SCIN	-0.026816
TYMP	0.026806
MRPS6	-0.026786
ZNF669	0.026781
COL5A2	0.026775
IGFBP5	-0.026698
ALPP	0.026560
DMC1	0.026380
CAB39	-0.026379
TK1	0.026358
CASK	-0.026265
HOOK1	-0.026239
STX11	0.026229
EBP	0.026228
FAM115A	0.026217
LRIG1	-0.026196
GLTSCR2	-0.026176
BCHE	-0.026127
DUSP10	-0.025989
IFI35	0.025805
DPYSL3	0.025796
MOXD1	-0.025782
SFN	0.025778
TEAD2	-0.025688
DPYSL4	-0.025654
PTOV1	-0.025615
GDF5	-0.025608
INO80C	0.025460
HIST1H2BK	-0.025399
SH3BGRL2	-0.025395
KLF4	0.025385
CCRN4L	0.025363
PIM1	-0.025255
ZFP36	0.025233
SHROOM4	0.025191
KIF12	-0.025174
SUSD4	-0.025117
GAS1	0.025066
HELZ2	0.025026
PSTPIP2	0.024982
C4orf26	-0.024943
SLC44A3	-0.024937
CREB1	0.024891
IGF2BP2	0.024834
YPEL3	-0.024818
TMSB15A	-0.024816
NR2F2	-0.024768
DHRS3	-0.024762
DUSP19	0.024719
LITAF	-0.024702
DTX2	-0.024672
H3F3A	-0.024656
CPD	0.024612
EPHX1	-0.024556
HES1	-0.024515
RHOQ	-0.024503
AXIN2	-0.024491
MT1X	0.024404
CHRNA5	0.024240
RARRES2	-0.024217
RNF213	0.024179
GMDS	-0.024004
GDPD1	0.023988
LSAMP	-0.023953
CDK6	0.023911
C1orf186	0.023859
CHST14	-0.023851
DESI1	0.023848
HMGCR	0.023797
MBD4	0.023774
TUBB2A	0.023673
UAP1	0.023597
ID2	-0.023560
ALOX5AP	-0.023522
ATP6V1B2	-0.023512
MFGE8	-0.023466
CREG1	-0.023296
CCNYL1	0.023296
NCOA7	0.023284
RNASEK	-0.023238
AOC4P	0.023224
IFIT3	0.023211
TMEM30A	-0.023205
UBD	-0.023195
SLC22A5	0.023192
FERMT2	0.023155
MTHFD2	0.023128
COL6A1	-0.023118
KYNU	-0.023103
GRAMD3	0.023062
MT1A	0.023058
APOPT1	0.023052
TMEM154	0.023033
NDUFAF2	0.023033
SLC7A5	0.022998
SDC4	-0.022995
LPIN1	0.022975
EFHD1	-0.022972
TSPAN18	-0.022921
HS3ST1	-0.022898
VGF	0.022892
CYP24A1	-0.022874
NREP	-0.022854
SLC1A3	0.022824
ABCC4	0.022804
ADRB2	-0.022795
HYPK	0.022744
TRIP13	0.022729
CDCA5	0.022691
CFB	-0.022679
SOCS1	-0.022675
PVRL3	0.022660
TRAM1	0.022649
CCBE1	0.022611
ELOVL1	0.022597
FAM46B	0.022586
OXTR	-0.022582
DUSP5	0.022554
OGDHL	-0.022522
EVL	-0.022504
BMP4	-0.022503
UBTD1	-0.022501
ALPK2	-0.022482
ABCA1	0.022459
CLCN7	-0.022430
TXNDC12	-0.022406
ANKRD33	-0.022399
SLC16A12	0.022369
DYNC1H1	0.022358
TMEM163	0.022355
IFIT2	0.022349
SGSM2	-0.022242
ISG20	0.022223
TNFRSF19	-0.022202
DDX58	0.022156
ARHGEF2	0.022153
ERAP2	0.022138
MLKL	0.022115
LY96	-0.022091
RAB31	-0.022020
CDV3	0.022006
FCGRT	-0.021950
LAP3	0.021950
PYROXD2	-0.021921
INIP	0.021876
SLC35G2	0.021855
VWCE	-0.021812
PTPLA	0.021804
MT1H	-0.021798
WFS1	-0.021774
GPR1	0.021757
CPED1	0.021643
SLC35E1	0.021631
CDKN2AIPNL	0.021623
RAB32	-0.021589
VEGFC	0.021562
PLLP	-0.021555
IL18	0.021543
IRAK1	0.021530
HSPA12A	-0.021516
ZNF549	0.021508
H2AFY2	-0.021498
NARF	-0.021488
ADA	-0.021469
C1QTNF1	-0.021453
SMG1	0.021442
TICAM2	0.021415
DDX24	-0.021391
SYTL2	-0.021378
TM4SF4	-0.021378
ZSWIM4	-0.021369
EFNB3	-0.021366
ZNF503	-0.021357
TUBA4A	0.021350
SOX9	-0.021338
PARP12	0.021333
LMOD3	0.021323
CCNA2	0.021316
EVA1A	-0.021299
TNFAIP2	-0.021295
SBDS	0.021292
EVPL	0.021250
FOXC2	0.021210
ANTXR2	-0.021207
TUSC1	-0.021125
RAB17	-0.021111
SPARC	-0.021106
GNS	-0.021062
IFI44	0.020999
SEMA3C	-0.020964
GPX4	-0.020924
SRPX	-0.020917
RPL28	-0.020901
TGFA	-0.020854
GPR126	0.020839
TSKU	-0.020807
GNPDA1	-0.020782
MVD	0.020773
VEZF1	-0.020730
EPHB1	-0.020728
MKX	-0.020717
ZNF827	-0.020704
PRC1	0.020700
HMOX1	-0.020699
METTL21A	0.020685
LRRC17	-0.020684
VGLL4	-0.020676
LAYN	-0.020655
SPAG9	0.020616
PXYLP1	-0.020603
NLGN2	-0.020548
SPRY4	0.020543
POLQ	0.020507
SACS	0.020495
XRCC2	0.020481
XAF1	0.020469
STX3	-0.020462
C5orf28	0.020456
BEX4	-0.020450
PVR	0.020441
C10orf32	-0.020437
NFKBIZ	-0.020384
ROCK2	0.020379
TMPRSS2	-0.020370
C3	-0.020317
CDK4	-0.020295
DDIT4	0.020282
SUMF1	-0.020251
SIK1	0.020198
CENPN	0.020197
CLIC1	0.020145
ANXA1	0.020139
ETS2	0.020089
LRPAP1	-0.020079
UBALD1	-0.020057
DIAPH2	0.020057
FADS1	0.020034
DCDC2	-0.019924
ZMIZ1	-0.019922
FAM160B1	0.019915
RIF1	0.019902
CD24	-0.019901
CEBPD	-0.019838
LACTB2	0.019826
