!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	HeLa cell
!perturbation	Dexamethasone
!disease	3 hrs
!end_metadata
SERBP1	-0.024106
ANP32C	0.024065
PEX11G	0.024007
ALDH1B1	0.023971
RRP1	0.023948
RPRM	-0.023909
FGD5P1	0.023903
PCDHB9	0.023902
SIMC1	0.023848
FAHD2B	0.023831
CARD8	0.023831
PANX1	-0.023830
ANKRD27	0.023766
IFIH1	-0.023760
PSMD8	0.023754
HK2	0.023723
CCDC85A	-0.023694
THRAP3	0.023685
CLTC	-0.023663
C1orf162	-0.023644
EPG5	-0.023630
LOC728026	0.023622
ABCG4	0.023582
FAM71E1	-0.023547
C2orf74	0.023531
ARHGAP15	-0.023516
HEBP2	0.023507
MAGT1	0.023500
KIAA0513	-0.023477
ZNF577	0.023462
ICAM5	0.023453
WBP1L	0.023431
ENSA	0.023428
ITPR2	-0.023425
GOLGA4	-0.023393
COPG1	0.023389
GATSL3	0.023348
AEBP1	0.023340
TSPAN7	0.023331
TLK2	-0.023313
FLVCR1	-0.023298
GJA1	-0.023283
FCGR2B	0.023276
RLTPR	0.023188
TOB2	-0.023186
KCNH6	0.023159
ZNF773	0.023158
RGMA	-0.023134
MAP7D1	0.023124
WNT7B	0.023118
ACTA1	-0.023113
ZDHHC14	-0.023058
CD38	0.023036
CCBE1	0.023033
ZCCHC5	0.023031
KCNQ1OT1	-0.023028
AGAP2-AS1	-0.023026
CPLX2	0.023017
CRB1	0.022986
PHLDB3	0.022967
QRFPR	0.022944
TAB3	-0.022913
DDX20	0.022878
TSC22D4	0.022858
NGEF	0.022855
SNORA58	-0.022843
TMEM187	0.022837
MRAS	-0.022809
MME	-0.022791
ZNF684	-0.022783
RAB3GAP2	-0.022783
SLX1B	-0.022746
MIR300	0.022668
PTPN11	-0.022666
REEP6	0.022624
ARL6IP1	0.022619
BUD13	0.022604
SOWAHA	0.022601
SMARCAL1	-0.022585
ZBTB11	-0.022560
ZNF133	-0.022543
ING5	0.022532
PLXNA4	0.022485
CYHR1	-0.022480
IFT81	-0.022468
CCDC144A	-0.022450
CACUL1	0.022431
FCAR	0.022424
ACP2	0.022394
GRPR	-0.022359
ZKSCAN1	0.022349
IGFBP2	0.022331
SFXN3	0.022301
CFAP20	-0.022278
ZNF573	-0.022276
HIST1H3E	-0.022253
ASRGL1	-0.022252
TGDS	-0.022248
RNY3	-0.022247
CUL9	0.022230
CCDC58	0.022228
FAM118A	-0.022217
TUBE1	-0.022212
MST1	0.022210
RSBN1L	-0.022184
ETS1	0.022178
SNORD94	0.022167
ARHGEF9	0.022165
ZNF273	-0.022075
PPIAL4C	0.022074
CACNB1	0.022058
C1orf52	0.022054
CBX8	0.022024
FKBP15	-0.022022
PCDHGA10	0.022009
ZC3HAV1L	0.021992
TP53I11	0.021982
EIF3F	0.021978
GPR126	-0.021955
CINP	0.021943
BEST4	0.021929
TIPARP	-0.021926
JAZF1	0.021905
MOSPD3	0.021905
ECEL1	0.021885
PSKH1	0.021876
SEMA3E	0.021876
DRD4	0.021874
ZNF431	0.021874
RHOU	-0.021856
LYSMD2	-0.021841
SNORA71A	-0.021832
CXCL8	0.021826
CACNA2D2	0.021810
GPR137C	-0.021780
TFR2	0.021763
PEX1	-0.021750
GSTA3	0.021727
SNORA49	0.021689
HOXD8	-0.021687
NOP9	0.021683
SNORA67	0.021650
HIVEP2	-0.021643
STXBP2	0.021642
RANGRF	0.021596
TEF	0.021593
ULK3	0.021579
PTGER4	-0.021563
HRH1	0.021562
KDM8	-0.021554
IFITM1	-0.021533
CAMKK1	0.021531
TRERF1	0.021484
BET1L	0.021482
MAMDC2	-0.021464
UXS1	0.021446
PPP1R9B	0.021444
DAPP1	0.021443
MKS1	0.021424
MAP4K5	-0.021424
SGMS2	-0.021423
RNF219	-0.021415
MARK2	-0.021386
SETD6	-0.021381
MIR1204	-0.021379
SNORD51	0.021369
SLC35D1	-0.021319
PRPF38B	-0.021307
SF3B3	0.021298
DHRS7B	0.021281
LOC100130745	0.021266
PTN	-0.021240
TGS1	-0.021190
MGRN1	0.021184
NRG3	0.021184
GKN2	0.021174
ARHGEF1	0.021172
IFT172	0.021131
SNORD22	-0.021120
PKIB	0.021119
QSOX1	0.021091
IL5RA	0.021083
HEATR3	0.021076
PARP6	0.021060
KLHL26	0.021055
CCDC144B	0.021038
ARHGAP11B	-0.021034
OLIG2	-0.021031
LINC01105	0.020970
METTL2A	0.020970
PSEN1	-0.020965
IRF3	0.020963
NIPA1	-0.020958
GJA5	0.020939
ZNF687	-0.020919
FDX1	-0.020908
IRF4	-0.020907
DGCR8	0.020896
ENOX1	-0.020886
ZNF131	0.020877
ANKRD29	0.020876
ZNF282	0.020874
HSF2	0.020849
REPS1	0.020834
DLX2	0.020833
PLEKHJ1	0.020772
TIAM1	0.020741
NDUFAF1	-0.020730
YTHDC2	-0.020712
C6orf203	-0.020708
HIST1H2AG	0.020678
CCDC43	-0.020671
SNORD60	-0.020645
PBX4	-0.020643
RBM20	0.020626
SEPSECS	0.020624
RNU1-28P	0.020614
HSPBP1	0.020604
ALCAM	0.020589
TMEFF1	-0.020587
C4A	0.020567
BIRC6	-0.020539
FAM229B	0.020513
SLC20A2	-0.020503
CXCL2	-0.020472
MIR25	-0.020461
IL12A	-0.020450
RIOK2	-0.020441
LINC00347	0.020399
ARHGEF37	0.020397
C16orf96	-0.020386
RNU86	0.020378
CLGN	-0.020335
GOLGA6D	-0.020332
AGRN	0.020330
DZIP1L	0.020305
PLCD3	0.020277
CDC25A	0.020265
ATG4C	-0.020252
VEGFC	-0.020239
ZDBF2	-0.020212
STX4	-0.020181
MECP2	0.020162
TOMM70A	0.020161
CCDC15	-0.020141
FAM43B	-0.020137
USP11	0.020117
WNT9A	0.020094
ZC2HC1C	-0.020084
RBM19	0.020076
KIF5C	-0.020073
HARS2	0.020064
CBX4	0.020061
CAMKV	-0.020050
VANGL1	-0.020047
G2E3	-0.020013
BSN	0.019978
FAM167A	-0.019946
COTL1	0.019913
HIF1AN	0.019912
ABCA7	0.019911
LRP6	0.019901
DST	-0.019898
ZNF714	0.019898
CROCCP3	-0.019872
GABARAP	-0.019866
FAM131A	-0.019851
CLCN5	-0.019834
PDE3A	-0.019833
OXR1	-0.019820
KIAA1024	-0.019819
MIR586	0.019806
MAGEF1	0.019795
PTCHD4	0.019792
C2orf76	-0.019751
ANKRD35	-0.019745
FBXO8	0.019744
ESRRG	0.019731
POTEC	0.019731
LINC01391	-0.019706
SPINT1	0.019704
DAPK1	0.019701
HIATL2	0.019693
ZNF20	0.019686
ARNT	-0.019675
CA13	0.019671
TMEM106C	0.019663
ZNF607	0.019659
SMAD2	0.019658
ANKRD36BP1	0.019657
TSPYL1	0.019650
HES4	0.019643
ERRFI1	-0.019635
ZNF222	0.019635
AGPAT9	-0.019635
DRG2	0.019617
GAGE12E	0.019616
NMI	0.019605
GNAI2	0.019596
ARMC1	-0.019596
NOMO3	-0.019586
LRRC37BP1	0.019585
ITCH-IT1	0.019571
LOC202181	-0.019533
ASIC1	0.019531
GLB1L	0.019529
C12orf77	0.019525
CDKN2AIPNL	0.019522
SFXN5	0.019521
MAP2K4	-0.019515
CLEC3B	-0.019498
ZNF594	-0.019488
TMEM106B	-0.019485
TP53	0.019485
RPS8	0.019478
RAB12	-0.019456
CRLS1	-0.019451
PRKCQ	-0.019447
RBMY2FP	0.019430
CCNJ	0.019392
RNA5S9	0.019368
ZNF180	-0.019351
GUK1	0.019339
RNU4-2	-0.019339
AFP	0.019330
RFX1	-0.019304
NUDT10	0.019298
