!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	U2Os cell line
!perturbation	Dexamethasone
!disease	100 nM - 6 hrs
!end_metadata
TGFBR2	0.029833
CXADR	-0.029775
PPM1H	0.029624
ITGA5	0.029506
GADD45B	0.029477
PYGB	0.029402
BNIP3	0.029140
C3orf70	0.028982
EDN2	0.028856
NPTX2	0.028772
JUN	-0.028720
ST6GALNAC5	-0.028588
ZBTB16	0.028456
TBC1D16	0.028453
MRPL14	-0.028316
PTPRM	0.028261
METTL7B	0.028234
FAM65B	0.027790
CCBL1	0.027698
FGD5	-0.027642
IGFBP5	-0.027404
ATP1A1	0.027330
ANGPTL2	-0.027222
IMPA2	0.027189
SLC25A18	0.027183
TRIB1	0.027173
RGS16	-0.027112
FAM198B	-0.027102
ITPR1	0.026988
ABLIM2	0.026958
TIGD2	-0.026797
CLIC3	0.026697
CPA4	-0.026662
TGFB2	-0.026548
ESYT2	0.026527
PTPN1	0.026468
GLRX	-0.026462
NDUFB1	0.026443
CCDC86	0.026438
C9orf152	0.026436
PDXK	0.026346
CX3CL1	-0.026342
ZFP36L2	0.026188
EBF1	-0.026169
DBP	-0.026168
TCF4	-0.026166
NKD1	0.026165
SYNPO2L	-0.026123
ABCC8	0.025940
FGD3	-0.025853
MYEOV	-0.025836
FOS	0.025585
CDO1	0.025577
IFNGR1	0.025550
FLJ20021	-0.025495
EPHA4	-0.025429
ETV6	-0.025398
MYCN	-0.025358
TYRO3	0.025235
ITPKC	0.025154
SCRG1	0.025149
RSRP1	0.025068
CD70	-0.024998
ZCCHC24	-0.024980
DUSP5	-0.024978
DCBLD2	-0.024834
FBXO32	0.024814
NFIL3	0.024808
SEC14L2	0.024733
PRRG1	0.024668
ETNK2	0.024629
FST	0.024620
TSPAN5	0.024567
S100A3	-0.024556
MAP1LC3B	0.024535
KLHL29	0.024523
FAM46C	-0.024458
KLF15	0.024415
FOXS1	-0.024328
IL6ST	0.024274
CYR61	0.024242
CLIP4	-0.024242
BICC1	-0.024233
ACSL1	0.024160
TEAD3	0.024137
EXT1	-0.024025
SAMD4A	0.023975
KCNIP3	0.023958
MAP3K6	0.023894
HOXC13	0.023818
IL1RAPL1	-0.023799
BLACAT1	-0.023792
PDZD8	0.023719
HECTD4	0.023632
EPAS1	0.023588
EVA1A	-0.023554
C11orf96	-0.023442
TSPYL2	0.023425
CNIH3	-0.023363
CLDN1	-0.023359
BLOC1S1	-0.023222
CHST3	0.023096
SLC16A10	-0.023063
SH3RF2	-0.022969
NINJ1	-0.022757
KRTAP13-2	0.022664
TPST2	-0.022656
SLC6A3	0.022646
FAM90A1	0.022618
CMTM7	-0.022555
LEF1	0.022502
S100A2	-0.022479
PLEKHG1	-0.022468
TNFSF4	0.022442
NOG	-0.022415
LHFPL2	0.022374
ARSJ	-0.022306
SYBU	0.022303
ZCCHC6	0.022267
FOXO3	0.022210
ABLIM3	0.022177
WBP1L	0.022151
RAB7B	-0.022133
SP110	0.022110
IL7R	-0.022055
PRR7	-0.022033
ITPKA	0.022024
KLHL4	0.022018
CLDND2	0.021982
PELO	0.021981
PPP1R3C	-0.021972
WFS1	-0.021831
PRICKLE2	0.021817
SLC1A3	0.021808
CABIN1	0.021774
ETS2	0.021749
RAB3IL1	0.021744
FUT4	0.021701
ADAM19	-0.021614
MN1	-0.021581
FAM105A	0.021561
ELL2	0.021507
SERTAD2	-0.021504
CFLAR	0.021492
MYC	0.021476
RAI14	-0.021471
PLCXD1	-0.021450
IQGAP1	0.021267
CYP4F22	0.021232
CXCL14	-0.021231
LDLRAD3	0.021228
LYPD1	-0.021198
GMPR	0.021190
ADCY3	0.021170
WNT5A	0.021158
BCAR3	0.021108
LIMCH1	-0.021084
ITPR3	0.021079
SOX4	-0.021052
SPRED2	-0.021034
PRDX6	0.021002
TFPI	0.020951
WIPI1	0.020871
UBE2E2	0.020869
CALM1	0.020711
SLC9A2	0.020709
ABCA1	-0.020680
PLIN2	0.020520
NSDHL	0.020478
GDF15	-0.020378
KIAA0226L	-0.020374
S100A4	-0.020299
LOC100132831	-0.020238
TSPAN3	0.020213
CCL26	-0.020184
TRIM2	-0.020164
LOC100505715	-0.020147
PPP3CA	-0.020141
GRK5	-0.020067
TUBA3C	0.020063
ZNF608	0.020038
KCTD3	0.020018
COL8A1	-0.019971
SNAR-A1	-0.019962
TGFBR3	0.019938
YPEL2	0.019927
TBX15	0.019917
KLHL2	0.019892
CDKN1B	-0.019874
PGF	0.019860
CMTM8	0.019858
FRAT2	0.019837
MCL1	0.019825
KLF6	0.019820
ZDHHC9	0.019796
SEMA6A	-0.019779
SSFA2	-0.019769
PIEZO1	0.019754
HBEGF	-0.019744
ITGB8	0.019731
INPP4B	-0.019726
STAT3	0.019720
TNFRSF12A	-0.019716
DOCK9	0.019694
ID3	-0.019688
GPR1	0.019652
ZC3H12A	0.019621
ZNF217	0.019531
PDE4B	-0.019500
FAM104A	0.019465
NFIA	0.019423
FGD4	0.019389
PCSK5	0.019282
KRT17	-0.019277
AKAP13	0.019250
COLEC12	-0.019220
TMEM43	0.019167
PIAS3	0.019164
PRKCH	0.019162
SNORD3A	-0.019142
SMCO4	0.019133
CCND1	-0.019131
GBP2	-0.019094
RAB11FIP4	-0.018971
METTL7A	0.018967
CALD1	0.018954
MYO9A	0.018932
PSMB10	-0.018912
DHRS3	0.018909
ITPRIP	0.018904
MOB3A	0.018891
OSBPL5	0.018888
LONRF1	0.018854
F2RL1	0.018759
PMEPA1	-0.018747
FCHO2	0.018738
SLC12A8	0.018735
MIAT	-0.018726
NOTCH4	0.018645
NYNRIN	0.018641
FOXN3	0.018616
CSRP2	-0.018578
NR3C2	-0.018539
PLIN3	0.018476
SEC14L1	0.018471
ARHGAP39	0.018470
LRIG1	-0.018421
RPS6KA2	0.018406
KCNB1	0.018402
PHLPP2	0.018387
NRTN	0.018350
ROR1	-0.018318
TBC1D4	-0.018298
CDK5R1	0.018280
EMP1	-0.018261
LMNA	0.018257
DYNC1I1	-0.018250
BRINP1	-0.018239
MYO10	-0.018228
SLN	0.018222
DACT1	0.018210
RNU6-15P	-0.018201
TNS3	0.018183
NDUFB7	-0.018177
CASC15	-0.018173
BCL3	-0.018102
DOK5	-0.018096
ASAP1	0.018082
OXSR1	0.018075
CBLN4	-0.018069
SH3TC1	0.018053
NTF3	-0.018045
UBE2H	-0.018036
S100P	0.018030
MMP7	0.017988
BTNL9	0.017969
STAMBPL1	-0.017954
WNT7A	-0.017813
CLPSL2	0.017784
PTPRJ	0.017775
TANC2	0.017763
ELFN2	-0.017687
GPR56	-0.017682
SOX9	-0.017649
IFFO2	-0.017637
SAP30	0.017608
COTL1	-0.017604
TMEM243	0.017553
PPP1R18	-0.017489
PER1	0.017476
CST2	0.017466
DDX17	0.017455
CSPG4	0.017450
HSPB8	-0.017415
ANXA1	-0.017388
SCEL	0.017386
HIST1H2AC	-0.017382
PPTC7	0.017353
DNAJB9	0.017272
KCNA1	-0.017258
GPAM	0.017241
OASL	-0.017236
FAM46B	0.017235
MRPS6	-0.017142
ITGA1	0.017089
ALPK2	-0.017073
SNORD3C	-0.017049
SGPL1	0.017039
CD109	0.017025
MAP1B	0.017002
SNORD3D	-0.016961
IL1R1	0.016960
FNDC3B	0.016956
NFE2L1	0.016920
RAB30	-0.016919
AAED1	0.016878
RHOJ	-0.016874
SLC2A1	-0.016861
DOCK11	0.016857
TMEM200A	-0.016853
ZNF281	0.016850
FAM167A	0.016839
PRRT3	-0.016821
RNF115	0.016797
CHI3L1	-0.016775
C5orf51	0.016759
SSH1	0.016754
CYP26B1	0.016728
ROR2	0.016726
PDLIM4	0.016721
RAB5A	0.016708
RAPGEF2	0.016708
ACN9	-0.016677
KCTD14	-0.016670
PHLDA1	-0.016667
NR2F2	-0.016636
HIST2H4A	-0.016624
SOX18	-0.016595
KIAA1147	-0.016520
GLS	-0.016487
HCFC1R1	-0.016467
UBASH3B	-0.016448
JUNB	0.016446
MMP15	0.016442
EEF2K	0.016426
CSMD2	-0.016411
DNAJC22	-0.016372
