tissue	disease	cell_line	pert_dose	pert_name	pert_time	pert_type	data_level	creation_time	persistent_id	batch
kidney		HA1E	10 uM	dexamethasone	24 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HA1E_24H_O03_dexamethasone_10uM.tsv.gz	CPC006_HA1E_24H
intestine	colon adenocarcinoma	HT29	10 uM	dexamethasone	24 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HT29_24H_F09_dexamethasone_10uM.tsv.gz	CPC006_HT29_24H
adipose tissue		ASC	10 uM	dexamethasone	24 h	Chemical	5	2021-05-15	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC015_ASC_24H_C04_dexamethasone_10uM.tsv.gz	CPC015_ASC_24H
intestine	colon carcinoma	HCT116	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HCT116_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_HCT116_6H
liver	carcinoma	HEPG2	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HEPG2_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_HEPG2_6H
large intestine	colon carcinoma	HT115	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HT115_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_HT115_6H
lung	lung cancer	HCC515	10 uM	dexamethasone	24 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HCC515_24H_O03_dexamethasone_10uM.tsv.gz	CPC006_HCC515_24H
intestine	colon adenocarcinoma	HT29	10 uM	dexamethasone	6 h	Chemical	5	2021-05-15	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC015_HT29_6H_C04_dexamethasone_10uM.tsv.gz	CPC015_HT29_6H
lung	lung cancer	HCC15	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HCC15_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_HCC15_6H
intestine	colon adenocarcinoma	LOVO	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_LOVO_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_LOVO_6H
lung	lung cancer	HCC515	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HCC515_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_HCC515_6H
lung	lung cancer	NCIH596	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_NCIH596_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_NCIH596_6H
lung	lung cancer	NCIH596	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_NCIH596_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_NCIH596_6H
liver	carcinoma	HEPG2	10 uM	dexamethasone	6 h	Chemical	5	2021-05-15	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC017_HEPG2_6H_M04_dexamethasone_10uM.tsv.gz	CPC017_HEPG2_6H
breast	breast adenocarcinoma	MCF7	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_MCF7_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_MCF7_6H
breast	breast adenocarcinoma	MCF7	10 uM	dexamethasone	24 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_MCF7_24H_F09_dexamethasone_10uM.tsv.gz	CPC006_MCF7_24H
lung	lung cancer	NCIH1836	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_NCIH1836_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_NCIH1836_6H
intestine	colon carcinoma	MDST8	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_MDST8_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_MDST8_6H
lung	lung cancer	NCIH2073	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_NCIH2073_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_NCIH2073_6H
blood	leukemia	NOMO1	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_NOMO1_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_NOMO1_6H
blood	leukemia	PL21	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_PL21_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_PL21_6H
lung	lung cancer	NCIH1694	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_NCIH1694_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_NCIH1694_6H
liver		PHH	10 uM	dexamethasone	24 h	Chemical	5	2021-05-15	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC015_PHH_24H_C04_dexamethasone_10uM.tsv.gz	CPC015_PHH_24H
large intestine	colon adenocarcinoma	NCIH508	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_NCIH508_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_NCIH508_6H
lung	lung cancer	NCIH1836	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_NCIH1836_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_NCIH1836_6H
breast	breast adenocarcinoma	MCF7	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_MCF7_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_MCF7_6H
lung	lung cancer	NCIH1694	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_NCIH1694_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_NCIH1694_6H
prostate gland	prostate adenocarcinoma	VCAP	10 uM	dexamethasone	24 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC009_VCAP_24H_I24_dexamethasone_10uM.tsv.gz	CPC009_VCAP_24H
prostate gland	prostate adenocarcinoma	PC3	10 uM	dexamethasone	24 h	Chemical	5	2021-05-10	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC009_PC3_24H_I24_dexamethasone_10uM.tsv.gz	CPC009_PC3_24H
intestine	colon adenocarcinoma	RKO	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_RKO_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_RKO_6H
prostate gland	prostate adenocarcinoma	PC3	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_PC3_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_PC3_6H
intestine	colon adenocarcinoma	RKO	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_RKO_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_RKO_6H
blood	leukemia	NOMO1	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_NOMO1_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_NOMO1_6H
prostate gland	prostate adenocarcinoma	PC3	10 uM	dexamethasone	24 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_PC3_24H_F09_dexamethasone_10uM.tsv.gz	CPC006_PC3_24H
blood	leukemia	PL21	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_PL21_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_PL21_6H
breast	breast adenocarcinoma	MCF7	10 uM	dexamethasone	6 h	Chemical	5	2021-05-15	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC015_MCF7_6H_C04_dexamethasone_10uM.tsv.gz	CPC015_MCF7_6H
endometrium	endometrial cancer	JHUEM2	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_JHUEM2_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_JHUEM2_6H
large intestine	colon adenocarcinoma	NCIH508	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_NCIH508_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_NCIH508_6H
prostate gland	prostate adenocarcinoma	PC3	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_PC3_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_PC3_6H
ovary	ovarian carcinoma	OV7	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_OV7_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_OV7_6H
intestine	colon adenocarcinoma	LOVO	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_LOVO_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_LOVO_6H
intestine	colon adenocarcinoma	HT29	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HT29_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_HT29_6H
prostate gland	prostate adenocarcinoma	PC3	10 uM	dexamethasone	24 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_PC3_24H_O03_dexamethasone_10uM.tsv.gz	CPC006_PC3_24H
endometrium	endometrial cancer	JHUEM2	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_JHUEM2_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_JHUEM2_6H
lung	lung cancer	NCIH2073	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_NCIH2073_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_NCIH2073_6H
ovary	ovarian carcinoma	OV7	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_OV7_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_OV7_6H
connective tissue		NPC	10 uM	dexamethasone	24 h	Chemical	5	2021-05-15	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC015_NPC_24H_C04_dexamethasone_10uM.tsv.gz	CPC015_NPC_24H
intestine	colon carcinoma	MDST8	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_MDST8_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_MDST8_6H
breast	breast adenocarcinoma	MCF7	10 uM	dexamethasone	6 h	Chemical	5	2021-05-10	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC009_MCF7_6H_I24_dexamethasone_10uM.tsv.gz	CPC009_MCF7_6H
breast	breast adenocarcinoma	MCF7	10 uM	dexamethasone	24 h	Chemical	5	2021-05-10	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC009_MCF7_24H_I24_dexamethasone_10uM.tsv.gz	CPC009_MCF7_24H
adipose tissue		ASC	10 uM	dexamethasone	24 h	Chemical	5	2021-05-15	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC017_ASC_24H_M04_dexamethasone_10uM.tsv.gz	CPC017_ASC_24H
lung	lung cancer	A549	10 uM	dexamethasone	6 h	Chemical	5	2021-05-15	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC017_A549_6H_M04_dexamethasone_10uM.tsv.gz	CPC017_A549_6H
breast	breast adenocarcinoma	MCF7	10 uM	dexamethasone	6 h	Chemical	5	2021-05-07	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPD001_MCF7_6H_I22_dexamethasone_10uM.tsv.gz	CPD001_MCF7_6H
lung	lung cancer	A549	10 uM	dexamethasone	24 h	Chemical	5	2021-05-15	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC017_A549_24H_M04_dexamethasone_10uM.tsv.gz	CPC017_A549_24H
intestine	colon adenocarcinoma	HT29	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC020_HT29_6H_N11_dexamethasone_10uM.tsv.gz	CPC020_HT29_6H
intestine	colon adenocarcinoma	HT29	10 uM	dexamethasone	6 h	Chemical	5	2021-05-15	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC017_HT29_6H_M04_dexamethasone_10uM.tsv.gz	CPC017_HT29_6H
breast	breast adenocarcinoma	MCF7	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC020_MCF7_6H_N11_dexamethasone_10uM.tsv.gz	CPC020_MCF7_6H
breast	breast adenocarcinoma	MCF7	10 uM	dexamethasone	24 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC020_MCF7_24H_N11_dexamethasone_10uM.tsv.gz	CPC020_MCF7_24H
prostate gland	prostate adenocarcinoma	VCAP	10 uM	dexamethasone	24 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC020_VCAP_24H_N11_dexamethasone_10uM.tsv.gz	CPC020_VCAP_24H
breast	breast adenocarcinoma	MCF7	10 uM	dexamethasone	6 h	Chemical	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPD001_MCF7_6H_I23_dexamethasone_10uM.tsv.gz	CPD001_MCF7_6H
prostate gland	prostate adenocarcinoma	PC3	10 uM	dexamethasone	24 h	Chemical	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPD001_PC3_24H_I23_dexamethasone_10uM.tsv.gz	CPD001_PC3_24H
ovary	ovarian carcinoma	RMGI	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_RMGI_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_RMGI_6H
prostate gland	prostate adenocarcinoma	PC3	10 uM	dexamethasone	24 h	Chemical	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPD001_PC3_24H_I22_dexamethasone_10uM.tsv.gz	CPD001_PC3_24H
prostate gland	prostate adenocarcinoma	VCAP	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC020_VCAP_6H_N11_dexamethasone_10uM.tsv.gz	CPC020_VCAP_6H
prostate gland	prostate adenocarcinoma	PC3	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC020_PC3_6H_N11_dexamethasone_10uM.tsv.gz	CPC020_PC3_6H
breast	breast adenocarcinoma	MCF7	10 uM	dexamethasone	24 h	Chemical	5	2021-05-07	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPD001_MCF7_24H_I22_dexamethasone_10uM.tsv.gz	CPD001_MCF7_24H
kidney		HA1E	20 uM	dexamethasone	24 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CRCGN004_HA1E_24H_G18_dexamethasone_20uM.tsv.gz	CRCGN004_HA1E_24H
prostate gland	prostate adenocarcinoma	PC3	10 uM	dexamethasone	24 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC020_PC3_24H_N11_dexamethasone_10uM.tsv.gz	CPC020_PC3_24H
breast	breast adenocarcinoma	MCF7	10 uM	dexamethasone	24 h	Chemical	5	2021-05-07	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPD001_MCF7_24H_I23_dexamethasone_10uM.tsv.gz	CPD001_MCF7_24H
kidney		HA1E	20 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CRCGN001_HA1E_6H_G18_dexamethasone_20uM.tsv.gz	CRCGN001_HA1E_6H
kidney		HA1E	20 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CRCGN004_HA1E_6H_G18_dexamethasone_20uM.tsv.gz	CRCGN004_HA1E_6H
breast	breast adenocarcinoma	MCF7	20 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CRCGN004_MCF7_6H_G18_dexamethasone_20uM.tsv.gz	CRCGN004_MCF7_6H
prostate gland	prostate adenocarcinoma	PC3	20 uM	dexamethasone	24 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CRCGN004_PC3_24H_G18_dexamethasone_20uM.tsv.gz	CRCGN004_PC3_24H
prostate gland	prostate adenocarcinoma	PC3	20 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CRCGN004_PC3_6H_G18_dexamethasone_20uM.tsv.gz	CRCGN004_PC3_6H
breast		HMELZ	20 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CRCGN004_HMELZ_6H_G18_dexamethasone_20uM.tsv.gz	CRCGN004_HMELZ_6H
breast		HMELZ	20 uM	dexamethasone	24 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CRCGN004_HMELZ_24H_G18_dexamethasone_20uM.tsv.gz	CRCGN004_HMELZ_24H
kidney		HA1E	20 uM	dexamethasone	24 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CRCGN001_HA1E_24H_G18_dexamethasone_20uM.tsv.gz	CRCGN001_HA1E_24H
breast	breast adenocarcinoma	MCF7	10 uM	dexamethasone	24 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_MCF7_24H_O03_dexamethasone_10uM.tsv.gz	CPC006_MCF7_24H
kidney		HPTEC	3.33 uM	dexamethasone	6 h	Chemical	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_KTOX002_HPTEC_6H_C11_dexamethasone_3.33uM.tsv.gz	KTOX002_HPTEC_6H
kidney		HPTEC	100 uM	dexamethasone	6 h	Chemical	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_KTOX002_HPTEC_6H_C05_dexamethasone_100uM.tsv.gz	KTOX002_HPTEC_6H
kidney		HPTEC	320 uM	dexamethasone	6 h	Chemical	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_KTOX002_HPTEC_6H_C03_dexamethasone_320uM.tsv.gz	KTOX002_HPTEC_6H
		MCLF054CN	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR032_MCLF054CN_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR032_MCLF054CN_6H
kidney		HPTEC	1000 uM	dexamethasone	6 h	Chemical	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_KTOX002_HPTEC_6H_C01_dexamethasone_1000uM.tsv.gz	KTOX002_HPTEC_6H
kidney		HPTEC	10 uM	dexamethasone	6 h	Chemical	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_KTOX002_HPTEC_6H_C09_dexamethasone_10uM.tsv.gz	KTOX002_HPTEC_6H
kidney		HPTEC	30 uM	dexamethasone	6 h	Chemical	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_KTOX002_HPTEC_6H_C07_dexamethasone_30uM.tsv.gz	KTOX002_HPTEC_6H
