!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Quadriceps (KLF15 KO)
!perturbation	Dexamethasone
!disease	2 mg/kg
!end_metadata
PPP1R13B	0.026530
DOK4	-0.026521
ST6GALNAC3	-0.026492
TSPAN14	0.026449
VWCE	0.026353
LGALS9B	-0.026328
GSTA3	0.026323
MYCT1	-0.026274
GBP6	-0.026270
ACVR2B	-0.026251
LRRC8A	0.026249
TSPAN2	-0.026246
LHFPL2	-0.026149
GLMN	0.026134
GPR146	0.026024
USP3	0.026019
LRRC55	-0.026007
SPOCK2	0.026003
LGALS12	-0.025865
ENC1	0.025857
FSCN1	-0.025850
SLC16A9	0.025768
DGKZ	-0.025742
SHROOM1	0.025692
SLC10A6	0.025590
ADAMTS9	0.025561
MMRN2	-0.025548
SERTAD4	-0.025515
FSTL1	-0.025486
CNKSR3	0.025479
ASIC4	0.025478
GREM2	-0.025473
CCND2	-0.025450
APLNR	-0.025423
TIRAP	0.025368
FARP1	0.025346
CFH	0.025324
IL6R	0.025230
CCDC71L	0.025209
ANGPTL2	-0.025170
SCGB1A1	0.025167
GRTP1	-0.025121
KEL	0.025070
SLAMF9	-0.024976
ARL4D	0.024975
TTK	-0.024958
PF4	-0.024887
SOX7	-0.024880
SLC25A10	-0.024854
MS4A6A	0.024853
XPNPEP2	-0.024846
SEPT9	0.024834
ZMYND15	-0.024814
SLC29A2	-0.024783
AKAP12	-0.024772
TNK2	-0.024733
VWA1	-0.024733
MTHFD2	0.024712
STON1	-0.024657
VASP	-0.024647
PLCL1	0.024599
TAP1	-0.024598
BCL6B	-0.024579
ANPEP	-0.024571
FCGR1A	-0.024525
PLXDC1	-0.024509
TNFRSF19	-0.024485
RCL1	-0.024478
GLUL	0.024465
PDGFA	-0.024403
M1AP	0.024383
MPO	0.024356
FRRS1	0.024295
ZXDC	0.024252
KLHL2	0.024245
THY1	-0.024243
TLR7	0.024205
LYVE1	0.024178
TLE1	0.024102
LTF	0.024013
NMB	0.023959
RASSF9	-0.023957
MRGPRF	-0.023936
MPG	0.023911
KLHL38	0.023870
IRGM	-0.023846
SLC7A10	-0.023810
TAL2	0.023742
IL17D	-0.023728
CUBN	-0.023712
KBTBD13	-0.023682
PAMR1	-0.023663
FSCN2	0.023574
SH3TC2	-0.023571
PTPN11	0.023553
C5	0.023532
GSTA5	-0.023522
IBSP	0.023495
PRRG3	0.023464
EMILIN2	-0.023429
HLA-DRB5	-0.023376
BMP8A	0.023337
GIMAP4	-0.023329
EVA1C	0.023324
MFNG	-0.023298
COL15A1	-0.023292
ELK3	-0.023263
CSAD	0.023226
EPS8L1	-0.023185
ADAMTSL3	-0.023160
GNMT	0.023147
CKB	-0.023123
CISH	0.023102
STK24	0.023012
HPGD	0.022999
PLCH2	0.022998
XAF1	-0.022989
CCDC38	-0.022977
KIF4A	0.022961
GCK	0.022935
GLB1L2	0.022928
FAM160A1	0.022920
FAM114A1	-0.022912
CEP85L	0.022876
ARHGEF3	0.022834
HSPA2	0.022832
ZNF623	0.022794
GOLM1	0.022780
LRRC16A	0.022757
LIN7B	-0.022712
SYDE2	0.022707
GPRC5C	-0.022696
AIF1L	-0.022674
OAF	-0.022657
PFKFB3	-0.022516
ASAP3	-0.022494
ARHGAP18	-0.022483
IFIT3	-0.022428
SLC12A7	-0.022424
GXYLT2	-0.022380
CHST7	-0.022354
PELI1	0.022330
PLTP	-0.022324
GPLD1	0.022296
PPP1R27	-0.022245
LGI4	-0.022242
CTSG	0.022241
FRAT1	0.022233
C1QTNF1	-0.022228
SEC61B	0.022227
ALDH3B1	-0.022224
SLCO3A1	0.022216
ZFAND4	0.022200
CDK5R2	0.022152
C12orf5	-0.022122
TG	0.022120
TMEM88B	-0.022104
TCF7L1	0.022092
ABRA	0.022090
GALNT12	-0.022084
RARRES1	-0.022073
MSC	0.022054
CA8	-0.022041
CPNE6	0.022030
RBP1	-0.022023
PDE1A	0.022021
PTPLAD2	-0.021969
WDR86	-0.021965
USP54	0.021962
NAPEPLD	0.021941
BCL6	-0.021892
IRF7	-0.021854
TM4SF4	0.021845
TUSC5	-0.021841
TIPARP	0.021827
TXNIP	0.021808
ARSI	-0.021778
IL1R1	0.021748
KRT19	-0.021691
SMTN	-0.021629
HRH1	-0.021621
FGF18	-0.021587
MICALL2	-0.021573
COL27A1	-0.021552
GEM	0.021549
IFI44	-0.021533
GPHB5	0.021507
SERPINB9	-0.021423
MYADM	-0.021414
DOK7	0.021382
TAP2	-0.021368
CC2D2A	-0.021347
DENND2C	-0.021316
PTGES	-0.021314
TBX21	-0.021237
PPAPDC3	-0.021232
SMAD5	0.021227
SCN2B	0.021220
CLEC7A	-0.021203
CBFA2T3	-0.021188
SLC6A2	-0.021183
TMEM176A	-0.021141
NRP1	-0.021130
EIF4EBP1	0.021127
LUM	-0.021072
ANKRD9	0.021046
AQPEP	0.021035
TPST1	-0.021000
ACTR6	0.020978
LGALS3	0.020973
CD93	-0.020951
CPA5	0.020944
PEA15	-0.020943
RIN2	0.020916
NRTN	0.020910
FAM212B	-0.020900
GDF1	-0.020893
LRRC17	-0.020881
CTSE	0.020844
GRIA3	0.020839
TRIM10	0.020829
ACTC1	-0.020794
HLA-DMB	-0.020785
SLC8A3	-0.020738
ADCY4	-0.020731
DAPK1	0.020714
CLIC6	0.020706
STAT2	-0.020701
PTPLB	0.020698
UNC5B	-0.020658
EMILIN1	-0.020639
MYOC	-0.020629
HTR1D	0.020628
MMP8	0.020609
NECAB3	-0.020591
S100A9	0.020591
SH3RF2	-0.020580
FAM117B	0.020551
DLGAP5	0.020533
FAM102A	-0.020524
GPR1	0.020513
NOXRED1	-0.020511
INSC	-0.020506
SLC25A30	0.020503
CRHR2	-0.020431
C20orf27	-0.020400
FAM160B1	0.020397
USP18	0.020396
SLC16A2	-0.020376
ACSL5	-0.020363
AVIL	-0.020358
KRT7	0.020337
HDAC4	-0.020336
TBL1XR1	0.020333
CSGALNACT1	-0.020325
PPP1R14A	-0.020281
PROCR	0.020214
MBD1	0.020209
ESR2	-0.020149
ACER2	0.020117
SOD3	-0.020102
HEPH	0.020101
WDFY4	-0.020052
PRKCA	0.020039
PCDH20	0.020020
TESC	-0.020003
LY6G6D	0.019987
ATP1A1	0.019956
P2RY2	-0.019941
FAM212A	-0.019844
TRPV4	0.019835
TMEM25	-0.019833
NRIP3	0.019827
PHF11	-0.019821
TMEM120A	-0.019799
SCTR	0.019794
CMPK2	-0.019788
ITGB4	-0.019786
ACTR3B	0.019767
PNPLA3	0.019731
FAM53B	-0.019712
TIE1	-0.019652
HMGB2	0.019634
ATP6V1H	0.019628
HIPK1	0.019619
FBXO32	0.019607
SLC2A12	-0.019587
WLS	0.019573
TNFSF10	-0.019568
