!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Quadriceps
!perturbation	Dexamethasone
!disease	2 mg/kg
!end_metadata
NNAT	-0.032340
TMEM37	0.032144
GSTA3	0.032032
DBP	-0.031952
PPP1R13B	0.031809
MSC	0.031715
EPPIN	0.031691
GBP2	-0.031681
SPP1	0.031660
SLC25A22	0.031656
ADAMTSL2	0.031641
SMOX	-0.031587
HLA-DRB5	-0.031349
IL6R	0.031080
CIDEA	0.031046
C3orf18	-0.031012
FIBIN	0.030995
ZFAND4	0.030880
GDF1	-0.030859
CDKAL1	0.030812
GRAMD1B	0.030744
SCRG1	0.030698
SLC37A1	0.030687
TNNC1	0.030666
TLE4	0.030623
CNKSR3	0.030615
APOH	0.030568
GLB1L2	0.030550
TES	0.030525
SLC4A7	0.030351
FGF18	-0.030309
TGIF1	0.030213
C1orf172	0.030142
IL17D	-0.030126
ACOT2	0.030034
RTP4	-0.030009
CD74	-0.029981
SLAMF9	-0.029966
DIO2	0.029812
MFSD2B	0.029559
FRMPD1	0.029416
LY86	-0.029108
HSPB7	0.029059
CLEC3B	-0.029052
PREX1	-0.029045
LRRC58	0.029042
MYO5A	0.029003
TGM1	0.028941
PRKCD	0.028853
TNFSF10	-0.028835
RNF169	0.028810
ARRDC3	0.028671
CLEC4C	-0.028653
FSTL1	-0.028518
CCND1	-0.028512
LUM	-0.028491
FOLR2	-0.028421
LDLRAD3	0.028408
PCOLCE	-0.028408
CEBPD	0.028393
GPRC5C	-0.028332
FAM179A	0.028241
ANPEP	-0.028075
CAMKV	-0.028019
SCARA3	-0.027885
DDIT4	0.027870
INMT	0.027846
LGI2	-0.027756
ATP12A	-0.027734
CHI3L1	0.027712
NHSL2	0.027689
BACH2	0.027683
RHBG	0.027659
SORBS3	0.027613
RHOB	0.027555
CXXC5	-0.027444
ARID5A	0.027397
CA14	0.027383
AMOTL2	0.027376
LARS2	-0.027353
ALPL	-0.027296
KERA	-0.027190
LANCL3	0.027090
ENOX2	0.027075
ZNF189	0.026900
LTF	0.026858
EMILIN2	-0.026725
CLEC10A	-0.026716
IQCJ	0.026710
SP110	-0.026701
MYOZ2	0.026631
GBP5	-0.026590
TACC2	0.026584
SFRP2	-0.026424
ABCA1	0.026412
DPYSL3	-0.026282
WISP2	-0.026245
PPARGC1B	-0.026241
FCGR1A	-0.026196
TRIM10	0.026057
GDAP1	-0.026012
CAMP	0.025982
MC4R	-0.025961
EIF4EBP1	0.025947
KLF15	0.025936
CSGALNACT1	-0.025714
TMEM252	0.025690
PLIN4	0.025659
CHRNA2	0.025653
PDGFD	0.025626
CROCC	-0.025620
SLC15A2	-0.025612
THY1	-0.025607
ACTG2	-0.025566
SERPINA3	0.025558
ZBP1	-0.025502
LRRC38	-0.025442
DOK2	-0.025430
C2orf70	-0.025422
SSPO	0.025384
HIST1H4B	-0.025384
GPR37L1	-0.025335
CYP1B1	0.025307
SHROOM1	0.025305
FGD2	-0.025289
EMP3	-0.025281
AMPD2	-0.025274
GRHL1	0.025214
PAMR1	-0.025196
LOXL2	-0.025192
PHYHD1	0.025183
CLDN9	-0.025086
ACSS1	0.025032
ALDH1L1	0.025002
SMIM5	0.024879
GREM2	-0.024747
TMEM119	-0.024726
TNRC18	-0.024700
SOCS3	-0.024574
CCL21	-0.024495
CACNG8	-0.024492
JUP	0.024376
DGAT2	0.024374
KRT7	0.024328
RNF208	-0.024304
GPHA2	-0.024265
MPO	0.024177
AURKA	-0.024156
AMICA1	0.024151
CPEB1	-0.024125
AVPR1B	-0.024026
OR5T3	-0.024011
HTRA4	-0.024006
IL33	-0.023996
MMP8	0.023965
EGLN3	0.023915
TPST2	0.023878
CEBPB	0.023873
SMPD3	-0.023872
ACTC1	-0.023861
VN1R4	-0.023842
LPAR5	-0.023821
GPR161	-0.023811
PPP1R3F	0.023803
C1QC	-0.023759
EMP1	-0.023749
WDR64	0.023734
WASF1	-0.023721
PCDH20	0.023659
EDN1	0.023627
PANK1	0.023551
IGSF21	0.023549
GPRC5D	-0.023547
IL3RA	-0.023402
BTRC	0.023367
BDH1	0.023357
STMN4	-0.023354
FAH	0.023342
ZMYND15	-0.023330
TAC3	-0.023295
ACER2	0.023263
SCTR	0.023169
FBLN7	-0.023118
GCK	0.023107
SOX9	0.023039
SLC38A3	0.023036
BGLAP	0.023010
CIITA	-0.022967
ZFYVE21	0.022930
C10orf11	0.022891
LRRC17	-0.022890
NOTCH4	0.022866
GPR146	0.022851
DDIT4L	-0.022846
BLOC1S3	-0.022829
PAQR7	-0.022703
DUSP10	-0.022669
METTL21C	-0.022662
NHS	-0.022651
DUSP3	-0.022648
PIK3CD	-0.022629
NAPEPLD	0.022592
MKL1	-0.022591
GRTP1	-0.022497
SH2D7	-0.022462
WNT3A	-0.022449
KDELR3	-0.022389
MYL12B	0.022387
HSPA2	0.022379
IGFBP5	-0.022372
INCA1	0.022371
GXYLT2	-0.022354
C12orf65	-0.022328
KCNJ12	0.022304
PELI1	0.022291
SLC7A2	0.022282
SAMD5	-0.022183
IFIT3	-0.022129
STK24	0.022117
FSCN2	0.022075
USP3	0.022054
MLLT3	-0.022044
WDR90	0.022017
HLA-DMA	-0.022011
ANKRD9	0.021984
PIGZ	-0.021983
TCP11L2	0.021967
TAL2	0.021955
EPHX3	-0.021948
IRS1	-0.021912
LRIG1	0.021892
IRF2BP2	0.021885
CD274	-0.021861
MAP2K3	0.021850
SYN2	0.021838
C20orf195	-0.021829
FAM131B	0.021823
CSRP3	0.021692
GBP7	-0.021669
ARNTL	0.021654
IDH1	0.021618
B3GNT9	-0.021605
SERPINB4	0.021600
FBXO32	0.021590
TAAR2	-0.021584
JUN	0.021579
GNG11	-0.021498
MS4A7	-0.021480
ABHD6	0.021466
PI16	-0.021445
EHHADH	0.021436
RAD51AP2	0.021406
DHCR24	-0.021395
OAF	-0.021349
TSPAN14	0.021293
TAF7L	0.021269
MED29	-0.021251
C2orf40	-0.021251
SOBP	-0.021210
ATP6V1H	0.021203
TANGO2	0.021186
LOXL1	-0.021092
SYNJ2	0.021063
PLCL1	0.021061
FRRS1	0.021041
MME	0.021040
IFIT1B	-0.021038
SHB	0.021035
IL1R2	0.021030
XDH	0.021013
FLT3LG	-0.020937
ADAMTS9	0.020929
AQPEP	0.020890
TBC1D16	-0.020865
ZNF623	0.020855
INSM2	-0.020852
CXCL10	-0.020850
PLCD4	-0.020842
ARHGEF3	0.020835
MMP23B	-0.020829
WDFY4	-0.020803
ZSCAN2	0.020790
MTMR1	0.020787
EPB41L5	0.020781
CISH	-0.020773
HLA-DMB	-0.020731
SCN3B	0.020729
KRTDAP	-0.020691
ICAM2	-0.020626
EVI2A	-0.020599
TYROBP	-0.020582
MRAS	0.020576
SEPT9	0.020492
FAM114A1	-0.020482
KIAA0408	-0.020473
PRKAG3	-0.020431
MMP3	-0.020429
KIAA1211L	0.020412
MAMSTR	-0.020389
SCN2B	0.020366
ZNF503	0.020346
CSAD	0.020329
LEP	0.020323
SAP30	0.020310
FBXW7	-0.020283
EFEMP2	-0.020238
SOX13	0.020197
IGF1	-0.020191
INPP5J	-0.020184
HDAC9	-0.020173
MMRN2	-0.020172
PNPLA3	0.020163
RCN3	-0.020132
PCDH1	-0.020127
NRSN1	-0.020115
HR	0.020061
VEGFC	-0.020046
HAPLN4	-0.020038
CUEDC1	-0.020035
SMCR8	0.020030
SLC13A4	0.020010
SSFA2	0.019998
CPXM1	-0.019972
AMIGO3	-0.019957
CTDSPL	0.019931
GINS1	0.019921
PARVG	0.019912
SPOCK2	0.019898
KLHL2	0.019881
TUBA1A	-0.019874
MAP3K8	0.019851
NXPE2	0.019845
ASB11	0.019835
ZXDC	0.019792
PLCH2	0.019779
TIMP2	-0.019747
AKAP12	-0.019731
DNM1	-0.019725
MYL3	0.019720
GNGT2	0.019691
TPST1	-0.019690
BATF2	-0.019688
SIAH1	0.019676
KIF4A	0.019671
GATA2	0.019653
XAF1	-0.019651
IRGM	-0.019651
TINAGL1	0.019642
SDC4	0.019642
HSPB1	0.019632
DOK3	-0.019586
OPN1LW	0.019541
ASIC2	0.019530
TNFRSF12A	0.019520
CASQ2	0.019489
FAM160A1	0.019469
FSHR	-0.019468
UGT2B17	-0.019456
CD93	-0.019454
CD36	0.019452
BDNF	0.019424
SAMD14	0.019418
PTPLB	0.019418
OR5AR1	-0.019417
POLM	-0.019405
SCIN	-0.019405
GTF2IRD1	0.019405
ACSBG1	-0.019396
TEKT4	-0.019392
PTPN18	-0.019386
SV2B	0.019353
HIC2	0.019338
HS3ST3A1	0.019334
RBPJL	-0.019276
CA9	0.019262
PPAPDC3	-0.019245
RASL11A	0.019243
GLUL	0.019243
