!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	DND41 cell line
!perturbation	Dexamethasone
!disease	 1µM Dex for 24h after shLUC infection
!end_metadata
ANXA2R	0.026440
MRPL12	-0.026420
ENOPH1	-0.026366
NME1-NME2	-0.026254
FBXO32	0.026251
MTHFD1	-0.026222
C9orf142	-0.026217
TSC22D4	0.026162
KLF13	0.026147
TEX19	-0.026125
CRADD	0.026122
PNP	-0.026062
N4BP2	0.026038
TMEM173	0.025858
TBC1D2B	0.025851
DUT	-0.025811
DUSP19	0.025786
GTPBP4	-0.025767
CD96	0.025741
RRAGA	0.025736
PCNX	0.025596
MAGT1	0.025535
GBP4	-0.025518
KPNB1	-0.025513
MTHFD2	-0.025460
UTP18	-0.025407
UBE2T	-0.025382
VRK1	-0.025361
TBCD	0.025302
ABCE1	-0.025301
HSPA9	-0.025299
PTGES3	-0.025173
AUNIP	-0.025155
AK2	-0.025059
MFGE8	0.025036
NOL7	-0.024957
RRP12	-0.024942
SLC4A7	0.024931
RAC2	0.024871
SNRPA1	-0.024860
E2F2	-0.024842
MCM7	-0.024786
NUP88	-0.024784
LRCH4	0.024734
HNRNPAB	-0.024646
SLC25A39	-0.024601
DNAJC9	-0.024557
TMEM71	0.024546
BCL6	0.024495
CCDC58	-0.024463
TMEM109	-0.024439
ATF5	-0.024429
FGD3	0.024425
MOAP1	0.024386
ENPEP	0.024383
GNS	0.024362
POC1A	-0.024356
SLC5A6	-0.024335
BOP1	-0.024333
ITGAE	0.024268
NHP2	-0.024209
GRPEL1	-0.024143
CLCN7	0.024067
ATL3	-0.024058
PPRC1	-0.024009
RRS1	-0.024004
SAAL1	-0.023950
MMP9	-0.023943
HPRT1	-0.023918
FHL1	0.023901
WDR12	-0.023894
RHOH	0.023775
ARL2	-0.023773
POLE3	-0.023692
GLO1	-0.023645
ANXA1	-0.023636
PPP1R14B	-0.023570
KDM5D	0.023545
SLC38A2	0.023479
ELOVL6	0.023452
DCP2	0.023423
BTG3	-0.023401
MYB	0.023375
PEX11B	0.023365
RAD51C	-0.023351
PSMD1	-0.023348
PLSCR3	0.023330
PTS	-0.023304
PRDX4	-0.023300
ATIC	-0.023289
NICN1	0.023266
ARPC5L	-0.023239
IMP4	-0.023237
CHAF1A	-0.023236
CDCA5	-0.023222
KDELC2	-0.023212
GEMIN4	-0.023208
TPI1P2	-0.023192
CORO1C	0.023188
KAT2B	0.023170
CD99	0.023141
YPEL3	0.023125
CCT6A	-0.023123
ETS1	0.023082
NPC2	0.023055
TRIM22	0.023042
GSTP1	-0.023039
PAM16	-0.022937
CLK1	0.022932
ARL2BP	0.022858
LOC644936	-0.022855
EXOSC5	-0.022807
MCUR1	-0.022789
CENPV	-0.022781
PRDX1	-0.022764
PLCH1	0.022728
GRASP	0.022704
TFAM	-0.022704
HES1	-0.022691
IGFBP4	-0.022672
CLEC16A	0.022609
RFC5	-0.022541
PSMC3	-0.022541
FANCG	-0.022509
WEE1	-0.022486
POLR2I	-0.022463
CMSS1	-0.022449
PTGER4	0.022426
USP3	0.022412
PNPO	-0.022392
RPS21	-0.022369
PRPF4	-0.022367
BRI3	0.022337
ITK	0.022316
NFIL3	0.022264
NME1	-0.022248
C19orf48	-0.022200
PRR5	0.022187
MRPL24	-0.022185
DYNC1LI2	0.022173
YEATS4	-0.022170
STAT4	0.022120
TPRG1L	0.022112
MRPL1	-0.022104
AMY1C	0.022100
NCSTN	0.022079
SSRP1	-0.022046
PDCD5	-0.022035
RGPD3	0.022003
TLX3	-0.021972
GABARAPL1	0.021962
DHX33	-0.021961
VEZF1	0.021942
CREBRF	0.021942
CD38	-0.021938
ARL6IP5	0.021911
POLE	-0.021869
TMEM217	0.021860
PIM2	0.021851
ZMYND19	-0.021845
USP49	0.021816
ABTB1	0.021776
TIMM9	-0.021774
RCAN1	0.021748
PRMT5	-0.021706
DRG1	-0.021685
RASAL3	0.021675
MDFIC	0.021661
ADCY3	-0.021648
MTHFD1L	-0.021648
CFLAR	0.021645
GATS	0.021636
GATSL3	0.021602
ID3	-0.021570
TPP1	0.021554
SELL	0.021534
SKP2	-0.021524
BLZF1	0.021509
KNTC1	-0.021456
ACAT2	-0.021415
S100A10	0.021390
GEMIN6	-0.021357
CKS1B	-0.021319
CBFB	0.021310
ZWINT	-0.021291
SIVA1	-0.021255
HSD17B7	0.021252
SLIRP	-0.021234
DDAH2	0.021212
CHCHD2	-0.021210
PAXIP1-AS1	0.021205
AIMP2	-0.021188
RFWD3	-0.021184
EIF3L	0.021181
RPA1	-0.021140
DDX21	-0.021139
COMMD3	0.021110
PDXP	-0.021053
IFRD2	-0.021041
NUDC	-0.021007
LAT2	-0.020987
LYRM1	0.020925
E2F7	-0.020916
PPP1R15A	0.020886
NUP37	-0.020850
POLD2	-0.020844
ORC3	-0.020819
NXT1	-0.020817
CREB3L2	0.020788
CHCHD4	-0.020760
PJA2	0.020752
DNAJA3	-0.020737
PBK	-0.020733
MRPL23	-0.020730
PRKCB	0.020728
CENPN	-0.020722
PLIN3	0.020722
MYC	-0.020646
WDFY1	0.020641
