!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	DND41 cell line
!perturbation	Dexamethasone
!disease	 1µM Dex for 24h after shPTEN infection
!end_metadata
CD7	0.027696
SOSTDC1	-0.027683
GSTM2	0.027624
DDIT3	-0.027512
PAM16	-0.027503
WBP2	-0.027440
MGEA5	0.027348
IFI6	0.027223
RPS7	-0.027116
GSDMD	0.026954
GLIPR2	0.026950
MMADHC	-0.026947
ARL6IP5	0.026761
PLA2G3	-0.026738
EXOSC9	-0.026709
CCDC86	-0.026702
CYB561A3	0.026697
PLOD1	0.026683
NDUFAF4	-0.026594
YWHAH	-0.026550
CDR2	-0.026512
C17orf49	0.026454
GRN	0.026344
CMC2	-0.026227
KIAA0922	0.026188
FOXN2	-0.026183
CD37	0.026117
ATP5B	-0.026035
NUP88	-0.026029
CCNH	-0.025911
TIPIN	-0.025815
G6PC3	0.025810
TSG101	-0.025724
ABCE1	-0.025683
NKG7	0.025672
C1orf85	0.025668
BRD3	0.025560
POLR3K	-0.025542
PNN	-0.025497
NIFK	-0.025484
TAP1	0.025446
RIOK2	-0.025376
GPAA1	0.025359
GNE	-0.025333
GPX7	0.025312
E2F5	-0.025213
PEX11B	0.025194
MLEC	0.025188
PELO	-0.025147
HCST	0.025144
CISD1	-0.025129
DNAJB11	-0.025078
TIMM10	-0.025019
DGCR6L	0.024886
MSN	0.024824
ATP6V0A1	0.024740
UTP15	-0.024727
CXCR4	0.024713
RPL13AP6	0.024672
NPC2	0.024555
EIF3M	-0.024518
ATP5E	0.024515
AMMECR1L	-0.024511
PSMD12	-0.024479
ACSS1	0.024422
MCM5	0.024378
DDIAS	-0.024354
EIF2B3	-0.024309
ANAPC10	-0.024298
RAB33A	-0.024279
GLB1	0.024272
ATP6AP2	0.024253
NUSAP1	0.024210
SEP15	-0.024188
NDUFAB1	-0.024184
PLSCR3	0.024158
MFGE8	0.024062
LLGL1	0.024051
KIR3DL1	0.024042
SLFN11	-0.023990
PLAC8	0.023984
NCSTN	0.023978
DLEU1	-0.023972
NFE2L2	-0.023947
SLIRP	-0.023926
PQLC1	0.023921
NDUFA13	0.023865
SMIM19	0.023819
OXA1L	0.023815
NFIL3	0.023793
LTV1	-0.023731
ENO2	-0.023718
TMEM177	-0.023633
FLJ43681	-0.023616
TPRG1L	0.023522
APOBEC3G	0.023482
MRPS17	-0.023442
SLC7A1	-0.023378
ITK	-0.023312
NRROS	-0.023279
CMSS1	-0.023270
ZNF428	0.023231
UTP11L	-0.023228
MAPK6	-0.023184
ULBP2	-0.023136
KRT8	0.023053
KLHL8	-0.023044
MAP3K6	0.023042
FAM49B	-0.023031
GSTK1	0.023013
PPP4C	0.022993
ZNHIT1	0.022984
AKIRIN2	-0.022933
BCYRN1	-0.022903
STXBP2	0.022871
LCMT2	-0.022820
TWISTNB	-0.022790
SHQ1	-0.022781
MRPL19	-0.022771
AK6	-0.022763
KBTBD8	-0.022750
MLLT11	-0.022728
TTC4	-0.022713
MAK16	-0.022709
TMEM106C	0.022698
VPS28	0.022696
AASDHPPT	-0.022683
TCEB1	-0.022651
SNRPA1	-0.022640
ATP6V0D1	0.022620
MB21D1	-0.022571
FCRL4	0.022513
ZG16B	0.022510
RRP15	-0.022507
RNMTL1	-0.022446
MYO1G	0.022440
ELAVL1	-0.022422
BCKDHA	0.022394
UQCRC2	-0.022340
GFPT1	-0.022336
RMI2	0.022333
SLC25A19	-0.022323
NUP62	-0.022307
STRN3	-0.022304
MIR586	0.022302
KDELR1	0.022266
ARCN1	-0.022219
DHX15	-0.022195
TTF2	-0.022139
C12orf45	-0.022136
SGK223	0.022120
DHRS1	0.022115
LAP3	-0.022100
ANXA5	0.022061
SLC16A6	-0.022058
ERAP2	0.022058
DNAJA2	-0.022016
IL32	-0.021997
MNAT1	-0.021996
RILPL2	0.021938
PRCP	0.021906
ECT2	-0.021897
TMSB10	0.021860
FASN	-0.021857
CREG1	0.021852
MGST2	0.021749
LAPTM5	0.021747
CDK5RAP3	0.021739
CTSG	-0.021702
IGFBP2	0.021701
IFFO1	0.021691
TYW3	-0.021665
LYSMD2	-0.021624
TCFL5	0.021615
SMIM3	0.021610
CD47	0.021593
SNHG6	0.021592
RDH11	-0.021550
SARS	-0.021538
ATAD1	-0.021523
RAMP2-AS1	0.021515
INSIG1	-0.021499
RPRD1A	-0.021497
AKR1B1	0.021495
ZFP36L1	-0.021476
ANP32AP1	0.021476
TIMM9	-0.021465
CHAC2	-0.021444
ME2	-0.021435
NOLC1	-0.021427
ELOF1	0.021406
EIF4A1	-0.021399
NPEPL1	0.021397
ZIC2	-0.021389
ATF3	-0.021366
CCDC58	-0.021335
ABHD14A	0.021279
DKC1	-0.021273
FAM60A	-0.021265
VPS37A	-0.021254
GPKOW	-0.021251
PEPD	0.021237
IMP4	-0.021225
ZNF486	0.021204
CYTH4	0.021168
C14orf159	0.021139
PTMA	0.021129
EIF2A	-0.021098
CNIH4	-0.021077
GUSB	0.021047
H3F3A	0.021006
PGM2	-0.020938
OSGIN2	-0.020930
TNFRSF21	-0.020925
STAT2	0.020923
CXXC1	0.020901
SNRNP27	-0.020898
ARPC1A	0.020892
LRP10	0.020888
MARCKSL1	0.020876
GLG1	0.020840
STK3	-0.020835
TMEM179B	0.020809
GTF2F1	0.020786
FAM89B	0.020736
BOP1	-0.020712
EMC9	0.020711
RPIA	-0.020706
DCAF13	-0.020689
HSPA4	-0.020670
PSMD6	-0.020655
PAFAH1B1	0.020630
TRAPPC4	-0.020629
BLMH	-0.020519
LRP8	-0.020506
C1QBP	-0.020487
SACM1L	-0.020476
C1orf109	-0.020475
MYB	-0.020471
DNAJA3	-0.020462
SKIV2L2	-0.020459
CTBP1	0.020455
ISOC1	-0.020450
TDG	-0.020436
ATP5C1	-0.020421
NOC3L	-0.020412
CRACR2B	0.020396
PIGT	0.020383
FAM65B	0.020354
YWHAG	-0.020353
SPSB3	0.020339
CD93	0.020332
NCKAP1L	0.020320
PDSS1	-0.020303
MPP6	-0.020298
WBP1	0.020294
PSMD14	-0.020292
RPS9	0.020288
CSRP2BP	-0.020280
CCDC92	0.020275
CDH23	0.020269
RPL36AL	-0.020267
DAP	0.020234
RBM34	-0.020211
GLTP	0.020180
TPT1	0.020149
C11orf48	0.020140
NARS	-0.020107
PTRH2	-0.020101
CDC25A	-0.020097
DTL	-0.020085
CEBPG	-0.020084
ETV5	-0.020076
CAMKMT	0.020063
SCOC	-0.020024
TAF15	0.020022
TBC1D10C	0.020022
KLF6	-0.020010
PBK	-0.020005
YIPF3	0.019978
LIME1	0.019962
WBP4	-0.019953
ACTR1B	0.019924
ETFB	0.019921
STARD3	0.019903
IFITM1	0.019873
HSPA9	-0.019832
FTH1	-0.019809
UTP6	-0.019805
SLC25A17	-0.019801
METAP2	-0.019800
APOO	-0.019784
TCP1	-0.019774
NOS3	-0.019769
SUN2	0.019752
NINJ2	0.019729
H2AFX	0.019713
PTPRCAP	0.019681
CLCN7	0.019664
TTC16	0.019654
ZNF511	-0.019618
UTP23	-0.019607
TWF2	0.019572
LAMTOR2	0.019557
NCAPD2	0.019541
RTN4IP1	-0.019497
RALB	0.019493
MCM10	-0.019488
ECH1	0.019486
FERMT3	0.019475
ADCY3	0.019463
NOB1	-0.019459
TXNDC12	0.019447
NT5C3A	-0.019432
DAZAP2	0.019425
ETS2	-0.019408
EPSTI1	-0.019376
DUS4L	-0.019371
RHBDD2	0.019367
SP4	-0.019364
RPS23	0.019325
EIF4EBP2	0.019301
CCDC24	0.019294
PRPF19	0.019251
PAQR8	0.019245
UCP2	0.019216
PRMT1	-0.019203
SNHG8	-0.019201
TNPO2	-0.019201
C9orf9	0.019185
STAT5A	0.019180
C18orf8	-0.019172
DGCR2	0.019157
MAD2L1	-0.019146
PSMB5	-0.019133
E2F3	0.019123
CELF2	0.019116
FAM175B	-0.019091
INO80E	-0.019087
RPL22	0.019078
MRPS6	-0.019076
EMILIN2	0.019070
AP1M1	0.019045
NOP58	-0.019034
SIDT2	0.019034
GSPT1	-0.019027
CDC26	0.019012
CDC25B	0.018989
ADSS	-0.018989
GOLGA6L6	0.018980
ANKRD27	-0.018978
SCML2	-0.018972
