!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	OEE6/E7 (immortalized human oviductal cell line) 
!perturbation	Dexamethasone
!disease	10 nM 
!end_metadata
NTNG1	-0.028491
BCL6	0.028484
FGF2	-0.028475
SLCO2B1	0.028399
CIART	-0.028302
PAPSS2	-0.028289
MPP4	-0.028224
SLC2A12	-0.028215
TSPAN9	-0.028212
CBX6	-0.028148
ISL1	-0.028120
FAM43A	0.027894
DDIT4L	-0.027814
FRMD4A	-0.027773
AOX1	0.027766
SLC12A2	-0.027751
B3GNT5	0.027735
FAM46A	-0.027671
CYP2E1	-0.027630
TEAD2	-0.027607
CYP4F11	-0.027589
PIK3IP1	-0.027577
CRABP2	-0.027576
ARL14	-0.027537
SMIM3	0.027455
NGF	-0.027454
SNHG17	0.027399
PLAU	-0.027385
IL6	-0.027158
ZNF223	-0.027105
IRS2	0.027020
EVI5	-0.026982
ANTXR2	-0.026923
ZFP36L2	0.026869
ZFP36L1	0.026865
KRT7	0.026833
LOC100134868	-0.026824
PROSER2	0.026759
UGCG	-0.026705
SAP30	0.026557
PRKAG2	0.026432
FEZ1	-0.026385
SLC26A2	0.026377
PRDM8	-0.026359
TLR2	0.026352
NKIRAS1	0.026208
AVPI1	0.026130
OLAH	0.026113
SPRY2	-0.026092
USP49	-0.026090
SF3B4	0.025817
SPANXA1	-0.025812
SOCS2	-0.025691
C6orf15	0.025628
LOC644936	0.025621
CXCL2	-0.025605
BRSK1	-0.025588
PRICKLE2	-0.025583
VASN	-0.025560
SEC14L2	0.025550
CDH6	-0.025495
OVOL2	0.025385
LTBR	0.025289
FOXC1	0.025157
PHACTR3	0.024944
LRRN4	-0.024894
GPRC5A	-0.024834
VGF	0.024814
CCND2	-0.024644
PLD1	-0.024532
AKR1C3	-0.024449
CA3	-0.024448
C14orf142	0.024404
PANX2	-0.024325
GNG11	-0.024324
GOLGA6L6	-0.024313
FAM83D	0.024296
CTGF	-0.024176
SVEP1	0.024157
BMS1P5	-0.024130
BLZF1	-0.024110
C3orf14	0.024088
TROAP	0.024081
SNAPC1	-0.024025
GPD1L	0.024009
POLR3GL	0.023968
ITPK1-AS1	-0.023883
CYB5R2	-0.023878
SPANXA2	-0.023871
EPSTI1	0.023742
ZNF165	0.023731
MND1	0.023706
TMEM191A	-0.023577
RAP1GAP	-0.023571
CAP2	-0.023557
IL1R1	0.023477
KLF6	0.023406
SEMA3A	-0.023373
PCED1B	-0.023354
BASP1	-0.023304
JADE2	0.023302
CD69	-0.023276
TFPI2	-0.023260
CREG1	0.023221
TXNRD1	-0.023216
KIAA0408	-0.023156
CXCL8	-0.023108
SAA4	0.023099
RARRES3	0.023060
PTPRK	-0.023016
SOX4	-0.023006
ETS2	0.023005
KYNU	-0.022995
FAM214B	-0.022943
KIF20A	0.022935
FAM167A	0.022845
PKIA	-0.022822
RBM24	-0.022822
TNKS1BP1	0.022774
TXNDC17	0.022729
PLK2	-0.022716
CYR61	-0.022712
CDR2L	0.022626
GINS2	0.022617
IMPA2	0.022612
DSCC1	0.022573
ADCK2	0.022553
TXNIP	0.022501
MALL	0.022474
MIR302C	-0.022412
NMT2	-0.022378
DCDC2	-0.022371
IL17RB	0.022371
SLC29A2	0.022365
ATXN1	-0.022349
DKK1	0.022329
SLC22A5	0.022315
TMEM42	0.022313
CDC45	0.022278
PROM2	0.022272
IL13RA2	-0.022271
SERPINB7	-0.022191
FOXO1	-0.022178
HOXB5	0.022168
IL36G	-0.022143
CCND1	-0.022125
LRRC37BP1	-0.022082
CD44	-0.022013
UGT2B11	0.022012
TCFL5	0.021965
PTGER4	0.021900
MBTD1	-0.021881
TMEM79	0.021828
ATG7	-0.021780
SCG5	-0.021756
ZKSCAN1	-0.021753
NUBPL	-0.021749
RP9P	0.021712
IFI6	-0.021671
WFS1	-0.021622
EBPL	0.021478
ITPKA	0.021470
EIF4G3	-0.021460
L3HYPDH	-0.021441
GALR2	0.021427
WNT7A	-0.021419
CLDN11	-0.021366
FAM107B	-0.021323
PSME4	-0.021267
FSTL1	-0.021257
GLCE	-0.021226
ACOT4	0.021197
SH3RF1	-0.021170
CDH2	-0.021153
FUT8-AS1	-0.021147
SLC5A8	-0.021129
LEPREL1	-0.021121
COBL	0.021110
ACD	0.021063
PLA2G4A	-0.021022
SERPINA3	0.020998
MAP3K8	-0.020996
FUT8	-0.020994
OAF	-0.020970
UGT2B10	0.020929
C1orf131	0.020928
CA12	0.020912
YEATS4	0.020810
GNAI1	-0.020806
A4GALT	0.020799
LAMP3	0.020766
COL7A1	-0.020731
YPEL5	-0.020728
KRT17	-0.020706
NUP43	-0.020672
NFKBIE	0.020659
MGST2	0.020656
RPUSD3	0.020643
MYBL1	-0.020643
AKNA	0.020637
BCYRN1	-0.020599
LOC100128288	-0.020533
UBA6	-0.020496
PIK3C2B	-0.020492
LMOD3	-0.020462
TIPIN	0.020420
CBX5	-0.020408
HLA-DMA	0.020319
SQRDL	0.020300
DDX17	-0.020264
RHBDL2	-0.020238
MGST3	0.020228
ZC3H8	0.020213
AOC4P	-0.020198
HSPB1	0.020154
PCSK9	0.020152
GADD45B	0.020095
SMYD4	0.020089
ARHGEF3	0.019973
RABEPK	0.019915
EPS8	0.019904
ADAMTS3	-0.019896
GALNT5	-0.019892
IL18R1	0.019890
SPARC	-0.019889
WDR74	-0.019883
BCL2A1	-0.019811
CGRRF1	0.019789
UVRAG	0.019777
TNFRSF21	-0.019774
DYNC1I1	-0.019759
RAB11FIP3	0.019736
KIAA0247	0.019734
ARTN	0.019724
GCNT1	0.019712
SCRN1	-0.019703
HIATL2	-0.019699
SLC25A19	0.019664
TMEM43	0.019629
ALPP	-0.019588
C8A	0.019554
MOSPD1	-0.019542
ZNF462	-0.019525
PROSC	0.019489
TNC	-0.019489
NCS1	-0.019481
SLC4A7	-0.019471
HPRT1	0.019464
HIST2H2BE	-0.019459
LIMCH1	-0.019442
GMPS	0.019433
GPR110	-0.019432
DPY19L1	-0.019426
SNHG15	0.019415
ITCH-IT1	-0.019394
TRIM8	-0.019388
YEATS2	0.019380
FAM53A	0.019349
CHST7	0.019342
HES6	0.019337
MAL	-0.019336
TNFRSF1A	0.019333
FZD4	0.019318
CYP27B1	0.019303
ITGA2	-0.019302
GALC	-0.019298
DNAJC15	0.019297
TSC22D3	0.019264
MRPS15	0.019262
OSGIN2	-0.019259
TPBG	-0.019232
WDR83OS	-0.019220
RPS8	-0.019220
RASSF4	0.019191
LHX1	-0.019178
PRR15L	0.019173
TMEM139	-0.019169
KPNA3	0.019161
PHLDB1	-0.019161
BANK1	0.019150
CSTF2	0.019138
LCN2	-0.019129
NID2	0.019119
SERTAD2	-0.019106
GSTM1	-0.019078
STOML1	0.019076
SAPCD2	0.018963
RSG1	0.018916
OIP5	0.018884
SYTL2	-0.018863
DGAT2	0.018857
RFC4	0.018852
HMGN2P46	-0.018842
HIBCH	0.018755
CLINT1	0.018738
LINC00997	-0.018701
FHL1	0.018675
CYP24A1	-0.018656
BTNL10	-0.018646
ACKR2	-0.018543
SEMA3C	-0.018521
EIF2AK4	-0.018517
ASAP3	0.018514
TDRD1	-0.018490
LYRM1	0.018452
XDH	0.018394
TMEM133	-0.018378
CLN5	0.018371
CCDC51	0.018355
XRCC6BP1	0.018333
EDAR	0.018323
DNAJC19	0.018297
RCL1	0.018295
DUSP19	-0.018275
SFTA2	0.018268
TUBA4A	-0.018246
TBC1D23	-0.018225
DNM1	-0.018214
CHEK1	0.018210
ZNF786	-0.018175
CDKN3	0.018166
LRRN1	-0.018159
MAMLD1	-0.018154
RAB1A	-0.018144
SHC3	-0.018132
FRAT2	0.018127
TMEM263	-0.018119
OSBPL5	0.018114
KLF4	0.018075
RPL19	0.018070
IFNGR1	0.018044
PARD6A	0.018039
GMNN	0.017989
KMO	-0.017979
SMARCA1	-0.017946
VAV1	-0.017914
ZNF738	-0.017913
CLDN12	-0.017876
RAB3B	-0.017866
KAL1	-0.017864
BIK	0.017857
NSMCE4A	0.017848
RHEB	0.017821
WNK4	-0.017802
TYMS	0.017790
UBXN6	-0.017771
ABLIM3	0.017764
IGFBP3	-0.017739
HAUS2	-0.017739
TADA1	0.017733
RBBP7	0.017717
POLE2	0.017708
ANGPTL4	0.017680
MAP9	-0.017644
CORO1C	-0.017634
ADCY3	0.017631
ACSL1	0.017614
PGM5-AS1	-0.017608
DUSP5	0.017605
GRK5	-0.017598
TGFA	-0.017588
FTL	-0.017581
BLACAT1	-0.017558
STC2	-0.017555
MARCKSL1	-0.017546
PI3	0.017544
DPYSL2	0.017492
SYK	0.017483
GPCPD1	0.017478
SPRYD7	0.017455
LARP6	-0.017434
RUSC2	-0.017422
YAP1	0.017422
UPF1	0.017387
RAB3IL1	0.017382
ADAMTS5	-0.017371
LOC284023	0.017355
NIPAL1	-0.017344
RRS1	0.017343
SFTA1P	-0.017341
UPK1B	0.017339
