!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Rattus norvegicus
!cell	Heart
!perturbation	Dexamethasone
!disease	5 d - 1 mg/kg
!end_metadata
ZFP36	0.033527
COL5A2	-0.033290
SPATS2L	-0.033263
RCAN1	-0.033215
COL5A1	-0.033155
PFN2	0.033095
THBD	-0.032950
CYP1B1	-0.032733
GNG11	-0.032716
MGST1	0.032708
PIK3R1	0.032660
RCN3	-0.032538
PSMB8	-0.032408
CD93	-0.032400
IGF1	-0.032398
NPAS2	-0.032345
ANGPTL4	0.032339
SLC4A1	0.032280
SERINC5	-0.032135
ALOX5AP	0.032126
FMO2	0.031977
ARNTL	-0.031965
PNPLA2	0.031947
PCSK6	-0.031867
CD38	-0.031764
C1QTNF2	-0.031650
LOXL2	-0.031538
ISG15	-0.031496
FABP2	-0.031451
DBP	0.031426
NFKBIA	0.031345
NDRG1	0.031289
ALOXE3	-0.031282
SYNE2	-0.030789
NPPA	0.030778
CYP2E1	0.030743
GSTA5	0.030673
LOX	0.030626
TPPP3	-0.030585
IQUB	0.030527
NGDN	-0.030520
GCNT1	0.030484
ETS1	-0.030471
OLFML1	-0.030451
ACE2	-0.030236
PLP1	-0.030233
CDKN1A	0.030101
THBS2	-0.030002
PDLIM2	0.030001
CAPN10	0.029978
PLB1	0.029887
TMCC3	0.029807
RND1	-0.029783
TNXB	-0.029780
HSPB1	-0.029715
PIM3	0.029672
DSC2	0.029558
S100G	-0.029472
CCR1	0.029452
SERTAD4	-0.029408
AQP7	0.029148
PLK2	-0.029136
TNFRSF12A	-0.028969
KLK10	-0.028960
RBP1	-0.028858
KIAA1217	-0.028809
NDUFA4L2	-0.028611
ATP4A	0.028553
C1QC	0.028529
MAMDC2	-0.028501
HK2	-0.028493
PPAPDC1B	-0.028458
SH3D19	-0.028447
LLGL2	0.028430
NOS3	-0.028264
S100A10	-0.028218
LCP1	-0.028217
REG3A	-0.028182
ACOT1	0.028107
AMIGO2	-0.027896
SLC12A3	0.027876
RGS5	-0.027708
GULP1	-0.027670
F13A1	0.027646
ABRA	-0.027642
SPSB4	0.027634
CARD9	-0.027614
LPAR6	-0.027599
FXYD6	-0.027590
DECR1	0.027570
KCNS3	-0.027526
CD83	-0.027304
TPBG	-0.027297
SERPINF1	-0.027294
TERF2IP	0.027160
CMTM3	-0.027113
PDGFRA	-0.027034
FSTL1	-0.027028
CDK1	-0.026915
RGS6	-0.026906
SCN7A	-0.026872
CDC14A	-0.026848
PCDH19	-0.026779
SPON1	0.026777
GCAT	-0.026752
PCOLCE	-0.026735
GPX7	-0.026687
ELK3	-0.026667
ASB18	0.026603
PDP1	0.026602
TTC27	0.026558
BEND5	0.026527
DDR2	-0.026504
FMNL3	-0.026436
LMCD1	-0.026417
CDC42EP4	0.026404
RAPGEF4	0.026379
INHA	-0.026357
PLA1A	0.026215
ACTA1	-0.026150
SLC39A8	-0.026113
CALCRL	-0.026064
HPSE	0.026061
ANGPTL2	-0.026018
ALDH4A1	-0.025944
CRYBB1	0.025943
FAM129B	-0.025937
FABP1	-0.025932
BGN	-0.025894
XIRP1	-0.025819
YPEL2	-0.025818
PRELP	-0.025796
EVA1B	-0.025764
TFPI2	-0.025689
KLHL4	-0.025685
TIMP1	-0.025610
EMP1	-0.025589
AFAP1L2	-0.025491
NUDT7	0.025465
DUSP2	-0.025402
DPYSL2	-0.025359
PRUNE2	0.025325
PTER	0.025227
IGFBP3	0.025213
NUCB2	0.025114
CTGF	-0.025112
EYA2	0.025087
GTF3A	0.025066
GLCE	0.025010
FAM102B	0.025009
IFIT2	-0.024976
PCOLCE2	-0.024932
LRRC32	0.024880
FLNC	-0.024873
ADA	-0.024824
PQLC3	-0.024810
TEF	0.024798
ACADSB	-0.024765
CYP11A1	0.024703
TNIK	0.024687
APOA1	-0.024682
GPCPD1	0.024672
GLRX	0.024655
TIE1	-0.024605
CTSK	-0.024533
GRIA3	0.024496
DUSP10	-0.024488
ITGA6	-0.024410
PIK3R6	-0.024407
SLC44A1	-0.024367
CTSS	0.024339
CPA3	-0.024307
MAP3K8	-0.024232
ANKRD37	0.024180
FMOD	-0.024133
XCL1	-0.024126
DPP4	-0.024088
IER2	0.023959
IER3	-0.023951
PER2	0.023950
DRAM1	-0.023922
PRC1	-0.023885
IFNGR1	0.023815
ERCC1	0.023778
ARL4A	0.023752
IGFBP7	-0.023727
ATP6V1G2	0.023724
LMO2	-0.023724
PSTPIP2	0.023723
PERP	0.023710
FITM2	0.023653
TSPO	0.023502
TIMP4	0.023413
DUSP1	0.023405
ALDH18A1	-0.023382
HP	0.023364
CXCL16	-0.023348
TM4SF1	-0.023324
ASNA1	0.023307
NDRG4	0.023291
OPCML	-0.023217
EGR2	-0.023181
STK39	0.023166
KLRD1	-0.023137
ASNS	0.023120
FYN	-0.023120
PPARGC1A	0.023086
VTN	-0.022994
SPTA1	-0.022989
GIMAP1-GIMAP5	-0.022943
RNF213	-0.022896
PLIN5	0.022857
DTNA	0.022847
MESDC1	-0.022753
SEC61B	-0.022714
ARHGEF15	-0.022709
SMPDL3B	0.022637
SLC28A2	0.022534
FRMD6	-0.022524
EPB41	0.022507
APOA4	-0.022484
PENK	-0.022479
MSRA	-0.022472
NADK2	0.022469
IRX1	0.022419
CLMP	-0.022404
KCNIP2	-0.022400
WIPF1	-0.022389
LGALS3	0.022351
SERPINB1	0.022323
FMN1	-0.022322
SLC7A6	0.022307
NET1	-0.022302
SERINC2	0.022268
RASL12	-0.022263
MYO5B	0.022253
CISD2	0.022245
MFAP2	-0.022236
PCED1B	-0.022229
PAPSS2	-0.022216
RUNX1	-0.022215
CPXM1	-0.022138
ARSB	-0.022135
ACO1	0.022107
ABHD2	-0.022055
SCX	-0.022041
LY6E	-0.022037
TGM1	0.022021
SAMD9L	-0.021985
IGFBP4	-0.021955
CLIP2	-0.021936
MXRA8	-0.021936
TRIM54	0.021930
JUNB	0.021929
FILIP1L	-0.021926
DNAJA1	-0.021917
RHBDD2	0.021866
THBS4	-0.021865
NPDC1	-0.021827
IGFBP5	-0.021814
ALX3	0.021811
LCK	-0.021759
CPQ	-0.021746
RNF139	0.021728
FZD8	0.021727
HMCN1	-0.021708
VLDLR	-0.021561
TST	0.021510
MYADM	-0.021504
CDH22	0.021419
TSPAN18	0.021381
SLC2A3	0.021317
COLEC11	0.021279
CD48	-0.021271
PIGU	0.021249
DTX3L	-0.021213
CIRBP	0.021212
SOX18	-0.021169
EFHD1	-0.021149
P2RY14	-0.021143
SQRDL	0.021092
KCNJ12	0.021082
COL4A5	-0.021066
TCF19	-0.021049
HOXA3	-0.021043
ELOVL5	-0.021032
EEF2K	0.021015
STXBP6	-0.020991
SDF2L1	-0.020965
FUCA2	0.020953
ARRDC2	0.020883
FGF16	0.020873
DSG2	0.020783
DBN1	-0.020771
IFIT3	-0.020736
EGFL6	0.020721
CYTL1	0.020632
CH25H	-0.020565
ITGAL	-0.020518
TRAK1	-0.020514
KLHL38	0.020500
TNFSF12	-0.020462
CREG1	0.020425
NAAA	-0.020396
PTGIS	-0.020389
TGFB1	-0.020378
CMA1	-0.020360
BDNF	-0.020303
CMPK2	-0.020261
PGF	0.020241
LAMA4	-0.020178
NDN	-0.020160
ANPEP	-0.020150
DBI	0.020148
ACOT2	0.020142
OTUD1	-0.020140
PXMP4	0.020109
FOXS1	-0.020064
PF4	0.020044
PPP1R14A	-0.020042
SLC3A1	0.020004
MYCN	-0.020002
SRSF9	-0.019956
TM6SF1	-0.019919
POPDC3	0.019902
PRSS23	-0.019886
FNTB	0.019881
CNTNAP1	-0.019876
IRF1	-0.019861
SLC22A17	0.019860
ASB2	-0.019816
PGLYRP1	0.019813
SRXN1	-0.019801
GSN	-0.019773
ADAM17	-0.019745
ATP8B1	-0.019727
SLCO2B1	-0.019713
RBP2	-0.019713
KCNMB4	0.019657
MDFIC	-0.019645
SPHKAP	0.019639
MAX	0.019617
TBC1D8B	-0.019611
SLFN12L	-0.019595
SPTBN4	0.019586
OCRL	0.019552
KAZALD1	-0.019501
TNFRSF11B	-0.019482
TSC22D2	-0.019472
UBE2O	0.019471
LRRC10	0.019467
IRX4	0.019460
HPS6	0.019455
RASD1	0.019440
USP2	0.019434
CNRIP1	-0.019419
PTPRC	-0.019391
LRRC8A	0.019271
ENPEP	-0.019227
XK	0.019224
UBE2E3	0.019220
NFIL3	-0.019173
NRROS	-0.019172
SLC7A5	0.019155
CORO1A	-0.019155
