!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Rattus norvegicus
!cell	Tracheal explants
!perturbation	Dexamethasone
!disease	24 hrs
!end_metadata
COL3A1	0.040941
SOD2	0.040658
IDI1	0.040509
KRT17	-0.040467
HSD17B2	-0.040390
OSTC	0.040073
FAM84A	-0.039848
CD9	-0.039678
UPK3BL	0.039640
RECK	0.039464
CDO1	0.038678
COL1A1	-0.038573
UPK1B	0.038450
TIPARP	0.038394
KIAA1217	-0.038249
EFEMP1	0.038128
ADAM8	-0.037980
RPS12	0.037689
GLUL	0.037590
CTSV	-0.037541
NKX2-1	-0.037452
ADAMTS15	0.037360
DSC2	-0.037320
RASD1	0.037180
GADD45G	0.037129
RPL4	0.037094
AK7	-0.037010
BST1	0.036804
SDF2L1	0.036629
PDPN	-0.036627
UGP2	0.036551
NOB1	-0.036534
EGR1	0.036378
PROM1	-0.036322
ZFP36	0.036220
GPNMB	0.036058
COL2A1	-0.035924
TINAGL1	0.035823
H1F0	0.035704
CLEC10A	0.035611
EGLN3	0.035607
AMPD3	0.035593
TM4SF1	-0.035495
FRRS1	0.035420
TOB1	-0.035416
ND2	0.035171
AGR2	0.035157
FURIN	-0.035130
CRELD2	0.035097
DYNLRB2	-0.035022
NQO1	-0.035013
TERF2IP	-0.034876
ACTB	-0.034587
COL15A1	-0.034553
GSN	0.034445
PRDX6	0.034444
TSPAN6	-0.034366
CCDC17	-0.034337
CKAP5	-0.034237
CCL20	0.034003
APOD	0.033847
S100A8	0.033844
VIM	0.033735
TSPO	0.033315
FXYD3	-0.033135
SERTAD4	-0.032970
S1PR3	0.032804
CYP1B1	0.032709
DNAJC3	0.032662
UGDH	0.032641
GFPT2	0.032608
ZFP36L1	0.032503
GABARAPL1	0.032465
SERP1	0.032420
IGF1	-0.032411
BCAT1	0.032411
AQP5	-0.032048
SPCS3	0.032009
IFITM3	0.031930
CXCL16	0.031912
HOPX	0.031804
IL6ST	0.031478
SOD1	-0.031422
TPT1	0.031369
DDIT3	0.031292
TBC1D2B	-0.031282
CHSY1	-0.031138
DNAJB9	0.031081
ADH1C	0.031077
SERPINB2	0.031014
PHTF1	-0.030936
COL6A2	-0.030866
CWC25	-0.030846
TRIM8	-0.030844
COL4A2	0.030842
FKBP2	0.030810
TRIO	-0.030690
SUMO1	0.030651
EDNRB	-0.030611
CHORDC1	-0.030601
RPS29	0.030461
C3	0.030450
GPX3	0.030396
SMPDL3A	0.030372
CLCA2	0.030318
FMOD	0.030254
GPC4	0.030231
FASN	0.030228
MSMO1	0.030018
ARL4C	-0.029999
S100A9	0.029998
GEM	-0.029955
PCNA	-0.029904
LAMP2	0.029825
TFDP1	-0.029774
FOPNL	-0.029702
NFX1	0.029686
PRSS22	-0.029660
SVEP1	0.029657
ECT2	-0.029611
ACKR3	0.029555
NPTX1	-0.029356
GPX2	-0.029251
CA9	-0.029057
PCP4	-0.029008
TSPAN1	-0.028966
KLF10	-0.028943
UXS1	-0.028926
ALDH1A1	-0.028764
TPI1	0.028593
IDH2	-0.028543
GINM1	0.028342
NDRG2	0.028333
ARPC3	-0.028282
TOP2A	-0.028264
AKR1B10	0.028148
HS3ST1	0.028136
RAPGEF2	-0.027980
MAGEH1	-0.027935
B3GALNT1	0.027881
ANPEP	0.027862
COL4A1	0.027842
ACAT2	0.027749
COX4I2	0.027742
RPL10	0.027703
SLC20A1	-0.027600
FLNA	-0.027565
SLC39A14	0.027497
LY96	-0.027476
PMEPA1	-0.027431
TC2N	0.027385
CTGF	0.027365
DUSP6	-0.027351
FAM134B	0.027347
SIX1	-0.027309
SDCBP	-0.027282
NFIL3	0.027187
FOXN2	0.027129
CLDN12	0.027021
BCL10	0.026976
MGST2	0.026834
PLAGL1	0.026751
HIPK1	0.026749
LGALS3BP	-0.026724
SLCO1A2	0.026710
TRAFD1	0.026694
ECM1	0.026670
GNB1	-0.026653
SEC61G	-0.026388
RPL7	0.026382
FCER1G	0.026368
LYVE1	0.026262
STOM	0.026218
RPL6	0.026201
HERPUD1	0.026182
ACSL4	0.025920
INHBB	-0.025895
GSTM3	-0.025893
SLC16A1	0.025853
TMEM45A	0.025835
RPL17	0.025748
CKS2	-0.025688
F3	-0.025629
FAM43A	0.025625
PRKACA	-0.025593
KRT14	-0.025589
FMO1	0.025558
PSMA2	0.025528
ODC1	0.025499
LPL	0.025401
RPL27A	0.025365
RHOB	0.025365
SDF4	0.025350
FAM60A	-0.025328
MOB3A	0.025299
CPOX	-0.025240
TRIB2	0.025223
PDK4	0.025185
INSIG1	0.025044
FMO5	0.025011
NFKBIA	0.025003
TAF15	0.024949
SGK1	0.024881
RNF111	-0.024871
CYP26B1	-0.024580
PDIA4	0.024573
ZNRF1	0.024571
GSTP1	0.024464
NUP153	-0.024367
LBH	-0.024350
DNAJB11	0.024283
PNPLA7	0.024273
ZC2HC1A	-0.024254
NGF	-0.024205
ARHGEF2	-0.024167
RNF13	0.024150
PTGR1	-0.024133
SNED1	0.024086
TACSTD2	0.024068
KCTD9	0.024040
EZR	-0.023990
TTYH2	-0.023972
PCBP2	-0.023963
TAX1BP1	0.023963
MSMP	-0.023959
S100A14	0.023887
AKAP12	0.023858
RPS13	0.023784
CDKN2AIP	-0.023738
PAPSS2	-0.023732
RPS6	0.023732
S100A4	-0.023643
SPIDR	0.023614
MRPL33	0.023613
RPL13A	0.023598
PHF2	0.023570
SKIL	-0.023464
SMIM14	0.023454
SND1	0.023380
ENPP3	0.023328
KLHL7	-0.023317
ASL	0.023210
MKI67	-0.023192
SIX4	-0.023165
UBC	0.023159
CD7	-0.023139
PSENEN	0.023038
IRF2BP2	-0.023032
GAPDH	-0.023011
SERPINE2	-0.022978
SDC1	-0.022962
PECAM1	-0.022923
ERO1L	0.022845
CLMP	0.022820
ARHGAP18	-0.022732
NID2	-0.022615
CCND1	-0.022526
CXCL3	0.022500
SERPINB1	0.022433
PKP1	-0.022431
VHL	0.022422
PSMB3	0.022415
DYNLL1	-0.022399
BTG2	0.022347
CCDC78	-0.022347
SPDEF	0.022341
NFKBIZ	0.022328
ZNF703	-0.022285
ADAMTS1	0.022250
THRSP	0.022238
NSA2	0.022203
TCF21	0.022200
FOXQ1	-0.022181
HNRNPAB	-0.022156
MYADM	-0.022110
PHLDA1	-0.022078
CHAD	-0.022062
LONP2	-0.022037
LRAT	0.021959
RPS20	0.021900
VIMP	0.021817
CD163	0.021815
DUSP1	0.021769
RBBP7	-0.021752
CCDC153	-0.021729
CNOT2	-0.021727
LEF1	-0.021664
LBP	0.021657
THBS2	0.021653
KRT7	-0.021597
TDP2	-0.021578
PKM	-0.021575
SAT1	0.021456
ACKR4	0.021440
APBB2	0.021440
CASP4	0.021339
GCNT1	-0.021260
SEC23IP	0.021220
ITPR1	0.021125
SEMA3C	-0.021091
NYAP1	0.021036
PAWR	-0.021014
PLCH1	-0.020983
FABP5	0.020950
CCP110	-0.020898
ID3	0.020887
UBE2C	-0.020881
PXN	0.020876
FADS1	-0.020846
RPS23	0.020840
TSPAN12	-0.020827
CFH	0.020776
RPS21	0.020764
IL33	-0.020759
TSPAN3	-0.020754
STEAP1	0.020734
MLLT11	-0.020733
GABARAPL2	0.020730
TARS	0.020716
CALR	0.020709
HEY1	-0.020687
ID2	-0.020636
TUBB4B	0.020635
CEMIP	-0.020613
ABCD3	-0.020408
MFAP5	-0.020370
KDELR2	0.020345
G0S2	-0.020315
IFITM2	0.020297
PNPLA2	0.020259
DUOX2	-0.020259
KPNA3	-0.020132
PSPH	0.020105
TMBIM1	0.020058
ARL1	0.020047
CHMP5	0.020046
UQCRQ	0.019954
ST14	-0.019950
PRDX2	-0.019922
GPX1	-0.019894
TIMM10	0.019877
LSM8	0.019871
ARHGDIB	0.019868
LSP1	-0.019831
CTSC	-0.019808
SLC3A2	0.019805
FBXL14	-0.019791
NAMPT	0.019774
RPS14	0.019746
UBE2D3	0.019732
HELLS	-0.019715
RSPH1	-0.019711
SPARC	-0.019710
LSS	0.019701
ADIPOQ	0.019674
GRINA	0.019646
SPINT2	-0.019637
GDPD2	0.019625
RABIF	-0.019618
KRT19	-0.019587
ALDOA	-0.019582
BHLHE22	0.019579
ATF5	0.019495
IMPA1	-0.019461
SHFM1	0.019458
PKD2	-0.019412
ZBTB1	-0.019397
PTGDS	0.019392
RPL21	0.019370
SRSF9	-0.019329
ABRACL	-0.019301
EIF3M	0.019266
UPP1	0.019260
ANGPTL4	0.019230
RPS3	0.019207
LTBP1	-0.019189
RCL1	0.019184
GLCE	0.019152
UCP2	-0.019108
MAPK14	0.019086
IFRD1	0.019055
TMEM30B	-0.019039
TAGLN2	-0.019016
SORBS2	-0.018962
SLC39A1	0.018958
ADAMTS9	0.018874
SMPDL3B	0.018863
TPPP3	-0.018862
CCDC65	-0.018860
CLIC1	-0.018854
SPON1	0.018850
SCARA5	0.018840
GABRP	-0.018816
PMVK	0.018816
COL4A3BP	0.018796
FGFBP1	0.018793
CD2AP	-0.018784
NSUN2	0.018780
BECN1	0.018769
SRPX	0.018721
OXR1	0.018676
TET2	0.018666
PFDN6	0.018650
HPS3	-0.018648
MPV17L	-0.018644
TMEM256	0.018641
