!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Rattus norvegicus
!cell	Heart
!perturbation	Dexamethasone  1mg/kg - 5 day - Male
!end_metadata
PIK3R1	0.030556
CCR1	0.030467
LOX	0.030447
NPPA	0.030371
NOS3	-0.030365
PSMB8	-0.030296
PLP1	-0.030273
TMCC3	0.030200
AQP7	0.030083
ATP4A	0.030059
INHA	-0.029967
TPPP3	-0.029955
RBP1	-0.029915
PLK2	-0.029807
NGDN	-0.029754
THBS2	-0.029719
PDLIM2	0.029653
PIM3	0.029602
ABRA	-0.029524
SLC4A1	0.029469
ISG15	-0.029405
TNXB	-0.029329
SERTAD4	-0.029195
ACOT1	0.029190
KLK10	-0.029012
ACE2	-0.029010
DSC2	0.028978
C1QC	0.028936
NDUFA4L2	-0.028928
DBP	0.028903
LCP1	-0.028772
S100G	-0.028767
KIAA1217	-0.028668
HK2	-0.028645
DECR1	0.028580
ARNTL	-0.028494
RGS5	-0.028473
F13A1	0.028439
GULP1	-0.028357
HSPB1	-0.028344
RND1	-0.028323
HPSE	0.028288
SERPINF1	-0.028285
SLC12A3	0.028281
SH3D19	-0.028125
SPSB4	0.028058
AMIGO2	-0.028013
FXYD6	-0.027881
MAMDC2	-0.027870
LLGL2	0.027837
S100A10	-0.027781
LPAR6	-0.027646
ACTA1	-0.027602
TPBG	-0.027515
PCDH19	-0.027485
TERF2IP	0.027428
PPAPDC1B	-0.027423
CD83	-0.027389
KCNS3	-0.027275
CDC42EP4	0.027249
TFPI2	-0.027212
CDC14A	-0.027196
FSTL1	-0.027189
BEND5	0.027123
TTC27	0.027001
CRYBB1	0.026996
CMTM3	-0.026947
TNFRSF12A	-0.026894
ANGPTL2	-0.026855
ELK3	-0.026827
GPX7	-0.026815
CALCRL	-0.026779
IGFBP3	0.026717
FMNL3	-0.026678
REG3A	-0.026557
DDR2	-0.026514
PTER	0.026511
PDGFRA	-0.026483
SLC39A8	-0.026406
PCOLCE	-0.026380
PDP1	0.026314
PENK	-0.026275
PLA1A	0.026269
BGN	-0.026245
CDK1	-0.026181
GCAT	-0.026178
KLHL4	-0.026039
CYP11A1	0.026038
GTF3A	0.025938
FAM129B	-0.025799
EMP1	-0.025763
EVA1B	-0.025683
EYA2	0.025656
SPON1	0.025625
ALDH4A1	-0.025614
DPYSL2	-0.025587
CPA3	-0.025405
NUDT7	0.025347
PRUNE2	0.025302
AFAP1L2	-0.025250
NUCB2	0.025206
SCN7A	-0.025202
PRELP	-0.025103
PQLC3	-0.025073
ITGA6	-0.025020
TIE1	-0.025011
RAPGEF4	0.025009
GLRX	0.024987
PIK3R6	-0.024967
YPEL2	-0.024948
LRRC32	0.024904
FABP1	-0.024837
OPCML	-0.024818
RGS6	-0.024792
CTSK	-0.024781
GLCE	0.024764
ADA	-0.024758
MSRA	-0.024749
TNIK	0.024639
LMCD1	-0.024560
TIMP4	0.024529
PSTPIP2	0.024522
DUSP2	-0.024520
PERP	0.024507
CXCL16	-0.024490
XCL1	-0.024455
TIMP1	-0.024447
PCOLCE2	-0.024394
GRIA3	0.024304
ARL4A	0.024281
CTSS	0.024260
DUSP1	0.024240
SLC44A1	-0.024230
IFNGR1	0.024207
ERCC1	0.024141
APOA1	-0.024118
DPP4	-0.024112
IER2	0.024110
ANKRD37	0.024075
ALDH18A1	-0.024058
PER2	0.023985
CTGF	-0.023967
MAP3K8	-0.023957
DTNA	0.023910
KLRD1	-0.023821
FLNC	-0.023819
PCED1B	-0.023749
TM4SF1	-0.023717
STK39	0.023667
DRAM1	-0.023654
IGFBP7	-0.023648
XIRP1	-0.023633
SLC28A2	0.023618
DUSP10	-0.023600
TEF	0.023511
IFIT2	-0.023507
HP	0.023492
GPCPD1	0.023471
LMO2	-0.023376
PRC1	-0.023371
TSPO	0.023329
SQRDL	0.023320
PLIN5	0.023314
GIMAP1-GIMAP5	-0.023304
RASL12	-0.023251
THBS4	-0.023247
PXMP4	0.023201
VTN	-0.023176
PAPSS2	-0.023173
IER3	-0.023172
LGALS3	0.023144
SEC61B	-0.022972
ATP6V1G2	0.022850
ARHGEF15	-0.022847
SCX	-0.022817
SLC7A6	0.022777
MYCN	-0.022662
NADK2	0.022647
CLMP	-0.022567
KCNIP2	-0.022506
MESDC1	-0.022502
FGF16	0.022481
NET1	-0.022453
MYO5B	0.022437
FMOD	-0.022434
ACO1	0.022394
HMCN1	-0.022383
SERPINB1	0.022337
SAMD9L	-0.022336
EGR2	-0.022333
FYN	-0.022294
EPB41	0.022291
MFAP2	-0.022276
FILIP1L	-0.022262
ASNS	0.022245
ABHD2	-0.022229
NDRG4	0.022206
WIPF1	-0.022184
RUNX1	-0.022181
FAM102B	0.022176
RNF213	-0.022164
RNF139	0.022146
JUNB	0.022099
RHBDD2	0.022034
SERINC2	0.022020
IGFBP5	-0.021983
SMPDL3B	0.021969
ACADSB	-0.021959
ARSB	-0.021926
FRMD6	-0.021891
FMN1	-0.021856
IGFBP4	-0.021855
APOA4	-0.021838
CPXM1	-0.021769
MXRA8	-0.021705
FITM2	0.021689
STXBP6	-0.021676
CDH22	0.021668
VLDLR	-0.021648
SOX18	-0.021639
LCK	-0.021636
EGFL6	0.021622
NPDC1	-0.021616
ITGAL	-0.021594
COL4A5	-0.021572
CISD2	0.021567
TST	0.021492
PTGIS	-0.021477
PPARGC1A	0.021442
ALX3	0.021431
ASB18	0.021417
MYADM	-0.021399
PIGU	0.021360
NAAA	-0.021350
DBN1	-0.021330
ELOVL5	-0.021315
TRIM54	0.021307
CPQ	-0.021151
IRX1	0.021144
TCF19	-0.021095
P2RY14	-0.021066
ARRDC2	0.021053
FZD8	0.021010
CD48	-0.020968
SPHKAP	0.020942
ATP8B1	-0.020939
ASNA1	0.020901
LAMA4	-0.020896
LY6E	-0.020889
CMA1	-0.020870
DNAJA1	-0.020856
DTX3L	-0.020850
DBI	0.020824
CLIP2	-0.020740
KCNJ12	0.020701
SLC2A3	0.020691
ACOT2	0.020636
TGM1	0.020606
TGFB1	-0.020547
PPP1R14A	-0.020493
TNFSF12	-0.020492
TSPAN18	0.020484
BDNF	-0.020473
CYTL1	0.020460
TRAK1	-0.020452
TNFRSF11B	-0.020401
FOXS1	-0.020330
EFHD1	-0.020330
PF4	0.020326
ASB11	0.020323
CIRBP	0.020272
HOXA3	-0.020241
XK	0.020213
CMPK2	-0.020160
SLC2A1	0.020126
FNTB	0.020126
EEF2K	0.020115
PTPRC	-0.020109
SLC7A5	0.020069
DSG2	0.020062
CH25H	-0.020057
OCRL	0.020024
TM6SF1	-0.020000
CREG1	0.019997
IRF1	-0.019988
SLCO2B1	-0.019968
PGF	0.019946
MAX	0.019939
FUCA2	0.019938
SPTBN4	0.019819
IFIT3	-0.019811
ASB2	-0.019810
NDN	-0.019807
PLIN4	0.019793
FADS1	-0.019780
SRSF9	-0.019758
IPPK	0.019685
KLHL38	0.019631
CACNA1C	0.019600
OTUD1	-0.019559
PDIA4	-0.019545
HPS6	0.019541
ADAM17	-0.019536
MDFIC	-0.019502
ENPEP	-0.019500
CUEDC1	0.019460
CNRIP1	-0.019459
SDF2L1	-0.019458
AOC3	-0.019455
SLC25A25	0.019449
KAZALD1	-0.019435
OXCT1	-0.019416
COL8A1	-0.019415
ANPEP	-0.019411
COLEC11	0.019405
KCNMB4	0.019404
UBE2E3	0.019390
USP2	0.019328
FAT4	-0.019313
PGLYRP1	0.019307
LRRC10	0.019296
SLC22A17	0.019283
GSN	-0.019283
SLC25A22	0.019257
MYOT	-0.019218
MRC1	0.019202
SLC38A6	0.019197
