!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Neurospheres (from embryonic day 145 mouse cerebral cortex - Caveolin-1 knockout)
!perturbation	Dexamethasone
!disease	100 nM - 4 hrs
!end_metadata
SEMA4B	0.026280
SYTL2	-0.026274
HBEGF	-0.026183
CDC37L1	0.026179
LGR5	-0.026130
PLAGL1	0.026101
TNFRSF21	0.026080
NUDT7	0.026052
IRX3	-0.026037
CDO1	0.025961
MXD4	0.025899
MYBL1	-0.025818
CDKN2B	0.025630
SYT4	-0.025437
RRP1B	0.025381
ZBTB12	-0.025372
DDX3Y	0.025296
CCDC120	-0.025122
LITAF	-0.025111
S100B	-0.025104
HTR3A	0.025103
MDFIC	0.024920
SH3RF1	0.024854
C11orf96	-0.024800
APCDD1	-0.024703
GAB1	-0.024690
HEPH	0.024664
NETO1	-0.024604
HUNK	-0.024507
RNF157	0.024505
CNN1	-0.024497
FZD8	-0.024484
PLIN4	0.024405
PRRX1	-0.024375
ANGPT2	-0.024368
ARC	0.024311
CCND3	0.024297
CYP1B1	0.024248
FAM117B	0.024175
WNK4	0.024160
EPB41L4A	-0.024126
GGT7	0.024116
RXRA	0.024091
KCNK1	0.024076
ZNRF2	-0.024052
NDP	-0.023972
NPAS2	0.023964
S1PR1	-0.023941
RASSF3	-0.023940
CAMKV	-0.023919
PTTG1IP	0.023858
ARL4D	0.023799
NOTCH4	0.023761
LRRTM2	-0.023742
GFAP	0.023725
NUDT9	0.023542
UNG	-0.023513
MEF2C	-0.023431
DACT1	-0.023424
ST3GAL6	0.023399
TLL1	0.023354
OLFML2B	0.023285
ADORA1	0.023114
PHYHIPL	-0.022993
SPSB1	0.022990
CLCF1	-0.022982
RNASE1	-0.022969
ENDOG	0.022935
CPEB3	0.022902
ADCYAP1R1	-0.022875
DAB1	0.022871
GNAZ	-0.022864
PCDH8	-0.022806
IL6R	0.022789
AGFG2	0.022698
DDIT4	0.022626
RGS20	-0.022620
HIP1	0.022614
MYCN	-0.022581
LRP4	0.022575
ELK3	-0.022507
FBXO18	0.022491
CYTIP	0.022423
LMO1	-0.022421
CDC42EP3	-0.022400
HMGCS2	0.022389
TANGO2	0.022384
PLIN5	0.022380
IL1RAP	-0.022287
IL15RA	0.022223
TIMP1	-0.022206
ETS1	-0.022199
NDRG1	-0.022187
NECAB2	0.022123
EPHB3	-0.022112
KCNH2	0.022092
SYN2	-0.022069
LDB2	-0.022019
RASA2	-0.022003
IQGAP2	0.021979
DDIT4L	-0.021911
ST6GALNAC5	-0.021902
MAT2A	0.021795
SSNA1	0.021793
EVA1C	0.021762
EMP1	-0.021753
OAF	0.021641
LIFR	0.021635
ARMCX1	-0.021632
BAZ2B	0.021626
SOX7	-0.021596
DUSP18	-0.021508
MAP7	0.021463
SLC5A3	-0.021405
BACH2	-0.021354
KIT	-0.021288
PPARGC1B	0.021263
ENPP4	0.021239
MRAS	0.021228
CIDEA	0.021163
CDC42EP1	-0.021119
GPT2	0.021106
ABR	0.021096
VEGFA	-0.021063
SPOCK2	0.020950
ZNF467	-0.020889
G0S2	0.020885
TAF8	0.020866
KCNIP3	-0.020855
EYA1	-0.020829
FRMD4B	0.020761
SEMA6D	-0.020745
NTNG1	0.020716
CRYBG3	-0.020694
NXN	0.020634
RAB11FIP5	-0.020550
ITGB5	0.020458
FN1	-0.020449
FZD9	-0.020410
AHCYL1	0.020397
NCOA1	0.020349
TMEFF2	-0.020308
CROT	0.020259
DBP	-0.020246
EPPK1	0.020242
WNT7B	-0.020148
OSBPL11	0.020127
TRIB1	0.020121
RPRM	-0.020034
IGFBP3	0.019995
CLMN	0.019968
KCNK2	-0.019943
CHKA	0.019874
CPEB2	-0.019820
RND3	-0.019805
PNP	-0.019793
SALL2	-0.019784
ERO1L	-0.019730
TMEM181	0.019717
MTSS1	-0.019711
CAPN5	0.019680
CTDSPL	-0.019680
MAP3K8	0.019609
AZIN1	0.019549
C15orf39	0.019530
SIRPA	-0.019525
ITIH5	-0.019485
RAB30	-0.019375
TRIM13	-0.019364
AIF1L	-0.019339
LRRFIP1	-0.019308
CACNA1H	0.019301
PRMT2	-0.019272
TCF7L2	-0.019269
PPP1R3C	0.019245
GSAP	-0.019238
FGFR2	-0.019218
GBP3	-0.019217
FZD1	0.019199
SNTB2	-0.019168
TPST2	0.019081
SNCAIP	-0.019074
SOSTDC1	-0.019020
SIN3A	-0.018931
HEY1	-0.018903
CA8	-0.018900
FMNL3	-0.018899
TIMP3	-0.018892
GLCE	-0.018880
PLAC8	0.018837
RASIP1	0.018819
PLSCR1	-0.018774
PPP2R2B	-0.018757
TSC22D4	0.018719
CPEB1	-0.018718
GPD1	0.018701
TGIF1	-0.018620
S100A6	-0.018618
CIB1	0.018606
PLEKHA2	-0.018593
SRGAP2	-0.018545
SIX5	-0.018517
PPP5C	0.018511
CNIH3	-0.018492
REV3L	-0.018470
PKNOX2	0.018467
ABCG2	0.018427
ANKRD12	-0.018386
MYC	-0.018364
PLLP	-0.018354
CDC6	-0.018289
ARHGEF28	0.018279
NOVA1	-0.018274
NCKIPSD	0.018266
SPTAN1	0.018257
STC2	-0.018174
DDIT3	-0.018153
FKBPL	0.018117
PCDH10	-0.018113
LRRTM1	-0.018106
ALDH1A3	-0.018078
PPP1R1A	-0.018059
FOSL1	-0.018014
BCL11B	-0.018004
FOXN2	-0.017940
ID1	0.017827
ADAMTS1	-0.017796
NEFL	-0.017793
SLC6A15	-0.017790
RAI14	-0.017785
MAPK7	-0.017766
B3GNT5	-0.017752
WNT5A	-0.017684
TLE2	0.017650
LPP	0.017646
FJX1	-0.017633
APBA2	0.017597
GADD45A	-0.017589
FRYL	0.017579
PLEKHH1	0.017559
OTUD7B	0.017533
BID	-0.017523
MARCH9	-0.017496
SPHK1	0.017493
ASCL1	0.017487
NMT2	-0.017473
IFRD1	0.017472
ETS2	0.017466
FAM20C	-0.017462
CITED2	0.017461
KCNA4	0.017448
CDH22	0.017429
TNFRSF12A	-0.017331
P2RY1	0.017326
CDKN1A	0.017275
LMO2	-0.017266
SNAPC2	-0.017240
ASRGL1	-0.017219
ELOVL7	-0.017153
HDAC9	-0.017131
PRICKLE1	0.017067
WNK2	0.017056
INSL6	0.017031
DUSP8	-0.017026
FMN2	-0.017021
RELB	-0.016999
REEP6	-0.016992
PLK3	0.016868
RALGDS	0.016865
PEG10	0.016856
ARAP1	-0.016856
PADI2	-0.016835
GSTM5	0.016831
BLCAP	-0.016800
WDR62	0.016797
BMPR2	-0.016782
SPAG5	0.016734
DTL	-0.016695
BBX	0.016686
ARMCX2	-0.016676
ETAA1	-0.016667
RGS4	-0.016654
TRIM47	-0.016622
VAMP2	0.016601
TPD52L1	0.016595
SLC25A24	-0.016559
GABRB3	-0.016523
