!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!organism	Mus musculus
!cell	chondrocytes
!perturbation	dexamethasone
!end_metadata
RPL14	-0.029230
ABRACL	0.029160
CBX3	0.029160
WBP5	0.029156
TM9SF2	0.029022
NACA	-0.028947
ID1	-0.028938
RPS4Y1	0.028874
TSC22D1	-0.028714
PEBP1	0.028643
TUBA1A	0.028535
TMX1	0.028497
TCP1	0.028431
GCLC	0.028383
PRKCSH	-0.028380
HNRNPK	0.028373
ITM2A	0.028175
FRMD6	-0.028170
SLC39A8	0.027979
COL11A1	0.027860
ARHGDIA	0.027818
CAPN6	0.027653
NEDD8	0.027543
COX8A	-0.027348
ME1	-0.027326
BTF3	-0.027281
RPL18A	0.027264
F3	0.027150
HSP90AB1	-0.027138
ARL3	0.027121
BANF1	-0.027098
CKB	-0.027074
TGFBR3	0.027047
GPSM2	-0.026969
SF3B5	-0.026908
S100A16	0.026900
RHOC	-0.026835
MAP2K3	-0.026757
SEC23A	0.026649
IRS1	0.026643
TNFRSF11B	-0.026585
MAGOH	-0.026576
RPS28	0.026528
MKNK2	0.026513
ADM	0.026498
SNX18	0.026495
HAPLN1	0.026420
CNKSR3	0.026355
RPL28	0.026337
JUN	-0.026325
SEC11A	0.026264
GNB2	-0.026252
MRPL12	-0.026210
HSPA5	-0.026114
RPL7	0.026078
ATP6AP2	0.025907
NDUFB10	-0.025852
RPS29	0.025844
BNIP3	0.025760
ID3	-0.025757
SH3BGRL	0.025572
EREG	-0.025449
RHOB	0.025391
CD44	-0.025302
MBNL2	0.025215
LMNA	-0.025205
FN1	0.025074
ERH	-0.025027
RPS7	-0.024986
RPLP2	-0.024909
DOK1	0.024863
GRB10	0.024835
SULF2	0.024806
RPL21	-0.024764
MTAP	-0.024734
TIMP3	-0.024727
NDRG2	0.024698
EIF3G	-0.024646
NOP56	-0.024646
PLP2	0.024587
ACTN1	0.024526
MCFD2	-0.024517
SPCS3	0.024507
HSPB1	0.024443
COX6B1	-0.024413
TVP23B	0.024406
MORF4L1	0.024399
C1orf21	0.024342
IL1RL1	-0.024296
TMED9	0.024179
JADE2	0.024149
MRPL20	-0.024138
HAS2	-0.024115
TAGLN	-0.024094
YWHAQ	0.024069
C1QBP	0.024027
BIRC5	-0.024000
LOXL4	-0.023980
BMS1	0.023965
GABARAP	0.023917
CKAP4	0.023890
ANKH	-0.023864
PPAP2B	-0.023796
PTGIS	0.023638
FAM98A	0.023619
HPRT1	0.023611
TKT	-0.023390
HINT1	-0.023306
SUCLG1	-0.023253
CCL13	-0.023236
RPS26	0.023171
COMP	-0.023077
EIF4A1	-0.023025
GLUL	0.023018
CHCHD2	0.023000
FOXC1	0.022991
M1AP	0.022986
FAU	-0.022960
TIMM13	-0.022930
ARFIP1	0.022923
TGFBI	-0.022867
CXCL2	-0.022769
PTP4A2	-0.022763
COL4A2	0.022714
LTBP2	0.022704
PLA2G4A	-0.022676
DDX3X	0.022659
MYBBP1A	-0.022618
RPS27L	-0.022602
FAM8A1	0.022574
SLC39A7	-0.022549
PFDN4	-0.022351
NAP1L1	-0.022333
SERF2	-0.022322
ATP5C1	0.022316
SORBS1	0.022305
HMOX1	-0.022305
MRPL52	-0.022304
POLDIP3	0.022302
DYNLRB1	-0.022282
SLC38A4	0.022271
SUN2	0.022250
EHD3	0.022242
FKBP10	-0.022206
VCP	-0.022116
CDK4	-0.022082
UBE2S	-0.021989
GPX4	-0.021989
NDUFA7	-0.021987
HMGN1	0.021987
NDUFA13	-0.021927
CARM1	0.021926
SEC23B	0.021839
RPL5	0.021832
NARS	0.021822
PDCL3	-0.021815
TNS1	0.021811
SNTA1	0.021766
MTCH1	-0.021695
LDLRAD3	0.021690
ANXA4	0.021636
COL6A3	0.021636
HSPA8	0.021625
CLIC4	0.021504
PSMB6	-0.021488
PFDN1	-0.021429
ATP5D	-0.021405
SLC12A2	0.021337
SAP30	0.021331
SLIRP	-0.021315
AAMP	-0.021296
TPT1	0.021293
RPL13	-0.021206
PSMD5	-0.021166
AKR1A1	0.021144
RAC1	0.021004
EIF3D	-0.020975
PPIC	0.020935
C1orf198	0.020902
LDHA	0.020877
GHR	0.020858
MAGT1	0.020841
RPS8	-0.020828
NSFL1C	0.020793
GPX8	-0.020772
CCT7	-0.020689
NRP1	-0.020679
RANBP1	-0.020644
PGRMC1	-0.020640
PLS3	0.020629
IBSP	0.020608
MLF2	0.020546
CEBPB	-0.020536
CACYBP	-0.020440
RPL18	-0.020436
SUMO2	0.020397
TIMM23	0.020379
PRPS1	0.020353
LASP1	0.020322
RPSA	0.020321
RPS15A	0.020284
PENK	-0.020220
YIF1A	0.020219
TMEM176B	0.020102
ATP5J2	-0.020059
ATP6AP1	0.020036
HYOU1	0.019997
ZBTB16	0.019991
ANAPC13	-0.019991
PCBP1	0.019989
P4HB	0.019984
SVIL	0.019984
RBMS1	0.019920
PICALM	0.019916
H2AFX	-0.019894
TUSC3	-0.019893
AEBP1	-0.019862
SLC10A6	0.019801
SEPW1	-0.019797
PSMC2	0.019760
SERTAD1	-0.019685
INHBA	-0.019682
YWHAB	0.019596
NDRG4	0.019570
PSMB5	0.019545
PDK4	0.019471
ACAT2	0.019427
ZMPSTE24	0.019317
CCT2	-0.019266
IMPAD1	0.019266
WDR1	-0.019229
SLC3A2	0.019214
SLC7A1	0.019105
ROMO1	0.019016
TXNIP	0.019004
MAT2A	0.018987
CDKN1A	0.018976
COX4I1	0.018914
EMP1	-0.018877
TSPAN3	0.018771
EMB	-0.018747
HMGB2	-0.018742
RPS10	-0.018717
POMP	-0.018702
NCKAP1	-0.018571
SCAND1	-0.018499
APEX1	0.018383
ITPRIPL2	-0.018368
PSMC3	-0.018358
TRIM35	0.018342
COL9A1	0.018320
UBE2N	-0.018317
IDS	0.018311
DUSP6	-0.018269
OAF	-0.018224
CDKN2AIPNL	0.018218
KLF15	0.018185
LAPTM4A	0.018172
CCT6A	0.018170
CSE1L	0.018168
CYC1	-0.018162
EIF2S3	0.018151
TUBA1B	0.018018
FSCN1	0.017996
FKBP8	0.017975
PDGFRB	-0.017971
KLF10	-0.017962
CWC15	-0.017913
PKM	-0.017889
LIMS2	0.017874
SMC4	-0.017868
EDF1	-0.017857
ASAH1	0.017837
FOSL1	-0.017817
RPS19BP1	-0.017776
NSA2	-0.017774
PRKAG1	0.017766
ESM1	-0.017759
EIF3C	-0.017755
KLF4	0.017698
CBFB	0.017676
CRYAB	0.017641
NUP37	0.017640
CITED2	-0.017577
ETFB	-0.017542
LRP10	-0.017540
PSMD14	0.017536
PIEZO1	-0.017475
EHBP1	0.017465
OMD	0.017425
LARS	0.017395
PIN1	-0.017387
KARS	-0.017362
MED18	-0.017316
RPL22	-0.017289
PISD	0.017265
RARS	0.017262
TRPS1	-0.017254
UBE2D3	0.017241
PPP2CA	0.017234
KCNK6	0.017231
CAPN2	0.017202
EIF3A	-0.017185
MRPL24	-0.017177
PLOD3	-0.017156
GDF5	-0.017115
EIF5A	0.017093
RAB1A	0.017089
MEST	0.017013
TNFRSF1A	-0.017000
PCNP	0.016992
CTHRC1	-0.016966
FAM129B	0.016955
TBC1D2B	0.016945
PRDX6	0.016913
PIK3CD	0.016898
ACTA2	0.016885
POLR2M	0.016865
HARS	0.016855
TPI1	-0.016849
