!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	LREX' (prostate cancer) cells
!perturbation	Dexamethasone
!disease	100nM
!end_metadata
DNAJC7	0.016974
COX17	-0.016945
CEBPB	0.016883
WDR6	-0.016816
MYC	0.016812
ID3	-0.016759
SMCO4	0.016745
AMD1	0.016740
FAM129B	0.016719
RAMP2-AS1	-0.016686
CCDC117	-0.016621
SNRPN	0.016611
GRSF1	-0.016565
GHR	0.016564
RBM23	-0.016560
CNKSR3	-0.016500
NAA20	-0.016480
EIF3D	-0.016469
