!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	PGKS - Embryonic stem cell
!perturbation	Dexamethasone  0.1 mM
!end_metadata
MYEOV2	-0.019905
GPR152	0.019901
C2orf43	-0.019900
KITLG	-0.019889
THG1L	-0.019872
NPSR1	0.019867
C11orf85	0.019857
XCR1	0.019849
C2orf74	-0.019845
ARSI	0.019843
MFI2	0.019841
IFT22	-0.019837
IL10RA	0.019834
SULT1C3	0.019810
CLEC7A	0.019796
LYZL6	0.019772
HIGD1A	-0.019770
FGFBP1	-0.019763
KLHDC7B	0.019739
LRRC23	0.019734
MNAT1	-0.019731
C4orf51	0.019714
OR6A2	0.019694
NKX2-6	0.019688
ZNF483	0.019680
BBS5	-0.019670
SLC7A11	0.019666
PPIL2	-0.019661
PGBD1	-0.019657
CATSPERG	0.019643
NUGGC	0.019639
FAM26D	0.019613
TOMM7	-0.019605
RAB18	-0.019588
PCDHB5	0.019577
ADCY10	-0.019568
PIPOX	-0.019566
NLRP9	-0.019553
GDAP1L1	-0.019548
PLGRKT	-0.019544
SGK1	0.019519
SH3GL3	-0.019493
RGS16	-0.019472
GABRA2	-0.019468
LPIN1	0.019458
SLC6A9	0.019448
MRPL54	-0.019423
GNAI1	-0.019394
TMEM160	-0.019384
ERBB2IP	-0.019359
SIX1	0.019359
SUCLG1	-0.019356
PIFO	-0.019350
MTMR1	-0.019318
SWI5	-0.019305
APOBEC2	-0.019299
DCTPP1	-0.019295
BFSP2	0.019294
KCNMB2	0.019287
CENPC	0.019284
PIM2	-0.019261
CYP2J2	-0.019258
OR5AR1	0.019258
BCHE	-0.019254
SPPL2A	-0.019224
EOMES	-0.019199
GPX5	0.019172
FCER2	0.019162
ZBTB10	-0.019158
ERP44	-0.019148
GPR180	-0.019139
TMEM126B	-0.019116
AP2S1	-0.019105
TRDN	0.019094
ZNF830	-0.019093
LAT	-0.019077
GJA5	0.019070
ZC2HC1B	0.019069
PCDH17	0.019065
TSLP	-0.019057
SSUH2	0.019051
FBXO5	-0.019044
SLIT2	-0.019043
RNF13	-0.019024
PVRL4	0.019017
PRSS50	-0.019004
FBXO24	0.019002
ARHGEF37	0.018989
HMOX1	0.018987
ANPEP	-0.018965
ANKRD1	-0.018963
RWDD2A	-0.018961
MSRB2	-0.018959
RFC2	-0.018942
TSC22D3	0.018928
CYP2S1	-0.018905
C2orf73	0.018887
RASSF2	-0.018883
CA4	-0.018877
EARS2	-0.018872
ARHGAP18	-0.018868
GLRB	0.018868
CPM	0.018864
PCOLCE2	-0.018862
WDSUB1	-0.018861
FGF19	-0.018852
PTCHD3	0.018849
ZFR	-0.018825
KLF1	-0.018823
SELT	-0.018817
GZMM	0.018814
INHBA	-0.018812
ZNF169	-0.018807
MCF2	-0.018789
B3GALT6	-0.018786
CFI	0.018767
COMMD2	-0.018748
MET	-0.018746
SECTM1	0.018744
PACRGL	-0.018735
PON3	-0.018730
RALYL	-0.018723
ZFAND3	-0.018712
KLHL7	-0.018683
C14orf93	-0.018680
RABGGTB	-0.018662
SC5D	0.018650
CRLF1	-0.018645
PLK3	0.018637
DENND1C	-0.018619
PCDHB14	0.018608
ARSK	-0.018602
OR10H1	0.018598
TSPAN9	-0.018590
KRTAP24-1	0.018586
NPS	0.018577
GPATCH2L	-0.018572
KCNA4	-0.018562
TNFSF18	0.018552
TNNT1	0.018542
LARGE	-0.018539
CFHR1	0.018502
ATP6V0E1	-0.018500
AIP	-0.018488
CCDC132	-0.018479
CACNB3	-0.018471
LCT	0.018461
OTUD7A	0.018457
TRIM10	-0.018438
RNF170	0.018433
GJC3	0.018430
MTHFD2	0.018427
OR4K5	-0.018425
ALDOC	0.018415
KLHDC9	0.018403
PRSS38	0.018356
CHRNB2	0.018350
SIDT1	0.018344
KCNRG	0.018328
GRK5	-0.018322
INSM1	-0.018320
UTS2B	0.018312
HIGD2A	-0.018301
TMEM39B	-0.018285
ATOX1	-0.018278
SAP18	-0.018264
HPSE	0.018258
LDLRAD4	-0.018257
CARHSP1	-0.018248
CHST15	-0.018225
SOX18	-0.018212
POT1	-0.018210
ATF6B	-0.018207
COMMD9	-0.018206
ASZ1	0.018196
ETV1	-0.018193
MMGT1	-0.018182
ABCG1	-0.018167
PLXNC1	-0.018153
GNAT3	-0.018149
AMACR	-0.018139
CLCF1	0.018138
STK17B	-0.018136
CD38	-0.018126
ZNF14	0.018110
MYOT	0.018089
C3orf84	0.018073
TSKS	0.018069
ZBED5	-0.018021
NHEJ1	-0.018016
TMPRSS2	0.018012
USP51	0.017994
PNPLA3	-0.017987
SLC29A4	-0.017980
GPR84	0.017980
MAN1C1	0.017979
HP1BP3	0.017976
AACS	0.017971
EPHA5	0.017967
CCDC176	0.017966
RAMP3	-0.017956
C1orf174	-0.017954
TNFSF10	0.017949
TMEM65	-0.017933
SUOX	0.017921
TCEB3	-0.017913
CACNA2D1	-0.017889
GPR4	-0.017888
KCNJ14	0.017885
TNFRSF21	-0.017877
PLD4	0.017874
NIPAL1	0.017874
ARAP2	-0.017869
MBOAT2	-0.017851
FZD8	-0.017846
RNF26	-0.017833
NKRF	-0.017825
ELAVL2	-0.017806
UTP18	-0.017786
SLC9A2	0.017784
B9D1	-0.017782
FAM189B	-0.017781
LYZL1	0.017759
ZBTB25	-0.017750
PTGFR	0.017745
CHRNB4	0.017734
MS4A2	0.017728
GFRAL	-0.017724
PHLDA1	-0.017718
NDUFAF4	-0.017707
CETN3	-0.017692
MDP1	-0.017650
RBM12B	0.017642
SCRN3	-0.017611
ECI1	-0.017609
LNPEP	0.017606
HIST1H2BI	-0.017598
CYP7A1	-0.017566
IRGC	0.017564
