!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!organism	Mus musculus
!cell	chrondocytes
!perturbation	Dexamethasone
!end_metadata
ID3	0.026723
SORBS1	0.026709
NEDD9	0.026662
COL12A1	0.026624
MKNK2	0.026591
KLHL13	0.026590
KLF4	0.026590
C11orf31	0.026503
PHF10	-0.026393
CRLF1	-0.026366
TK1	-0.026360
TNMD	0.026360
WISP1	-0.026316
ANXA5	-0.026303
NDRG4	0.026268
PTPLA	0.026266
PDLIM2	0.026215
HSP90AB1	-0.026147
S100A6	0.026132
GNB2L1	-0.026080
MST4	0.026032
IDI1	0.025598
RAN	-0.025577
MSN	-0.025487
EMB	-0.025450
EFEMP2	-0.025221
P4HB	-0.025201
IDH2	0.025153
KCTD12	0.025136
PRDX6	0.025064
ITGA10	0.025040
ANGPTL2	-0.025015
PRKCDBP	0.024820
CEBPB	-0.024768
RPL27	-0.024734
OAT	0.024629
CCT6A	-0.024623
PTN	-0.024569
AK3	0.024479
SWI5	0.024354
PPIB	0.024350
GJB2	-0.024152
PPIC	0.024127
DEGS1	0.024119
EIF3G	0.024103
HTRA1	-0.023957
CCND3	0.023899
CNN3	0.023825
MLF2	-0.023824
PKD2	-0.023811
LEPREL4	0.023772
CFL1	-0.023660
NSFL1C	-0.023659
ALDOA	-0.023604
BSG	-0.023505
CTSD	0.023437
MOXD1	-0.023383
CDO1	0.023364
CYB5R1	-0.023174
PCNA	-0.023118
ZFP36L1	-0.023051
HMGN1	-0.023043
RPS17	-0.022943
PRDX1	-0.022937
VDAC3	-0.022929
COL11A1	0.022848
RPL18	-0.022773
WNK1	0.022764
GPX1	0.022725
SMOC2	0.022693
EIF4A1	-0.022617
PDCD6	0.022551
GALE	0.022527
RHOQ	-0.022479
NARS	-0.022448
VIMP	0.022371
GPX8	0.022300
CD109	0.022183
S100A16	0.022177
SHFM1	0.022177
SQSTM1	-0.022174
CD44	-0.022111
KLF15	0.021914
AJUBA	-0.021779
SOCS3	-0.021705
LTV1	0.021694
EHD3	0.021565
DLK2	0.021458
CSPG4	0.021386
PLCD1	0.021369
ITGA5	0.021316
EPS8	-0.021297
CDH2	0.021295
BAG1	0.021275
CTSZ	0.021249
SCIN	0.021235
PHLDA3	0.021212
ATRAID	0.021187
FAU	-0.021119
SLC39A7	0.021073
HNRNPUL1	-0.021015
FXYD5	-0.020947
ATP6V0E1	0.020924
MAGED2	0.020910
VKORC1	0.020908
MARCKSL1	-0.020866
MRPL33	0.020831
GCLC	0.020819
STARD8	0.020771
DLK1	-0.020676
RCC2	-0.020656
ATP6AP1	-0.020570
PLA2G4A	-0.020535
DUSP6	-0.020534
ADM	0.020527
POLR2F	0.020507
HAS2	-0.020425
MCM7	-0.020276
FMOD	0.020178
TBC1D2B	0.020167
CPE	0.020159
OAZ1	-0.020145
RPN1	0.020081
ADAM9	0.019989
CPM	0.019937
APLN	-0.019922
RNASE4	0.019921
ARPC4	0.019906
PBK	-0.019881
SULF2	0.019845
UGP2	0.019815
SUMO2	-0.019808
FDPS	0.019788
RSL1D1	-0.019769
DAP	0.019727
TUBB	-0.019700
RPL12	-0.019666
MIA	0.019663
UBA1	-0.019582
VCP	-0.019580
GPC1	-0.019535
MTAP	-0.019491
CRLF3	0.019466
HNRNPC	-0.019422
PICALM	0.019384
SLC16A3	-0.019379
RPL18A	-0.019286
FCF1	-0.019283
COL27A1	0.019235
RPS10	-0.019226
PAPSS1	0.019220
UBE2E1	0.019211
PCBP1	-0.019187
RPL13	-0.019160
MYLK	0.019116
CXCL2	-0.019112
GNAI2	-0.019077
FSTL1	0.019024
RPS18	-0.018983
SSRP1	-0.018978
COL5A2	-0.018968
CYP1B1	-0.018965
EHBP1	0.018940
GSTO1	-0.018896
PRMT1	-0.018864
SULF1	-0.018835
YWHAZ	-0.018824
DDX3X	0.018796
ARPC3	0.018768
SUB1	0.018749
SNRPD2	-0.018734
STRN4	-0.018650
RND3	-0.018645
TAB2	0.018642
RDX	0.018629
ARHGDIB	0.018612
MPC1	0.018570
HNRNPA0	-0.018557
PARK7	0.018546
CDK1	-0.018490
FZD9	0.018471
UQCRB	-0.018467
MAPK6	-0.018439
EEF1B2	0.018430
TCP1	-0.018397
CRISPLD2	0.018391
PRDX5	0.018290
TGM2	0.018236
PGAM1	-0.018231
ATP5G3	-0.018209
CKS2	-0.018207
CALR	-0.018194
SOX21	-0.018170
COPG1	0.018150
RPL19	-0.018149
ASNS	-0.018121
CAPN6	0.018109
COX6B1	0.018103
PER1	0.018096
SUCLG1	-0.018052
CTBP1	-0.018017
C14orf166	0.017980
GSTP1	-0.017923
NOP10	-0.017911
CSDE1	-0.017905
ARF1	-0.017883
HNRNPAB	-0.017878
TENC1	0.017861
ARPC1B	0.017855
HNRNPU	-0.017850
GADD45G	0.017837
RPS4Y1	-0.017807
IFITM2	-0.017738
GHR	0.017738
FAT1	-0.017732
MIF	-0.017732
SLC35D1	0.017685
IGSF8	-0.017664
VDAC2	-0.017624
H1F0	-0.017622
C9orf40	-0.017610
GALNT2	-0.017601
APRT	0.017553
SUSD5	0.017550
MUM1L1	0.017546
EIF3F	-0.017521
SNRPF	0.017511
RPL26	-0.017507
ATP1B3	-0.017506
SUPT16H	-0.017406
UBE2S	-0.017402
TRIM47	0.017386
REXO2	0.017384
STMN1	-0.017383
NTAN1	0.017373
C14orf2	-0.017365
HBEGF	-0.017360
NAB2	-0.017335
FERMT2	0.017313
PRPF8	-0.017303
ODC1	-0.017295
HSPA5	0.017282
RPSA	-0.017265
TMED9	-0.017251
KIF22	-0.017223
CXCL14	-0.017213
TXNRD1	-0.017213
TMCO1	0.017206
SEC61G	0.017183
CUL4A	0.017183
CCNG1	0.017167
ESYT2	0.017139
DDB1	0.017131
PPM1G	-0.017106
SAR1A	0.017039
LHFP	0.017031
TMEM119	0.017031
PYGB	-0.017005
DEPTOR	0.017002
NUDT3	-0.016994
NT5E	-0.016993
CLIC4	0.016961
SLC44A2	0.016960
FOSL2	-0.016932
LAPTM4A	0.016902
FSCN1	0.016884
