Ensg	ROGKO_DEX-1	ROGKO_DEX-2	ROGKO_DEX-3	ROGKO_PBS-1	ROGKO_PBS-2	ROGKO_PBS-3	WT_DEX-1	WT_DEX-2	WT_DEX-3	WT_PBS-1	WT_PBS-2	WT_PBS-3
ENSMUSG00000000282	106	83	89	106	121	150	87	47	51	77	164	84
ENSMUSG00000000290	83	57	58	73	105	96	126	69	92	84	117	137
ENSMUSG00000000295	7	12	11	7	13	14	12	7	16	10	12	19
ENSMUSG00000000296	105	115	118	76	78	66	87	84	94	72	103	105
ENSMUSG00000000301	2383	2439	2438	2994	2637	2156	2330	2304	3075	1451	2563	3064
ENSMUSG00000000303	177	201	224	294	462	325	317	234	219	327	316	420
ENSMUSG00000000305	37	17	20	21	27	10	14	9	22	7	14	19
ENSMUSG00000000308	0	1	1	0	0	0	0	0	0	4	0	0
ENSMUSG00000000317	21	16	25	23	21	51	10	0	10	14	23	60
ENSMUSG00000000318	5	4	2	4	3	1	5	2	3	0	10	4
ENSMUSG00000000320	3	4	8	8	12	5	2	5	5	7	13	13
ENSMUSG00000000325	87	88	105	135	137	68	140	115	136	65	141	149
ENSMUSG00000000326	5395	5435	5674	4725	8250	6813	4746	6686	3641	7651	9395	7387
ENSMUSG00000000339	103	84	90	81	119	106	102	93	94	83	115	105
ENSMUSG00000000340	1412	1380	1388	1332	1321	1146	1479	1269	901	828	1529	1233
ENSMUSG00000000346	1304	1376	1432	1261	1458	1276	1334	1109	1077	1087	1535	1363
ENSMUSG00000000355	257	237	271	208	322	263	260	244	198	236	304	276
ENSMUSG00000000359	4	0	1	3	2	1	0	2	3	1	2	5
ENSMUSG00000000365	0	0	0	0	0	0	0	3	0	0	1	0
ENSMUSG00000000374	521	424	444	338	421	330	439	441	447	265	469	404
ENSMUSG00000000378	225	170	247	177	262	196	205	184	215	173	239	213
ENSMUSG00000000381	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	398	369	405	342	452	340	415	405	342	277	452	423
ENSMUSG00000000385	96	97	85	50	71	37	110	151	223	61	93	79
ENSMUSG00000000386	5	6	5	11	7	12	9	7	0	13	10	25
ENSMUSG00000000392	1	1	1	2	0	0	2	1	0	1	0	2
ENSMUSG00000000394	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399	1099	1073	1118	1093	1272	948	1047	937	859	877	1186	1173
ENSMUSG00000000402	0	2	1	0	0	0	1	0	1	0	1	1
ENSMUSG00000000409	8	4	6	14	9	10	13	3	4	10	6	30
ENSMUSG00000000411	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000416	0	0	0	2	1	1	0	2	1	3	0	3
ENSMUSG00000000420	716	674	693	586	757	644	764	585	632	570	767	712
ENSMUSG00000000435	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	105	99	95	142	125	136	134	111	74	91	110	176
ENSMUSG00000000440	128	112	119	63	120	205	88	44	61	84	77	76
ENSMUSG00000000441	611	569	621	671	871	679	593	552	553	594	829	923
ENSMUSG00000000486	2	7	7	16	10	6	10	10	16	11	15	21
ENSMUSG00000000489	15	7	10	13	30	8	25	4	5	6	18	10
ENSMUSG00000000530	30	22	19	34	31	32	31	27	38	34	29	46
ENSMUSG00000000531	36	38	52	16	26	24	53	51	63	11	27	27
ENSMUSG00000000532	78	92	93	115	176	111	95	84	88	87	147	165
ENSMUSG00000000538	349	289	327	304	495	359	430	395	297	257	489	389
ENSMUSG00000000544	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000552	56	96	92	89	151	93	88	58	110	94	123	195
ENSMUSG00000000555	105	109	111	185	213	145	195	124	202	118	186	280
ENSMUSG00000000560	0	0	0	0	1	0	0	0	0	0	1	0
ENSMUSG00000000561	195	204	231	192	267	160	269	183	150	154	229	163
ENSMUSG00000000562	0	0	0	1	0	1	1	0	0	0	0	0
ENSMUSG00000000563	3345	3114	3269	3093	3757	2976	3177	2915	2799	2779	3623	3472
ENSMUSG00000000567	29	30	26	20	33	34	26	23	26	15	28	15
ENSMUSG00000000568	385	480	472	438	449	403	445	293	323	255	479	502
ENSMUSG00000000579	8	7	2	11	18	9	21	15	8	8	16	18
ENSMUSG00000000581	431	437	403	419	423	335	393	279	252	302	529	425
ENSMUSG00000000594	1193	1381	1396	1452	1562	1324	1902	1168	1321	970	1628	1731
ENSMUSG00000000600	217	158	195	204	212	184	222	154	182	141	264	190
ENSMUSG00000000605	863	783	907	684	962	765	817	635	657	651	951	824
ENSMUSG00000000606	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000627	1	0	1	0	1	0	3	1	0	1	2	0
ENSMUSG00000000628	16	16	14	18	21	19	36	46	30	23	20	29
ENSMUSG00000000631	1035	1036	1050	1571	1717	1339	1728	892	1061	768	1426	1563
ENSMUSG00000000632	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000673	3831	3728	3889	4465	4792	3538	3330	3508	2776	2534	4467	4613
ENSMUSG00000000682	34	30	28	57	52	71	53	31	44	44	59	83
ENSMUSG00000000686	592	338	398	484	483	384	442	614	342	343	552	546
ENSMUSG00000000690	1	2	0	1	3	1	0	0	0	0	2	1
ENSMUSG00000000693	10	10	19	15	18	14	9	11	22	11	29	32
ENSMUSG00000000701	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000708	1185	1129	1176	1125	1271	1129	976	782	903	942	1439	1386
ENSMUSG00000000711	1033	1034	1093	1158	1315	1083	1011	918	859	854	1372	1396
ENSMUSG00000000724	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000730	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000731	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000732	24	14	16	6	11	10	37	29	28	8	20	24
ENSMUSG00000000738	480	459	490	377	524	410	470	408	361	353	521	504
ENSMUSG00000000739	113	113	147	283	153	115	57	143	107	181	115	170
ENSMUSG00000000740	1212	1346	1363	1284	1545	1213	1384	1254	1199	910	1352	1155
ENSMUSG00000000743	543	555	579	586	703	558	596	537	525	469	705	726
ENSMUSG00000000751	280	208	212	300	289	254	308	261	239	259	353	440
ENSMUSG00000000753	5916	5747	6007	7105	7325	5617	6312	5712	5346	4621	6655	7317
ENSMUSG00000000759	100	123	120	119	118	121	168	108	106	72	156	149
ENSMUSG00000000766	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000776	116	119	108	82	93	113	130	98	91	66	91	81
ENSMUSG00000000782	40	47	41	82	64	49	44	33	75	51	74	146
ENSMUSG00000000787	3472	2711	2719	3549	3229	3070	2898	2181	3707	2001	3747	4294
ENSMUSG00000000791	38	52	53	22	75	21	41	34	29	11	46	19
ENSMUSG00000000792	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000794	1	2	0	3	0	0	0	3	3	2	1	0
ENSMUSG00000000804	381	321	339	344	406	411	393	316	385	297	456	378
ENSMUSG00000000805	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000000811	79	96	103	88	88	81	125	65	44	59	89	98
ENSMUSG00000000817	0	2	0	1	1	3	1	2	3	1	1	2
ENSMUSG00000000823	128	125	138	157	206	160	196	127	152	182	273	303
ENSMUSG00000000826	882	799	876	730	1082	763	843	771	779	640	1018	901
ENSMUSG00000000827	297	285	263	317	354	265	298	252	242	211	370	396
ENSMUSG00000000838	256	255	260	252	264	252	296	209	348	150	362	285
ENSMUSG00000000861	2	1	0	1	4	1	2	0	1	2	3	1
ENSMUSG00000000869	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000876	1162	1119	1121	984	1079	729	1721	1116	1175	933	1087	922
ENSMUSG00000000881	181	173	191	180	233	158	169	193	194	176	220	210
ENSMUSG00000000884	6	10	11	8	12	10	15	9	8	8	12	14
ENSMUSG00000000889	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000901	3	0	0	3	6	2	1	2	2	3	3	3
ENSMUSG00000000902	115	124	113	126	198	149	156	106	110	127	191	175
ENSMUSG00000000903	0	2	2	6	3	3	0	0	1	1	1	6
ENSMUSG00000000915	792	605	667	436	674	480	886	618	421	378	810	438
ENSMUSG00000000916	71	84	92	84	91	79	96	72	60	57	112	95
ENSMUSG00000000934	155	142	198	160	192	217	167	169	127	129	190	215
ENSMUSG00000000938	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000942	4	4	2	2	3	5	2	3	3	0	1	3
ENSMUSG00000000948	1	2	2	1	5	2	12	0	1	2	4	3
ENSMUSG00000000957	216	165	140	346	287	219	218	133	316	131	238	394
ENSMUSG00000000958	39	30	25	28	38	31	60	36	56	36	51	54
ENSMUSG00000000959	416	391	399	476	494	357	450	433	393	332	444	460
ENSMUSG00000000976	215	182	213	124	220	145	356	218	221	112	187	175
ENSMUSG00000000982	6	5	5	1	3	16	2	2	0	3	1	0
ENSMUSG00000000983	2	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000001014	1	2	8	0	6	4	3	2	4	2	4	5
ENSMUSG00000001016	170	158	164	158	175	151	196	130	164	129	190	182
ENSMUSG00000001017	570	555	571	571	704	504	576	519	562	445	625	633
ENSMUSG00000001018	137	119	128	140	144	144	143	127	91	116	147	176
ENSMUSG00000001020	0	0	0	0	0	2	0	0	0	2	1	0
ENSMUSG00000001021	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001023	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001025	21	5	9	15	11	12	9	14	19	22	20	16
ENSMUSG00000001027	0	0	0	1	0	0	0	0	0	1	0	0
ENSMUSG00000001029	22	10	17	30	45	32	25	3	18	31	50	57
ENSMUSG00000001034	9	10	12	14	23	33	24	16	21	9	18	32
ENSMUSG00000001036	90	75	60	88	104	83	78	60	86	65	114	137
ENSMUSG00000001039	1	0	1	2	2	1	1	5	2	3	4	4
ENSMUSG00000001052	216	205	212	254	249	268	276	206	215	175	253	228
ENSMUSG00000001053	16	26	26	23	37	20	25	33	38	24	35	38
ENSMUSG00000001054	101	94	110	130	130	100	120	111	112	97	135	138
ENSMUSG00000001056	179	183	197	159	247	168	236	172	174	185	233	178
ENSMUSG00000001062	205	181	180	170	215	118	237	224	180	124	216	227
ENSMUSG00000001065	344	326	356	224	293	153	652	391	450	145	343	369
ENSMUSG00000001076	1	1	1	0	3	0	1	0	1	0	0	0
ENSMUSG00000001082	32	8	17	30	25	39	39	24	26	22	33	33
ENSMUSG00000001089	255	195	200	243	307	257	240	225	250	196	251	294
ENSMUSG00000001095	4	6	6	13	16	4	8	9	2	8	10	21
ENSMUSG00000001098	176	207	193	198	205	187	229	179	210	145	206	230
ENSMUSG00000001100	978	1020	983	899	1080	925	1059	863	815	705	1068	1012
ENSMUSG00000001103	10	7	11	1	3	4	15	6	1	4	4	1
ENSMUSG00000001105	391	371	419	327	481	335	375	420	391	306	446	376
ENSMUSG00000001119	89	55	55	124	80	54	95	78	105	57	102	94
ENSMUSG00000001120	4	9	12	4	10	19	6	6	5	3	6	16
ENSMUSG00000001123	4179	3722	3963	3885	4848	3860	4369	4088	4266	3675	5183	5405
ENSMUSG00000001127	549	479	480	505	604	454	574	487	407	416	691	598
ENSMUSG00000001128	179	160	154	223	202	206	293	239	306	190	288	468
ENSMUSG00000001131	5	1	0	1	2	3	1	8	3	2	0	3
ENSMUSG00000001134	193	216	217	162	209	177	195	171	155	146	217	168
ENSMUSG00000001138	89	110	114	102	113	104	134	113	77	102	136	119
ENSMUSG00000001143	161	126	161	158	179	167	196	153	154	149	179	185
ENSMUSG00000001150	211	207	210	229	333	242	265	230	181	202	297	291
ENSMUSG00000001151	109	96	80	131	146	134	165	112	109	105	145	184
ENSMUSG00000001155	2969	2874	2922	3008	3803	2951	3526	2891	2017	2308	3392	3767
ENSMUSG00000001156	70	80	86	50	50	79	114	68	77	49	70	53
ENSMUSG00000001157	127	121	129	96	125	139	158	104	103	95	145	129
ENSMUSG00000001158	132	154	161	115	149	102	164	122	113	94	112	150
ENSMUSG00000001166	11	0	6	5	6	13	8	9	6	6	10	15
ENSMUSG00000001168	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001173	72	59	69	64	89	57	90	74	45	53	87	76
ENSMUSG00000001175	2184	2075	2138	1794	2773	2121	2180	1923	1962	1926	2493	2238
ENSMUSG00000001211	2600	2407	2574	2239	2675	2025	2638	2567	2395	2002	2645	2632
ENSMUSG00000001225	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001227	80	60	64	37	55	78	81	51	63	36	71	49
ENSMUSG00000001228	5	3	2	3	6	12	22	6	18	7	7	37
ENSMUSG00000001229	793	646	698	384	527	386	945	631	892	369	490	464
ENSMUSG00000001240	114	73	82	68	75	67	146	82	114	53	95	98
ENSMUSG00000001247	1190	1066	1186	1628	1782	1341	1877	1493	1215	1195	2189	2285
ENSMUSG00000001248	151	161	174	110	155	144	236	116	214	111	198	161
ENSMUSG00000001249	3868	3601	3710	4385	4256	3599	3957	3825	3066	2839	4546	4387
ENSMUSG00000001260	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001270	10	22	12	35	46	40	22	15	20	29	48	69
ENSMUSG00000001280	491	412	415	471	637	530	507	368	346	354	552	462
ENSMUSG00000001281	6	9	10	28	21	19	20	14	17	24	18	31
ENSMUSG00000001285	126	148	124	128	161	116	133	111	88	99	131	145
ENSMUSG00000001288	61	34	47	103	92	92	49	45	48	50	115	187
ENSMUSG00000001289	521	553	540	462	575	471	492	412	390	406	598	471
ENSMUSG00000001300	17	13	11	48	27	28	39	6	20	22	30	30
ENSMUSG00000001305	159	183	164	152	202	127	187	134	135	94	173	112
ENSMUSG00000001313	86	82	74	162	130	109	70	77	101	53	118	156
ENSMUSG00000001323	972	1020	1039	897	1330	1066	1122	907	748	970	1183	1148
ENSMUSG00000001333	0	0	0	0	0	0	0	0	0	0	1	1
ENSMUSG00000001334	5	4	4	2	4	1	5	4	9	0	4	14
ENSMUSG00000001348	1009	1161	1113	1202	1397	1108	1206	1004	745	965	1195	1155
ENSMUSG00000001349	0	0	0	1	4	0	3	7	1	3	1	2
ENSMUSG00000001366	587	603	618	658	676	614	671	539	470	520	734	702
ENSMUSG00000001376	119	149	116	123	193	117	147	107	137	85	184	154
ENSMUSG00000001380	366	401	350	322	517	357	447	360	328	325	434	384
ENSMUSG00000001383	331	405	399	287	406	355	359	325	265	304	392	351
ENSMUSG00000001403	3	4	3	3	3	7	41	8	27	9	4	15
ENSMUSG00000001415	372	325	338	409	508	397	428	321	387	330	511	569
ENSMUSG00000001416	1110	1052	1088	945	1392	880	1271	1032	930	854	1180	1020
ENSMUSG00000001418	453	478	468	543	597	531	570	453	419	387	559	574
ENSMUSG00000001419	221	187	206	229	345	225	298	228	188	165	318	306
ENSMUSG00000001420	30	24	33	21	28	17	26	22	19	21	18	17
ENSMUSG00000001424	1314	1021	1109	976	1714	1111	1294	1162	1001	916	1430	1226
ENSMUSG00000001435	7796	6915	7320	8475	8460	7392	8466	7333	6279	6145	9014	9051
ENSMUSG00000001436	87	110	124	133	175	97	128	89	108	86	137	92
ENSMUSG00000001440	1172	1000	1024	1070	1401	1008	1290	1095	1085	1022	1354	1288
ENSMUSG00000001441	303	294	274	304	420	355	321	269	277	284	377	391
ENSMUSG00000001444	0	1	0	4	4	1	1	2	4	3	3	8
ENSMUSG00000001445	517	547	562	450	601	480	487	535	403	415	597	557
ENSMUSG00000001467	1611	1235	1277	2189	3792	1656	1962	1750	2543	1893	3040	2835
ENSMUSG00000001472	1383	1289	1312	1290	1665	1284	1528	1265	1251	1051	1599	1487
ENSMUSG00000001473	52	30	44	64	168	91	95	49	67	57	74	104
ENSMUSG00000001482	366	308	351	322	478	312	325	374	209	308	400	403
ENSMUSG00000001493	0	0	0	1	1	0	1	0	2	0	1	3
ENSMUSG00000001494	0	0	1	0	0	0	0	0	0	0	1	0
ENSMUSG00000001496	0	0	0	0	0	0	0	1	0	2	0	0
ENSMUSG00000001497	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001504	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001506	92	24	21	82	79	35	82	60	86	45	55	68
ENSMUSG00000001507	78	55	41	55	69	60	72	70	53	42	45	83
ENSMUSG00000001508	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000001510	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001517	4	7	4	6	4	2	19	6	16	5	8	19
ENSMUSG00000001518	85	71	79	81	139	80	72	69	63	70	118	79
ENSMUSG00000001520	0	2	0	3	0	0	1	1	1	0	0	0
ENSMUSG00000001521	12	12	7	13	16	9	22	9	16	11	11	12
ENSMUSG00000001524	80	83	105	110	114	85	119	94	96	80	100	118
ENSMUSG00000001525	231	265	218	425	640	400	530	231	399	337	438	694
ENSMUSG00000001542	2412	2229	2298	817	1215	940	2228	2000	1814	913	1504	682
ENSMUSG00000001552	372	327	296	580	559	438	377	314	346	324	515	715
ENSMUSG00000001555	6	1	11	18	11	5	11	9	11	3	13	17
ENSMUSG00000001558	0	0	0	1	0	0	0	0	1	0	0	0
ENSMUSG00000001566	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001569	280	284	277	261	355	261	315	230	261	206	350	277
ENSMUSG00000001576	800	828	839	662	957	673	914	733	645	630	880	762
ENSMUSG00000001583	0	1	0	0	1	0	1	0	0	1	1	1
ENSMUSG00000001588	4	12	8	17	18	6	12	5	7	10	21	37
ENSMUSG00000001604	404	462	478	405	615	510	508	415	260	327	479	538
ENSMUSG00000001622	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000001627	284	263	303	173	242	186	376	256	369	152	258	213
ENSMUSG00000001630	141	145	155	190	307	192	161	99	150	135	261	302
ENSMUSG00000001632	191	205	214	157	201	161	261	205	218	118	214	185
ENSMUSG00000001642	44	25	32	73	47	50	59	51	32	39	94	82
ENSMUSG00000001655	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001656	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001657	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001661	1	0	0	4	3	1	1	0	2	0	1	1
ENSMUSG00000001663	2377	2459	2563	3281	2800	2167	1890	2014	2465	1394	2268	3545
ENSMUSG00000001665	596	635	678	1039	547	379	268	442	401	157	264	922
ENSMUSG00000001666	1269	1416	1485	1361	1431	1088	1157	1237	899	856	1228	1204
ENSMUSG00000001670	57326	56328	58665	18285	30794	21716	57676	58564	44341	14757	32827	12291
ENSMUSG00000001672	7	12	9	4	16	5	23	9	5	11	17	6
ENSMUSG00000001674	154	159	187	130	178	132	204	156	171	132	178	164
ENSMUSG00000001687	787	785	804	729	738	661	681	640	699	489	820	758
ENSMUSG00000001700	305	243	256	346	387	360	209	262	187	242	395	422
ENSMUSG00000001707	132	137	137	81	123	105	161	122	123	69	123	80
ENSMUSG00000001729	398	401	435	686	724	557	534	370	514	459	630	927
ENSMUSG00000001739	10	1	1	7	5	1	3	11	5	4	8	9
ENSMUSG00000001741	12	15	8	40	32	48	38	21	29	23	62	58
ENSMUSG00000001750	230	269	278	300	294	323	317	339	253	212	358	476
ENSMUSG00000001751	199	172	170	227	270	197	247	170	137	139	243	299
ENSMUSG00000001755	1196	1076	1150	1082	1522	1146	1223	1110	862	896	1420	1456
ENSMUSG00000001761	40	31	42	36	54	41	68	45	47	36	76	53
ENSMUSG00000001763	54	71	84	64	118	79	86	59	49	112	109	65
ENSMUSG00000001767	192	215	185	179	241	167	222	176	165	153	280	172
ENSMUSG00000001768	187	156	157	127	149	125	203	187	199	102	163	186
ENSMUSG00000001773	0	0	0	0	0	0	0	1	0	0	1	0
ENSMUSG00000001774	643	550	597	507	729	499	591	523	517	405	724	509
ENSMUSG00000001783	603	609	634	588	779	605	647	534	497	477	722	671
ENSMUSG00000001785	208	229	226	195	269	197	269	182	209	149	269	206
ENSMUSG00000001786	161	166	186	194	211	171	157	157	126	176	217	195
ENSMUSG00000001794	871	864	940	803	1112	826	943	847	608	711	987	835
ENSMUSG00000001802	163	188	152	209	228	205	203	131	121	144	240	275
ENSMUSG00000001804	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001815	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001819	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001823	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001827	1	0	1	0	0	0	0	0	0	1	1	1
ENSMUSG00000001829	428	463	498	382	538	409	395	339	312	322	457	394
ENSMUSG00000001833	561	530	500	528	629	513	617	455	534	425	639	565
ENSMUSG00000001844	170	168	150	132	159	145	144	152	106	80	170	167
ENSMUSG00000001847	1533	1621	1536	1488	1797	1403	1506	1346	1397	1186	1651	1588
ENSMUSG00000001855	166	150	131	177	186	159	157	124	143	101	145	151
ENSMUSG00000001864	4	5	2	4	5	2	4	3	2	0	2	1
ENSMUSG00000001865	2	0	1	0	0	1	1	1	1	0	0	0
ENSMUSG00000001870	32	18	11	40	35	14	21	16	27	11	28	28
ENSMUSG00000001891	5492	5355	5412	4772	5892	5536	3976	3337	3161	3398	5881	5138
ENSMUSG00000001901	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001909	212	252	264	266	308	233	331	263	235	184	312	308
ENSMUSG00000001910	356	296	287	311	399	313	344	298	322	237	430	334
ENSMUSG00000001911	661	629	635	853	1024	825	581	543	463	546	882	1063
ENSMUSG00000001918	9	14	10	26	21	15	17	31	32	25	27	28
ENSMUSG00000001924	1794	1656	1720	1580	2192	1682	1772	1592	1521	1350	1958	1803
ENSMUSG00000001930	92	53	65	103	95	75	47	73	73	52	65	78
ENSMUSG00000001942	358	286	322	380	451	401	373	290	280	261	400	508
ENSMUSG00000001943	2	0	2	1	0	1	14	2	6	2	6	7
ENSMUSG00000001946	224	135	132	123	124	125	228	159	235	92	167	165
ENSMUSG00000001948	4	4	0	11	1	4	3	3	5	2	7	8
ENSMUSG00000001962	167	203	178	172	244	197	190	151	159	137	179	205
ENSMUSG00000001964	192	162	154	138	200	138	148	139	121	110	128	135
ENSMUSG00000001983	146	117	137	175	212	187	157	160	100	150	226	196
ENSMUSG00000001985	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001986	13	5	7	10	20	10	63	13	15	13	13	9
ENSMUSG00000001988	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001995	36	26	41	51	84	81	31	20	27	36	64	125
ENSMUSG00000001998	66	47	65	66	83	65	84	65	61	31	79	70
ENSMUSG00000001999	122	120	124	107	127	139	111	136	93	84	147	149
ENSMUSG00000002006	3	1	4	1	1	2	2	1	1	2	4	4
ENSMUSG00000002007	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000002010	620	572	635	541	598	491	592	608	505	434	666	657
ENSMUSG00000002012	1	0	0	0	1	1	0	1	0	0	0	0
ENSMUSG00000002014	922	944	903	833	1062	801	991	905	960	832	974	832
ENSMUSG00000002015	1155	1375	1455	1196	1431	1272	1357	1153	1084	943	1320	1336
ENSMUSG00000002017	296	268	261	296	457	274	330	286	235	294	424	309
ENSMUSG00000002020	7	3	7	12	9	4	2	7	9	4	5	16
ENSMUSG00000002028	278	176	202	247	279	273	216	192	217	152	254	245
ENSMUSG00000002031	190	214	207	217	221	198	253	200	169	202	270	215
ENSMUSG00000002032	88	75	68	242	203	147	135	132	82	103	252	341
ENSMUSG00000002033	2	2	0	8	7	5	5	5	8	8	7	21
ENSMUSG00000002043	82	94	116	118	120	85	123	85	77	84	128	118
ENSMUSG00000002052	691	670	712	530	744	614	733	618	675	465	734	604
ENSMUSG00000002055	2	2	0	1	7	3	23	2	9	12	10	5
