!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	U2OSGR  cells
!perturbation	Dexamethasone
!disease	Osteosarcoma - 2 hrs
!end_metadata
WDR60	0.029657
MIR181A2HG	-0.029591
SLN	0.029580
ST3GAL5	-0.029458
ZBED9	0.029437
OLAH	0.029424
FAM49A	0.029333
NAT16	-0.029295
KLF10	-0.029269
SLC16A9	-0.029260
LOC100132352	0.029184
GEM	-0.029136
MEX3B	-0.028991
MYC	-0.028832
FAM212A	-0.028800
ZBTB24	0.028656
CLVS2	0.028653
CD163	0.028552
TOB1	-0.028283
MMP9	-0.028169
FOXO1	0.028140
RASD2	-0.028100
PPP1R18	-0.028035
CLCN2	0.028013
JADE2	-0.027988
XIRP1	0.027904
SLC9A2	0.027751
SP110	0.027688
SERTAD1	-0.027667
KLHL2	0.027472
ZNF18	0.027428
NOD1	-0.027365
IL4R	-0.027251
MIDN	-0.027161
LFNG	-0.027019
SLC35E4	-0.027004
IRS1	-0.026916
TGFB2	-0.026860
HOXA11	-0.026827
MYLIP	-0.026764
LRP12	-0.026624
HSPA6	0.026622
NIPAL1	-0.026555
NAV3	-0.026436
KCNF1	-0.026359
PMEPA1	-0.026342
EVA1A	-0.026336
WNT10A	-0.026307
IER5L	-0.026296
TNFRSF9	-0.026169
CABP7	-0.025976
FAM107A	0.025826
AGPAT9	-0.025753
FZD4	0.025694
TSHZ3	-0.025555
HIC2	0.025522
CCDC107	0.025507
KLHL21	0.025441
PHF13	-0.025417
FLJ41455	0.025355
BCAR3	-0.025352
PER1	0.025231
PHLDA1	0.025063
CDC42EP2	-0.024898
PTGES	0.024871
C3orf52	-0.024830
KIF13B	0.024792
CLPSL2	0.024626
DENND3	0.024587
HTR2A	-0.024574
ZNF71	-0.024527
ACKR3	-0.024415
SEC14L2	0.024402
TICRR	-0.024398
SLC12A8	0.024275
KCNA1	-0.024168
INPP1	0.024150
DUSP14	-0.024038
TMEM61	0.024006
LDLR	-0.023999
NABP1	-0.023964
SLC35G2	-0.023910
IPPK	-0.023905
MAP3K14	-0.023862
LAD1	0.023850
CLK4	0.023817
NOL3	0.023743
PDLIM4	-0.023730
BMP4	-0.023725
PCDH18	-0.023692
CD300C	0.023670
LOC100131023	-0.023638
DUSP5	0.023630
TIMP3	-0.023617
KLHL36	0.023606
TGIF2	-0.023588
CD83	-0.023525
OXCT2	0.023450
SERPINE1	-0.023397
IL18RAP	0.023395
CD3EAP	-0.023368
FUT4	0.023201
RAB9BP1	0.023109
CTDSPL	0.023093
CPEB4	0.022979
PELI1	-0.022891
SYNJ2	-0.022860
THBS1	-0.022853
PPAN	-0.022831
SEMA6A	0.022808
ADAMTS9	0.022800
LRRC4C	-0.022799
SCRG1	0.022776
CEBPD	0.022741
CDKN1B	-0.022717
TNFAIP1	-0.022693
SLAMF8	0.022677
TMEM200A	-0.022622
TLR4	-0.022609
HOXC9	-0.022589
ZNF574	-0.022537
XDH	0.022530
FNIP2	0.022516
ELL2	0.022363
ZNF296	-0.022255
CCRN4L	-0.022153
SPRED2	-0.022134
BCL11A	-0.022108
MSANTD2	0.022016
HSPB3	0.021931
EPT1	-0.021922
FAM104A	0.021910
YPEL2	-0.021907
TSPYL2	0.021893
SH2B3	-0.021872
CDKN1C	0.021812
ALOX5AP	0.021753
MID1IP1	-0.021746
ITGB2	0.021732
C15orf54	0.021719
IL27RA	-0.021694
PHF23	-0.021693
FKBP1AP1	0.021686
AP2B1	-0.021603
MED30	0.021576
FAM43A	0.021572
GATSL3	0.021559
MT1E	0.021402
HOXB3	-0.021381
SLITRK3	0.021368
EGR2	0.021308
RCAN1	0.021260
PLEKHO2	-0.021257
PTPRE	-0.021168
CDC42EP1	-0.021139
RUSC2	-0.021136
IER2	-0.021089
KCTD15	-0.021021
CA2	0.020903
JPH1	-0.020885
CCL3L3	-0.020852
SOCS1	0.020846
IL6	-0.020808
RNA28S5	0.020788
EVA1C	-0.020788
SRXN1	-0.020758
EPHA2	-0.020738
TNNT2	0.020705
LOC284023	-0.020688
OSBP2	-0.020626
ETNK2	0.020593
ACTG2	-0.020587
ANKRD1	0.020495
EMP1	-0.020493
HJURP	-0.020484
GSTM3	0.020452
VASN	-0.020445
KCNK5	-0.020436
PLEKHG1	-0.020435
ANKRD50	-0.020416
ST6GALNAC5	0.020395
CCL20	-0.020390
RBM47	0.020379
NLRP5	0.020346
ING2	-0.020341
IGSF8	0.020340
BAG3	0.020338
GFPT2	-0.020323
LONRF2	-0.020271
SYT12	-0.020244
NSDHL	0.020195
NDUFB1	0.020190
LRIG3	-0.020178
TRAF3	-0.020174
MICALCL	-0.020146
CATSPER1	-0.020145
PAG1	0.020084
ADAMTS1	-0.020040
ARL4C	-0.020035
SIX1	-0.019976
SOX13	0.019891
DUSP16	-0.019860
NFKB1	-0.019798
LIMA1	-0.019775
ZFP69B	-0.019771
LINC01252	0.019748
GJB3	0.019709
CD163L1	0.019642
TNFSF9	-0.019623
FAM167A	-0.019602
PRICKLE2	0.019587
CHD7	-0.019502
ST3GAL6	0.019501
RNA18S5	0.019478
SSH1	-0.019353
SFN	-0.019336
KIFC3	-0.019336
KRTAP6-2	-0.019329
JAKMIP2	0.019328
SH3RF2	-0.019240
MFHAS1	-0.019235
DCAF4	-0.019208
TGM1	0.019201
MYB	-0.019199
SLC2A12	0.019190
EFNA1	-0.019143
KCNN4	-0.019125
LETM2	-0.019121
HIVEP1	-0.019114
CSRNP1	-0.019070
REST	-0.019070
CLTC	0.019028
FOSB	0.019001
NFIL3	0.018996
SPNS2	0.018960
LYSMD2	-0.018960
HMX2	-0.018950
ERRFI1	0.018866
CYP4F11	-0.018862
FBXO31	-0.018853
LOC390705	0.018826
C14orf28	0.018781
ZNF823	-0.018740
ITPKC	0.018735
SLC10A3	-0.018726
HRH1	-0.018613
SLMO1	-0.018612
CDK5R1	0.018607
FOXC1	0.018598
KIAA1324	-0.018572
SPHK1	-0.018563
OR7E156P	0.018562
ZNF668	-0.018550
ITPKA	0.018545
EDN1	-0.018516
PPP1R3C	-0.018506
CCL7	-0.018450
PCDH7	-0.018428
TBCC	-0.018422
TIGD2	0.018420
BATF3	-0.018400
SH3RF1	-0.018392
SPATA2	-0.018391
OSBPL11	0.018364
BAMBI	-0.018321
LIN28B	-0.018316
BBS1	0.018308
MIR221	-0.018306
RGS17	-0.018306
ORAI1	-0.018284
UOX	0.018282
KLF5	-0.018228
VEGFC	-0.018228
C15orf39	-0.018210
PRKAB2	-0.018207
FAM57A	-0.018204
OLIG2	-0.018145
NAB1	-0.018105
DUSP8	-0.018104
PTH1R	0.018086
VGLL3	-0.018071
SLA	0.018061
ENPP5	0.018038
SYT16	-0.017977
C4orf19	0.017885
SRSF12	0.017841
LYPD8	0.017798
SHROOM2	-0.017786
TSPYL6	-0.017780
SRSF7	-0.017769
IRX3	-0.017713
GAS2L1	0.017700
CDK8	-0.017671
PCTP	0.017668
SERTAD3	-0.017636
NFKBIZ	-0.017629
SERTAD2	-0.017627
MEF2D	-0.017618
SAP30	0.017612
SNORA73A	-0.017605
MAP6D1	-0.017590
PRKCE	-0.017579
C16orf72	-0.017563
CTSZ	-0.017548
NANOG	0.017526
DLST	-0.017501
LOC286367	-0.017500
E2F7	-0.017479
GPR137C	-0.017473
RAB9A	0.017459
SLC30A1	-0.017456
BIRC3	0.017452
C11orf68	-0.017419
C5orf30	-0.017416
RNF24	-0.017395
SPEN	-0.017373
ZXDB	0.017369
IFFO1	-0.017368
PPM1H	0.017358
AUNIP	-0.017261
SOX2	-0.017229
UBL4A	-0.017228
PRR7	-0.017223
SERPINF2	0.017220
DDIT3	-0.017218
ZNF443	-0.017210
RUNX3	-0.017167
SNORD108	-0.017162
TRIM51	0.017146
SH3BP5L	-0.017103
NUMBL	-0.017080
HYLS1	-0.017056
URGCP	-0.017050
SLCO4A1	0.016978
ZNF260	-0.016968
UXS1	-0.016947
PPRC1	-0.016943
SPACA6P	-0.016939
AVPI1	-0.016934
EAF1	0.016900
ISL2	-0.016887
DCAF12L1	0.016883
CD70	-0.016882
ZNF581	-0.016873
DLG4	-0.016872
LOR	-0.016860
FHL3	-0.016849
FOXN2	-0.016814
RAB40A	0.016797
CDCA2	-0.016794
LEF1	-0.016769
ZNF234	-0.016752
ARL4D	-0.016746
