!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	U2OSGR  cells
!perturbation	Dexamethasone
!disease	Osteosarcoma - 4 hrs
!end_metadata
NLRP5	0.037994
OXCT2	0.037988
BHLHE40	-0.037939
NFKBIE	-0.037823
DNER	0.037816
CYP4F22	0.037758
NAV3	-0.037721
TLE3	0.037712
PLK2	-0.037683
FAM46A	0.037439
GPR1	0.037208
FAM104A	0.036609
EDNRA	0.036498
CSF2	-0.036155
TSC22D3	0.036130
CTCFL	0.035783
EDN1	-0.035442
RGS19	0.035317
ACKR3	-0.035195
TIAM2	-0.035180
FAM105A	0.035169
RGS4	-0.035068
NDRG1	0.034977
SNN	0.034877
CIDEC	0.034830
NET1	0.034622
RHOU	0.034604
RHOB	0.034230
JUNB	-0.034184
CLDN1	-0.033754
CYTH1	0.033624
FOSL1	-0.033507
TLR4	-0.033474
TGFB2	-0.033454
HRCT1	-0.033454
TMEM61	0.033343
ARC	0.033311
CLCN2	0.032888
ITGB2	0.032797
FRMD5	-0.032765
SLAMF8	0.032664
CA2	0.032640
GHR	0.032623
LRRC38	0.032537
FGD4	0.032524
RBM47	0.032512
ZNF503	-0.032468
GPR83	0.032267
KCTD11	-0.032094
CCDC107	0.032002
CTDSPL	0.031882
KRT34	-0.031704
HTRA4	0.031669
SIX4	-0.031645
BMP4	-0.031586
SPRED2	-0.031578
CDKN1C	0.031573
ZNF812	0.031573
ZNF341	0.031527
PMEPA1	-0.031484
KRTAP13-2	0.031372
ETNK2	0.031343
RDH10	-0.031275
FAM65B	-0.031274
SDPR	0.031221
ZNF189	0.031195
PTH1R	0.031123
ZBTB24	0.031106
SESN1	0.030962
ZBED9	0.030945
CCDC126	0.030932
HOXC8	-0.030826
EHD1	-0.030651
CNIH3	-0.030537
SYNPO2L	-0.030513
PIM1	-0.030480
XDH	0.030454
BLACAT1	-0.030399
SGK1	0.029969
ZSWIM4	-0.029943
PTGES	0.029796
ARL14EPL	0.029761
NOTCH4	0.029747
CCL3L3	-0.029739
SH3RF1	-0.029735
NKX3-2	-0.029698
PDZD8	0.029686
SRSF12	0.029664
CABP7	-0.029607
ASB9	0.029445
KCTD8	0.029370
FZD4	0.029313
KCNG1	0.029231
PAG1	0.029186
MYEOV	-0.029080
SCG5	-0.029076
CDO1	0.029071
KCNN4	-0.028973
SOX18	-0.028694
UOX	0.028648
CA4	0.028582
DUSP14	-0.028567
NSDHL	0.028529
MED30	0.028345
MYC	-0.028328
SGSM1	0.028239
SPNS2	0.028209
ZFP82	-0.028158
GADD45B	-0.028138
NOL3	0.028049
COL15A1	0.027972
LAD1	0.027886
MMP25	0.027877
FAM110D	-0.027775
VASN	-0.027720
NAT16	-0.027627
BCAR1	-0.027587
JADE2	-0.027572
DNM3	-0.027563
GRAMD2	0.027554
FKBP5	0.027506
PRRG1	0.027386
LFNG	-0.027290
ALOX5AP	0.027269
ZFAND5	0.027176
ZBTB46	-0.027121
MTMR7	0.027118
SLC12A8	0.027030
HMOX1	-0.027030
CYR61	-0.026862
IL1F10	0.026732
EPHA2	-0.026691
NOG	-0.026659
CDC42EP1	-0.026656
KLHL2	0.026645
TMX4	0.026641
SLCO4A1	0.026639
DAB2	-0.026619
IRF1	-0.026600
SMAD7	-0.026593
CD3EAP	-0.026583
GATSL3	0.026563
MEIS1	-0.026554
PCSK5	0.026521
XIRP1	0.026506
PLEKHO1	-0.026452
LONRF1	0.026340
FOXO1	0.026330
SERPINE1	-0.026327
BBOX1	0.026318
CD300C	0.026225
SNX33	0.026103
FUT4	0.026082
RASGRP2	0.026048
BBS1	0.026047
NAB2	-0.026038
KLF5	-0.025993
PHLDB2	-0.025972
TGIF2	-0.025953
GOPC	-0.025936
PCBP3	0.025895
DENND3	0.025884
BCAR3	-0.025878
SAG	0.025854
LOC100131023	-0.025797
EMP1	-0.025787
UST	0.025686
TUBA4A	-0.025656
TBC1D4	-0.025655
KLHDC8B	-0.025531
CD163L1	0.025521
SAMD9	0.025492
BTG2	0.025417
ARHGDIB	0.025399
C3orf52	-0.025377
EBF3	0.024919
PDGFA	0.024896
NYNRIN	0.024823
SLC2A3	0.024820
NANOG	0.024712
TNNT2	0.024705
PLEKHG1	-0.024666
TSPYL2	0.024657
KCTD15	-0.024641
AVPI1	-0.024596
PTPRR	-0.024552
GAS2L1	0.024472
KCNF1	-0.024320
HECTD2	0.024267
PDZD2	0.024255
PRB2	0.024213
ADAMTS8	0.024173
TUBA3E	0.024145
EVA1C	-0.024067
RPRML	0.024043
ARHGAP39	0.023975
DRD1	-0.023946
PCDH18	-0.023935
FNIP2	0.023882
FAM43A	0.023786
ENPP5	0.023773
FAM83A-AS1	0.023767
PAQR8	0.023665
HTR2A	-0.023630
PROS1	0.023572
SPEN	-0.023510
ZNF114	0.023493
GEM	-0.023469
GAA	0.023431
KLHL36	0.023345
HECTD4	0.023328
ZNF827	-0.023323
ABLIM3	0.023191
PPP1R18	-0.023188
ZNF18	0.023124
PRRG4	0.023121
FAM212A	-0.023117
TSHZ3	-0.023107
BCL6	0.023099
PTPRE	-0.023055
NR3C2	-0.023033
CD70	-0.022995
RUSC2	-0.022978
SWT1	0.022924
CLIC3	0.022923
ADORA3	0.022881
LETM2	-0.022825
TPST1	-0.022802
CLK4	0.022767
CEBPD	0.022649
MMP9	-0.022639
IL7R	-0.022561
SEMA6A	0.022547
C8orf58	-0.022446
KCNK1	-0.022429
SERTAD2	-0.022414
PCTP	0.022374
TBC1D16	0.022324
TGFBI	-0.022238
RELB	-0.022187
LPL	0.022145
TLCD1	-0.022109
AFAP1L1	0.022045
NUAK1	-0.022015
BAG3	0.021924
LIMA1	-0.021890
FOSL2	-0.021863
RNF217	-0.021821
KCNQ3	0.021813
TAF5L	0.021801
TMEM200A	-0.021787
SLC25A19	-0.021709
MPP5	-0.021698
PTPN13	0.021680
CST2	0.021670
PON3	0.021646
ST3GAL6	0.021640
RNF24	-0.021632
CCRN4L	-0.021620
PHYHD1	0.021567
KCTD3	0.021555
KIAA1324	-0.021537
NUDT16	0.021491
HOXA11	-0.021410
LOC390705	0.021372
TUBA3C	0.021312
PRKCQ	0.021299
XK	0.021289
PRR5L	-0.021266
AGPAT9	-0.021264
NIPAL1	-0.021237
SCNN1A	0.021230
PRB3	0.021203
C14orf28	0.021070
CREBRF	0.021046
JPH2	0.021028
ARL4C	-0.020956
TMEM43	0.020940
IL27RA	-0.020820
SLITRK3	0.020799
SYT12	-0.020795
RAB30	-0.020775
ABCA1	-0.020696
GSTM3	0.020694
STK35	0.020648
SOX2	-0.020588
GJB3	0.020555
KLF10	-0.020538
TBC1D2	-0.020471
IGF2BP3	0.020463
TPBG	0.020442
HIC2	0.020423
LHFPL2	0.020384
CLIP4	-0.020382
TNFRSF1B	0.020359
BTNL9	0.020263
RUNX3	-0.020260
IGSF5	0.020250
ESYT2	0.020188
SHB	-0.020130
WNT10A	-0.020078
ANKRD34A	-0.020074
VEGFC	-0.020073
SFN	-0.019990
ID1	-0.019987
ZNF792	-0.019985
EDN2	0.019983
CHD7	-0.019935
PIK3AP1	0.019928
KCNA4	0.019916
ATXN7L2	-0.019908
MLYCD	0.019907
NFIL3	0.019903
SV2B	0.019896
TNFAIP1	-0.019880
MARCH4	-0.019843
GCOM1	0.019825
TRIOBP	0.019760
BAZ2B	-0.019747
TSPAN3	0.019685
ZDHHC8P1	0.019619
FAM135B	0.019580
ATP1A1	0.019579
WWC1	-0.019570
TRIB1	-0.019562
TADA2B	0.019528
ZFP69B	-0.019507
GPR176	-0.019470
PRR7	-0.019426
ITPKA	0.019400
ARHGEF2	-0.019381
SH3RF2	-0.019379
GLI1	-0.019332
TXNRD1	-0.019293
ZSCAN31	-0.019230
PTPRJ	0.019228
METTL7B	0.019228
TNS1	0.019225
HSPA6	0.019220
NR2F2	-0.019187
ELF1	0.019092
RASD2	-0.019080
MBNL2	0.019067
KIAA0232	0.019053
RBM11	0.019025
NOD1	-0.018987
IL4R	-0.018956
FAM167A	-0.018940
LIPG	0.018836
HOXD11	-0.018821
MAP3K14	-0.018811
ARID5B	-0.018797
KIF17	0.018762
PRKCH	0.018681
TINAG	-0.018679
PAPPA	-0.018668
SPHK1	-0.018656
EDN3	0.018655
FLJ20021	-0.018610
CYTIP	0.018539
NEURL1B	0.018534
TIMP3	-0.018529
CGN	-0.018527
OSBPL11	0.018503
SLC35E4	-0.018499
PANX1	0.018497
TRIB2	-0.018467
FCHO2	0.018449
CD83	-0.018424
GRASP	0.018420
MOCS1	0.018418
CDYL2	0.018417
MERTK	0.018402
KCNJ4	0.018401
LINC00704	0.018252
ARL13B	0.018245
BAG2	-0.018234
NABP1	-0.018155
FHL2	-0.018118
TSHZ1	-0.018112
THBS1	-0.018110
LIN28B	-0.018107
SEMA7A	-0.018100
IER2	-0.018059
ZIC3	0.018055
MIR181A2HG	-0.018031
LMCD1	-0.018025
CD93	0.018012
RNF146	0.018012
CATSPER1	-0.018003
HSPB3	0.017976
HRH1	-0.017967
