!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Liver (Hes1liver knockout male mice - HESKOL)
!perturbation	Dexamethasone
!disease	1mg/kg  - 6 hrs
!end_metadata
QDPR	-0.013446
FDPS	-0.013421
PHLDA1	-0.013416
CREG1	0.013305
CISD1	0.013235
SEPP1	-0.013228
PSMB10	-0.013195
SUN2	0.013170
POMP	-0.013169
DNAJC12	-0.013164
SLC38A2	0.013163
APOF	-0.013116
SLC25A25	0.013093
CHP1	0.013062
GOT2	0.013059
SNAP47	-0.013042
DGAT2	0.013007
CD302	0.012951
CMBL	0.012937
TMEM37	0.012903
FABP1	-0.012800
HSP90AA1	0.012691
SERF2	-0.012645
GCAT	-0.012619
CYP2C8	-0.012616
EIF3L	0.012590
DIO1	-0.012577
C8A	-0.012547
CLIC1	-0.012497
RPL18A	0.012414
CYB5B	-0.012322
MAFB	0.012300
FN1	0.012294
RNASEH2C	-0.012211
VIMP	0.012203
BHMT2	0.012198
S100A8	-0.012176
SULT1E1	0.012108
PMVK	-0.012099
NDUFB9	0.012039
HS6ST1	0.012027
OSBPL1A	0.011946
C12orf57	-0.011914
HIST1H3C	0.011893
ATP5A1	0.011858
GPD1	-0.011829
SUMO1	-0.011806
CYP1A2	-0.011802
PCYT2	-0.011789
PSMC1	0.011776
RNF149	0.011773
NAMPT	0.011770
IK	0.011754
UQCRHL	0.011688
RPL37A	-0.011671
HOPX	0.011666
HMGCL	0.011649
SLCO2B1	-0.011605
TM4SF4	0.011528
TLR9	-0.011513
STARD10	0.011393
SLMO2	0.011378
ASNS	0.011370
FETUB	0.011346
CLUH	0.011317
C5	-0.011315
MRPS31	0.011225
SYVN1	0.011203
GDE1	0.011182
NDUFB10	-0.011100
COPS6	0.011068
RPS28	0.011047
HLA-A	0.011032
CTSB	-0.011014
AHSG	-0.010997
HAL	0.010994
GLUD1	0.010941
SLC29A1	0.010911
NRN1	-0.010895
PHYHD1	-0.010876
ATP5C1	0.010859
KLF15	0.010830
APOH	-0.010816
CYP27A1	0.010811
AACS	-0.010773
CES1	-0.010759
RPL3	0.010755
MARC2	0.010723
FURIN	0.010717
VAPA	0.010713
CYP2F1	-0.010692
TMPRSS6	-0.010630
LIMD2	-0.010628
ID2	-0.010567
NCOA4	0.010548
TMED5	0.010528
H6PD	0.010339
TMEM120A	0.010334
MGST1	-0.010327
LY6E	-0.010304
DNAJB11	0.010299
SLC4A7	-0.010244
C8G	-0.010241
PLIN4	0.010200
GJB2	-0.010176
FAH	0.010135
G0S2	-0.010087
SLC25A15	0.010015
SIK3	0.009977
RPS7	0.009954
CYP2E1	0.009932
SLC22A1	-0.009927
EBP	-0.009903
EIF4A1	0.009858
SEC61G	-0.009852
UQCRC2	0.009814
POP5	0.009792
FAM213B	-0.009761
CPB2	-0.009743
ARL4D	0.009678
SERPIND1	-0.009644
MPO	-0.009639
CYP8B1	0.009633
NFIL3	0.009625
POLR2L	-0.009622
TXNIP	0.009609
MPC2	0.009594
AFM	-0.009585
RPL28	0.009583
CDKN1A	0.009581
LCAT	0.009518
DUSP6	-0.009512
ETFDH	0.009472
ACADL	0.009468
ANG	0.009466
ODC1	0.009465
TXN	-0.009452
RPL7	0.009446
DHX30	0.009434
APOA2	-0.009431
MORF4L2	0.009427
C1QBP	0.009423
ANGPTL3	-0.009390
INHBE	-0.009367
RPS5	0.009347
WBP1L	0.009342
TNS1	0.009342
EPB41L4B	-0.009326
MPC1	0.009322
COA3	-0.009317
CYP3A5	0.009298
METTL7B	-0.009295
GHR	-0.009263
UGT2A3	0.009257
PPP2R2D	0.009237
SCP2	0.009225
GSTO1	0.009222
RPL26	-0.009199
ECHDC3	-0.009165
HIST1H3A	0.009149
ELOVL5	0.009132
ATL2	0.009120
ATP6V1G1	0.009085
HGFAC	-0.009060
CXCL12	-0.009033
SNX10	0.009031
GLDC	0.009019
GCDH	0.009008
BDH1	0.008992
PABPC1	0.008959
HNRNPAB	0.008925
RPS23	0.008919
SLC20A1	0.008895
SLC25A13	0.008875
