!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Acute lymphoblastic leukemia cell line, RS4;11
!perturbation	Dexamethasone
!disease	10 nM - 8 hrs
!end_metadata
SH2B3	-0.019753
METTL7A	0.019748
HDAC7	0.019723
SLC43A1	-0.019703
OSBPL3	0.019689
SPON2	0.019687
NXN	-0.019601
STK16	0.019588
KANK1	0.019588
FBXW4P1	0.019587
SMAD3	0.019581
PFAS	-0.019506
SCRG1	0.019487
SLC16A1	-0.019468
AGPS	0.019451
KANK2	-0.019415
ABCC4	-0.019413
WDR12	-0.019396
HSPB1	-0.019371
CTSC	-0.019362
WDR74	-0.019324
BID	-0.019277
PPP1R14B	-0.019273
HILPDA	-0.019239
CROCCP2	0.019219
NARFL	0.019213
ABHD14A	-0.019204
KCTD5	0.019200
ST6GALNAC4	-0.019183
PER3	0.019145
SQRDL	0.019107
GOLM1	-0.019099
LOC100507397	0.019064
CRIM1	-0.019026
FGF9	-0.019025
MCM6	-0.019006
MFSD10	0.018978
ADPRM	0.018977
SLC43A3	-0.018912
CLUH	-0.018896
ATG101	-0.018864
RALYL	0.018842
MNT	-0.018824
RORB	-0.018821
NOTCH1	-0.018807
PGM1	-0.018793
BCAT1	-0.018780
USP12	0.018768
SCARF1	-0.018763
ZNF652	0.018751
GBP1	0.018749
F2RL3	0.018737
HDAC4	0.018730
YPEL5	0.018707
CD93	0.018685
PSPH	-0.018625
CD55	-0.018623
HLA-F	0.018613
P2RX7	-0.018596
RCN2	0.018587
TSNAX	0.018569
TPI1	-0.018556
LCK	-0.018533
KLRK1	0.018531
IQSEC1	0.018492
CAMKMT	-0.018435
IARS	-0.018416
LDHA	-0.018394
ELAVL4	-0.018394
MCM2	-0.018359
HAUS7	-0.018331
