!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Liver
!perturbation	Dexamethasone
!disease	1mg/kg  - 6 hrs
!end_metadata
NAT8B	-0.037425
COX5A	-0.037103
KRT8	0.036285
ODC1	0.036240
SDR42E1	-0.036227
RCL1	0.036018
RNASE4	-0.035965
PCYT2	-0.035804
VKORC1	-0.035765
KHK	-0.035748
CES1	-0.035374
MAN2A1	-0.035179
FETUB	-0.035013
CEBPB	0.034809
SLC25A5	-0.034701
LYZ	-0.034411
HEBP1	-0.034108
RPL27	-0.034094
MANF	0.033954
TSPAN4	-0.033852
GRHPR	-0.033783
RPS18	-0.033747
HLA-A	-0.033746
AZGP1	-0.033479
VTN	-0.033471
HBB	0.033439
FAM47E	-0.033201
SCP2	-0.032975
HSD3B7	-0.032911
GCDH	-0.032839
TFR2	-0.032795
APOA2	-0.032613
GRN	0.032408
RPS27A	-0.032363
POMP	-0.032319
ADIPOR2	-0.032314
KNG1	-0.031939
MYL6	-0.031856
DHCR24	-0.031666
GLRX5	-0.031478
LCN2	0.031306
LDHA	0.031296
RPS7	-0.031092
EIF4EBP3	0.030950
MRPL14	-0.030789
GADD45A	0.030631
PGRMC1	-0.030458
GPD1	-0.030127
QDPR	-0.030048
CDO1	0.029906
NDUFB11	-0.029806
PTP4A1	0.029611
GBE1	-0.029240
HSP90AA1	0.029167
CREB3L3	-0.029149
PHYHD1	-0.028990
RPL26	-0.028959
MLYCD	-0.028915
CD5L	-0.028809
ATP5J	-0.028590
C12orf57	-0.028571
SNAP47	-0.028498
GPT	-0.028352
ACAA1	-0.028323
RPL7A	-0.028318
AGXT	-0.028209
CCS	-0.028066
F11R	-0.028055
TALDO1	-0.028018
SOD2	-0.027984
SERPINC1	-0.027673
CYP2E1	0.027634
RPS29	-0.027507
EPB41L4B	-0.027312
SMDT1	-0.026999
PLK3	0.026994
SLC25A25	0.026948
CPN2	-0.026937
CD81	-0.026860
CEBPD	0.026846
RPS27L	-0.026818
HSPA8	0.026729
FTL	-0.026593
RPL8	-0.026582
CYP4F12	-0.026573
SERF2	-0.026512
NAPRT	-0.026336
RPL5	-0.026296
COX8A	-0.026275
IL1R1	0.026119
C14orf1	-0.026055
TMBIM6	-0.026042
UQCRHL	-0.026021
CYP3A5	-0.025985
APOC2	-0.025912
ABCG5	-0.025677
AQP8	-0.025495
DCAF11	-0.025458
HLA-E	-0.025450
ALDH8A1	-0.025432
PLG	-0.025390
COX6A1	-0.025369
ANGPTL4	0.025341
GPI	-0.025286
PIM3	0.025213
POLR2L	-0.025197
SLC46A3	-0.025097
APOC4	-0.025083
COX4I1	-0.025060
PPAP2B	-0.025054
GCHFR	-0.025001
INHBE	-0.024992
PSEN2	-0.024928
SIL1	-0.024905
AHCY	-0.024898
PIPOX	-0.024873
GLTPD2	-0.024816
GAMT	-0.024806
UQCR11	-0.024737
NDUFA9	-0.024719
SLC4A7	-0.024688
CCBL2	0.024675
TM7SF2	-0.024664
AACS	-0.024651
PARK7	-0.024617
C1orf174	-0.024612
ASPG	-0.024601
BTG2	0.024423
CHCHD10	-0.024341
INMT	-0.024272
IFITM3	-0.024248
LONP2	-0.024131
RPS20	-0.024044
APOE	-0.024041
ACTG1	0.024014
PGK1	-0.023950
ACBD4	-0.023935
RPS2	-0.023843
APOA1	0.023840
SERPINA1	-0.023806
DAZAP2	-0.023750
SEPP1	-0.023697
SHFM1	-0.023688
GYS2	-0.023576
FAM213A	-0.023393
AHSG	-0.023387
SUMO1	-0.023376
TP53INP1	0.023313
ERRFI1	0.023285
POR	-0.023274
SEC61B	-0.023250
CPB2	-0.023197
CLUH	-0.023193
C8G	-0.023159
CD302	-0.023121
GCKR	-0.023018
UGT1A6	-0.022942
TTC39C	-0.022761
PSMB6	-0.022733
DNAJC19	-0.022700
TRIB1	0.022649
MRPL12	-0.022631
UBC	0.022614
HSD17B10	-0.022567
CSAD	-0.022500
FAM134B	0.022481
PSMA7	-0.022468
ATP5H	-0.022320
SC5D	-0.022316
CMBL	-0.022190
SLC25A11	-0.022168
GC	-0.022100
ITIH4	-0.022009
ADH4	-0.021975
STEAP4	0.021966
SLCO2B1	-0.021943
UROC1	-0.021854
GRB7	-0.021709
IFRD1	0.021683
PXMP2	-0.021662
HMGCL	-0.021636
METTL7B	-0.021573
GPX4	-0.021563
HSD17B4	-0.021481
RPS12	-0.021474
GSTZ1	-0.021375
MPO	-0.021189
ATP5O	-0.021168
EIF3H	-0.021126
NR4A1	0.020939
UQCR10	-0.020893
RPL17	-0.020890
FABP1	-0.020862
CLU	-0.020850
GPT2	0.020844
NRN1	-0.020778
PSMD3	-0.020776
SLC6A13	-0.020768
S100A8	-0.020715
SCD	-0.020705
TIPARP	0.020634
UROD	-0.020612
RPS3	-0.020611
RPS8	-0.020587
ATF3	0.020515
RPS5	-0.020510
CAT	-0.020496
SYVN1	0.020377
PHLDA1	0.020372
ABCD3	-0.020361
TMEM50A	-0.020261
UGT2B28	-0.020071
PCK1	0.020043
TSPAN12	-0.019892
PTPRF	-0.019840
C11orf83	-0.019839
TGM2	0.019738
COASY	-0.019737
MID1IP1	-0.019644
SLC10A1	-0.019603
PERP	-0.019592
EIF3L	-0.019495
SLC25A47	0.019492
FBP1	-0.019457
COA3	-0.019401
MAFF	0.019241
CYP1A2	-0.019177
NDUFA4	-0.019134
VDAC1	-0.019065
RND1	0.019024
SCAP	-0.019013
POLR2M	-0.018995
AGPAT6	0.018954
RPL35	-0.018902
RPL19	-0.018889
ECHDC2	-0.018882
AVPI1	-0.018873
TIMM13	-0.018846
NIPSNAP1	-0.018832
SDHD	-0.018827
RPS13	-0.018762
UGT2A3	-0.018748
ECHS1	-0.018684
DUSP1	0.018670
PLIN5	0.018604
RPL3	-0.018596
HAL	-0.018550
LAMP1	-0.018506
MGRN1	-0.018498
LTF	-0.018494
PSMA5	-0.018425
IGF1	-0.018408
PGAM1	-0.018406
PAOX	-0.018365
ESD	-0.018351
PDCD6	-0.018227
MRPS16	-0.018204
TSPAN31	-0.018134
RNASEH2C	-0.018126
PSMB10	-0.018055
TIFA	0.017990
TXNDC17	-0.017961
TM4SF4	-0.017933
C11orf54	-0.017917
PTPRZ1	0.017890
P4HB	-0.017755
RNPEPL1	-0.017736
RPL39	-0.017697
MARCH8	-0.017670
NDUFA5	-0.017591
NFIL3	0.017581
HAGH	-0.017518
AP1S1	-0.017467
ITGB5	-0.017453
ATP5A1	-0.017412
FDPS	-0.017405
CHCHD2	-0.017313
NDUFA8	-0.017313
SUCLG1	-0.017309
CLIC1	-0.017308
ARPC1B	-0.017299
ACADM	-0.017242
SERPINF1	-0.017205
AKR1A1	-0.017177
PPIB	-0.017176
GSTK1	-0.017166
NR2F6	-0.017097
CTSZ	-0.017088
PSMB4	-0.016982
H1FX	0.016975
LYPLA2	-0.016968
ANPEP	-0.016912
CA3	-0.016904
FGL1	-0.016903
PHB2	-0.016897
FOXA2	-0.016618
SQSTM1	-0.016576
CYB5B	-0.016513
TMPRSS6	-0.016512
CFH	-0.016402
LECT2	-0.016394
SLC25A10	-0.016369
HGFAC	-0.016338
SOCS1	0.016314
ENHO	-0.016255
RPS4Y1	-0.016247
ATP5J2	-0.016200
MTFP1	-0.016175
GNB2L1	-0.016154
CLDN3	-0.016134
ZFP36	0.016100
HIST2H2AC	-0.016077
MRPL20	-0.016053
TLR9	-0.016052
SAP30L	-0.016035
RNASET2	-0.016020
CNIH1	-0.015990
AFM	-0.015966
NDUFB8	-0.015962
TPI1	-0.015921
ITM2B	-0.015862
FBL	-0.015853
BNIP3	0.015850
TXN	-0.015773
CYP2B6	0.015744
HYAL2	-0.015695
COL18A1	-0.015688
CPT1A	-0.015676
APOM	-0.015658
SARDH	-0.015655
BLOC1S1	-0.015629
DHRS7	-0.015488
DNAJB11	0.015461
OSGIN1	-0.015371
GALT	-0.015268
G0S2	-0.015265
PAQR9	-0.015217
PABPC1	-0.015208
KLF2	0.015159
SLC22A7	-0.015106
GMNN	-0.015104
NDFIP1	-0.015095
SAA1	0.015093
VDAC3	-0.015038
CHCHD1	-0.014947
CD14	0.014916
FAM195A	-0.014910
LIMD2	-0.014825
RPL18A	-0.014757
ANGPTL3	-0.014735
GABARAPL1	-0.014686
HNRNPK	-0.014611
ACSM1	-0.014591
TST	-0.014585
CTSG	-0.014582
NDUFB7	-0.014574
